,date,open,high,low,close,volume,change
0,2009-01-02,30934,31005,29950,30515,279546,-0.01360874062580808
1,2009-01-05,30652,30723,29036,29037,537182,-0.04843519580534161
2,2009-01-06,29106,29457,28262,28686,615042,-0.01208802562248168
3,2009-01-07,28544,29106,27699,29108,1095897,0.0147110088544935
4,2009-01-08,29036,29036,28051,28968,665190,-0.004809674316339163
5,2009-01-09,28755,29036,28192,28194,1086769,-0.026719138359569183
6,2009-01-12,28333,28543,27911,28123,344287,-0.0025182662977938364
7,2009-01-13,28192,28824,27841,28756,427972,0.022508267254560232
8,2009-01-14,28824,29036,28262,28405,241093,-0.01220614828209765
9,2009-01-15,28262,28544,27980,28545,396405,0.004928709734201675
10,2009-01-16,28402,29458,28333,28898,382242,0.012366438956034287
11,2009-01-19,28965,29248,28614,29249,331118,0.012146169285071728
12,2009-01-20,28895,29036,28402,28827,199071,-0.014427843686963704
13,2009-01-21,28122,28895,27980,28194,225544,-0.021958580497450253
14,2009-01-22,28402,28473,27770,28123,454228,-0.0025182662977938364
15,2009-01-23,28051,28122,27629,27842,192601,-0.009991821640650043
16,2009-01-28,27841,28402,27770,28405,208280,0.02022124847352913
17,2009-01-29,28192,28684,27699,27701,688595,-0.024784368949128718
18,2009-01-30,27770,28402,27629,28264,415016,0.02032417602252634
19,2009-02-02,28333,28613,27841,28405,534861,0.004988678177186623
20,2009-02-03,28262,28333,27841,27913,337173,-0.01732089420876604
21,2009-02-04,27980,28544,27841,28545,704412,0.022641779815856463
22,2009-02-05,28192,28402,27980,28123,371219,-0.014783674899281785
23,2009-02-06,28122,28614,28051,28615,399107,0.017494577392170196
24,2009-02-09,28122,28824,28122,28827,310262,0.007408701729861854
25,2009-02-10,28684,28895,28262,28264,336872,-0.019530301453498437
26,2009-02-11,28192,28262,27699,28194,320941,-0.0024766487404471733
27,2009-02-12,27980,28192,27699,28123,402782,-0.0025182662977938364
28,2009-02-13,28122,28333,27629,27842,496158,-0.009991821640650043
