,date,open,high,low,close,volume,change
0,2009-01-02,66150,66675,65550,65625,9206,-0.016853932584269704
1,2009-01-05,66000,67725,65250,66300,20543,0.010285714285714231
2,2009-01-06,67125,73350,66525,71625,43084,0.0803167420814479
3,2009-01-07,72300,72375,69300,72000,22328,0.005235602094240789
4,2009-01-08,71700,72000,70575,72000,9864,0.0
5,2009-01-09,72750,72975,66450,67500,25008,-0.0625
6,2009-01-12,67500,67500,64950,65250,30211,-0.033333333333333326
7,2009-01-13,65099,66375,64350,65550,49743,0.0045977011494253706
8,2009-01-14,65625,65625,64799,65550,17548,0.0
9,2009-01-15,65175,65475,64049,65475,25462,-0.0011441647597254525
10,2009-01-16,65100,65625,63225,63600,43094,-0.028636884306987413
11,2009-01-19,63975,65174,63225,63750,23519,0.002358490566037652
12,2009-01-20,63825,64950,63149,64875,20705,0.01764705882352935
13,2009-01-21,63825,66300,63825,64725,33227,-0.0023121387283236983
14,2009-01-22,64800,67050,64050,66000,34906,0.019698725376593233
15,2009-01-23,66000,67350,65700,67350,20094,0.020454545454545503
16,2009-01-28,66300,69900,66300,68850,18572,0.022271714922049046
17,2009-01-29,68850,69825,67575,68625,17046,-0.003267973856209139
18,2009-01-30,68625,70275,68175,69000,13813,0.005464480874316946
19,2009-02-02,69000,69225,66675,67500,19519,-0.021739130434782598
20,2009-02-03,67200,69000,66075,68775,22929,0.018888888888888955
21,2009-02-04,78750,78750,78750,78750,90299,0.1450381679389312
22,2009-02-05,81375,84000,75375,75750,291456,-0.03809523809523807
23,2009-02-06,76500,77625,72975,73650,77784,-0.027722772277227747
24,2009-02-09,74475,75000,73575,73800,29831,0.002036659877800329
25,2009-02-10,73950,74475,73275,73425,22618,-0.005081300813008172
26,2009-02-11,72675,73275,72150,72900,14202,-0.007150153217568954
27,2009-02-12,73200,73200,72225,72225,21683,-0.0092592592592593
28,2009-02-13,72375,73575,72300,73275,10458,0.014537902388369606
29,2009-02-16,73500,74925,73050,73875,16916,0.008188331627430934
30,2009-02-17,73875,74400,72750,73725,16538,-0.0020304568527919065
31,2009-02-18,72525,73875,72525,73650,8677,-0.0010172939979654627
32,2009-02-19,73950,73950,72900,72975,6614,-0.009164969450101812
33,2009-02-20,73425,73425,72000,72150,16066,-0.01130524152106882
34,2009-02-23,72000,72750,71775,72300,5283,0.002079002079002024
35,2009-02-24,72300,72300,71100,71250,9631,-0.014522821576763434
36,2009-02-25,71400,72300,71100,71250,6990,0.0
37,2009-02-26,71400,72000,70275,70350,16436,-0.012631578947368438
38,2009-02-27,71250,71925,70650,71250,8647,0.01279317697228155
39,2009-03-02,72225,72225,70425,70425,8386,-0.011578947368421022
40,2009-03-03,69825,70875,69750,69900,12974,-0.007454739084132078
41,2009-03-04,69975,71100,69900,69900,14133,0.0
42,2009-03-05,70500,72000,70425,70425,9295,0.007510729613734002
43,2009-03-06,70125,70500,69675,70050,6562,-0.005324813631522929
44,2009-03-09,70050,70875,70050,70725,5280,0.009635974304068595
45,2009-03-10,70800,71250,70350,70500,15526,-0.003181336161187653
46,2009-03-11,71250,71250,70275,70350,18248,-0.0021276595744680327
47,2009-03-12,70725,70800,70050,70050,17676,-0.004264392324093813
48,2009-03-13,70500,71250,70050,70350,19257,0.004282655246252709
49,2009-03-16,70350,73725,70350,73425,29925,0.04371002132196167
50,2009-03-17,73425,73425,72000,72300,8359,-0.01532175689479065
51,2009-03-18,73125,74325,72525,73875,17792,0.02178423236514515
52,2009-03-19,74400,77250,73500,76875,32793,0.04060913705583746
53,2009-03-20,76125,79125,75000,77250,57223,0.004878048780487809
54,2009-03-23,76875,78750,76125,76125,16940,-0.014563106796116497
55,2009-03-24,77625,78375,76125,76500,21849,0.004926108374384342
56,2009-03-25,76500,76500,74175,74175,16534,-0.0303921568627451
57,2009-03-26,74625,75000,73650,74925,10133,0.0101112234580385
58,2009-03-27,74625,77625,74625,77625,20345,0.03603603603603611
59,2009-03-30,77625,78750,74925,75750,13564,-0.024154589371980676
60,2009-03-31,75375,76500,75000,76125,9266,0.004950495049504955
61,2009-04-01,78750,78750,76500,76500,8135,0.004926108374384342
62,2009-04-02,76500,79125,76500,78000,17262,0.019607843137254832
63,2009-04-03,78375,78375,77250,78000,8137,0.0
64,2009-04-06,78000,80625,78000,80250,31067,0.028846153846153744
