,date,open,high,low,close,volume,change
0,2009-01-02,6700,6980,6570,6970,6525624,0.06412213740458017
1,2009-01-05,7200,7440,7170,7280,8381870,0.0444763271162123
2,2009-01-06,7280,7540,7140,7380,8599328,0.013736263736263687
3,2009-01-07,7500,7900,7410,7780,10690170,0.054200542005420134
4,2009-01-08,7560,7650,7440,7600,5120233,-0.0231362467866324
5,2009-01-09,7700,7930,7550,7580,8584459,-0.002631578947368429
6,2009-01-12,7400,7490,7090,7110,5708827,-0.06200527704485492
7,2009-01-13,7100,7500,6940,7500,4506082,0.05485232067510548
8,2009-01-14,7530,7890,7380,7790,6090645,0.038666666666666634
9,2009-01-15,7450,7540,6930,6950,6845082,-0.10783055198973046
10,2009-01-16,7140,7160,6790,6950,6432549,0.0
11,2009-01-19,7030,7240,7020,7120,4471606,0.02446043165467615
12,2009-01-20,7010,7070,6910,7030,3876240,-0.012640449438202195
13,2009-01-21,6660,7200,6660,7200,3851852,0.02418207681365581
14,2009-01-22,7300,7370,6940,7020,9850954,-0.025000000000000026
15,2009-01-23,6950,7080,6750,6750,5356392,-0.038461538461538436
16,2009-01-28,6980,7620,6950,7520,9718553,0.11407407407407401
17,2009-01-29,7720,7880,7630,7700,8745955,0.023936170212766058
18,2009-01-30,7540,7920,7450,7870,7581011,0.02207792207792214
19,2009-02-02,7890,8240,7770,7900,7115616,0.0038119440914865525
20,2009-02-03,7930,8210,7840,8010,6591042,0.013924050632911468
21,2009-02-04,8380,9010,8300,8950,14811366,0.11735330836454437
22,2009-02-05,8870,9160,8750,8770,10566544,-0.0201117318435754
23,2009-02-06,9050,9200,8760,9050,7682701,0.03192702394526803
24,2009-02-09,9140,9140,8470,8560,8436585,-0.05414364640883973
25,2009-02-10,8690,8760,8380,8500,7055732,-0.007009345794392496
26,2009-02-11,8220,8710,8180,8460,7062639,-0.0047058823529412255
27,2009-02-12,8540,8620,8100,8100,6756854,-0.04255319148936165
28,2009-02-13,8200,8490,8090,8400,5707117,0.03703703703703698
29,2009-02-16,8310,8540,8290,8450,3867981,0.005952380952380931
30,2009-02-17,8380,8400,7710,7800,4802043,-0.07692307692307687
31,2009-02-18,7730,7980,7590,7760,4458525,-0.00512820512820511
32,2009-02-19,7810,7970,7600,7600,4429432,-0.02061855670103097
33,2009-02-20,7500,7560,7130,7210,4656299,-0.051315789473684204
34,2009-02-23,7240,7710,7230,7700,5075321,0.06796116504854366
35,2009-02-24,7320,7520,7300,7300,4179732,-0.051948051948051965
36,2009-02-25,7750,8090,7400,7400,8351854,0.013698630136986356
37,2009-02-26,7460,7660,6580,6710,35888150,-0.09324324324324328
38,2009-02-27,6710,6900,6550,6710,8294823,0.0
39,2009-03-02,6750,6750,6390,6390,6229236,-0.04769001490312963
40,2009-03-03,6100,6620,6100,6550,8363646,0.025039123630672844
41,2009-03-04,6590,6760,6500,6750,6515973,0.03053435114503822
42,2009-03-05,6920,6930,6550,6550,5828298,-0.029629629629629676
43,2009-03-06,6440,6670,6400,6500,4500875,-0.007633587786259555
44,2009-03-09,6590,6640,6320,6330,8089517,-0.026153846153846198
45,2009-03-10,6300,6780,6270,6610,8138219,0.04423380726698256
46,2009-03-11,6900,7190,6820,7110,11395788,0.07564296520423608
47,2009-03-12,7090,7250,6980,7080,7178888,-0.00421940928270037
48,2009-03-13,7250,7560,7160,7370,9309974,0.04096045197740117
49,2009-03-16,7460,7830,7440,7500,8677095,0.01763907734056991
50,2009-03-17,7700,8000,7680,8000,8684303,0.06666666666666665
51,2009-03-18,8250,8250,7760,7870,8533345,-0.016249999999999987
52,2009-03-19,7990,8000,7500,7520,10060053,-0.044472681067344366
53,2009-03-20,7550,7700,7510,7700,4702581,0.023936170212766058
54,2009-03-23,7850,8120,7800,8080,8344058,0.049350649350649256
55,2009-03-24,8240,8260,8010,8180,6652120,0.012376237623762387
56,2009-03-25,8120,8180,7970,8100,5107740,-0.009779951100244544
57,2009-03-26,8170,8480,8110,8420,13682048,0.03950617283950608
58,2009-03-27,8570,9070,8470,8490,16489312,0.008313539192398967
59,2009-03-30,8570,8720,7900,8050,9338571,-0.051825677267373416
60,2009-03-31,8200,8780,8170,8530,11754927,0.05962732919254665
61,2009-04-01,8570,8970,8540,8950,12295980,0.049237983587338885
62,2009-04-02,9230,9420,9200,9220,10995274,0.030167597765363038
63,2009-04-03,9550,9640,9250,9590,11910291,0.04013015184381774
64,2009-04-06,9720,9830,9510,9540,9375955,-0.005213764337851923
65,2009-04-07,9520,9790,9340,9620,7641052,0.008385744234800763
66,2009-04-08,9430,9550,9100,9150,6978264,-0.04885654885654889
67,2009-04-09,9250,9690,9240,9690,7939150,0.059016393442622876
68,2009-04-10,9990,10050,9580,9690,8018429,0.0
69,2009-04-13,10100,10350,9950,10150,10455631,0.04747162022703821
70,2009-04-14,10250,10300,9830,10150,7032295,0.0
71,2009-04-15,9920,10050,9610,9990,4640694,-0.015763546798029604
72,2009-04-16,10150,10200,9700,9700,6508228,-0.029029029029029037
73,2009-04-17,9840,9940,9500,9510,5279549,-0.019587628865979426
74,2009-04-20,9530,9810,9370,9800,4078212,0.030494216614090464
75,2009-04-21,9550,9830,9550,9590,4176978,-0.021428571428571463
76,2009-04-22,9720,10250,9610,10150,7813643,0.058394160583941535
77,2009-04-23,10400,11000,10200,10700,13783771,0.05418719211822665
78,2009-04-24,10550,10850,10200,10250,8142983,-0.04205607476635509
79,2009-04-27,10650,10850,10350,10500,6261593,0.024390243902439046
80,2009-04-28,10550,10650,9960,10150,5095910,-0.033333333333333326
81,2009-04-29,10300,10700,10050,10700,4801108,0.05418719211822665
82,2009-04-30,10750,11300,10650,11250,9384882,0.051401869158878455
83,2009-05-04,11600,11850,11250,11350,6982951,0.008888888888888946
84,2009-05-06,11500,11500,11050,11350,4967634,0.0
85,2009-05-07,11500,11500,11100,11100,4226299,-0.022026431718061627
86,2009-05-08,10950,11300,10800,11300,4815709,0.018018018018018056
87,2009-05-11,11300,12100,11200,12100,10845490,0.07079646017699126
88,2009-05-12,12000,12500,11850,12300,7875653,0.016528925619834656
89,2009-05-13,12200,12300,11900,12250,3863324,-0.004065040650406471
90,2009-05-14,11850,12850,11800,12400,9024223,0.012244897959183598
91,2009-05-15,12600,12950,12300,12500,5250671,0.008064516129032251
92,2009-05-18,12500,13200,12500,13100,6501976,0.048000000000000036
93,2009-05-19,13350,13650,13250,13500,6023800,0.03053435114503822
94,2009-05-20,13500,13700,12850,12900,7204333,-0.0444444444444444
95,2009-05-21,12600,12700,12000,12450,14496292,-0.03488372093023251
96,2009-05-22,12250,12600,12000,12100,6196171,-0.028112449799196804
97,2009-05-25,12000,12750,11650,12750,8300647,0.053719008264462735
98,2009-05-26,12650,12750,12000,12100,6166326,-0.05098039215686279
