,date,open,high,low,close,volume,change
0,2009-01-02,6830,7180,6620,7180,9146590,0.07164179104477619
1,2009-01-05,7200,7620,7110,7220,16123115,0.0055710306406684396
2,2009-01-06,7460,7730,7330,7390,21448221,0.023545706371191244
3,2009-01-07,7600,7610,7250,7480,21738913,0.012178619756427532
4,2009-01-08,7400,8000,7300,7930,33526570,0.06016042780748654
5,2009-01-09,8000,8020,7340,7340,19557922,-0.07440100882723832
6,2009-01-12,7340,7390,6850,6920,12604076,-0.057220708446866435
7,2009-01-13,7040,7150,6980,7070,15418377,0.021676300578034716
8,2009-01-14,6900,6930,6590,6730,28285960,-0.048090523338048086
9,2009-01-15,6470,6920,6430,6570,19672790,-0.023774145616641932
10,2009-01-16,6840,7000,6810,6950,12866838,0.05783866057838673
11,2009-01-19,7090,7990,7050,7840,37087667,0.1280575539568345
12,2009-01-20,7890,8090,7440,8070,36818187,0.029336734693877545
13,2009-01-21,7750,8250,7650,7870,22036337,-0.024783147459727428
14,2009-01-22,8170,8270,7410,7430,19902707,-0.05590851334180436
15,2009-01-23,7370,7400,6950,7010,12876173,-0.05652759084791381
16,2009-01-28,7600,8060,7590,8060,31037050,0.14978601997146934
17,2009-01-29,8430,8460,7920,7950,42863315,-0.013647642679900708
18,2009-01-30,7810,9040,7750,8980,58818596,0.12955974842767293
19,2009-02-02,8940,9450,8900,8900,39829390,-0.008908685968819552
20,2009-02-03,9250,9370,8960,9110,22423398,0.02359550561797752
21,2009-02-04,9360,9750,9310,9520,26379570,0.045005488474204165
22,2009-02-05,9500,10350,9350,9350,44643467,-0.017857142857142905
23,2009-02-06,9660,9900,9150,9380,33892409,0.003208556149732589
24,2009-02-09,10000,10000,9380,9450,22679581,0.0074626865671640905
25,2009-02-10,9700,9830,9400,9630,21933858,0.01904761904761898
26,2009-02-11,9290,9390,9180,9240,19516731,-0.04049844236760125
27,2009-02-12,9060,9100,8720,8870,16910703,-0.040043290043289985
28,2009-02-13,8990,9270,8590,9260,24434908,0.043968432919955
29,2009-02-16,9180,9550,8900,8950,19790060,-0.03347732181425489
30,2009-02-17,8820,8820,8060,8210,22117081,-0.08268156424581008
31,2009-02-18,8140,8600,8090,8600,18954482,0.047503045066991545
32,2009-02-19,8700,8930,8320,8330,19992822,-0.031395348837209285
33,2009-02-20,8230,8270,7860,7880,12258053,-0.0540216086434574
34,2009-02-23,8050,8810,7970,8810,19001571,0.11802030456852795
35,2009-02-24,8500,8810,8420,8570,16043964,-0.02724177071509648
36,2009-02-25,8990,9110,8450,8450,13749405,-0.014002333722287095
37,2009-02-26,8700,8830,7980,8340,14541159,-0.013017751479289965
38,2009-02-27,8310,8780,8210,8640,15342819,0.03597122302158273
39,2009-03-02,8500,8600,8140,8140,8676942,-0.05787037037037035
40,2009-03-03,7930,8380,7890,8320,12885157,0.022113022113022133
41,2009-03-04,8360,8740,8250,8650,13294050,0.03966346153846145
42,2009-03-05,8690,8790,8270,8270,12913454,-0.04393063583815027
43,2009-03-06,8120,8520,8100,8330,11385447,0.0072551390568318394
44,2009-03-09,8500,8520,8120,8220,11887133,-0.013205282112845107
45,2009-03-10,8220,8270,8040,8130,14995779,-0.010948905109489092
46,2009-03-11,8300,8510,8210,8210,22029442,0.0098400984009841
47,2009-03-12,8360,8810,8360,8590,29010150,0.04628501827040199
48,2009-03-13,9030,9560,8830,9340,44218387,0.08731082654249134
49,2009-03-16,9420,9520,8870,8880,24746478,-0.04925053533190582
50,2009-03-17,9100,9400,8910,9400,18626330,0.05855855855855863
51,2009-03-18,9700,9920,9450,9830,22326193,0.045744680851063764
52,2009-03-19,10050,10100,9700,9740,14817067,-0.00915564598168872
53,2009-03-20,9700,9830,9440,9580,14038867,-0.016427104722792633
54,2009-03-23,9700,10300,9670,10300,20927884,0.0751565762004176
55,2009-03-24,10600,10750,10200,10400,17417646,0.009708737864077666
56,2009-03-25,10350,10350,9810,10200,19992556,-0.019230769230769273
57,2009-03-26,10600,11700,10500,11700,42897076,0.1470588235294117
58,2009-03-27,12150,13250,11950,12000,55606535,0.02564102564102555
59,2009-03-30,12250,12850,12050,12400,35157932,0.03333333333333344
60,2009-03-31,12550,12600,11900,12350,30767790,-0.0040322580645161255
61,2009-04-01,12200,12600,11700,12250,37850694,-0.0080971659919028
62,2009-04-02,12700,13100,12500,12700,31025939,0.03673469387755102
63,2009-04-03,13200,13200,12550,12600,17144425,-0.007874015748031482
64,2009-04-06,12900,14450,12850,14150,52769400,0.12301587301587302
65,2009-04-07,13850,14950,13700,14300,46647621,0.010600706713780994
66,2009-04-08,14300,14650,13800,14000,26324884,-0.02097902097902093
