,date,open,high,low,close,volume,change
0,2009-01-02,57113,60227,55848,60130,884010,0.0823118598916428
1,2009-01-05,60908,61491,59545,60324,1029222,0.0032263429236654147
2,2009-01-06,61102,61394,59156,59643,1172506,-0.011289039188382756
3,2009-01-07,60518,62951,59643,61005,1634730,0.02283587344700977
4,2009-01-08,59837,61783,59351,60616,884982,-0.00637652651422016
5,2009-01-09,61686,61783,58572,58962,836446,-0.02728652500989837
6,2009-01-12,57113,58086,55264,55654,803835,-0.056103931345612416
7,2009-01-13,55264,56918,53513,56724,726865,0.01922593164911768
8,2009-01-14,56529,57502,55264,57211,544387,0.00858543121077493
9,2009-01-15,54291,55848,53318,54778,621958,-0.042526786806732934
10,2009-01-16,55459,55751,52637,53708,1382062,-0.01953338931687909
11,2009-01-19,54097,54778,51859,52638,1659654,-0.019922544127504268
12,2009-01-20,53124,54875,52637,53514,1587547,0.01664196967969911
13,2009-01-21,51081,53221,51081,52541,735917,-0.01818215793997835
14,2009-01-22,54194,54291,52345,53319,731987,0.014807483679412313
15,2009-01-23,52637,52832,50983,51859,547763,-0.02738235900898367
16,2009-01-28,52832,55945,52540,54681,1114515,0.054416783971923836
17,2009-01-29,55264,56237,53805,55849,1235789,0.02136025310436906
18,2009-01-30,55167,57016,54778,56141,874763,0.00522838367741585
19,2009-02-02,55751,56918,55264,56724,621831,0.010384567428439071
20,2009-02-03,56918,57113,55945,56432,615348,-0.00514773288202519
21,2009-02-04,57502,58086,55848,56530,968413,0.0017366033456194252
22,2009-02-05,55945,56043,53610,54778,1254843,-0.03099239341942328
23,2009-02-06,55362,55945,54291,55849,1017108,0.019551644820913427
24,2009-02-09,57016,58670,56529,57114,1260192,0.02265036079428451
25,2009-02-10,58378,58475,56724,57892,779095,0.013621879048919759
26,2009-02-11,56335,58475,55848,57795,812108,-0.001675533752504621
27,2009-02-12,57502,57697,55556,55946,706657,-0.03199238688467865
28,2009-02-13,56432,56724,55362,56043,762152,0.0017338147499375012
29,2009-02-16,55556,56918,55264,55265,659874,-0.013882197598272805
30,2009-02-17,54972,55848,52345,52832,683757,-0.04402424681082062
31,2009-02-18,52637,53416,50983,53416,715327,0.01105390672319806
32,2009-02-19,53027,53708,51762,51859,535079,-0.0291485697169388
33,2009-02-20,50691,51859,48551,48649,561164,-0.061898609691663935
34,2009-02-23,48113,50594,47578,50595,520832,0.04000082221628398
35,2009-02-24,48745,49232,47675,47676,482439,-0.057693447969166874
36,2009-02-25,49135,49621,46313,46411,577798,-0.02653326621360852
37,2009-02-26,46508,48356,45729,47141,510037,0.015729029755876756
