,date,open,high,low,close,volume,change
0,2009-01-02,187500,192000,183000,188500,136224,0.0
1,2009-01-05,191500,192000,182000,186000,215221,-0.013262599469496041
2,2009-01-06,186000,191000,180000,182500,241086,-0.018817204301075245
3,2009-01-07,181500,183500,178000,182000,345625,-0.002739726027397249
4,2009-01-08,181000,184000,176500,177500,220403,-0.02472527472527475
5,2009-01-09,178500,179500,171500,171500,456439,-0.033802816901408406
6,2009-01-12,169000,171500,165500,165500,332549,-0.03498542274052474
7,2009-01-13,165500,172000,162000,171000,313034,0.0332326283987916
8,2009-01-14,171000,175500,167500,175000,235230,0.023391812865497075
9,2009-01-15,169500,169500,165500,167000,254934,-0.045714285714285714
10,2009-01-16,168500,175000,167000,173500,275790,0.038922155688622784
11,2009-01-19,175000,176000,166000,170000,441773,-0.020172910662824232
12,2009-01-20,166500,167500,163000,165500,153596,-0.02647058823529413
13,2009-01-21,157000,165500,157000,162500,153175,-0.01812688821752262
14,2009-01-22,166000,169500,162000,169500,171498,0.04307692307692301
15,2009-01-23,167500,168000,162500,162500,148796,-0.04129793510324487
16,2009-01-28,165500,170000,164500,170000,150444,0.04615384615384621
17,2009-01-29,171500,173000,165000,168000,271776,-0.0117647058823529
18,2009-01-30,167000,167500,164500,165000,249416,-0.017857142857142905
19,2009-02-02,165000,169500,163500,165500,174495,0.0030303030303029392
20,2009-02-03,168500,169000,165000,168000,247360,0.01510574018126887
21,2009-02-04,170000,170000,164500,168500,514261,0.0029761904761904656
22,2009-02-05,168500,168500,164500,165500,395963,-0.017804154302670572
23,2009-02-06,167000,169500,166500,169500,295737,0.024169184290030232
24,2009-02-09,173500,174000,169500,170000,246569,0.0029498525073745623
25,2009-02-10,172500,172500,166000,166000,236592,-0.02352941176470591
26,2009-02-11,163500,165000,161000,164500,329244,-0.009036144578313254
27,2009-02-12,164500,164500,157500,158000,473679,-0.03951367781155013
28,2009-02-13,159000,164500,158000,163500,219482,0.034810126582278444
29,2009-02-16,163500,165000,158500,159500,267508,-0.024464831804281384
30,2009-02-17,157000,159000,153000,153000,222645,-0.040752351097178674
31,2009-02-18,151000,151500,147000,150500,333437,-0.016339869281045805
32,2009-02-19,149000,154000,145000,152500,261464,0.013289036544850584
33,2009-02-20,149000,153000,146000,149000,230023,-0.022950819672131195
34,2009-02-23,149000,157000,146000,156000,248034,0.046979865771812124
35,2009-02-24,154500,155500,151500,153500,204883,-0.01602564102564108
36,2009-02-25,158000,158500,154500,157000,163964,0.0228013029315961
37,2009-02-26,158500,163000,156500,157000,278292,0.0
38,2009-02-27,161500,162000,155000,157000,193723,0.0
