,date,open,high,low,close,volume,change
0,2009-01-02,37435,37718,35502,35550,183489,-0.05750417561441179
1,2009-01-05,35738,36021,34984,35408,116873,-0.003994374120956379
2,2009-01-06,35738,36492,34936,35220,144936,-0.005309534568459061
3,2009-01-07,35408,36775,34984,35220,214337,0.0
4,2009-01-08,34889,35596,33616,33947,224079,-0.03614423622941509
5,2009-01-09,34323,34559,33145,33475,164482,-0.013904026865407816
6,2009-01-12,33333,33333,32343,32344,103148,-0.03378640776699027
7,2009-01-13,32438,32862,31636,32532,146810,0.00581251545881778
8,2009-01-14,32720,33475,32155,33287,139905,0.02320791835730973
9,2009-01-15,32060,32296,30646,30646,140724,-0.07934028299336082
10,2009-01-16,30740,31070,29797,30976,149769,0.010768126346015759
11,2009-01-19,31353,31683,30410,30646,151675,-0.010653409090909059
12,2009-01-20,30457,30504,29373,29373,123728,-0.04153886314690336
13,2009-01-21,28288,28901,27723,28478,181084,-0.030470159670445637
14,2009-01-22,29326,31447,28477,31118,221176,0.09270313926539786
15,2009-01-23,30976,31542,29373,29373,150332,-0.056076868693360704
16,2009-01-28,29939,30834,29939,30458,102565,0.03693868518707655
17,2009-01-29,30787,31306,30316,31071,116029,0.02012607525116561
18,2009-01-30,30693,31825,30363,31589,111665,0.01667149431946191
19,2009-02-02,30834,31400,30127,30646,125315,-0.029852163727879914
20,2009-02-03,30599,30976,29797,30316,116922,-0.010768126346015759
21,2009-02-04,30693,31400,30646,31259,129588,0.031105686766064174
22,2009-02-05,31165,31730,29986,29986,154099,-0.040724271409833916
23,2009-02-06,30457,30929,30033,30646,141413,0.02201027146001477
24,2009-02-09,31306,32909,31212,32674,445443,0.06617503099915156
25,2009-02-10,33286,34465,32909,34371,475346,0.051937320193425895
26,2009-02-11,33428,34984,33050,34371,322664,0.0
27,2009-02-12,34795,35361,33993,34041,311943,-0.009601117220912949
28,2009-02-13,34182,35974,33333,35786,378004,0.051261713815692785
29,2009-02-16,35502,36115,34748,34890,224212,-0.025037724249706628
30,2009-02-17,34465,35219,33003,34135,246308,-0.021639438234451136
31,2009-02-18,33663,34229,33003,33287,204100,-0.02484253698549876
32,2009-02-19,33098,33475,32202,32957,217220,-0.009913780154414686
33,2009-02-20,32438,32909,30174,30646,193450,-0.07012167369602818
34,2009-02-23,30363,32720,30174,32061,163306,0.046172420544279946
35,2009-02-24,31306,31872,30929,31872,139478,-0.00589501263216996
36,2009-02-25,32815,32909,30882,31684,124793,-0.005898594377510058
37,2009-02-26,31400,32485,30269,30505,100271,-0.03721121070571898
38,2009-02-27,30504,31400,29892,31165,104402,0.02163579741026056
39,2009-03-02,31495,31495,29090,29845,100730,-0.04235520616075728
40,2009-03-03,28571,29750,28571,29421,94029,-0.014206734796448297
41,2009-03-04,29326,31023,28807,31024,111186,0.0544848917439924
42,2009-03-05,31259,31919,29986,31401,125958,0.012151882413615313
43,2009-03-06,30363,31117,30174,30505,107668,-0.02853412311709813
44,2009-03-09,30882,31306,30080,31024,101650,0.01701360432715959
45,2009-03-10,30882,32579,30552,32061,199742,0.033425734914904526
46,2009-03-11,33192,35266,33050,35031,291432,0.09263591279124173
47,2009-03-12,34889,35644,34559,35267,274569,0.006736890182980737
48,2009-03-13,35266,36539,35266,36304,184168,0.029404258938951374
49,2009-03-16,36021,37105,35832,36304,190876,0.0
50,2009-03-17,36398,37011,35549,36587,189006,0.007795284266196578
51,2009-03-18,36869,36869,34606,36116,165977,-0.012873424987017268
52,2009-03-19,35879,36115,34936,35220,104546,-0.024808948942297016
53,2009-03-20,34889,36068,34559,35361,123985,0.0040034071550254504
54,2009-03-23,35596,36257,35361,36163,164580,0.022680354062385225
55,2009-03-24,36869,37105,35455,36210,181554,0.001299670934380437
56,2009-03-25,36539,37530,36351,36870,265581,0.01822700911350461
57,2009-03-26,37058,37105,35926,36446,258838,-0.011499864388391678
58,2009-03-27,36822,37058,35455,35927,324384,-0.014240245843165187
59,2009-03-30,35691,36351,34606,34607,156878,-0.036741169593898726
60,2009-03-31,34795,36304,34371,35927,204699,0.03814257231195994
61,2009-04-01,36209,38755,35549,38473,441616,0.07086592256520174
62,2009-04-02,39085,42999,38661,41113,576560,0.06861955137369069
63,2009-04-03,41961,42056,40217,41679,357614,0.013766935032714755
64,2009-04-06,41490,42433,41019,41773,160510,0.002255332421603251
65,2009-04-07,41867,42103,40547,41443,146604,-0.007899839609317059
66,2009-04-08,40924,44130,40547,42811,250537,0.033009193349902384
67,2009-04-09,42810,44319,42433,43376,269231,0.013197542687626962
68,2009-04-10,44319,44743,41914,42999,197296,-0.008691442272224292
69,2009-04-13,42999,42999,41679,41679,137260,-0.03069838833461247
70,2009-04-14,41773,42669,40547,42245,258958,0.013579980325823636
71,2009-04-15,41301,41914,40594,40830,135250,-0.03349508817611546
72,2009-04-16,42244,46488,42150,44979,454178,0.101616458486407
73,2009-04-17,45875,46959,44885,45592,331321,0.01362858222726171
74,2009-04-20,46016,46158,44413,45074,150722,-0.011361642393402316
75,2009-04-21,44225,46582,43706,46205,223223,0.02509207081687892
76,2009-04-22,46205,47431,45215,45828,231718,-0.008159290120116847
77,2009-04-23,46016,46299,44130,44367,232204,-0.03188007331762244
78,2009-04-24,44507,44649,42433,42433,278680,-0.04359095724299589
79,2009-04-27,42904,43706,42433,42433,198500,0.0
80,2009-04-28,42999,43282,40924,41255,124096,-0.027761412108500468
81,2009-04-29,41443,43989,41254,43376,162100,0.05141195006665855
82,2009-04-30,44083,46488,44036,46488,309870,0.0717447436370342
83,2009-05-04,47148,47336,45922,46535,212261,0.001011013594906185
84,2009-05-06,46676,47808,46299,46724,176957,0.004061459116793786
85,2009-05-07,47148,50354,47053,50260,314805,0.07567845218731284
86,2009-05-08,49600,50542,48562,49977,203791,-0.005630720254675703
87,2009-05-11,49882,53560,49222,51863,348121,0.03773735918522525
88,2009-05-12,51485,52994,50165,51297,251941,-0.010913367911613236
89,2009-05-13,51297,51580,49505,50637,147875,-0.012866249488274195
90,2009-05-14,49505,50731,49411,49506,98913,-0.02233544641270213
91,2009-05-15,49505,50637,49128,50637,96573,0.022845715670827715
92,2009-05-18,50260,50260,47242,48657,161659,-0.039101842526215964
93,2009-05-19,49694,50448,48279,49034,256084,0.007748114351480817
94,2009-05-20,48939,49505,47101,48374,541500,-0.01346004812986912
95,2009-05-21,48468,48939,47336,48468,169937,0.0019431926241368913
96,2009-05-22,48185,51768,47902,50920,331716,0.05059008005281829
97,2009-05-25,50920,51297,46676,50637,333716,-0.005557737627651216
98,2009-05-26,50542,50542,46582,46865,460456,-0.07449098485297312
99,2009-05-27,47525,47619,44885,45451,311520,-0.030171769977595183
100,2009-05-28,44366,47101,43423,46677,225812,0.026974103980110357
101,2009-05-29,46205,46205,44413,45074,186193,-0.03434239561240016
102,2009-06-01,44790,45592,44413,45357,94556,0.006278564138971543
103,2009-06-02,46488,46959,45969,46252,197234,0.019732345613686864
104,2009-06-03,46676,47101,45262,45781,147088,-0.0101833434229871
105,2009-06-04,45450,45686,44177,44225,165056,-0.03398789891002818
106,2009-06-05,44413,44696,42339,42669,227164,-0.03518371961560207
107,2009-06-08,42527,43800,42480,43424,243517,0.017694344840516463
108,2009-06-09,43847,44177,41726,42622,213154,-0.018469049373618263
109,2009-06-10,42716,44507,42292,44508,172023,0.04424944864154656
110,2009-06-11,44507,44743,42999,43094,343667,-0.03176956951559273
111,2009-06-12,43470,43800,41773,42245,418608,-0.019701118485171976
112,2009-06-15,42386,42716,41679,42151,155326,-0.0022251153982719707
113,2009-06-16,41961,42244,41490,41490,164543,-0.01568171573628141
114,2009-06-17,41207,42292,40830,42245,164254,0.018197155941190646
115,2009-06-18,42339,42339,39793,39887,482668,-0.05581725648005687
116,2009-06-19,40217,40264,39274,39746,208873,-0.0035349863364003697
117,2009-06-22,39321,39746,38755,39086,283742,-0.016605444573038808
118,2009-06-23,38520,39321,37812,38709,235892,-0.009645397328966855
119,2009-06-24,38897,40123,38708,39887,179360,0.030432199230153282
120,2009-06-25,40217,41820,39887,41113,272194,0.03073683154912632
121,2009-06-26,41396,41537,40406,41349,149919,0.005740276798092968
122,2009-06-29,41113,41537,40264,40359,97829,-0.023942537909018347
123,2009-06-30,40358,41254,39981,40925,158465,0.014024133402710692
124,2009-07-01,41113,41160,40358,40925,124455,0.0
125,2009-07-02,40736,40924,39368,39605,241110,-0.032254123396456946
126,2009-07-03,38944,39274,38614,38756,371663,-0.021436687286958692
127,2009-07-06,38991,39887,38991,39180,165147,0.010940241510991822
128,2009-07-07,39557,40406,39227,40406,158120,0.03129147524247067
129,2009-07-08,39981,40217,39415,40076,121107,-0.00816710389546105
130,2009-07-09,40170,42150,40076,42056,425566,0.04940612835612335
131,2009-07-10,42244,43093,41961,42811,368451,0.017952254137340695
132,2009-07-13,42716,42716,40406,41019,242506,-0.04185840087827897
133,2009-07-14,41961,41961,40594,40925,194150,-0.002291620956142326
134,2009-07-15,41349,42150,40924,41160,177443,0.005742211362248062
135,2009-07-16,41961,41961,40688,41019,169967,-0.003425655976676434
136,2009-07-17,41537,42433,40783,40972,202218,-0.001145810478071163
137,2009-07-20,41301,42857,41207,42528,312996,0.03797715513033295
138,2009-07-21,43234,43800,42244,42999,373393,0.011075056433408559
139,2009-07-22,43187,43565,42574,42905,216822,-0.0021860973511012016
140,2009-07-23,43093,44272,42999,43895,240340,0.02307423377228757
141,2009-07-24,44413,44413,43187,43612,261975,-0.006447203553935577
142,2009-07-27,43706,43847,43187,43329,198190,-0.0064890397138401825
143,2009-07-28,43376,43517,42763,42952,145977,-0.008700870087008705
144,2009-07-29,42952,44932,42480,44744,416129,0.0417209908735332
145,2009-07-30,44555,46063,44366,46064,390396,0.0295011621669945
146,2009-07-31,46488,47525,45639,47525,478336,0.0317167419242792
147,2009-08-03,47525,48374,46865,48374,326122,0.017864281956864847
148,2009-08-04,48468,48562,46016,47054,518321,-0.027287385785752627
149,2009-08-05,46205,46676,45545,45922,340968,-0.024057465890253704
150,2009-08-06,45922,46818,45309,46017,208348,0.0020687252297373337
151,2009-08-07,46016,47336,45450,47054,217767,0.022535150053241138
152,2009-08-10,47619,47902,47006,47525,211922,0.010009776002040116
153,2009-08-11,47148,47619,46912,47243,142504,-0.005933719095213008
154,2009-08-12,47242,48185,46205,47525,248709,0.005969138285036868
155,2009-08-13,47902,49694,47431,48563,349395,0.021841136244082016
156,2009-08-14,49128,49222,47714,48563,224902,0.0
157,2009-08-17,48751,48939,46393,46677,164323,-0.038836150979140505
158,2009-08-18,45828,47101,45828,46960,188613,0.006062943205433102
159,2009-08-19,47101,47431,45875,46205,168941,-0.016077512776831338
160,2009-08-20,46299,46959,45450,46960,192587,0.01634022291959747
161,2009-08-21,47148,48657,46959,48091,294636,0.024084327086882462
162,2009-08-24,48091,48845,47053,47054,309831,-0.021563286269780213
163,2009-08-25,47148,47525,46535,46583,187869,-0.010009776002040229
