,date,open,high,low,close,volume,change
0,2009-01-02,10326,10575,9777,10127,10253,-0.03331424207712863
1,2009-01-05,9976,10026,9777,9977,9970,-0.014811889009578303
2,2009-01-06,10326,10674,9976,10177,17759,0.020046106043901
3,2009-01-07,10076,10126,9887,9937,8025,-0.023582588189053788
4,2009-01-08,10176,10176,9537,9538,10911,-0.040152963671128084
5,2009-01-09,9577,9797,9478,9638,7345,0.010484378276368169
6,2009-01-12,9777,9777,9478,9478,4895,-0.01660095455488686
7,2009-01-13,9478,9537,9148,9229,12896,-0.02627136526693397
8,2009-01-14,9308,9318,9079,9229,10585,0.0
9,2009-01-15,9079,9099,8679,8680,11894,-0.05948640156029905
10,2009-01-16,8620,8879,8600,8750,10203,0.008064516129032251
11,2009-01-19,8799,9059,8799,8850,5153,0.011428571428571344
12,2009-01-20,8799,8979,8580,8770,5469,-0.009039548022598877
13,2009-01-21,8679,8699,8280,8530,7677,-0.027366020524515425
14,2009-01-22,8590,8819,8480,8560,8769,0.003516998827667095
15,2009-01-23,8570,8719,8440,8480,7233,-0.009345794392523366
16,2009-01-28,8679,9029,8580,8929,13534,0.05294811320754711
17,2009-01-29,8839,9178,8819,9159,6419,0.025758763579348143
18,2009-01-30,9158,9378,8979,9319,10000,0.017469156021399757
19,2009-02-02,9178,9258,8969,8999,10214,-0.03433844833136601
20,2009-02-03,9009,9198,8779,8870,7546,-0.014334926102900325
21,2009-02-04,8889,9148,8839,8870,8323,0.0
22,2009-02-05,8789,8989,8779,8780,5165,-0.01014656144306647
23,2009-02-06,8809,8999,8739,8790,7573,0.0011389521640090552
24,2009-02-09,8809,9099,8779,9099,10210,0.03515358361774745
25,2009-02-10,9148,9268,8919,8919,8607,-0.01978239366963408
26,2009-02-11,8879,8879,8630,8680,10833,-0.026796726090368872
27,2009-02-12,8769,8789,8550,8790,10223,0.012672811059907918
28,2009-02-13,8779,9029,8620,8820,7420,0.0034129692832765013
29,2009-02-16,8709,9168,8709,8760,8635,-0.006802721088435382
30,2009-02-17,8670,8729,8490,8530,7591,-0.026255707762557038
31,2009-02-18,8550,8550,8121,8311,14558,-0.025674091441969527
32,2009-02-19,8191,8330,8031,8201,12262,-0.01323547106244738
33,2009-02-20,8211,8211,7751,8131,12927,-0.008535544445799292
34,2009-02-23,8181,8221,7881,8101,5429,-0.0036895830771123132
35,2009-02-24,8041,8041,7732,7772,8629,-0.04061227009011237
36,2009-02-25,7831,8011,7721,7882,5774,0.014153371075656285
37,2009-02-26,8121,8250,7792,7822,5995,-0.007612281146917033
38,2009-02-27,7981,7981,7601,7602,13056,-0.02812579902838153
39,2009-03-02,7502,7512,7143,7163,10872,-0.05774796106287816
40,2009-03-03,7033,7263,6884,7114,7746,-0.006840709200055861
41,2009-03-04,7123,7322,6934,7323,11834,0.02937868990722525
42,2009-03-05,7213,7392,7173,7323,7012,0.0
43,2009-03-06,7263,7323,7143,7213,7014,-0.015021166188720512
44,2009-03-09,7372,7502,7223,7483,7132,0.03743241369749062
45,2009-03-10,7432,7732,7422,7692,6385,0.02792997460911395
46,2009-03-11,7712,8061,7712,8031,8572,0.04407176287051473
47,2009-03-12,8011,8181,7781,8091,16069,0.0074710496824803565
48,2009-03-13,8051,8240,8051,8171,6273,0.009887529353602707
49,2009-03-16,8031,8360,8031,8361,5797,0.023252967812997127
50,2009-03-17,8530,8580,8350,8351,6886,-0.0011960291831120131
51,2009-03-18,8480,8540,8290,8470,6165,0.014249790444258226
52,2009-03-19,8530,8570,7921,8281,18181,-0.02231404958677685
53,2009-03-20,8280,8580,8280,8580,8524,0.03610675039246458
54,2009-03-23,8670,8779,8520,8550,6189,-0.003496503496503545
55,2009-03-24,8580,8660,8121,8301,19852,-0.02912280701754388
56,2009-03-25,8350,8400,8091,8161,17840,-0.016865437899048263
57,2009-03-26,8181,8480,8080,8480,8860,0.039088347016297036
58,2009-03-27,8500,8829,8380,8820,16095,0.04009433962264142
59,2009-03-30,8859,8919,8510,8780,9154,-0.004535147392290218
60,2009-03-31,8650,8779,8530,8780,12283,0.0
61,2009-04-01,8729,8869,8490,8800,13579,0.002277904328018332
62,2009-04-02,8879,9408,8809,9408,27608,0.06909090909090909
63,2009-04-03,9128,9767,9128,9688,23583,0.029761904761904656
64,2009-04-06,9508,9907,9508,9698,9504,0.0010322047894302244
65,2009-04-07,9827,10076,9577,9578,15489,-0.012373685295937298
66,2009-04-08,9478,9767,9458,9568,10529,-0.0010440593025683453
67,2009-04-09,9637,9727,9498,9688,16215,0.012541806020066826
68,2009-04-10,9577,9767,9518,9618,11115,-0.00722543352601157
69,2009-04-13,9617,10176,9537,9877,10553,0.02692867540029109
70,2009-04-14,9867,9976,9677,9678,21208,-0.020147818163409936
71,2009-04-15,9537,9927,9488,9927,10256,0.025728456292622548
72,2009-04-16,10176,10276,9737,9738,12849,-0.01903898458748865
73,2009-04-17,9777,9877,9577,9668,11763,-0.007188334360238247
74,2009-04-20,9537,9827,9518,9688,9087,0.002068680182043759
