,date,open,high,low,close,volume,change
0,2009-01-02,1432,1447,1332,1357,522299,-0.06284530386740328
1,2009-01-05,1380,1391,1326,1344,251232,-0.009579955784819405
2,2009-01-06,1365,1512,1343,1480,415250,0.10119047619047628
3,2009-01-07,1485,1541,1445,1517,506540,0.024999999999999908
4,2009-01-08,1514,1514,1456,1471,254790,-0.03032300593276205
5,2009-01-09,1482,1520,1464,1476,238165,0.003399048266485405
6,2009-01-12,1473,1473,1407,1409,157535,-0.04539295392953935
7,2009-01-13,1370,1458,1333,1424,256564,0.010645848119233524
8,2009-01-14,1385,1469,1385,1437,146972,0.009129213483145993
9,2009-01-15,1363,1378,1259,1259,293284,-0.12386917188587332
10,2009-01-16,1299,1317,1278,1287,153133,0.02223987291501195
11,2009-01-19,1318,1343,1299,1303,134067,0.01243201243201253
12,2009-01-20,1276,1287,1228,1237,191750,-0.050652340752110565
13,2009-01-21,1190,1268,1144,1237,123534,0.0
14,2009-01-22,1237,1339,1226,1240,152913,0.002425222312045339
15,2009-01-23,1214,1252,1180,1196,102187,-0.03548387096774197
16,2009-01-28,1222,1328,1211,1326,143237,0.10869565217391307
17,2009-01-29,1324,1361,1287,1333,123963,0.005279034690799378
18,2009-01-30,1304,1319,1266,1313,69408,-0.015003750937734428
19,2009-02-02,1272,1312,1252,1274,171940,-0.029702970297029733
20,2009-02-03,1274,1287,1235,1253,247346,-0.016483516483516536
21,2009-02-04,1266,1322,1263,1322,173469,0.05506783719074226
22,2009-02-05,1299,1445,1296,1335,523594,0.009833585476550777
23,2009-02-06,1369,1388,1325,1372,219433,0.027715355805243425
24,2009-02-09,1379,1403,1341,1378,167097,0.004373177842565522
25,2009-02-10,1376,1412,1336,1368,190060,-0.00725689404934693
26,2009-02-11,1315,1352,1299,1331,153256,-0.027046783625730986
27,2009-02-12,1330,1330,1268,1331,307190,0.0
28,2009-02-13,1319,1354,1279,1339,191214,0.006010518407212562
29,2009-02-16,1322,1346,1306,1315,124040,-0.017923823749066425
30,2009-02-17,1308,1310,1228,1231,228970,-0.06387832699619768
31,2009-02-18,1226,1226,1157,1172,229251,-0.047928513403736835
32,2009-02-19,1168,1292,1159,1214,456091,0.035836177474402715
33,2009-02-20,1212,1249,1137,1207,276415,-0.005766062602965415
34,2009-02-23,1203,1212,1156,1205,189321,-0.001657000828500399
35,2009-02-24,1180,1180,1148,1181,130630,-0.01991701244813282
36,2009-02-25,1212,1223,1150,1183,168086,0.0016934801016088574
37,2009-02-26,1188,1252,1005,1147,301201,-0.030431107354184306
38,2009-02-27,1159,1185,1146,1149,110822,0.0017436791630340842
39,2009-03-02,1115,1117,1061,1064,176657,-0.07397737162750218
40,2009-03-03,1035,1067,1011,1051,125962,-0.012218045112781906
41,2009-03-04,1020,1155,1018,1155,151763,0.09895337773549008
42,2009-03-05,1148,1161,1066,1066,176316,-0.07705627705627703
43,2009-03-06,1046,1104,1044,1074,159001,0.007504690431519689
44,2009-03-09,1111,1119,1063,1077,128491,0.0027932960893855
