,date,open,high,low,close,volume,change
0,2009-01-02,26277,26449,25590,26417,733757,0.010519470583735036
1,2009-01-05,26690,27241,26518,26932,825223,0.019495022144830898
2,2009-01-06,27137,27859,26724,27035,1074938,0.003824446754789879
3,2009-01-07,27309,27309,26483,27035,1431865,0.0
4,2009-01-08,26793,27412,26346,26417,909008,-0.022859256519326854
5,2009-01-09,26690,27034,26002,26142,663816,-0.010409963281220458
6,2009-01-12,25520,25830,25108,25110,637935,-0.039476704154234536
7,2009-01-13,25176,25658,24592,25384,645274,0.01091198725607323
8,2009-01-14,25314,26277,24935,26004,647229,0.02442483454144351
9,2009-01-15,25142,25314,24075,24078,565721,-0.07406552838024916
10,2009-01-16,24317,24969,24075,24800,541569,0.029985879225849388
11,2009-01-19,25039,25555,24867,25179,408884,0.015282258064516219
12,2009-01-20,24626,24695,24213,24627,393640,-0.02192303109734306
13,2009-01-21,23560,24420,23354,23631,406589,-0.04044341576318677
14,2009-01-22,24145,24282,22734,22909,932373,-0.03055308704667603
15,2009-01-23,22906,22906,22287,22358,529769,-0.02405168274477276
16,2009-01-28,22941,24420,22803,24421,684245,0.09227122282851784
17,2009-01-29,24420,24763,23800,24559,700381,0.005650874247573823
18,2009-01-30,23903,24523,23869,24353,329893,-0.008387963679302946
19,2009-02-02,23800,23938,23078,23252,782956,-0.0452100357245514
20,2009-02-03,23250,23595,22837,23286,830479,0.0014622398073282914
21,2009-02-04,23766,25279,23628,25110,1599887,0.07833032723524869
22,2009-02-05,24832,25555,24075,24250,1004474,-0.03424930306650742
23,2009-02-06,24695,25727,24248,25659,1046866,0.058103092783505124
24,2009-02-09,26002,26483,25520,25625,684159,-0.0013250711251412415
25,2009-02-10,25830,26277,25245,25659,517130,0.0013268292682926395
26,2009-02-11,25004,26277,24626,26142,606132,0.018823804513036446
27,2009-02-12,26105,26620,25795,26485,935975,0.013120648764440412
28,2009-02-13,26518,26656,26140,26555,345879,0.002643005474797011
29,2009-02-16,26071,26380,25108,25454,845187,-0.041461118433440025
30,2009-02-17,25039,25039,23285,23596,923884,-0.072994421309028
31,2009-02-18,23250,23250,22424,22976,846976,-0.02627563993897275
32,2009-02-19,23009,23938,22597,23527,604534,0.02398154596100288
33,2009-02-20,22906,23354,22080,22667,430412,-0.03655374675904277
34,2009-02-23,22184,24041,22149,23734,528478,0.04707283716415933
35,2009-02-24,22528,23112,22459,22976,352716,-0.03193730513187831
36,2009-02-25,23595,23628,22218,22289,440184,-0.0299007660167131
37,2009-02-26,22322,22803,20911,21808,858091,-0.02158015164430882
38,2009-02-27,21049,21565,20808,21119,737103,-0.03159391049156268
39,2009-03-02,20808,20808,19982,20398,499583,-0.034139874047066636
40,2009-03-03,19639,20980,19604,20775,553129,0.018482204137660663
41,2009-03-04,20740,21461,20120,21429,544590,0.03148014440433222
42,2009-03-05,21461,21669,20911,20913,418584,-0.02407951840963185
43,2009-03-06,20464,21289,20292,21051,327643,0.006598766317601479
44,2009-03-09,21255,21772,20946,21326,342728,0.013063512422212709
45,2009-03-10,20980,23354,20980,23286,987534,0.09190659289130633
46,2009-03-11,23938,24145,23319,23700,816087,0.017778922958000543
47,2009-03-12,23869,23903,22906,23492,735821,-0.008776371308016895
48,2009-03-13,23663,24386,23492,23492,515106,0.0
49,2009-03-16,23595,24557,23560,24043,581885,0.023454793121062467
50,2009-03-17,24386,24729,23903,24319,832656,0.011479432683109358
51,2009-03-18,24626,24626,23181,23389,1403186,-0.03824170401743488
52,2009-03-19,23766,24145,23181,23183,1044370,-0.008807559108982899
53,2009-03-20,23181,23628,22700,22805,856818,-0.016305051115041214
54,2009-03-23,22803,23216,22803,23149,996446,0.0150844113133084
55,2009-03-24,23835,24489,23595,24387,1410157,0.053479631949544304
56,2009-03-25,24317,25211,24282,25041,1058661,0.02681756673637592
57,2009-03-26,25348,25590,24626,25282,970324,0.0096242162852922
58,2009-03-27,25693,26002,24763,24765,875158,-0.02044933154022621
59,2009-03-30,24557,24901,23388,23389,572752,-0.05556228548354536
60,2009-03-31,23732,24282,23560,23768,426301,0.016204198554876204
61,2009-04-01,24179,25520,24145,24972,924637,0.05065634466509583
62,2009-04-02,25590,27034,25520,26760,1430123,0.07160019221528112
63,2009-04-03,27171,27859,26277,27138,1247094,0.014125560538116531
64,2009-04-06,26896,27859,26827,27207,754173,0.0025425602476232267
65,2009-04-07,27446,27515,26552,27105,506229,-0.003749035174771209
66,2009-04-08,26483,27309,26483,26760,492649,-0.01272827891532924
67,2009-04-09,27034,27756,26587,27586,691033,0.030866965620328868
68,2009-04-10,28066,28582,27550,27792,821498,0.007467556006670152
69,2009-04-13,27894,28135,27103,27276,806675,-0.01856649395509502
70,2009-04-14,27378,27721,26930,27276,542934,0.0
71,2009-04-15,26724,27103,26071,26555,619200,-0.02643349464730904
72,2009-04-16,27034,27756,26346,26485,944511,-0.002636038410845365
73,2009-04-17,27171,28032,26724,27723,1884392,0.04674343968283945
74,2009-04-20,28066,28066,27034,27518,583942,-0.00739458211593258
75,2009-04-21,26793,27653,26483,27654,575148,0.004942219638055079
76,2009-04-22,28135,28891,27928,28445,1516114,0.02860345700441158
77,2009-04-23,29029,29579,28547,28859,900746,0.014554403234311897
78,2009-04-24,28857,28994,27481,28068,823192,-0.02740912713538235
79,2009-04-27,27894,27928,25933,26004,2075379,-0.07353569901667377
80,2009-04-28,25418,26002,24969,25384,2215611,-0.023842485771419786
81,2009-04-29,25520,26002,25108,26004,896614,0.02442483454144351
82,2009-04-30,26209,27171,25795,26898,1700585,0.034379326257498954
83,2009-05-04,27412,28169,26965,27965,1073420,0.03966837683099112
84,2009-05-06,28444,29236,28307,28790,1577376,0.0295011621669945
85,2009-05-07,29236,29236,28341,29031,1195950,0.00837096213963173
86,2009-05-08,29029,29716,28650,29512,1069668,0.01656849574592667
87,2009-05-11,29648,29820,28685,29133,1003172,-0.012842233667660574
88,2009-05-12,28478,28685,27894,28377,754007,-0.025949953660797002
89,2009-05-13,28135,28650,27721,28068,653027,-0.01088910032773016
90,2009-05-14,27721,27756,26862,27138,822000,-0.03313381787088498
91,2009-05-15,27412,28513,27412,27999,917989,0.03172673004642945
92,2009-05-18,27928,28307,27206,27930,558014,-0.002464373727633085
93,2009-05-19,28547,28547,27687,28033,964674,0.0036877909058359295
94,2009-05-20,28066,29063,28066,28549,963730,0.018406877608532882
95,2009-05-21,28410,28444,27206,27827,680794,-0.025289852534239432
96,2009-05-22,27274,27997,26758,27035,842904,-0.028461566104862168
97,2009-05-25,26552,27034,24110,26348,985957,-0.02541150360643607
98,2009-05-26,26483,26483,25245,25316,1061769,-0.039168058296644936
99,2009-05-27,25658,25899,24867,25248,803040,-0.002686048348870318
100,2009-05-28,25039,25795,24969,25797,557869,0.021744296577946853
101,2009-05-29,25658,26002,25348,25762,481044,-0.0013567469085552508
