,date,open,high,low,close,volume,change
0,2009-01-02,40809,42793,39864,42793,541328,0.06088702679921654
1,2009-01-05,43926,43974,42840,43407,573548,0.0143481410511066
2,2009-01-06,43926,45438,43407,44966,786394,0.03591586610454533
3,2009-01-07,44777,46571,43454,46005,980899,0.02310634701774683
4,2009-01-08,45910,45910,43879,44635,757914,-0.029779371807412188
5,2009-01-09,44966,45249,43171,43738,512598,-0.020096336955304103
6,2009-01-12,43737,44021,42084,42652,501395,-0.024829667565960944
7,2009-01-13,42746,43218,41612,42982,728477,0.007737034605645787
8,2009-01-14,43029,43454,42037,43407,668545,0.009887860034432984
9,2009-01-15,41612,41754,39581,39723,750900,-0.08487110373902829
10,2009-01-16,39959,40856,39061,40432,774485,0.017848601565843447
11,2009-01-19,40715,43123,40195,42604,911976,0.053719825880490735
12,2009-01-20,41848,41943,39723,41376,604292,-0.02882358463993995
13,2009-01-21,39486,40951,39298,40243,627632,-0.027383023975251386
14,2009-01-22,40998,41092,37503,37881,1418528,-0.05869343736798949
15,2009-01-23,37125,37266,34999,35850,1404621,-0.05361526886829804
16,2009-01-28,36369,37550,36322,37550,1359645,0.04741980474198049
17,2009-01-29,37739,38589,36794,37598,1286260,0.0012782956058587926
18,2009-01-30,36605,36936,36180,36842,910826,-0.020107452524070424
19,2009-02-02,36369,38920,36086,38353,1522588,0.041012974322783835
20,2009-02-03,38353,40242,37881,39676,1504127,0.034495345866033984
21,2009-02-04,40384,42179,40195,41849,1358196,0.05476862586954323
22,2009-02-05,41281,42226,40337,40337,659447,-0.03612989557695523
23,2009-02-06,41376,42604,40998,42604,830497,0.05620150234276222
24,2009-02-09,42887,44399,42368,42463,762602,-0.0033095483992113817
25,2009-02-10,43171,43454,40903,41376,798276,-0.025598756564538583
26,2009-02-11,39770,41895,39675,41376,715354,0.0
27,2009-02-12,41092,41848,40337,40857,649143,-0.012543503480278441
28,2009-02-13,40998,42934,40242,42510,726032,0.04045818342022178
29,2009-02-16,41848,44021,41754,42510,700488,0.0
30,2009-02-17,41706,41895,38589,39487,1377435,-0.07111267936956013
31,2009-02-18,38778,39486,37833,38731,943419,-0.019145541570643517
32,2009-02-19,38731,40100,37833,39156,1062286,0.010973122305130369
33,2009-02-20,38920,39628,37172,37692,648963,-0.037388905914802366
34,2009-02-23,36889,39392,36889,39015,537527,0.035100286532951275
35,2009-02-24,37644,38069,37078,37173,644124,-0.04721261053440984
36,2009-02-25,38636,39014,37644,38448,857661,0.034299088047776705
37,2009-02-26,38778,40006,37219,37598,842924,-0.02210778193924257
38,2009-02-27,37692,38872,37361,38542,597066,0.025107718495664733
39,2009-03-02,37455,37644,35424,35897,797861,-0.06862643350111564
40,2009-03-03,34669,36322,34527,35992,705186,0.002646460707022902
41,2009-03-04,35850,37739,35094,37739,812358,0.04853856412536128
42,2009-03-05,37881,39061,37078,37078,928205,-0.017515037494369223
43,2009-03-06,36275,38306,35991,38306,737414,0.033119369976805764
44,2009-03-09,38825,40620,37786,39865,754956,0.04069858507805568
45,2009-03-10,39203,40809,39156,40007,845552,0.0035620218236547267
46,2009-03-11,41187,41376,39959,40432,1105167,0.010623140950333676
47,2009-03-12,39770,40903,39250,40148,827737,-0.007024139295607411
48,2009-03-13,40148,41565,40148,40384,957502,0.0058782504732490795
49,2009-03-16,40903,42179,39486,40621,1327519,0.005868660855784524
50,2009-03-17,41470,42273,40620,42274,1359837,0.04069323748799891
51,2009-03-18,43454,44635,42557,43691,1911693,0.0335194209206604
52,2009-03-19,43454,44729,41706,41990,1738960,-0.038932503261541296
53,2009-03-20,42132,43312,42132,43313,454861,0.03150750178613948
54,2009-03-23,43643,45202,43501,44777,781022,0.033800475607785214
55,2009-03-24,45343,46288,44588,46147,938641,0.0305960649440562
56,2009-03-25,46666,48272,46477,47989,1270692,0.039915920861594456
57,2009-03-26,47516,48461,46949,47989,870551,0.0
58,2009-03-27,48083,49500,47327,48178,815350,0.003938402550584419
59,2009-03-30,48650,49122,45249,45391,687304,-0.057847980405994474
60,2009-03-31,45580,48177,45580,46477,888417,0.023925447775990927
61,2009-04-01,47516,49783,46241,49595,1145630,0.06708694623146938
62,2009-04-02,50539,52806,49972,51484,1090717,0.03808851698759952
63,2009-04-03,51578,51862,50067,51106,728927,-0.0073420868619377124
64,2009-04-06,50445,52239,50445,51484,650786,0.007396391813094372
65,2009-04-07,51389,52239,50728,51390,526437,-0.001825809960376068
66,2009-04-08,51011,51295,47516,47611,1397927,-0.07353570733605763
67,2009-04-09,48366,49878,47894,49311,1359110,0.03570603431980013
68,2009-04-10,50256,50633,49311,50067,821272,0.015331264829348434
69,2009-04-13,50067,50728,48650,49123,1017054,-0.01885473465556153
70,2009-04-14,49783,54979,49311,52429,2886395,0.06730044989108963
71,2009-04-15,52901,55262,52617,53846,2116018,0.027027027027026973
72,2009-04-16,55357,57246,53279,54791,1873945,0.017550050143000373
73,2009-04-17,55262,56585,55073,55074,1250476,0.0051650818565092136
74,2009-04-20,56207,56207,53562,55168,967401,0.0017067944946798086
75,2009-04-21,53940,54601,52712,54507,1023453,-0.011981583526682105
76,2009-04-22,55168,56207,53656,54129,1132765,-0.006934889096813279
77,2009-04-23,54979,56774,54507,55735,1371659,0.029669862735317576
78,2009-04-24,55735,56018,52523,53374,1197069,-0.0423611734098861
79,2009-04-27,54129,54129,51956,52996,809364,-0.007082099898827131
80,2009-04-28,52617,53562,50539,51012,891914,-0.03743678768208925
81,2009-04-29,51011,53373,50822,51957,1064158,0.01852505292872264
82,2009-04-30,53090,54979,52523,53562,1177042,0.030890929037473255
83,2009-05-04,54601,55073,53562,54224,792825,0.012359508606848202
84,2009-05-06,54601,54601,52712,53751,1019683,-0.00872307465329003
85,2009-05-07,54223,54318,51295,52334,1472057,-0.026362300236274727
86,2009-05-08,52334,52806,50822,51484,1312043,-0.016241831314250717
87,2009-05-11,51295,51862,51011,51106,819921,-0.0073420868619377124
88,2009-05-12,51011,52617,50917,51484,922874,0.007396391813094372
89,2009-05-13,51673,52334,50917,52145,722545,0.012838940253282471
90,2009-05-14,51389,52995,51106,51390,901710,-0.014478857033272563
91,2009-05-15,51956,52901,51011,51579,813432,0.0036777583187390657
92,2009-05-18,51956,52239,49500,50823,1181400,-0.014657127900889909
93,2009-05-19,52050,53656,51767,52712,1420015,0.03716821124294123
94,2009-05-20,53279,54884,52806,54224,1675904,0.028684170587342624
95,2009-05-21,54790,55546,53751,54224,1077829,0.0
96,2009-05-22,54318,57435,53656,55830,1854677,0.029617881380938238
97,2009-05-25,55829,56113,51011,55452,1026160,-0.006770553465878515
98,2009-05-26,55546,57057,53940,54602,1076819,-0.015328572459063716
99,2009-05-27,56774,59608,55924,58191,3191435,0.06573019303322214
100,2009-05-28,58191,60269,57152,60081,1357982,0.03247924936845914
101,2009-05-29,60741,62631,59419,61025,1515631,0.015712121968675552
102,2009-06-01,60552,62253,60080,61403,672081,0.0061941827120033386
