,date,open,high,low,close,volume,change
0,2009-01-02,3373,3463,3322,3465,3470,0.02788490062296045
1,2009-01-05,3556,3556,3336,3474,5988,0.0025974025974024872
2,2009-01-06,3561,3561,3421,3470,1737,-0.0011514104778354015
3,2009-01-07,3542,3566,3387,3568,11065,0.028242074927953945
4,2009-01-08,3519,3561,3439,3465,2367,-0.02886771300448432
5,2009-01-09,3491,3491,3285,3409,1422,-0.016161616161616155
6,2009-01-12,3444,3449,3341,3343,1468,-0.019360516280434115
7,2009-01-13,3354,3453,3307,3427,108278,0.025127131319174326
8,2009-01-14,3416,3552,3416,3540,9072,0.032973446162824604
9,2009-01-15,3407,3538,3360,3362,13653,-0.05028248587570616
10,2009-01-16,3443,3471,3349,3455,13523,0.027662105889351585
11,2009-01-19,3509,3523,3453,3493,8170,0.010998552821997132
12,2009-01-20,3477,3533,3407,3484,5502,-0.002576581734898386
13,2009-01-21,3425,3481,3378,3460,5588,-0.006888633754305372
14,2009-01-22,3547,3547,3486,3549,6555,0.02572254335260116
15,2009-01-23,3509,3584,3486,3521,5260,-0.007889546351084853
16,2009-01-28,3561,3584,3519,3568,7451,0.01334848054529969
17,2009-01-29,3631,3631,3491,3568,11174,0.0
18,2009-01-30,3490,3580,3472,3474,6542,-0.02634529147982068
19,2009-02-02,3472,3617,3472,3615,12084,0.04058721934369602
20,2009-02-03,3692,3697,3458,3662,15721,0.013001383125864407
21,2009-02-04,3697,3791,3594,3793,20739,0.03577280174767883
22,2009-02-05,3791,3838,3716,3793,4773,0.0
23,2009-02-06,3845,3898,3775,3898,18548,0.027682573161086133
24,2009-02-09,3944,3991,3817,3865,3976,-0.008465879938429954
25,2009-02-10,3942,3942,3744,3798,7403,-0.01733505821474779
26,2009-02-11,3678,3805,3678,3807,6371,0.002369668246445577
27,2009-02-12,3848,3848,3716,3803,2336,-0.0010506960861570436
28,2009-02-13,3800,3800,3706,3737,5722,-0.017354719957927922
29,2009-02-16,3706,3772,3706,3746,10381,0.0024083489430024585
30,2009-02-17,3707,3735,3669,3700,7481,-0.01227976508275497
31,2009-02-18,3697,3730,3613,3662,3006,-0.010270270270270276
32,2009-02-19,3660,3739,3613,3676,4182,0.003823047515019162
33,2009-02-20,3725,3725,3547,3624,2543,-0.014145810663764968
34,2009-02-23,3622,3622,3561,3606,3112,-0.004966887417218513
35,2009-02-24,3594,3613,3505,3615,4568,0.0024958402662229595
36,2009-02-25,3618,3641,3562,3639,4821,0.006639004149377571
37,2009-02-26,3631,3659,3603,3643,1788,0.0010992030777685624
38,2009-02-27,3636,3847,3636,3826,5793,0.050233324183365465
39,2009-03-02,3858,3858,3571,3742,8734,-0.02195504443282803
40,2009-03-03,3716,3781,3627,3751,5523,0.002405130946018241
41,2009-03-04,3679,3744,3669,3728,1091,-0.0061316982138096545
42,2009-03-05,3791,3791,3664,3746,2348,0.004828326180257525
43,2009-03-06,3735,3791,3735,3775,3436,0.00774159103043237
44,2009-03-09,3773,3843,3726,3775,4470,0.0
45,2009-03-10,3772,3772,3697,3770,2965,-0.0013245033112583293
46,2009-03-11,3769,3944,3722,3944,12685,0.04615384615384621
47,2009-03-12,3933,3933,3763,3803,9019,-0.035750507099391426
48,2009-03-13,3795,3876,3744,3746,2993,-0.014988167236392291
49,2009-03-16,3711,3790,3622,3624,3717,-0.03256807261078487
50,2009-03-17,3622,3669,3599,3634,3251,0.002759381898454816
51,2009-03-18,3645,3697,3575,3643,4442,0.002476609796367546
52,2009-03-19,3641,3665,3576,3592,2710,-0.013999451001921459
53,2009-03-20,3599,3735,3599,3723,4610,0.03646993318485525
54,2009-03-23,3801,3801,3707,3761,3702,0.01020682245500937
55,2009-03-24,3847,3847,3725,3756,1704,-0.0013294336612602595
56,2009-03-25,3800,3800,3721,3737,3206,-0.005058572949946716
57,2009-03-26,3791,3791,3707,3714,4156,-0.006154669521006184
58,2009-03-27,3753,3753,3687,3746,5240,0.008616047388260606
59,2009-03-30,3744,3744,3674,3737,3090,-0.002402562733582525
60,2009-03-31,3753,3791,3701,3732,4032,-0.0013379716350013784
61,2009-04-01,3683,3744,3683,3728,2525,-0.001071811361200381
62,2009-04-02,3730,3810,3730,3775,9122,0.01260729613733913
63,2009-04-03,3775,3898,3699,3898,14569,0.0325827814569537
64,2009-04-06,3849,3907,3849,3865,6910,-0.008465879938429954
65,2009-04-07,3863,3924,3801,3822,11927,-0.011125485122897794
66,2009-04-08,3821,4024,3821,3912,17360,0.02354788069073788
67,2009-04-09,3987,3987,3911,3926,26128,0.00357873210633941
68,2009-04-10,3944,4132,3865,4067,16585,0.03591441670911877
69,2009-04-13,4146,4188,4042,4165,14065,0.024096385542168752
70,2009-04-14,4169,4193,3586,4165,16830,0.0
71,2009-04-15,4131,4155,3958,4099,7372,-0.015846338535414173
72,2009-04-16,4123,4123,4001,4001,14064,-0.02390827030983167
73,2009-04-17,4061,4061,3907,4015,11947,0.0034991252186953314
74,2009-04-20,4020,4095,3949,4020,9057,0.001245330012453305
75,2009-04-21,4005,4203,3963,4189,11725,0.04203980099502491
76,2009-04-22,4252,4646,4186,4648,53883,0.10957269037956552
77,2009-04-23,4648,4648,4414,4433,15460,-0.046256454388984514
78,2009-04-24,4488,4591,4319,4451,8805,0.004060455673358998
79,2009-04-27,4511,4648,4436,4451,9659,0.0
80,2009-04-28,4446,4600,4141,4235,19409,-0.04852842057964502
81,2009-04-29,4305,4305,4174,4207,13442,-0.006611570247933907
82,2009-04-30,4249,4357,4188,4259,15704,0.012360351794628022
83,2009-05-04,4348,4348,4179,4259,8572,0.0
84,2009-05-06,4272,4333,4207,4226,8861,-0.007748297722470099
85,2009-05-07,4240,4451,4207,4250,14797,0.0056791292001892035
86,2009-05-08,4249,4272,4226,4226,4277,-0.00564705882352945
87,2009-05-11,4296,4296,4160,4217,18894,-0.002129673450070979
88,2009-05-12,4226,4235,4174,4226,9132,0.0021342186388428885
89,2009-05-13,4296,4348,4179,4320,12644,0.022243256034074843
90,2009-05-14,4310,4366,4235,4315,8935,-0.0011574074074074405
91,2009-05-15,4319,4319,4272,4287,4769,-0.006488991888760176
92,2009-05-18,4240,4296,4122,4151,9389,-0.03172381618847675
93,2009-05-19,4178,4192,4136,4160,15531,0.0021681522524692465
94,2009-05-20,4169,4216,4132,4137,18410,-0.00552884615384619
95,2009-05-21,4164,4164,4057,4057,6828,-0.01933768431230365
96,2009-05-22,4112,4112,3986,3991,13217,-0.016268178456987914
97,2009-05-25,3991,4075,3792,3991,16566,0.0
98,2009-05-26,4005,4047,3911,4029,8209,0.009521423202204948
99,2009-05-27,4029,4075,3935,3968,3745,-0.015140233308513329
100,2009-05-28,3883,3991,3788,3991,4982,0.005796370967741993
101,2009-05-29,4028,4071,3944,4071,6170,0.02004510147832628
102,2009-06-01,4019,4085,3986,4001,9516,-0.01719479243429134
103,2009-06-02,4005,4118,4000,4118,10768,0.02924268932766805
104,2009-06-03,4118,4132,4047,4123,6162,0.0012141816415736086
105,2009-06-04,4122,4122,4000,4085,4576,-0.009216589861751112
106,2009-06-05,4131,4131,4038,4085,2750,0.0
107,2009-06-08,4122,4155,4052,4057,5827,-0.00685434516523864
108,2009-06-09,4113,4113,3944,4067,8897,0.0024648755237861586
109,2009-06-10,4005,4132,4005,4132,6626,0.01598229653307115
110,2009-06-11,4179,4179,4104,4142,4119,0.002420135527589462
111,2009-06-12,4198,4207,3944,4137,77968,-0.0012071463061322785
112,2009-06-15,4137,4169,4024,4137,5496,0.0
113,2009-06-16,4131,4155,4061,4146,2320,0.002175489485134241
114,2009-06-17,4178,4178,4038,4038,7693,-0.026049204052098433
115,2009-06-18,4075,4103,3991,4085,3306,0.011639425458147556
116,2009-06-19,4085,4169,4038,4165,7422,0.019583843329253448
117,2009-06-22,4216,4216,4151,4170,44749,0.0012004801920768582
118,2009-06-23,4103,4226,4103,4226,6451,0.01342925659472427
119,2009-06-24,4230,4305,4221,4273,7483,0.011121628017037422
120,2009-06-25,4315,4362,4179,4264,15761,-0.0021062485373274376
121,2009-06-26,4263,4315,4193,4306,6605,0.009849906191369495
122,2009-06-29,4245,4339,4245,4325,5334,0.0044124477473292964
123,2009-06-30,4376,4395,4263,4386,6420,0.014104046242774615
124,2009-07-01,4380,4404,4319,4395,2544,0.0020519835841312783
125,2009-07-02,4403,4408,4347,4357,2826,-0.008646188850967018
