,date,open,high,low,close,volume,change
0,2009-01-02,38300,40000,38000,40000,1254160,0.06382978723404252
1,2009-01-05,41200,41200,40150,40850,1451188,0.02124999999999999
2,2009-01-06,40850,41550,40200,41300,1338428,0.01101591187270512
3,2009-01-07,41950,43400,41600,42650,1928496,0.032687651331719136
4,2009-01-08,41500,42050,40800,42000,1241069,-0.015240328253223969
5,2009-01-09,42450,42450,40400,40700,1144670,-0.030952380952380957
6,2009-01-12,39750,40300,38600,39200,946866,-0.03685503685503688
7,2009-01-13,38450,40300,37950,40300,888334,0.028061224489795974
8,2009-01-14,39600,40500,39500,40500,598801,0.00496277915632759
9,2009-01-15,38500,39100,36500,36650,1376021,-0.09506172839506176
10,2009-01-16,37500,37700,35850,37600,1225372,0.02592087312414737
11,2009-01-19,38100,38650,37300,38500,685399,0.023936170212766058
12,2009-01-20,38000,38050,36900,37500,490197,-0.025974025974025983
13,2009-01-21,35500,37400,35500,36850,650849,-0.017333333333333308
14,2009-01-22,37800,37900,35700,35700,1061850,-0.031207598371777445
15,2009-01-23,35450,35450,34000,34000,917830,-0.04761904761904767
16,2009-01-28,34300,35250,34000,35200,1607304,0.03529411764705892
17,2009-01-29,35900,37900,35700,37400,1755535,0.0625
18,2009-01-30,36500,37900,36150,37900,792795,0.013368983957219305
19,2009-02-02,37150,37900,36500,36900,672820,-0.026385224274406368
20,2009-02-03,36900,38000,36300,37800,746785,0.024390243902439046
21,2009-02-04,38900,41000,38600,41000,2367617,0.08465608465608465
22,2009-02-05,40800,41800,40250,40800,1871525,-0.004878048780487809
23,2009-02-06,42000,42300,41450,41850,1721073,0.025735294117646967
24,2009-02-09,42600,42750,40700,40850,1362552,-0.02389486260453999
25,2009-02-10,41250,41300,39250,39950,1265583,-0.022031823745410014
26,2009-02-11,38500,39600,38100,39300,993681,-0.016270337922402955
27,2009-02-12,39300,40450,38800,39800,997506,0.012722646310432628
28,2009-02-13,39700,40200,39200,39850,740324,0.0012562814070351536
29,2009-02-16,39200,39600,38100,38300,1147912,-0.03889585947302388
30,2009-02-17,38000,38050,36250,36250,1012120,-0.05352480417754568
31,2009-02-18,35350,37050,34800,35900,908586,-0.0096551724137931
32,2009-02-19,35850,37500,35500,37000,794568,0.03064066852367686
33,2009-02-20,36400,36800,35300,35650,753446,-0.03648648648648645
34,2009-02-23,35100,36900,34950,36700,676705,0.029453015427769905
35,2009-02-24,35100,35450,34800,34950,719473,-0.04768392370572205
36,2009-02-25,36250,36350,34000,34000,666748,-0.02718168812589417
37,2009-02-26,34000,35300,33300,34000,591445,0.0
38,2009-02-27,34000,35400,33800,34600,468485,0.01764705882352935
39,2009-03-02,34000,34050,32500,32500,1032198,-0.060693641618497114
40,2009-03-03,30600,32800,30500,32700,749825,0.0061538461538461755
41,2009-03-04,32550,34450,31800,34400,760506,0.05198776758409784
42,2009-03-05,35650,37400,35300,35600,2144842,0.03488372093023262
