,date,open,high,low,close,volume,change
0,2009-01-02,49774,50700,48963,50045,1462,-0.006136553203320515
1,2009-01-05,50777,50854,48925,48926,2473,-0.0223598761114997
2,2009-01-06,49851,51086,49388,49620,2141,0.014184687078445004
3,2009-01-07,49659,51626,48925,51627,2509,0.040447400241838016
4,2009-01-08,51858,52012,50122,50122,2484,-0.029151413020318876
5,2009-01-09,50507,51279,49041,49389,1779,-0.014624316667331659
6,2009-01-12,50044,50122,48616,50122,1943,0.014841361436757072
7,2009-01-13,50122,50122,48848,49235,1809,-0.017696819759786098
8,2009-01-14,49465,49581,47922,48656,1805,-0.011759926881283687
9,2009-01-15,48076,48153,45761,46611,2893,-0.04202975994738578
10,2009-01-16,46031,46880,45915,46186,1754,-0.009118019351655238
11,2009-01-19,45954,46764,45298,45299,2056,-0.01920495388212884
12,2009-01-20,44565,45298,43369,43447,2896,-0.040883904721958575
13,2009-01-21,43060,44179,41710,43100,2012,-0.007986742467834373
14,2009-01-22,43214,44140,42558,44141,1915,0.02415313225058013
15,2009-01-23,44140,44526,42828,43755,2473,-0.008744704469767384
16,2009-01-28,43832,45530,43832,45530,2974,0.04056679236658667
17,2009-01-29,44951,47073,44835,46688,2255,0.02543377992532392
18,2009-01-30,46572,47073,45607,46881,1436,0.004133824537354336
19,2009-02-02,45645,46880,45067,45376,1822,-0.03210255753930169
20,2009-02-03,44951,45376,43986,43987,2651,-0.03061089562764452
21,2009-02-04,44256,45067,44141,44952,2145,0.0219382999522586
22,2009-02-05,44488,46108,44411,44874,1494,-0.001735184196476225
23,2009-02-06,44912,46263,44874,45337,1971,0.010317778669162614
24,2009-02-09,45221,45723,45028,45453,1432,0.002558616582482243
25,2009-02-10,45414,46070,44796,45337,1887,-0.002552086770950201
26,2009-02-11,45260,45260,43601,43601,2936,-0.03829102057921785
27,2009-02-12,43485,43601,42250,43022,6414,-0.013279511937799636
28,2009-02-13,42481,43484,42211,42868,2447,-0.0035795639440285854
29,2009-02-16,42867,43368,42443,43370,1723,0.011710366707100794
30,2009-02-17,42828,43021,42057,42752,2194,-0.014249481208208459
31,2009-02-18,42289,42404,41517,41518,2882,-0.02886414670658688
32,2009-02-19,41285,41285,39934,39936,2738,-0.03810395491112284
33,2009-02-20,40012,40128,38739,39125,1655,-0.02030749198717952
34,2009-02-23,38661,40050,38584,39511,1931,0.00986581469648562
35,2009-02-24,39125,39241,38623,38778,2393,-0.01855179570246257
36,2009-02-25,40012,40012,38507,38778,2184,0.0
37,2009-02-26,39086,40514,38662,38662,2625,-0.002991386868843149
38,2009-02-27,39317,39356,38391,38392,2365,-0.006983601469142786
39,2009-03-02,37851,37851,35999,36077,3243,-0.060299020629297824
40,2009-03-03,35883,36771,35459,36116,1941,0.0010810211492087165
41,2009-03-04,36153,36770,35536,36386,3689,0.0074759109535940125
42,2009-03-05,36616,37002,36076,36270,3534,-0.003188039355796146
43,2009-03-06,36655,36770,35844,36424,2694,0.004245933278191449
44,2009-03-09,37079,37079,36153,36386,2377,-0.0010432681748298034
45,2009-03-10,35922,36848,35922,36656,2067,0.007420436431594624
46,2009-03-11,36887,38006,36887,37775,4115,0.030527062418157943
47,2009-03-12,37967,38585,37350,38585,5234,0.02144275314361344
48,2009-03-13,38237,39317,38005,38547,2458,-0.0009848386678761312
49,2009-03-16,38237,39240,38160,38315,1411,-0.006018626611668854
50,2009-03-17,38700,40051,38430,40013,2186,0.0443168471877855
51,2009-03-18,40899,41131,40051,41132,1511,0.027965911078899446
52,2009-03-19,41131,41864,40783,41865,1849,0.01782067490032091
53,2009-03-20,41786,42443,41709,41903,1538,0.0009076794458378057
54,2009-03-23,41902,42751,41902,42251,1450,0.008304894637615412
55,2009-03-24,42404,42404,39857,39858,5538,-0.0566377127168588
56,2009-03-25,39934,40436,39587,39820,2333,-0.0009533845150283546
57,2009-03-26,39896,40630,39433,40592,2356,0.019387242591662582
58,2009-03-27,40397,41246,40166,40360,2066,-0.0057154119038234094
59,2009-03-30,40861,41093,39626,39627,1334,-0.018161546085232905
60,2009-03-31,39973,40167,39318,39743,2190,0.0029272970449441
61,2009-04-01,39742,40167,39009,39665,2627,-0.0019626097677578613
62,2009-04-02,39704,39896,39588,39743,2419,0.0019664691793772615
63,2009-04-03,39780,40282,39471,39473,2909,-0.006793649196084828
64,2009-04-06,39356,39934,39356,39357,3057,-0.0029387176044384233
65,2009-04-07,39665,40899,39395,40051,3450,0.017633457834692612
66,2009-04-08,40397,40783,39934,39936,1338,-0.0028713390427205217
67,2009-04-09,39896,40012,39588,39743,3338,-0.0048327323717948225
68,2009-04-10,39780,40320,39741,40283,2460,0.013587298392169656
69,2009-04-13,40359,41594,40359,40437,3012,0.003822952610282204
70,2009-04-14,40475,40745,39588,39588,3282,-0.02099562282068401
71,2009-04-15,39510,39664,38584,38932,3496,-0.0165706779832272
72,2009-04-16,39009,39588,38662,38739,4279,-0.0049573615534778135
73,2009-04-17,38970,39124,37812,37968,5141,-0.019902423913885192
74,2009-04-20,37966,38661,37889,38392,2686,0.011167298777918331
75,2009-04-21,38006,38893,37851,38739,1962,0.009038341321108591
76,2009-04-22,38469,38700,38083,38238,4119,-0.012932703477116059
77,2009-04-23,38623,39124,38083,39010,3557,0.02018934044667597
78,2009-04-24,38777,39858,38777,39627,2599,0.015816457318636346
79,2009-04-27,39664,39973,39356,39897,2049,0.006813536225301009
80,2009-04-28,39896,39973,39201,39318,2007,-0.014512369351079024
81,2009-04-29,39125,39858,39048,39087,2972,-0.005875171677094504
82,2009-04-30,39086,39781,39009,39743,3098,0.01678307365620291
83,2009-05-04,39471,39896,38893,38932,2815,-0.02040610925194375
84,2009-05-06,38932,39433,38700,39164,3032,0.0059591081886365424
85,2009-05-07,39008,40127,39008,39936,3719,0.019711980390154205
86,2009-05-08,40128,40899,39742,40514,2502,0.01447315705128216
87,2009-05-11,40514,41054,40359,40707,2630,0.004763785358147698
88,2009-05-12,40707,40707,40167,40167,1670,-0.013265531726730062
