,date,open,high,low,close,volume,change
0,2009-01-02,384000,394000,377000,393000,251649,0.03421052631578947
1,2009-01-05,408500,408500,394500,399500,368693,0.01653944020356235
2,2009-01-06,397500,410000,397000,406000,381979,0.016270337922402955
3,2009-01-07,415000,434000,411500,430000,556197,0.059113300492610765
4,2009-01-08,426000,426000,406000,412000,439839,-0.041860465116279055
5,2009-01-09,415000,415000,393000,395000,575226,-0.04126213592233008
6,2009-01-12,391000,392000,376500,383000,395926,-0.03037974683544309
7,2009-01-13,373000,382500,367000,377000,454129,-0.015665796344647487
8,2009-01-14,377000,385000,370000,379000,439600,0.0053050397877985045
9,2009-01-15,361500,365500,355000,359000,569670,-0.05277044854881263
10,2009-01-16,359000,363000,353000,358000,485079,-0.0027855153203342198
11,2009-01-19,361500,363500,355000,359500,349003,0.0041899441340782495
12,2009-01-20,355000,358000,347000,355000,303843,-0.012517385257301837
13,2009-01-21,335000,348500,335000,344000,322914,-0.030985915492957705
14,2009-01-22,352000,353500,344500,350000,312711,0.01744186046511631
15,2009-01-23,340500,349000,335000,340500,250690,-0.027142857142857132
16,2009-01-28,350500,366000,350000,365000,349622,0.07195301027900136
17,2009-01-29,368500,374500,365000,368000,341651,0.008219178082191858
18,2009-01-30,358500,362500,356000,360000,221429,-0.021739130434782598
19,2009-02-02,353000,364500,350000,360000,379029,0.0
20,2009-02-03,364000,368000,353000,364000,403621,0.011111111111111072
21,2009-02-04,369500,381000,365000,379000,481492,0.041208791208791284
22,2009-02-05,381500,391500,372000,381000,448568,0.005277044854881341
23,2009-02-06,396000,404000,394000,400000,676025,0.04986876640419946
24,2009-02-09,407000,407000,394000,394000,376838,-0.015000000000000013
25,2009-02-10,400000,402000,384500,390500,358654,-0.008883248730964466
26,2009-02-11,375000,380000,373000,379500,364225,-0.028169014084507005
27,2009-02-12,375000,375000,365000,367000,448430,-0.03293807641633728
28,2009-02-13,366000,375500,360500,375500,316110,0.023160762942779245
29,2009-02-16,367000,374500,360000,361000,440058,-0.03861517976031959
30,2009-02-17,357000,359000,350000,350000,405059,-0.03047091412742386
31,2009-02-18,342000,349500,339000,339000,491878,-0.031428571428571465
32,2009-02-19,335500,342500,333000,338000,415985,-0.002949852507374673
33,2009-02-20,334000,337000,320000,325500,421325,-0.03698224852071008
34,2009-02-23,320500,339000,317000,339000,329938,0.041474654377880116
35,2009-02-24,320000,323500,316000,316000,571506,-0.06784660766961648
36,2009-02-25,326000,327500,314500,319000,366201,0.009493670886076
37,2009-02-26,318500,330000,308000,312000,391336,-0.0219435736677116
38,2009-02-27,312000,325000,308000,315000,354697,0.00961538461538458
39,2009-03-02,313000,313500,301500,303000,400013,-0.03809523809523807
40,2009-03-03,298000,317000,298000,311000,356159,0.0264026402640265
41,2009-03-04,306000,323500,301000,320500,580572,0.03054662379421225
42,2009-03-05,329000,333000,320500,326500,698030,0.018720748829953227
43,2009-03-06,320000,328500,316500,319500,345584,-0.02143950995405819
44,2009-03-09,328000,329000,318000,326000,271818,0.020344287949921824
45,2009-03-10,324000,334500,324000,334500,311828,0.0260736196319018
46,2009-03-11,348500,350500,344500,349000,464446,0.0433482810164425
47,2009-03-12,349000,352000,338000,350000,740995,0.002865329512893977
48,2009-03-13,351500,358500,348000,350000,359953,0.0
49,2009-03-16,350000,356500,349000,349000,264458,-0.0028571428571428914
50,2009-03-17,354500,361000,351000,361000,335463,0.034383954154727725
51,2009-03-18,362000,365000,352000,356500,284713,-0.012465373961218829
52,2009-03-19,355500,362500,344000,347500,399752,-0.025245441795231468
53,2009-03-20,350500,361000,350000,357000,383195,0.0273381294964028
54,2009-03-23,364000,374000,351500,369000,330592,0.03361344537815136
55,2009-03-24,379000,381000,374000,381000,404084,0.03252032520325199
56,2009-03-25,380500,384500,374000,382000,305524,0.002624671916010568
57,2009-03-26,376500,382000,371000,382000,291474,0.0
58,2009-03-27,382000,385000,377000,382000,335237,0.0
59,2009-03-30,383500,386500,363500,368000,324644,-0.03664921465968585
60,2009-03-31,367500,376500,364500,364500,333815,-0.009510869565217406
61,2009-04-01,365000,374000,359500,374000,359404,0.02606310013717428
62,2009-04-02,380000,383000,374500,382000,410326,0.021390374331550888
63,2009-04-03,389500,392000,384500,387500,461209,0.014397905759162331
64,2009-04-06,387500,399500,387500,389500,355430,0.005161290322580614
65,2009-04-07,387500,388500,381500,386500,273611,-0.007702182284980762
66,2009-04-08,380000,381500,365000,369000,428103,-0.045278137128072486
67,2009-04-09,369000,376000,367000,375000,717184,0.016260162601626105
68,2009-04-10,380500,386000,374500,379500,416856,0.012000000000000009
69,2009-04-13,377000,388500,375000,377000,439614,-0.006587615283267456
70,2009-04-14,379500,385500,377000,380500,396961,0.009283819628647105
71,2009-04-15,380500,393000,376000,389500,593949,0.02365308804205002
72,2009-04-16,400000,411000,399500,405500,779012,0.04107830551989733
73,2009-04-17,410000,419000,404500,412500,583719,0.01726263871763245
74,2009-04-20,414000,414500,400500,413000,339753,0.00121212121212122
75,2009-04-21,400000,404000,394500,403500,403789,-0.023002421307506068
76,2009-04-22,403500,406000,397500,402000,373979,-0.00371747211895912
77,2009-04-23,398000,402000,392000,395000,438847,-0.01741293532338306
78,2009-04-24,390500,396000,389500,394500,308298,-0.0012658227848101331
79,2009-04-27,393500,407000,392000,396000,364451,0.0038022813688212147
80,2009-04-28,397500,399500,380000,380000,300279,-0.040404040404040435
81,2009-04-29,380000,389000,379000,389000,198988,0.023684210526315752
82,2009-04-30,389500,400000,388500,397000,444826,0.020565552699228773
83,2009-05-04,405500,407000,397000,404500,415230,0.01889168765743077
84,2009-05-06,420000,421500,411000,415000,785351,0.02595797280593315
85,2009-05-07,426500,434500,425000,431500,639603,0.03975903614457832
86,2009-05-08,429500,438000,425000,435000,348413,0.008111239860950192
87,2009-05-11,445000,445000,427000,432000,296795,-0.006896551724137946
88,2009-05-12,427000,430000,415500,425000,330540,-0.01620370370370372
89,2009-05-13,419500,430500,419500,425000,249297,0.0
90,2009-05-14,412000,413000,403000,403500,511584,-0.0505882352941176
91,2009-05-15,413000,413000,403000,403000,298439,-0.0012391573729864105
92,2009-05-18,405500,406000,390500,401500,302483,-0.0037220843672456367
93,2009-05-19,413500,420000,412000,420000,338196,0.04607721046077207
94,2009-05-20,425000,428000,417000,419500,279705,-0.0011904761904761862
95,2009-05-21,420500,422000,408000,411500,341632,-0.01907032181168056
96,2009-05-22,402000,406000,397500,398500,433784,-0.03159173754556499
97,2009-05-25,394000,403000,374500,396000,391082,-0.006273525721455453
98,2009-05-26,395000,395000,385000,389000,357540,-0.017676767676767624
99,2009-05-27,399000,405000,390000,395000,414305,0.015424164524421524
100,2009-05-28,403500,406000,396500,406000,294667,0.027848101265822708
101,2009-05-29,415000,420000,403000,420000,518636,0.034482758620689724
102,2009-06-01,416000,422000,408000,418500,387565,-0.003571428571428559
103,2009-06-02,426000,430000,417500,420000,296687,0.0035842293906809264
104,2009-06-03,428000,428500,414500,421000,280904,0.0023809523809523725
105,2009-06-04,415000,415500,401500,404500,415417,-0.039192399049881255
106,2009-06-05,403000,405000,400500,404000,320110,-0.0012360939431397266
107,2009-06-08,401000,408500,400500,407500,311530,0.00866336633663356
108,2009-06-09,411000,411000,395000,398500,394517,-0.02208588957055213
109,2009-06-10,403500,416500,398000,411500,475142,0.03262233375156831
110,2009-06-11,412000,426500,411000,419000,904982,0.018226002430133725
111,2009-06-12,431000,434500,427000,432500,693851,0.03221957040572798
112,2009-06-15,436000,436000,426000,431000,334262,-0.003468208092485603
113,2009-06-16,420000,430000,418500,429000,283686,-0.004640371229698403
114,2009-06-17,421000,424500,419500,423500,240099,-0.012820512820512777
115,2009-06-18,419000,419500,409500,413500,304075,-0.02361275088547821
116,2009-06-19,414000,420000,413500,417000,162719,0.00846432889963733
117,2009-06-22,425000,425000,413000,422000,187242,0.011990407673860837
118,2009-06-23,409000,410000,404000,406000,381051,-0.03791469194312791
119,2009-06-24,403500,408500,400500,406000,286806,0.0
120,2009-06-25,408000,423500,407000,416000,358695,0.024630541871921263
121,2009-06-26,420000,427000,416500,421000,267686,0.012019230769230838
122,2009-06-29,418000,429000,418000,426500,176614,0.013064133016627013
123,2009-06-30,428500,431000,423000,423500,225021,-0.007033997655334079
124,2009-07-01,425000,434500,423000,431000,273792,0.017709563164108655
125,2009-07-02,439000,439000,429000,432000,285738,0.002320185614849146
126,2009-07-03,425500,435000,423500,435000,173779,0.006944444444444421
127,2009-07-06,431000,436500,428500,431000,226046,-0.00919540229885063
128,2009-07-07,425500,427500,420500,425000,367004,-0.0139211136890951
129,2009-07-08,417500,420500,415000,420000,241193,-0.0117647058823529
130,2009-07-09,416000,437500,415000,431500,542579,0.027380952380952284
131,2009-07-10,429000,439500,428000,435500,385852,0.009269988412514474
132,2009-07-13,435500,436500,423500,430000,229904,-0.012629161882893205
133,2009-07-14,438000,448000,436000,440000,451739,0.023255813953488413
134,2009-07-15,448500,450000,441000,442000,242471,0.004545454545454629
135,2009-07-16,450000,451000,446500,449500,242204,0.016968325791855143
136,2009-07-17,451000,451500,444000,450000,155271,0.0011123470522802492
137,2009-07-20,446500,459000,446500,452500,243494,0.005555555555555536
138,2009-07-21,463500,463500,457000,459000,256233,0.01436464088397793
139,2009-07-22,466000,474500,465000,471000,380234,0.02614379084967311
140,2009-07-23,474000,481500,470500,474500,386016,0.00743099787685786
141,2009-07-24,482000,489000,478500,485000,357438,0.02212855637513167
142,2009-07-27,490000,492500,480000,483000,382966,-0.004123711340206171
143,2009-07-28,478000,480000,474000,476500,224367,-0.01345755693581785
144,2009-07-29,476500,476500,466500,469000,289252,-0.015739769150052485
145,2009-07-30,469000,485000,462000,482500,332226,0.028784648187633263
146,2009-07-31,486000,503000,480000,502000,479186,0.040414507772020825
147,2009-08-03,500000,508000,495000,500000,273573,-0.003984063745019917
148,2009-08-04,503000,514000,500000,505000,251779,0.010000000000000007
149,2009-08-05,506000,506000,494000,494000,240939,-0.0217821782178218
150,2009-08-06,489000,506000,489000,500000,268042,0.012145748987854256
151,2009-08-07,495500,505000,494000,504000,199147,0.008000000000000007
152,2009-08-10,501000,507000,494500,495500,228731,-0.016865079365079416
153,2009-08-11,490000,495000,489500,491500,253916,-0.008072653884964698
154,2009-08-12,487000,488000,472500,478500,444844,-0.0264496439471007
155,2009-08-13,485000,487000,471000,471000,394878,-0.01567398119122254
156,2009-08-14,476500,485000,475500,481500,236855,0.022292993630573358
157,2009-08-17,484000,484000,464500,466000,337992,-0.03219106957424711
158,2009-08-18,464000,469500,454000,461000,398394,-0.010729613733905574
159,2009-08-19,461500,464000,455000,460000,364414,-0.002169197396963085
160,2009-08-20,465000,473500,464500,471000,340022,0.023913043478260843
161,2009-08-21,476000,477000,465000,469000,278034,-0.00424628450106157
162,2009-08-24,478000,478500,467000,471000,327325,0.004264392324093924
163,2009-08-25,470000,475500,465000,465500,286648,-0.011677282377919318
164,2009-08-26,463000,481000,463000,476000,286055,0.022556390977443552
165,2009-08-27,475500,482500,472500,479000,266666,0.006302521008403339
166,2009-08-28,480000,482000,467000,471500,321929,-0.01565762004175364
167,2009-08-31,467000,471000,461000,461500,350667,-0.02120890774125128
168,2009-09-01,461000,467500,456000,464000,265151,0.0054171180931743565
169,2009-09-02,455000,456000,452000,455500,419774,-0.01831896551724133
170,2009-09-03,453000,465000,450500,464000,278590,0.01866081229418226
171,2009-09-04,467500,468000,460500,462000,276646,-0.004310344827586189
172,2009-09-07,458000,463500,452000,454000,302514,-0.017316017316017285
173,2009-09-08,458000,461500,454000,460000,265963,0.013215859030837107
174,2009-09-09,463000,470000,460000,467000,319122,0.01521739130434785
175,2009-09-10,470000,480000,468500,478500,487260,0.024625267665952855
176,2009-09-11,480500,485500,476000,485000,361267,0.013584117032392928
177,2009-09-14,483000,488000,480500,483500,242714,-0.003092783505154628
178,2009-09-15,488000,500000,486500,499000,503575,0.032057911065149984
179,2009-09-16,505000,523000,502000,516000,802427,0.03406813627254501
180,2009-09-17,517000,521000,512000,519000,382147,0.005813953488372103
181,2009-09-18,516000,525000,511000,511000,587786,-0.01541425818882469
182,2009-09-21,513000,519000,512000,515000,161347,0.007827788649706456
183,2009-09-22,513000,521000,513000,515000,219316,0.0
184,2009-09-23,518000,520000,505000,511000,314998,-0.007766990291262155
185,2009-09-24,510000,510000,498000,502000,281495,-0.017612524461839585
186,2009-09-25,498000,498000,485000,490500,353169,-0.022908366533864518
187,2009-09-28,481500,484500,476500,482500,395228,-0.016309887869520926
188,2009-09-29,485000,491000,480000,481000,314020,-0.0031088082901554732
189,2009-09-30,484500,494500,484000,487000,376257,0.012474012474012364
190,2009-10-01,494500,502000,486500,493000,356593,0.012320328542094527
191,2009-10-05,477000,489000,475500,480500,446337,-0.02535496957403649
192,2009-10-06,490000,490000,470000,472500,434399,-0.01664932362122784
193,2009-10-07,479000,488500,476500,482000,295381,0.020105820105820186
194,2009-10-08,486500,488500,480000,481000,316660,-0.0020746887966804906
195,2009-10-09,490000,500000,485000,498500,300720,0.0363825363825363
196,2009-10-12,496000,501000,486000,495000,204294,-0.007021063189568744
197,2009-10-13,495000,499000,487000,494000,266712,-0.0020202020202020328
198,2009-10-14,507000,517000,504000,515000,526961,0.042510121457489884
199,2009-10-15,534000,545000,531000,534000,828263,0.03689320388349504
200,2009-10-16,540000,549000,534000,540000,563171,0.011235955056179804
201,2009-10-19,535000,545000,523000,544000,760546,0.007407407407407306
202,2009-10-20,550000,552000,541000,544000,231894,0.0
203,2009-10-21,544000,552000,540000,549000,276730,0.009191176470588314
204,2009-10-22,542000,546000,535000,538000,181742,-0.02003642987249543
205,2009-10-23,539000,549000,535000,537000,224442,-0.0018587360594795046
206,2009-10-26,532000,550000,532000,548000,171603,0.020484171322160183
207,2009-10-27,546000,548000,539000,544000,146274,-0.007299270072992692
208,2009-10-28,541000,544000,519000,524000,294576,-0.03676470588235292
209,2009-10-29,505000,508000,493000,497500,575986,-0.05057251908396943
210,2009-10-30,509000,518000,504000,504000,422406,0.01306532663316573
211,2009-11-02,488000,499000,485000,498000,266511,-0.011904761904761862
212,2009-11-03,496500,502000,495000,497500,185917,-0.0010040160642570406
213,2009-11-04,498000,510000,498000,507000,188939,0.01909547738693473
