,date,open,high,low,close,volume,change
0,2009-01-02,14850,16000,14550,16000,1037379,0.10344827586206896
1,2009-01-05,16200,16400,15650,15950,990371,-0.0031250000000000444
2,2009-01-06,16050,16550,15650,15850,1265094,-0.006269592476489061
3,2009-01-07,16100,17400,15950,17150,1880387,0.08201892744479489
4,2009-01-08,16800,17700,16700,17400,1364075,0.014577259475218709
5,2009-01-09,17700,18100,16850,16850,1463081,-0.031609195402298895
6,2009-01-12,16650,16850,16050,16100,773806,-0.04451038575667654
7,2009-01-13,15900,16500,15600,16500,717571,0.024844720496894457
8,2009-01-14,16450,17350,16300,17200,1121201,0.04242424242424248
9,2009-01-15,16250,16400,15000,15050,1172167,-0.125
10,2009-01-16,15400,15650,15050,15550,1103405,0.033222591362126234
11,2009-01-19,15700,16000,15200,15500,856079,-0.003215434083601254
12,2009-01-20,15300,15300,14050,14100,1777917,-0.0903225806451613
13,2009-01-21,13200,14600,13150,14200,1032039,0.007092198581560183
14,2009-01-22,14800,14900,14200,14300,501939,0.007042253521126751
15,2009-01-23,14000,14100,13600,13700,573954,-0.04195804195804198
16,2009-01-28,14100,14550,14100,14550,633945,0.06204379562043805
17,2009-01-29,14900,14900,14250,14350,593798,-0.013745704467353905
18,2009-01-30,14000,14600,13950,14600,361577,0.017421602787456525
19,2009-02-02,14300,15100,14300,14700,681271,0.006849315068493178
20,2009-02-03,14950,15300,14750,15300,663213,0.04081632653061229
21,2009-02-04,15500,15650,15350,15550,929946,0.016339869281045694
22,2009-02-05,15450,15450,14900,14900,601365,-0.04180064308681675
23,2009-02-06,15250,15700,15100,15700,688050,0.053691275167785164
24,2009-02-09,16200,16750,16150,16400,1806493,0.04458598726114649
25,2009-02-10,16650,16750,15900,16700,1199593,0.018292682926829285
26,2009-02-11,16250,17700,16000,17500,1536688,0.0479041916167664
27,2009-02-12,17500,17550,16650,16900,870416,-0.03428571428571425
28,2009-02-13,17100,18100,17050,18100,1370831,0.07100591715976322
29,2009-02-16,17800,18400,17150,17400,907133,-0.03867403314917128
30,2009-02-17,17400,17400,15550,15600,959112,-0.10344827586206896
31,2009-02-18,15400,16050,14850,15850,900499,0.01602564102564097
32,2009-02-19,16050,16200,15050,15400,573938,-0.028391167192429068
33,2009-02-20,15050,15200,14050,14300,829137,-0.0714285714285714
34,2009-02-23,14150,15100,14050,15100,515869,0.05594405594405605
35,2009-02-24,14300,14450,13900,14350,694601,-0.04966887417218546
36,2009-02-25,14900,15000,13700,13700,923592,-0.04529616724738672
37,2009-02-26,13900,14350,13350,13700,533698,0.0
38,2009-02-27,14250,14650,13950,14400,764886,0.05109489051094896
39,2009-03-02,14200,14950,13750,14750,860667,0.02430555555555558
40,2009-03-03,14100,14700,13950,14600,498752,-0.01016949152542368
41,2009-03-04,14550,15150,14300,15100,624291,0.03424657534246567
42,2009-03-05,15250,15250,14250,14450,1128266,-0.04304635761589404
43,2009-03-06,13900,14300,13850,13950,461561,-0.03460207612456745
44,2009-03-09,14050,14250,13900,14100,672702,0.010752688172043
45,2009-03-10,13800,14800,13800,14700,623686,0.042553191489361764
46,2009-03-11,15200,16250,14850,16250,1673073,0.1054421768707483
47,2009-03-12,16000,16150,15350,15700,789085,-0.03384615384615386
48,2009-03-13,16150,16500,15750,16000,685334,0.019108280254777062
49,2009-03-16,16500,16850,16300,16400,642624,0.024999999999999908
50,2009-03-17,16700,17650,16450,17400,1405135,0.060975609756097615
51,2009-03-18,17900,18200,17200,17950,1323056,0.031609195402298784
52,2009-03-19,18900,20450,18850,19600,3262452,0.0919220055710306
53,2009-03-20,19400,20200,18900,20050,1269789,0.022959183673469497
54,2009-03-23,20000,20850,19500,20850,1222224,0.03990024937655856
55,2009-03-24,21500,21650,20250,20500,864352,-0.016786570743405282
56,2009-03-25,20350,20700,19700,20300,868068,-0.009756097560975618
57,2009-03-26,20350,21450,20300,21000,1212635,0.034482758620689724
58,2009-03-27,21300,22450,20800,21100,1313828,0.004761904761904745
59,2009-03-30,20700,21100,19500,19500,675594,-0.07582938388625593
60,2009-03-31,20200,21100,19600,20500,697869,0.05128205128205132
61,2009-04-01,20900,21850,20350,21550,879192,0.051219512195122
62,2009-04-02,22200,24400,21750,24100,1056706,0.11832946635730868
63,2009-04-03,24900,25050,23100,23100,984218,-0.04149377593360992
64,2009-04-06,23950,26350,23550,23900,1478784,0.03463203463203457
65,2009-04-07,24100,25300,23900,24700,872168,0.03347280334728042
66,2009-04-08,24250,25550,24000,24500,858125,-0.0080971659919028
67,2009-04-09,25000,27700,24900,27000,1076028,0.1020408163265305
68,2009-04-10,27700,28350,26000,27100,968823,0.003703703703703765
69,2009-04-13,27150,27250,26300,26500,698775,-0.022140221402214052
70,2009-04-14,26750,26800,25300,25900,681892,-0.02264150943396226
71,2009-04-15,25500,25650,23600,25000,1124765,-0.03474903474903479
72,2009-04-16,25550,27600,25250,25950,1402366,0.038000000000000034
73,2009-04-17,26500,26800,24350,24800,697241,-0.04431599229287087
74,2009-04-20,25200,25550,24600,24950,585602,0.006048387096774244
75,2009-04-21,24400,25500,24100,24500,957804,-0.018036072144288595
76,2009-04-22,24950,26150,24400,26100,858015,0.06530612244897949
77,2009-04-23,26650,27750,26150,27750,1015828,0.06321839080459779
78,2009-04-24,28100,28150,26000,26900,901176,-0.03063063063063065
79,2009-04-27,26950,27200,25600,25950,528240,-0.03531598513011147
80,2009-04-28,25850,27150,24250,25800,916741,-0.005780346820809301
81,2009-04-29,26650,26800,24900,26250,1477415,0.01744186046511631
82,2009-04-30,26300,27100,26000,26350,1358696,0.003809523809523707
83,2009-05-04,26800,28400,26600,28300,1195821,0.07400379506641364
84,2009-05-06,28800,29150,27850,28300,890806,0.0
85,2009-05-07,28950,29300,28200,28400,940922,0.0035335689045936647
86,2009-05-08,28400,29650,28300,29500,929019,0.038732394366197236
87,2009-05-11,30050,30300,28350,28600,877559,-0.03050847457627115
88,2009-05-12,28000,29300,27500,27900,875946,-0.024475524475524483
89,2009-05-13,28000,28450,27600,27750,468855,-0.005376344086021501
90,2009-05-14,27150,28350,27100,27200,637768,-0.01981981981981984
91,2009-05-15,27700,27750,26700,27600,640177,0.014705882352941124
92,2009-05-18,27150,27200,25800,26050,819540,-0.0561594202898551
93,2009-05-19,26800,27450,26550,27000,840249,0.036468330134356915
94,2009-05-20,27050,27050,25600,26200,1152585,-0.029629629629629676
95,2009-05-21,26350,27000,26050,26050,821834,-0.005725190839694694
96,2009-05-22,26000,27600,25750,26650,1182078,0.02303262955854124
97,2009-05-25,26800,27000,23300,26300,801332,-0.013133208255159512
98,2009-05-26,26600,26600,25150,25300,393439,-0.03802281368821292
99,2009-05-27,25850,25850,23850,25250,680077,-0.0019762845849802253
100,2009-05-28,24500,25200,24100,25050,424747,-0.007920792079207928
101,2009-05-29,25200,25350,23900,24400,653792,-0.02594810379241519
102,2009-06-01,24350,26250,24100,26250,835067,0.07581967213114749
103,2009-06-02,26800,26800,25650,26150,511052,-0.0038095238095238178
104,2009-06-03,26300,27750,26150,27750,964223,0.061185468451242724
105,2009-06-04,27750,28250,26600,26600,741687,-0.04144144144144146
106,2009-06-05,27150,27300,26650,27000,348824,0.015037593984962516
107,2009-06-08,27050,28000,27000,27850,564977,0.031481481481481444
108,2009-06-09,28250,28250,26500,26900,641002,-0.034111310592459636
109,2009-06-10,27250,28400,27050,28000,871997,0.040892193308550207
110,2009-06-11,28100,28250,27550,27900,358949,-0.003571428571428559
111,2009-06-12,28300,28350,27700,27800,454869,-0.0035842293906810365
112,2009-06-15,27800,27850,26500,27300,435343,-0.017985611510791366
113,2009-06-16,26750,27150,26250,26500,523139,-0.02930402930402931
114,2009-06-17,26150,27000,26150,26550,339944,0.0018867924528302997
115,2009-06-18,26850,28000,26650,27900,955441,0.05084745762711873
116,2009-06-19,28100,29450,27550,28300,518710,0.014336917562723928
117,2009-06-22,28500,28650,27500,28250,306090,-0.0017667844522968323
118,2009-06-23,27500,27500,26200,26200,431071,-0.07256637168141589
119,2009-06-24,26500,26550,24950,25600,668768,-0.022900763358778664
120,2009-06-25,25600,26250,25600,26250,499775,0.025390625
121,2009-06-26,26450,27150,26300,26300,451468,0.0019047619047618536
122,2009-06-29,26500,26650,25650,26100,360071,-0.007604562737642539
123,2009-06-30,26400,26400,26050,26200,314435,0.0038314176245211047
124,2009-07-01,25950,27750,25900,27650,636860,0.055343511450381744
125,2009-07-02,27650,27850,27200,27500,293471,-0.0054249547920434136
126,2009-07-03,27000,28300,26850,28300,369988,0.029090909090909056
127,2009-07-06,28350,28400,27450,27600,301715,-0.02473498233215543
128,2009-07-07,27700,28150,27050,28100,268613,0.018115942028985588
129,2009-07-08,27700,28200,27400,28200,245729,0.003558718861210064
130,2009-07-09,28400,29250,27950,27950,972668,-0.008865248226950341
131,2009-07-10,28200,28250,27100,27400,380137,-0.019677996422182487
132,2009-07-13,27300,27300,25600,25850,547037,-0.05656934306569339
133,2009-07-14,26400,26750,25500,25750,439689,-0.003868471953578312
134,2009-07-15,25950,26650,25950,26600,247132,0.03300970873786402
135,2009-07-16,27000,27450,25650,26300,616214,-0.011278195488721776
136,2009-07-17,26750,26950,26300,26600,229292,0.011406844106463865
137,2009-07-20,27000,28000,26700,27800,916494,0.045112781954887334
138,2009-07-21,28150,28600,27650,28600,940180,0.02877697841726623
139,2009-07-22,28950,29350,28300,29050,643400,0.01573426573426584
140,2009-07-23,29200,29200,28450,29000,565782,-0.0017211703958691649
141,2009-07-24,29250,30300,28450,30300,1210336,0.04482758620689653
142,2009-07-27,30400,30700,29900,30700,648174,0.01320132013201314
143,2009-07-28,30400,30400,29500,29800,531415,-0.02931596091205213
144,2009-07-29,29450,31050,29200,30500,531217,0.02348993288590595
145,2009-07-30,30450,31600,30100,31250,581214,0.024590163934426142
146,2009-07-31,31300,32250,30650,31450,710833,0.006399999999999961
147,2009-08-03,31650,33200,31250,32100,486365,0.020667726550079424
148,2009-08-04,32350,33000,32050,32550,556147,0.014018691588784993
149,2009-08-05,32950,33600,31900,33200,686907,0.019969278033794117
150,2009-08-06,33000,34500,33000,33700,611784,0.015060240963855387
151,2009-08-07,33500,33900,32950,33200,296495,-0.014836795252225475
152,2009-08-10,33600,34200,32700,32700,292615,-0.015060240963855387
153,2009-08-11,32500,33600,32500,33600,368581,0.027522935779816567
154,2009-08-12,33800,34800,33400,34700,475248,0.032738095238095344
155,2009-08-13,35000,35300,33750,34350,687932,-0.010086455331412059
156,2009-08-14,34400,34600,33400,34100,571664,-0.0072780203784570405
157,2009-08-17,34100,34950,33000,33100,520085,-0.029325513196480912
158,2009-08-18,32750,33600,31750,32600,381044,-0.01510574018126887
159,2009-08-19,33000,33250,32500,33000,273181,0.012269938650306678
160,2009-08-20,33650,35150,33250,35150,460461,0.06515151515151517
161,2009-08-21,35550,36700,34700,35900,693469,0.021337126600284417
162,2009-08-24,36600,36800,35750,35900,414843,0.0
163,2009-08-25,36300,36600,35600,35900,199911,0.0
164,2009-08-26,36250,36250,35500,35850,171931,-0.0013927576601671099
165,2009-08-27,35650,37000,35650,37000,519705,0.03207810320781035
166,2009-08-28,37600,37650,36650,37300,213086,0.008108108108108025
167,2009-08-31,37400,38300,35700,38000,376668,0.018766756032171598
168,2009-09-01,37900,38400,37200,38400,526035,0.010526315789473715
169,2009-09-02,37600,38300,37550,37700,309062,-0.01822916666666663
170,2009-09-03,37650,37950,36850,37500,373945,-0.0053050397877983935
171,2009-09-04,37700,37800,36050,37200,408682,-0.008000000000000007
172,2009-09-07,37200,38150,37050,37950,274660,0.020161290322580742
173,2009-09-08,38350,38350,37050,38000,202271,0.0013175230566535578
174,2009-09-09,37700,37850,36200,36500,350672,-0.039473684210526334
175,2009-09-10,36500,37650,36450,37650,299296,0.03150684931506853
176,2009-09-11,37750,37900,36750,37100,302498,-0.014608233731739697
177,2009-09-14,37100,37300,35350,35400,436580,-0.04582210242587603
178,2009-09-15,35750,36300,35350,36300,497937,0.025423728813559254
179,2009-09-16,36500,38950,36500,38800,705519,0.06887052341597788
180,2009-09-17,39500,39600,38250,38500,424326,-0.0077319587628865705
181,2009-09-18,39250,39450,38400,39000,511521,0.01298701298701288
182,2009-09-21,39350,39350,38000,38900,180924,-0.002564102564102555
183,2009-09-22,38900,39450,38550,38900,169316,0.0
184,2009-09-23,38600,38800,37400,37400,252449,-0.03856041131105403
185,2009-09-24,37400,38500,37200,38250,348515,0.02272727272727271
186,2009-09-25,38250,38300,37050,37300,222582,-0.024836601307189562
187,2009-09-28,37200,37200,35800,36100,317993,-0.03217158176943702
188,2009-09-29,36650,36850,35800,36850,231942,0.020775623268697974
189,2009-09-30,36500,37000,36150,36150,291762,-0.018995929443690662
190,2009-10-01,36450,36800,34800,35800,230465,-0.009681881051175623
191,2009-10-05,35000,35200,34300,34350,344473,-0.04050279329608941
192,2009-10-06,34950,35200,33200,34500,359694,0.004366812227074135
193,2009-10-07,35000,36250,34450,35300,348473,0.023188405797101463
194,2009-10-08,35300,37000,34750,37000,319987,0.04815864022662897
195,2009-10-09,37300,38450,36750,38450,372102,0.03918918918918912
196,2009-10-12,38650,38700,37700,37850,309880,-0.015604681404421285
197,2009-10-13,36950,37000,35450,36000,1280252,-0.04887714663143994
198,2009-10-14,35550,36300,35300,36000,869087,0.0
199,2009-10-15,36300,36450,35500,35500,598909,-0.013888888888888841
200,2009-10-16,35800,36600,35600,36400,529554,0.025352112676056304
201,2009-10-19,36500,37500,35700,37500,729358,0.030219780219780112
202,2009-10-20,38100,38150,36850,37300,571427,-0.005333333333333301
203,2009-10-21,37350,38000,37150,37900,376613,0.01608579088471851
204,2009-10-22,37600,38000,37350,37600,451097,-0.0079155672823219
205,2009-10-23,37950,38000,37750,37850,208685,0.0066489361702126715
206,2009-10-26,37650,37650,36700,37150,257295,-0.018494055482166427
207,2009-10-27,37150,38100,36750,38000,349831,0.02288021534320328
208,2009-10-28,37950,38500,37000,37000,337772,-0.02631578947368418
209,2009-10-29,36300,36550,35550,36400,234878,-0.016216216216216158
210,2009-10-30,36800,37200,36500,36900,192489,0.013736263736263687
211,2009-11-02,35800,36500,35750,36000,181990,-0.024390243902439046
212,2009-11-03,36300,37000,34650,34750,363411,-0.03472222222222221
213,2009-11-04,35000,35950,34650,35950,262561,0.03453237410071952
214,2009-11-05,35650,35650,34600,34600,171360,-0.037552155771905404
215,2009-11-06,35000,35200,34550,34750,208682,0.004335260115607031
216,2009-11-09,34600,35050,34300,34600,189741,-0.004316546762589968
217,2009-11-10,35150,35600,34800,34950,242732,0.010115606936416109
218,2009-11-11,35150,35300,34650,35250,133367,0.008583690987124415
219,2009-11-12,35350,35350,34200,34200,251691,-0.029787234042553238
220,2009-11-13,33950,34450,32900,33550,384441,-0.01900584795321636
221,2009-11-16,33200,33450,32500,33450,382431,-0.002980625931445657
222,2009-11-17,33800,33850,32150,32150,450584,-0.03886397608370706
223,2009-11-18,32350,33750,32100,33700,430051,0.04821150855365475
224,2009-11-19,33700,35100,33700,34900,346684,0.035608308605341144
225,2009-11-20,34350,35250,34300,34700,223903,-0.005730659025787954
226,2009-11-23,34750,34900,34100,34400,161167,-0.008645533141210415
227,2009-11-24,34700,34850,33500,33950,285853,-0.01308139534883723
228,2009-11-25,33600,34250,33200,33900,334638,-0.0014727540500736325
229,2009-11-26,33950,35200,33800,34500,367375,0.017699115044247815
230,2009-11-27,33650,33950,31050,31450,315579,-0.08840579710144925
