,date,open,high,low,close,volume,change
0,2009-01-02,9070,9400,8850,9400,460533,0.042128603104212965
1,2009-01-05,9600,9740,9470,9520,609528,0.012765957446808418
2,2009-01-06,9640,10040,9590,9960,901449,0.046218487394958034
3,2009-01-07,10100,10480,9980,10480,827163,0.05220883534136545
4,2009-01-08,10359,10380,10060,10160,613566,-0.03053435114503822
5,2009-01-09,10060,10120,9720,9860,602855,-0.029527559055118058
6,2009-01-12,9800,9960,9740,9790,354360,-0.007099391480730244
7,2009-01-13,9810,9860,9600,9830,351933,0.0040858018386107356
8,2009-01-14,9790,9840,9550,9790,386381,-0.004069175991861629
9,2009-01-15,9490,9490,9150,9190,629006,-0.06128702757916237
10,2009-01-16,9280,9380,9110,9380,445234,0.020674646354733373
11,2009-01-19,9520,9610,9420,9500,382738,0.01279317697228155
12,2009-01-20,9210,9320,9140,9280,369921,-0.023157894736842155
13,2009-01-21,9000,9080,8940,8970,444825,-0.03340517241379315
14,2009-01-22,9280,9280,8990,9220,524424,0.027870680044593144
15,2009-01-23,8950,9030,8770,8840,632513,-0.041214750542299394
16,2009-01-28,9400,9840,9279,9770,919012,0.10520361990950232
17,2009-01-29,9770,9990,9620,9970,656374,0.02047082906857733
18,2009-01-30,9690,9850,9680,9760,386698,-0.02106318956870612
19,2009-02-02,9760,9919,9450,9470,471490,-0.029713114754098324
20,2009-02-03,9770,9980,9470,9800,549025,0.03484688489968324
21,2009-02-04,10100,10400,9990,10360,614068,0.05714285714285716
22,2009-02-05,10399,10720,10260,10420,695839,0.005791505791505891
23,2009-02-06,10720,10900,10580,10900,696621,0.04606525911708248
24,2009-02-09,10900,10960,10420,10540,652399,-0.03302752293577982
25,2009-02-10,10640,10680,10280,10400,497492,-0.013282732447817858
26,2009-02-11,10120,10380,10100,10260,325350,-0.013461538461538414
27,2009-02-12,10140,10400,10019,10400,560429,0.013645224171539905
28,2009-02-13,10220,10380,10079,10220,481436,-0.017307692307692357
29,2009-02-16,10160,10400,10040,10080,327738,-0.013698630136986356
30,2009-02-17,9980,10000,9740,9810,473899,-0.0267857142857143
31,2009-02-18,9760,9780,9550,9560,581210,-0.02548419979612637
32,2009-02-19,9530,9760,9430,9610,529170,0.0052301255230124966
33,2009-02-20,9500,9600,9350,9350,520104,-0.027055150884495286
34,2009-02-23,9300,9700,9220,9700,426559,0.03743315508021383
35,2009-02-24,9400,9450,9280,9350,453439,-0.036082474226804113
36,2009-02-25,9630,9660,9470,9560,418548,0.022459893048128343
37,2009-02-26,9580,9860,9300,9540,439354,-0.0020920502092049986
38,2009-02-27,9500,9860,9410,9540,591657,0.0
39,2009-03-02,9510,9510,9160,9240,495966,-0.03144654088050314
40,2009-03-03,9090,9580,9090,9510,499864,0.029220779220779262
41,2009-03-04,9560,9810,9380,9780,522266,0.028391167192429068
42,2009-03-05,9980,10120,9790,10060,659652,0.028629856850715733
43,2009-03-06,9920,10100,9880,10060,388240,0.0
44,2009-03-09,10200,10320,9950,10300,364505,0.023856858846918568
45,2009-03-10,10100,10360,10040,10080,409733,-0.021359223300970842
46,2009-03-11,10380,10500,10260,10500,531834,0.04166666666666674
47,2009-03-12,10400,10720,10400,10720,1015424,0.020952380952381056
48,2009-03-13,10800,11000,10560,10560,482577,-0.0149253731343284
49,2009-03-16,10520,10719,10340,10460,294232,-0.009469696969697015
50,2009-03-17,10560,10740,10340,10680,404265,0.021032504780114758
51,2009-03-18,10760,10820,10540,10800,338260,0.011235955056179804
52,2009-03-19,10940,10980,10740,10820,390350,0.0018518518518517715
53,2009-03-20,10700,10980,10700,10840,351232,0.001848428835489857
54,2009-03-23,10840,11100,10840,10980,348027,0.012915129151291449
