,date,open,high,low,close,volume,change
0,2009-01-02,12305,13789,12066,13646,2532436,0.13546347145947735
1,2009-01-05,14029,14891,13981,14269,3192670,0.04565440422101719
2,2009-01-06,14508,15034,14316,14843,2365542,0.040227065666830215
3,2009-01-07,14986,15609,14555,15609,2217570,0.05160681802870037
4,2009-01-08,15226,15944,15082,15657,2244124,0.0030751489525273623
5,2009-01-09,15896,16136,14843,14843,1629200,-0.05198952545187452
6,2009-01-12,14412,14891,14172,14795,1062884,-0.003233847604931617
7,2009-01-13,14651,15800,14364,15705,1611358,0.06150726596823253
8,2009-01-14,15465,15800,15226,15705,1765822,0.0
9,2009-01-15,14891,15034,14220,14556,1820057,-0.07316141356255967
10,2009-01-16,14843,15082,14460,14939,1112461,0.026312173674086337
11,2009-01-19,15130,15513,12736,15083,1699284,0.009639199410937715
12,2009-01-20,14843,14891,14220,14891,571880,-0.012729563084267093
13,2009-01-21,14029,14603,13933,13933,1518120,-0.06433416157410521
14,2009-01-22,14555,14747,14220,14604,1570516,0.04815904686715
15,2009-01-23,14364,14938,14268,14508,1259199,-0.006573541495480728
16,2009-01-28,15226,16519,15178,15992,1825440,0.10228839261097322
17,2009-01-29,16231,16231,15609,15609,1228921,-0.02394947473736864
18,2009-01-30,15322,16327,15274,16280,1256669,0.042988019732205666
19,2009-02-02,16136,16662,15417,15801,1846463,-0.02942260442260447
20,2009-02-03,15992,16519,15465,16088,2273035,0.018163407379279798
21,2009-02-04,16423,16710,15992,16423,1581578,0.02082297364495278
22,2009-02-05,16088,16231,15178,15322,1438768,-0.06704012665164705
23,2009-02-06,15705,15800,14603,15274,2416270,-0.0031327502936953078
24,2009-02-09,15609,15657,14891,15131,1168488,-0.009362315045174818
25,2009-02-10,15417,15513,14938,15131,910720,0.0
26,2009-02-11,14651,15800,14555,15418,1628758,0.018967682241755268
27,2009-02-12,15417,15513,14651,14891,1473814,-0.03418082760409913
28,2009-02-13,14699,14843,14412,14604,1705541,-0.0192733866093614
29,2009-02-16,14364,14651,14125,14173,1183413,-0.029512462339085218
30,2009-02-17,14077,14077,12927,12928,1530541,-0.08784308191631973
31,2009-02-18,12640,13885,12544,13455,1626562,0.040764232673267335
32,2009-02-19,13454,13789,12927,13503,896118,0.0035674470457078837
33,2009-02-20,13263,13358,12497,13024,757298,-0.03547359845960152
34,2009-02-23,12880,13885,12497,13694,1344891,0.051443488943488935
35,2009-02-24,13023,13358,12832,13263,815548,-0.031473638089674294
36,2009-02-25,13789,13885,13119,13455,905837,0.014476362813843124
37,2009-02-26,13646,14029,12497,13024,1357177,-0.032032701597919044
38,2009-02-27,13023,13646,12688,13072,1057764,0.0036855036855036882
39,2009-03-02,12688,12784,11874,11875,998375,-0.09156976744186053
40,2009-03-03,11300,12592,11108,12593,1476846,0.06046315789473676
41,2009-03-04,12449,13502,12113,13311,1394569,0.057015802429921436
42,2009-03-05,13454,13694,12832,13119,816233,-0.014424160468785254
43,2009-03-06,12640,13071,12640,12832,481068,-0.02187666742891992
44,2009-03-09,13167,13598,13023,13503,900737,0.05229114713216965
45,2009-03-10,13502,14220,13358,14125,1496979,0.046063837665703884
46,2009-03-11,14795,15322,14555,14795,2322552,0.047433628318584116
47,2009-03-12,14795,14938,14125,14604,1316000,-0.012909766813112513
48,2009-03-13,15034,15178,14412,14412,861152,-0.013147082990961343
49,2009-03-16,14508,14891,14364,14412,471895,0.0
50,2009-03-17,14747,16566,14699,16567,5729105,0.14952817096863735
51,2009-03-18,16950,17285,16471,16711,5181827,0.008691978028610992
52,2009-03-19,17093,17620,16375,16519,2779529,-0.011489438094668179
53,2009-03-20,16519,16997,16231,16998,2225267,0.028996912646043867
54,2009-03-23,17093,17859,16854,17716,2617194,0.04224026356041888
55,2009-03-24,18338,18482,17907,18051,2499440,0.018909460374802345
56,2009-03-25,17907,18482,17716,18482,1396434,0.023876793529444384
57,2009-03-26,18386,18434,17955,18243,1412167,-0.012931500919813876
58,2009-03-27,18003,18051,16758,16902,3410977,-0.07350764676862354
59,2009-03-30,16710,16806,15992,16088,2761567,-0.048159981067329334
60,2009-03-31,16471,16950,16088,16184,2318927,0.0059671805072103465
61,2009-04-01,16327,17907,16183,17237,3223411,0.06506426099851703
62,2009-04-02,17716,17859,17380,17716,2196184,0.027789058420838897
63,2009-04-03,18099,18194,17237,17429,2401142,-0.016200045156920306
64,2009-04-06,17572,18051,17333,17477,2985985,0.0027540306385909212
65,2009-04-07,17285,17476,16854,17189,2049885,-0.016478800709503916
66,2009-04-08,16806,16997,16231,16232,1696104,-0.05567514107859672
67,2009-04-09,16519,17428,16375,17237,2419342,0.0619147363233119
68,2009-04-10,17763,17955,17045,17237,2313143,0.0
69,2009-04-13,17428,18242,17189,17429,3237576,0.011138829262632656
70,2009-04-14,17859,17907,17141,17285,1996067,-0.00826209191577254
71,2009-04-15,16854,17237,16375,16854,1566450,-0.024934914665895255
72,2009-04-16,17189,18003,17093,17142,2868870,0.01708793164827349
73,2009-04-17,17620,17955,17141,17477,2932053,0.019542643798856615
74,2009-04-20,17620,17668,17045,17525,1155528,0.0027464667849173012
75,2009-04-21,16949,17237,16566,17189,1901005,-0.019172610556348117
76,2009-04-22,17237,18434,17093,18339,4439372,0.06690325207981851
77,2009-04-23,18434,19056,18194,18482,3023015,0.007797589835868869
78,2009-04-24,18577,18865,17237,17477,3123484,-0.05437723190130938
79,2009-04-27,17572,17620,16566,16902,2167677,-0.03290038336098877
80,2009-04-28,16949,17045,15848,16040,1993616,-0.05099988167080816
81,2009-04-29,16136,16854,16040,16615,1932863,0.0358478802992519
82,2009-04-30,16854,17476,16758,17189,2551569,0.03454709599759265
83,2009-05-04,17476,18577,17333,18195,2811061,0.05852580138460639
84,2009-05-06,18386,18673,17859,18195,1955454,0.0
