,date,open,high,low,close,volume,change
0,2009-01-02,56036,58163,55482,58164,1252247,0.0844815691831522
1,2009-01-05,59828,61307,58903,61308,1349658,0.054054054054053946
2,2009-01-06,61307,61862,58256,59181,1835245,-0.03469367782344879
3,2009-01-07,59920,62324,59365,60013,2262671,0.014058566093847702
4,2009-01-08,58441,60198,57424,59366,1571927,-0.010780997450552388
5,2009-01-09,60568,61307,58163,58719,1378545,-0.010898494087524857
6,2009-01-12,56591,57701,54742,54835,1115315,-0.06614554062569189
7,2009-01-13,54280,55759,52523,54927,1132987,0.001677760554390506
8,2009-01-14,54927,57239,54280,55575,1040299,0.011797476650827532
9,2009-01-15,52800,54095,50118,50211,1146634,-0.09651821862348177
10,2009-01-16,51321,52708,49933,52708,918303,0.04973013881420396
11,2009-01-19,52893,54095,52153,53818,890427,0.021059421719663133
12,2009-01-20,53170,56129,52430,54650,1455618,0.015459511687539562
13,2009-01-21,51136,52708,51043,51044,1341756,-0.06598353156450132
14,2009-01-22,52708,52800,50951,50951,1072796,-0.0018219575268395567
15,2009-01-23,50396,50488,47714,48362,845732,-0.050813526721752315
16,2009-01-28,49749,55574,49656,55020,1344947,0.13767007154377398
17,2009-01-29,55482,57239,53632,54557,1477635,-0.008415121773900358
18,2009-01-30,53355,55482,53262,55482,799086,0.016954744579064096
19,2009-02-02,55019,56776,54372,55760,903250,0.005010634079521292
20,2009-02-03,56499,58163,55574,57424,995174,0.029842180774748876
21,2009-02-04,58718,59180,56406,57794,1157321,0.006443298969072142
22,2009-02-05,56869,57239,54649,54650,850633,-0.054400110738138885
23,2009-02-06,55482,57331,54557,57332,961314,0.04907593778591024
24,2009-02-09,58903,61030,58718,59643,1415691,0.04030907695527808
25,2009-02-10,60660,60845,57608,59643,662721,0.0
26,2009-02-11,57701,59365,56776,59181,746340,-0.007746089230924014
27,2009-02-12,58718,58903,56314,56407,822510,-0.046873151856170026
28,2009-02-13,57424,58441,57054,57794,699123,0.024589146737107104
29,2009-02-16,57608,59273,57331,57794,671246,0.0
30,2009-02-17,57516,58718,54095,54280,729918,-0.0608021593937087
31,2009-02-18,54095,56129,52708,56129,990456,0.034064112011790826
32,2009-02-19,55667,56684,54187,55852,641121,-0.004935060307505901
33,2009-02-20,54187,55204,49656,51321,1097637,-0.08112511637900166
34,2009-02-23,50858,52060,48639,52061,1068153,0.014419048732487784
35,2009-02-24,49286,49656,45819,47622,1936259,-0.08526536178713429
36,2009-02-25,49194,49471,42906,43045,3140179,-0.09611104111545088
37,2009-02-26,43923,45217,42073,42536,1927645,-0.011824834475548829
38,2009-02-27,42443,44570,42166,43785,1165102,0.02936336279857055
39,2009-03-02,42628,44108,41750,42860,1210508,-0.02112595637775494
40,2009-03-03,40964,43137,40964,42629,1034784,-0.005389640690620645
41,2009-03-04,42073,43969,41010,43785,1623390,0.027117689835557846
42,2009-03-05,44478,44663,41472,42028,1999424,-0.04012789768185454
43,2009-03-06,40686,42536,40224,42536,1026557,0.012087179975254658
44,2009-03-09,43414,44385,42166,42999,1175693,0.010884897498589341
45,2009-03-10,41842,48084,41796,47067,2291832,0.09460685132212387
46,2009-03-11,48546,49379,47067,48547,1535412,0.03144453651178103
47,2009-03-12,48269,49471,47622,49009,1340290,0.009516550971223836
48,2009-03-13,50211,50211,48639,49934,869307,0.01887408435185378
49,2009-03-16,49379,50118,47067,47622,1319341,-0.04630111747506704
50,2009-03-17,48361,52245,47344,52061,1513589,0.09321322078031158
51,2009-03-18,54095,54927,52985,53910,1305964,0.03551602927335251
52,2009-03-19,54464,54742,52338,53633,949195,-0.005138193285104786
53,2009-03-20,53540,54557,50951,52523,1060604,-0.020696213152350262
54,2009-03-23,53077,54095,52245,54095,894717,0.029929745064067207
55,2009-03-24,56221,58533,55944,56962,1352190,0.05299935299011005
56,2009-03-25,56499,58163,55574,57332,1111389,0.006495558442470406
57,2009-03-26,57701,58348,56591,57424,857093,0.0016046884811273812
58,2009-03-27,58163,58441,54834,55482,739921,-0.033818612426859795
59,2009-03-30,54927,57608,53170,54095,740812,-0.024999098806820275
60,2009-03-31,55297,56499,54464,56499,850714,0.044440336445142885
61,2009-04-01,55759,57978,55019,57239,971922,0.013097576948264631
62,2009-04-02,58811,65099,57608,63435,2471612,0.10824787295375526
63,2009-04-03,63434,66023,61770,63342,2149306,-0.0014660676282809426
64,2009-04-06,63342,64729,62324,62972,1030355,-0.005841305926557404
65,2009-04-07,62509,63712,61492,63527,732657,0.008813440894365645
66,2009-04-08,62140,62787,58903,58996,1198920,-0.07132400396681726
67,2009-04-09,59920,62509,59920,61955,1352871,0.050155942775781386
68,2009-04-10,63527,64729,61030,62140,1131419,0.0029860382535711327
69,2009-04-13,62879,62879,60660,60845,959238,-0.020840038622465414
70,2009-04-14,61307,62047,58718,59643,1761713,-0.01975511545730957
71,2009-04-15,58533,61677,57978,59643,1436904,0.0
72,2009-04-16,61307,63249,60568,61493,1647236,0.03101788977750952
73,2009-04-17,62324,63064,59735,61215,1379277,-0.004520839770380314
74,2009-04-20,61585,62602,59920,62602,754571,0.022657845299354662
75,2009-04-21,60845,61955,60290,61493,652532,-0.017715088974793125
76,2009-04-22,61862,62602,60568,61030,1246518,-0.007529312279446421
77,2009-04-23,61492,61585,58626,59736,1721298,-0.02120268720301488
78,2009-04-24,60475,61862,59550,59921,1264326,0.0030969599571448736
79,2009-04-27,60845,62787,60475,60476,1596972,0.0092621952237113
80,2009-04-28,61492,61955,57239,57239,1041122,-0.05352536543422182
81,2009-04-29,58163,58533,56776,58534,622006,0.02262443438914019
82,2009-04-30,59458,62324,59365,62325,1137864,0.06476577715515774
83,2009-05-04,63989,67410,63249,66579,1950639,0.06825511432009622
84,2009-05-06,68428,72126,67780,69630,2553461,0.04582526021718558
85,2009-05-07,71202,73791,70369,73329,1790113,0.0531236535975872
86,2009-05-08,72589,73236,70277,71849,1069789,-0.020183010814275426
87,2009-05-11,71941,74346,71387,72127,577457,0.0038692257373103
88,2009-05-12,71294,71479,69075,69075,996070,-0.04231425125126509
89,2009-05-13,69907,73513,69815,72682,828499,0.052218602967788685
90,2009-05-14,71017,71572,68890,68890,806844,-0.05217247736716102
91,2009-05-15,70277,72034,69075,70000,663799,0.016112643344462274
92,2009-05-18,70000,70647,67595,70277,479383,0.00395714285714277
93,2009-05-19,73236,75363,72496,75363,1203196,0.07237076141554133
94,2009-05-20,75178,79524,74623,78785,1106556,0.045406897283813086
95,2009-05-21,80264,80264,77120,77768,971410,-0.012908548581582746
96,2009-05-22,76010,79339,75548,77675,694147,-0.0011958646229811574
97,2009-05-25,77490,79801,72126,77213,925302,-0.005947859671709077
98,2009-05-26,77212,78229,74531,75641,754385,-0.02035926592672221
99,2009-05-27,77212,77305,71387,72127,1244362,-0.04645628693433457
100,2009-05-28,70924,72959,68335,71849,1040856,-0.0038543125320614773
101,2009-05-29,72126,74346,71849,73976,592535,0.029603752313880568
102,2009-06-01,73976,75363,73606,75363,645137,0.01874932410511509
103,2009-06-02,76750,78414,76380,77952,726224,0.034353727956689666
104,2009-06-03,77952,78599,75825,75826,402205,-0.027273193760262715
105,2009-06-04,75548,75548,72496,73052,652917,-0.03658375755018073
106,2009-06-05,74900,74900,71849,72774,356689,-0.003805508404971847
107,2009-06-08,72311,74993,71756,74069,427282,0.017794816830186688
108,2009-06-09,74531,75270,70277,70277,546977,-0.05119550689222208
109,2009-06-10,70924,72126,69722,71387,540073,0.015794641205515214
110,2009-06-11,71664,74346,71202,72589,604688,0.01683779959936693
111,2009-06-12,73791,73791,71664,72127,478887,-0.00636460069707534
112,2009-06-15,71849,72219,70092,70092,338158,-0.028214122312032908
113,2009-06-16,68982,70739,68150,68336,589319,-0.02505278776465214
114,2009-06-17,68150,69815,66578,67041,496694,-0.01895047998126897
115,2009-06-18,67318,69722,66671,68428,619113,0.020688832207156786
116,2009-06-19,68890,70739,68520,70740,394481,0.0337873385163967
117,2009-06-22,69630,72311,69352,72312,406348,0.022222222222222143
118,2009-06-23,70369,70462,67503,67503,695703,-0.066503484898772
119,2009-06-24,68243,68890,67133,67411,474114,-0.0013629023895234127
120,2009-06-25,67595,70092,67503,69075,305086,0.02468439868864136
121,2009-06-26,70277,70369,68520,70000,310262,0.013391241404270726
122,2009-06-29,69999,70184,67503,68336,598943,-0.023771428571428558
123,2009-06-30,68890,69167,67688,68428,309709,0.0013462889253101904
124,2009-07-01,68335,71202,67965,70185,498501,0.0256766236043724
125,2009-07-02,70924,72496,70924,71017,623097,0.011854384840065624
126,2009-07-03,69537,71664,69537,71387,431341,0.005210020136023674
127,2009-07-06,71202,71571,70277,70647,331003,-0.010366033031224188
128,2009-07-07,70000,71109,69445,70647,408404,0.0
129,2009-07-08,69907,70554,67225,67781,810231,-0.04056789389499904
130,2009-07-09,68150,68428,66763,66764,497048,-0.01500420471813635
131,2009-07-10,67133,67318,64914,65469,777453,-0.01939668084596491
132,2009-07-13,65561,66116,62417,62417,672709,-0.04661748308359681
133,2009-07-14,63712,63989,61955,61955,244231,-0.007401829629748335
134,2009-07-15,62602,64914,62602,63804,368063,0.029844241788394843
135,2009-07-16,64174,66948,64174,66671,611185,0.0449344868660273
136,2009-07-17,67503,69167,66763,67503,498071,0.012479188852724477
137,2009-07-20,67688,69075,67040,68705,474188,0.017806616002251863
138,2009-07-21,69815,71202,68890,68890,527854,0.002692671566843829
139,2009-07-22,70647,72404,70462,71202,958968,0.033560749020177034
140,2009-07-23,71202,73236,70647,72682,574165,0.020785932979410667
141,2009-07-24,73976,75733,73328,74993,732759,0.03179604303679051
142,2009-07-27,75918,75918,74161,75363,436144,0.004933793820756538
143,2009-07-28,74531,77952,74346,77028,545391,0.02209306954340984
144,2009-07-29,76750,79062,76657,78600,501901,0.020408163265306145
145,2009-07-30,78599,81188,77952,81096,389802,0.0317557251908398
146,2009-07-31,81743,82945,78784,81004,638392,-0.0011344579264082055
147,2009-08-03,81281,82391,79062,80172,348436,-0.010271097723569156
148,2009-08-04,80911,86459,80819,84703,848899,0.05651599062016665
149,2009-08-05,86459,87754,85072,85073,635573,0.0043682041958372775
150,2009-08-06,85997,90435,85719,85997,932124,0.010861260329364296
151,2009-08-07,86182,87569,82298,82946,765684,-0.03547798179006245
152,2009-08-10,83778,83870,81558,81836,410265,-0.013382200467774163
153,2009-08-11,81836,84887,81373,83871,469794,0.02486680678430031
154,2009-08-12,84147,84425,82760,83038,241406,-0.009931919256954136
155,2009-08-13,84610,85535,82760,84518,388806,0.01782316529781536
156,2009-08-14,84240,85350,83038,84425,266905,-0.0011003573203340886
157,2009-08-17,84147,84147,78322,79802,495017,-0.05475866153390585
158,2009-08-18,78414,81836,78414,79987,369456,0.00231823763815453
159,2009-08-19,81373,82945,79524,79524,376978,-0.005788440621601
160,2009-08-20,81188,83593,79986,83316,403370,0.0476837181228309
161,2009-08-21,83685,84240,81003,81744,317946,-0.018867924528301886
162,2009-08-24,82760,84147,81373,84148,481685,0.029408886279115313
163,2009-08-25,83685,87846,82945,87107,761692,0.035164234444074786
164,2009-08-26,87569,89881,85904,89604,397701,0.02866589367100225
165,2009-08-27,89048,90898,86737,87847,444581,-0.019608499620552663
166,2009-08-28,89603,90158,87846,89141,277834,0.014730155839129287
167,2009-08-31,89696,91175,88494,88494,338628,-0.0072581640322635374
168,2009-09-01,88494,90251,86459,88771,314999,0.0031301557167717764
169,2009-09-02,86922,87107,85257,86182,450667,-0.02916492998839715
170,2009-09-03,85627,86644,83778,84610,445277,-0.018240467847114198
171,2009-09-04,85350,85535,82021,82299,550443,-0.027313556317220208
172,2009-09-07,82391,83778,79709,80819,590195,-0.017983207572388468
173,2009-09-08,81096,82113,80726,81929,406343,0.01373439413999189
174,2009-09-09,82575,82668,79986,80079,295214,-0.02258052704170688
175,2009-09-10,80541,84147,80449,83686,536727,0.045043020017732534
176,2009-09-11,83685,86459,83130,84425,475935,0.008830628779007199
177,2009-09-14,83778,84517,82575,83223,268336,-0.014237488895469387
178,2009-09-15,84147,85257,84055,85073,279606,0.022229431767660342
179,2009-09-16,85627,87661,85535,86922,381694,0.021734275269474468
180,2009-09-17,88771,89603,88216,88956,360085,0.02340028991509624
181,2009-09-18,89511,89696,86552,87477,621137,-0.016626197221098038
182,2009-09-21,87939,88586,86552,87477,246403,0.0
