,date,open,high,low,close,volume,change
0,2009-01-02,56000,56900,55200,56700,530111,0.030909090909091
1,2009-01-05,57600,58000,56500,57700,682451,0.01763668430335108
2,2009-01-06,57800,61000,57700,60700,1272352,0.051993067590987874
3,2009-01-07,61300,63600,60400,63000,1249766,0.03789126853377267
4,2009-01-08,61500,64200,60600,62700,854859,-0.004761904761904745
5,2009-01-09,63100,63200,60700,61200,355215,-0.02392344497607657
6,2009-01-12,60500,63800,60400,63000,698660,0.02941176470588225
7,2009-01-13,63000,65100,61200,63500,586905,0.007936507936507908
8,2009-01-14,64000,64400,62600,63500,390483,0.0
9,2009-01-15,61700,62600,60000,60000,512295,-0.055118110236220486
10,2009-01-16,61200,65300,60800,64200,585381,0.07000000000000006
11,2009-01-19,64600,69100,64000,67300,681014,0.048286604361370784
12,2009-01-20,66500,68800,64600,66700,479425,-0.008915304606240682
13,2009-01-21,64300,67800,64300,65300,529288,-0.020989505247376302
14,2009-01-22,66800,66800,63400,64200,535662,-0.016845329249617125
15,2009-01-23,63700,64000,61800,63000,498404,-0.01869158878504673
16,2009-01-28,64200,68300,64100,67000,432607,0.06349206349206349
17,2009-01-29,67500,70200,67100,69600,673380,0.0388059701492538
18,2009-01-30,67800,68800,66000,67500,786087,-0.030172413793103425
19,2009-02-02,66100,67200,64300,64700,595048,-0.04148148148148145
20,2009-02-03,65400,67800,65000,66700,527619,0.03091190108191655
21,2009-02-04,68000,68800,67300,67600,308002,0.01349325337331342
22,2009-02-05,66600,68200,66300,66400,335419,-0.017751479289940808
23,2009-02-06,67900,68000,64900,66100,545604,-0.004518072289156572
24,2009-02-09,66700,67700,64600,64600,493779,-0.0226928895612708
25,2009-02-10,65100,65600,63500,65000,417391,0.006191950464396356
26,2009-02-11,63500,64800,63300,64100,336457,-0.013846153846153841
27,2009-02-12,63800,64500,61900,63300,514327,-0.012480499219968744
28,2009-02-13,62800,64800,61600,64200,479379,0.014218009478673022
29,2009-02-16,63700,66900,63600,63700,650205,-0.007788161993769416
30,2009-02-17,63500,66000,63000,63700,749428,0.0
31,2009-02-18,63000,64500,61600,64000,561551,0.0047095761381474865
32,2009-02-19,64000,64900,61800,63900,438323,-0.0015625000000000222
33,2009-02-20,62300,63000,59400,62000,690643,-0.029733959311424082
34,2009-02-23,60900,62100,59400,61700,384238,-0.004838709677419395
35,2009-02-24,59100,60600,59100,60000,349265,-0.027552674230145846
36,2009-02-25,61600,61700,59800,60200,331169,0.0033333333333334107
37,2009-02-26,61000,61400,57000,57500,515494,-0.04485049833887045
38,2009-02-27,57500,58600,57000,57500,283386,0.0
39,2009-03-02,56700,56700,54500,54500,447631,-0.052173913043478286
40,2009-03-03,53000,55700,52800,55000,341623,0.00917431192660545
41,2009-03-04,54500,56100,53300,55500,592044,0.009090909090909037
42,2009-03-05,56100,57900,55800,57000,622872,0.027027027027026973
43,2009-03-06,55100,59900,55100,59300,664427,0.04035087719298236
44,2009-03-09,60100,60200,57200,59000,495591,-0.005059021922428353
45,2009-03-10,57900,58600,57500,57700,557915,-0.02203389830508473
46,2009-03-11,59000,60000,58700,59200,502814,0.025996533795493937
47,2009-03-12,59800,61200,59400,60000,591278,0.0135135135135136
48,2009-03-13,61000,62100,60100,60500,395087,0.008333333333333305
49,2009-03-16,60500,61100,59300,60300,270290,-0.003305785123966953
50,2009-03-17,60800,62000,60200,61300,264445,0.016583747927031434
51,2009-03-18,62300,62300,59100,59600,904641,-0.027732463295269127
52,2009-03-19,59200,59500,56700,56900,1098496,-0.04530201342281881
53,2009-03-20,57800,59100,57500,58700,737754,0.031634446397188036
54,2009-03-23,59400,62200,59300,61500,755261,0.04770017035775132
55,2009-03-24,62500,63900,61300,63000,684430,0.024390243902439046
56,2009-03-25,63100,66500,63100,66500,888676,0.05555555555555558
57,2009-03-26,66400,68900,65100,67000,752963,0.007518796992481258
58,2009-03-27,67200,68000,64600,65900,483182,-0.016417910447761197
59,2009-03-30,64900,67500,64600,64600,391898,-0.019726858877086476
60,2009-03-31,66000,68400,65000,65500,583708,0.01393188854489158
61,2009-04-01,66500,70500,66200,70500,824042,0.07633587786259532
62,2009-04-02,71800,74000,71000,71500,795430,0.014184397163120588
63,2009-04-03,72300,73000,70200,72400,482880,0.012587412587412585
64,2009-04-06,71700,73500,71000,73500,536000,0.015193370165745844
65,2009-04-07,72900,73700,71800,73700,335202,0.0027210884353741087
66,2009-04-08,73000,78100,71800,76500,874449,0.037991858887381325
67,2009-04-09,77000,79900,75400,78500,504223,0.02614379084967311
68,2009-04-10,79000,79900,76100,77800,445048,-0.008917197452229297
69,2009-04-13,77100,77800,75500,75500,560810,-0.029562982005141406
70,2009-04-14,75400,77600,74500,76000,489634,0.006622516556291425
71,2009-04-15,75200,77600,74200,77400,401730,0.01842105263157889
72,2009-04-16,78100,79100,75600,76000,391370,-0.018087855297157614
73,2009-04-17,76600,79200,75800,77900,578871,0.024999999999999908
74,2009-04-20,79000,79500,76700,77500,266528,-0.005134788189987138
75,2009-04-21,75500,87200,75500,84300,871732,0.08774193548387088
76,2009-04-22,86700,90000,85400,87700,750035,0.04033214709371302
77,2009-04-23,87400,90000,86100,88300,561949,0.0068415051311288
78,2009-04-24,88800,90900,86100,87700,486315,-0.006795016987542479
79,2009-04-27,86800,88200,84600,86500,401554,-0.013683010262257713
80,2009-04-28,86500,87400,83100,83100,375132,-0.03930635838150287
81,2009-04-29,85000,90100,83800,90000,764590,0.08303249097472931
82,2009-04-30,91500,94900,91100,92000,623133,0.022222222222222143
83,2009-05-04,93700,93700,89500,92500,438612,0.005434782608695564
84,2009-05-06,90600,91300,88400,89800,658048,-0.029189189189189224
85,2009-05-07,89700,89800,85700,87900,878986,-0.0211581291759465
86,2009-05-08,87900,89000,85900,87300,366188,-0.006825938566552892
87,2009-05-11,87700,89300,87000,88000,387904,0.008018327605956443
88,2009-05-12,86700,90000,86700,87800,430303,-0.0022727272727273147
89,2009-05-13,88600,88900,86600,88900,365478,0.01252847380410027
90,2009-05-14,87900,89200,86600,86600,315102,-0.025871766029246342
91,2009-05-15,87400,92100,87100,90100,756041,0.040415704387990685
92,2009-05-18,92200,93800,90000,91000,777350,0.009988901220865598
93,2009-05-19,93000,93200,90800,92900,456309,0.0208791208791208
94,2009-05-20,92700,97900,92600,97900,689568,0.05382131324004314
95,2009-05-21,97900,99800,93700,94500,653076,-0.03472931562819204
96,2009-05-22,93000,98900,92700,95600,859955,0.011640211640211671
97,2009-05-25,95200,96900,83500,94800,506363,-0.008368200836820106
98,2009-05-26,94600,94800,91200,92100,482529,-0.02848101265822789
99,2009-05-27,95800,104500,95200,102000,1965220,0.10749185667752448
100,2009-05-28,102000,103000,98100,101500,759421,-0.004901960784313708
101,2009-05-29,102000,107000,99800,103500,912774,0.01970443349753692
102,2009-06-01,104000,106500,103000,105500,403428,0.019323671497584627
103,2009-06-02,106500,106500,99800,102000,784518,-0.033175355450236976
104,2009-06-03,101500,101500,98700,101500,512233,-0.004901960784313708
105,2009-06-04,101500,101500,97000,97000,539871,-0.04433497536945808
106,2009-06-05,97600,99400,92300,95900,946083,-0.01134020618556697
107,2009-06-08,97200,99700,97100,97700,581504,0.01876955161626692
108,2009-06-09,99100,99200,92500,92800,993881,-0.050153531218014365
109,2009-06-10,95000,95700,92400,95700,713688,0.03125
110,2009-06-11,95600,96800,94600,95000,431849,-0.007314524555903867
111,2009-06-12,95600,97600,95400,96500,456432,0.015789473684210575
112,2009-06-15,95800,96400,93400,93900,337415,-0.026943005181347183
113,2009-06-16,93000,94900,92400,94000,273233,0.0010649627263046302
114,2009-06-17,94000,94900,92800,93900,223338,-0.0010638297872340716
115,2009-06-18,93800,96500,93100,93600,395891,-0.0031948881789137795
116,2009-06-19,95000,99600,94700,99000,995196,0.05769230769230771
117,2009-06-22,100500,103000,98000,99300,798749,0.0030303030303029392
118,2009-06-23,97400,98200,95800,96100,512547,-0.032225579053373636
119,2009-06-24,97400,99600,96900,99200,591798,0.032258064516129004
120,2009-06-25,99900,104000,99800,103500,924424,0.04334677419354849
121,2009-06-26,105000,106000,102000,104500,760964,0.009661835748792312
122,2009-06-29,105500,109000,102000,105500,644068,0.009569377990430672
123,2009-06-30,105000,106000,100500,103500,649250,-0.018957345971563955
124,2009-07-01,101500,103500,99900,100000,418279,-0.03381642512077298
125,2009-07-02,101000,103500,100000,101000,349506,0.010000000000000007
126,2009-07-03,99100,104500,99000,104000,333107,0.029702970297029733
127,2009-07-06,104000,105000,102500,105000,291037,0.00961538461538458
128,2009-07-07,104500,107500,104000,106500,482548,0.014285714285714237
129,2009-07-08,105500,106000,104000,106000,263007,-0.00469483568075113
130,2009-07-09,107000,109500,105000,105000,399510,-0.009433962264150941
131,2009-07-10,106500,108500,102000,102500,464409,-0.02380952380952384
132,2009-07-13,101500,102000,96800,97000,551572,-0.0536585365853659
133,2009-07-14,98900,103000,98300,100000,588042,0.030927835051546282
134,2009-07-15,102500,104000,102000,102500,293855,0.024999999999999908
135,2009-07-16,103500,103500,99700,101000,462115,-0.014634146341463428
136,2009-07-17,101500,104000,101000,102000,369523,0.00990099009900991
137,2009-07-20,103500,107500,102500,107500,585114,0.05392156862745101
138,2009-07-21,107500,107500,103500,104500,496138,-0.027906976744186074
139,2009-07-22,105000,105500,101500,104000,549220,-0.004784688995215336
140,2009-07-23,104500,108000,104000,105000,452713,0.00961538461538458
141,2009-07-24,106500,106500,103000,105000,281369,0.0
142,2009-07-27,105500,106500,104500,106000,360283,0.00952380952380949
143,2009-07-28,105000,106000,103000,103500,350176,-0.02358490566037741
144,2009-07-29,103500,103500,100000,100000,594737,-0.03381642512077298
145,2009-07-30,100000,101500,98300,99900,663462,-0.0010000000000000009
146,2009-07-31,100500,102000,99600,102000,517695,0.021021021021021102
147,2009-08-03,103000,111000,101000,110000,1349620,0.07843137254901955
148,2009-08-04,113000,114000,107500,109000,1433540,-0.009090909090909037
149,2009-08-05,109500,110000,106500,107000,486614,-0.01834862385321101
150,2009-08-06,106500,111000,106000,111000,589742,0.03738317757009346
151,2009-08-07,110500,114000,108000,110500,531267,-0.004504504504504458
152,2009-08-10,110500,115500,110000,114500,849649,0.03619909502262453
153,2009-08-11,114500,118500,114000,118500,795869,0.03493449781659397
154,2009-08-12,117500,121500,115500,121500,805225,0.025316455696202445
155,2009-08-13,122500,123500,120000,120500,524025,-0.008230452674897082
156,2009-08-14,122000,124000,117500,119500,553446,-0.008298755186721962
157,2009-08-17,120000,124500,118500,120500,694103,0.008368200836819994
158,2009-08-18,119500,126000,119000,126000,779385,0.04564315352697101
159,2009-08-19,128500,132500,126500,127000,1070996,0.007936507936507908
160,2009-08-20,128500,132500,124500,131500,814301,0.03543307086614167
161,2009-08-21,131000,137000,129500,136500,676648,0.03802281368821303
162,2009-08-24,139500,149000,138500,146000,813310,0.06959706959706957
163,2009-08-25,144000,149000,142500,146500,622772,0.003424657534246478
164,2009-08-26,146500,147000,138000,138500,857176,-0.054607508532423236
