,date,open,high,low,close,volume,change
0,2009-01-02,11673,12955,11363,12956,4240112,0.1445229681978799
1,2009-01-05,13309,14193,13176,13487,5869293,0.0409848718740351
2,2009-01-06,13706,14281,13309,14283,3705551,0.0590197968414028
3,2009-01-07,14414,14856,13927,14592,5224814,0.0216341104809914
4,2009-01-08,14237,15077,14060,14858,4039538,0.01822916666666674
5,2009-01-09,15166,15254,14104,14150,4345297,-0.04765109705209314
6,2009-01-12,13706,14104,13309,13929,3165707,-0.015618374558303838
7,2009-01-13,13883,14812,13618,14814,4033619,0.06353650656902854
8,2009-01-14,14724,15122,14547,14902,3019206,0.005940326717969402
9,2009-01-15,14149,14237,13441,13575,3516465,-0.08904844987250038
10,2009-01-16,13927,14281,13795,14194,2343088,0.045598526703499065
11,2009-01-19,14326,14768,13972,14415,2522831,0.015569959137663902
12,2009-01-20,14237,14326,13618,13929,2110700,-0.03371488033298642
13,2009-01-21,13088,14104,13088,13796,2366001,-0.009548424151051726
14,2009-01-22,14414,14414,13839,13929,2343922,0.009640475500144907
15,2009-01-23,13795,14326,13529,13929,2274499,0.0
16,2009-01-28,14591,15166,14458,14945,4140457,0.0729413453945007
17,2009-01-29,15033,15077,14635,14637,2954613,-0.020608899297423933
18,2009-01-30,14414,15210,14370,15211,2201069,0.03921568627450989
19,2009-02-02,15254,15741,14591,14681,4545942,-0.03484320557491294
20,2009-02-03,14945,15387,14679,15299,3434293,0.04209522512090458
21,2009-02-04,15564,15652,15166,15520,3405400,0.014445388587489337
22,2009-02-05,15299,15343,14281,14504,3785006,-0.06546391752577319
23,2009-02-06,14945,15033,13972,14681,4857698,0.012203530060672874
24,2009-02-09,14989,15033,14326,14371,2816805,-0.021115727811456986
25,2009-02-10,14679,14768,13972,14150,2458015,-0.015378192192610163
26,2009-02-11,13618,14502,13574,14415,2674101,0.018727915194346245
27,2009-02-12,14281,14370,13750,13929,2393458,-0.03371488033298642
28,2009-02-13,13795,14060,13750,14062,1814069,0.009548424151051726
29,2009-02-16,13883,14193,13352,13487,2276770,-0.04089034276774284
30,2009-02-17,13352,13441,12425,12514,2433417,-0.07214354563653891
31,2009-02-18,12336,13221,12115,12912,3541283,0.031804379095413234
32,2009-02-19,13000,13265,12336,12779,2230412,-0.010300495662949216
33,2009-02-20,12557,12690,11717,11894,2245739,-0.0692542452461069
34,2009-02-23,11805,13132,11673,13044,2772667,0.0966874054144946
35,2009-02-24,12380,12823,12248,12558,2372021,-0.03725850965961364
36,2009-02-25,13221,13485,12336,12514,3438073,-0.003503742634177409
37,2009-02-26,12823,13265,12159,12514,3174721,0.0
38,2009-02-27,12513,13000,12248,12646,2101626,0.010548186031644535
39,2009-03-02,12336,12336,11540,11762,2610433,-0.06990352680689549
40,2009-03-03,11319,12026,11186,11939,2342521,0.01504846114606351
41,2009-03-04,11805,12690,11540,12646,3025529,0.059217689923779286
42,2009-03-05,12823,12955,12203,12381,2553447,-0.02095524276451055
43,2009-03-06,11938,12292,11894,12160,1807243,-0.01784993134641788
44,2009-03-09,12469,13000,12336,12956,2990689,0.06546052631578947
45,2009-03-10,12778,13662,12778,13442,3403570,0.03751157764742197
46,2009-03-11,13972,14370,13662,13796,5346299,0.02633536676089876
47,2009-03-12,13750,13972,13397,13929,2526529,0.009640475500144907
48,2009-03-13,14281,14458,13750,13752,2249228,-0.012707301313805708
49,2009-03-16,13883,14193,13706,13708,1418879,-0.003199534613147148
50,2009-03-17,14016,15741,13972,15741,10089524,0.1483075576305808
51,2009-03-18,16051,16360,15697,15918,6557511,0.011244520678483028
52,2009-03-19,16272,16846,15608,15697,5957796,-0.013883653725342391
53,2009-03-20,15785,16006,15343,15963,4142597,0.016945913231827703
54,2009-03-23,16139,16713,16006,16538,4066099,0.036020798095596
55,2009-03-24,17200,17376,16757,17157,5005174,0.03742895150562342
56,2009-03-25,16978,17465,16801,17466,2261988,0.018010141633152617
57,2009-03-26,17509,17553,16934,17245,3145600,-0.012653154700561052
58,2009-03-27,17244,17288,16139,16272,5417414,-0.05642215134821683
59,2009-03-30,16183,16449,15520,15741,3290911,-0.03263274336283184
60,2009-03-31,16272,16801,16139,16228,3957775,0.030938313957181936
61,2009-04-01,16404,17996,16139,17201,7172463,0.059958097116095566
62,2009-04-02,17598,17863,17376,17776,4265280,0.033428289052962024
63,2009-04-03,18128,18128,17465,17643,3903815,-0.0074819981998199845
64,2009-04-06,17775,18526,17509,17865,4952442,0.012582894065635177
65,2009-04-07,17686,17863,17244,17865,3358069,0.0
66,2009-04-08,17421,17421,16493,16538,5305097,-0.07427931710047575
67,2009-04-09,16890,17686,16801,17599,4926715,0.06415527875196525
68,2009-04-10,18128,18394,17509,17865,4717328,0.015114495141769437
69,2009-04-13,17996,18925,17686,18174,6069635,0.017296389588580933
70,2009-04-14,18748,18925,18040,18262,4308759,0.004842082095301015
71,2009-04-15,17819,18571,17288,18041,3649346,-0.012101631803745459
72,2009-04-16,18526,19146,18173,18218,4984626,0.00981098608724573
73,2009-04-17,18659,19278,18305,18748,5820880,0.029092106707651718
74,2009-04-20,18836,19013,18394,18837,2422304,0.004747173031790064
75,2009-04-21,18305,18880,17996,18881,2719416,0.002335828422785013
76,2009-04-22,19146,19632,18748,19190,4428774,0.016365658598591182
77,2009-04-23,19323,19721,19013,19279,2432036,0.0046378322042730505
78,2009-04-24,19323,19455,18128,18571,3320246,-0.036723896467659056
79,2009-04-27,18571,18659,17553,17643,3555491,-0.04997038393193687
80,2009-04-28,17819,17951,16404,16759,4038707,-0.050104857450546936
81,2009-04-29,17023,18084,16890,18041,3614048,0.07649621099110915
82,2009-04-30,18394,18748,18217,18571,3209783,0.029377528961809233
83,2009-05-04,19102,19544,18748,19190,3950466,0.03333153842011738
84,2009-05-06,19455,20029,19057,19456,3811565,0.013861386138613874
85,2009-05-07,20162,21224,20118,20340,9007745,0.04543585526315797
86,2009-05-08,20472,20826,19898,20827,2948472,0.02394296951819075
87,2009-05-11,20914,21224,20560,20694,2861714,-0.0063859413261631035
88,2009-05-12,20383,20604,19985,20340,1988215,-0.01710640765439253
89,2009-05-13,20604,20604,19721,20473,2378346,0.00653883972468039
90,2009-05-14,19809,19941,19278,19279,3176419,-0.058320715088164936
