,date,open,high,low,close,volume,change
0,2009-01-02,13100,13350,12900,13000,726035,0.011673151750972721
1,2009-01-05,13150,13900,13000,13600,1542772,0.04615384615384621
2,2009-01-06,13650,14000,13600,13800,811898,0.014705882352941124
3,2009-01-07,13800,14700,13700,14500,1311238,0.050724637681159424
4,2009-01-08,14300,15150,14250,14250,776554,-0.017241379310344862
5,2009-01-09,14500,14500,13900,14100,454037,-0.010526315789473715
6,2009-01-12,13900,14700,13800,14050,393557,-0.0035460992907800915
7,2009-01-13,14150,14450,13950,14400,262394,0.02491103202846978
8,2009-01-14,14250,14700,14250,14650,370629,0.01736111111111116
9,2009-01-15,14050,14500,13400,13400,412652,-0.08532423208191131
10,2009-01-16,13600,14150,13550,14100,241861,0.052238805970149294
11,2009-01-19,14300,14450,14050,14200,289680,0.007092198581560183
12,2009-01-20,14200,14200,13500,13500,196789,-0.04929577464788737
13,2009-01-21,12800,13450,12800,12900,173240,-0.0444444444444444
14,2009-01-22,13250,13250,12500,12550,627337,-0.027131782945736482
15,2009-01-23,12400,12750,12200,12200,462385,-0.027888446215139414
16,2009-01-28,12600,12950,12550,12850,321125,0.05327868852459017
17,2009-01-29,12950,13100,12650,12650,308781,-0.015564202334630297
18,2009-01-30,12750,13200,12750,12900,387104,0.019762845849802483
19,2009-02-02,12800,13100,12650,12750,217760,-0.011627906976744208
20,2009-02-03,12800,13350,12650,13150,385380,0.031372549019607954
21,2009-02-04,13350,13550,13250,13350,349100,0.01520912547528508
22,2009-02-05,13250,13300,12600,12750,490048,-0.0449438202247191
23,2009-02-06,13000,13200,12700,13200,382603,0.03529411764705892
24,2009-02-09,13450,14150,13350,13600,808723,0.03030303030303028
25,2009-02-10,14000,14000,13600,13750,277931,0.011029411764705843
26,2009-02-11,13300,14500,13250,14500,658210,0.05454545454545445
27,2009-02-12,14300,14800,14150,14350,537850,-0.010344827586206915
28,2009-02-13,14300,14650,13900,14300,692548,-0.003484320557491261
29,2009-02-16,14300,14600,14100,14150,468235,-0.010489510489510523
30,2009-02-17,14000,14950,13750,14100,1108889,-0.0035335689045936647
