,date,open,high,low,close,volume,change
0,2009-01-02,9377,9510,9072,9165,499568,-0.032411317567567544
1,2009-01-05,9291,9335,8725,8989,843589,-0.01920349154391709
2,2009-01-06,8854,9115,8724,8815,587155,-0.019356991878963226
3,2009-01-07,8810,8985,8495,8948,1578283,0.015087918321043725
4,2009-01-08,8941,8985,8706,8948,820154,0.0
5,2009-01-09,8854,9421,8724,9165,1096635,0.0242512293249888
6,2009-01-12,9159,9247,8810,8860,480955,-0.03327877795962897
7,2009-01-13,8854,9072,8706,9078,463270,0.024604966139954776
8,2009-01-14,9072,9115,8810,8948,396771,-0.0143203348755232
9,2009-01-15,8810,8854,8567,8685,747811,-0.029392042914617836
10,2009-01-16,8575,8768,8558,8695,361883,0.0011514104778354015
11,2009-01-19,8810,9160,8679,9165,775356,0.054054054054053946
12,2009-01-20,9160,9421,8810,9385,712469,0.0240043644298964
13,2009-01-21,9072,9682,9029,9646,687804,0.027810335641981883
14,2009-01-22,9683,9727,9335,9338,585711,-0.03193033381712629
15,2009-01-23,9247,9727,9115,9690,497306,0.037695437995288066
16,2009-01-28,9682,9900,9597,9776,619931,0.008875128998967918
17,2009-01-29,9815,9901,9639,9690,429023,-0.008797054009820005
18,2009-01-30,9553,9771,9377,9472,270963,-0.022497420020639813
19,2009-02-02,9291,9464,8941,8948,424622,-0.055320945945945936
20,2009-02-03,9072,9115,8810,9078,555454,0.014528386231560162
21,2009-02-04,9204,9291,8985,9034,571847,-0.004846882573254052
22,2009-02-05,8985,9073,8810,8860,484358,-0.019260571175559016
23,2009-02-06,8897,9115,8768,9122,839278,0.029571106094808064
24,2009-02-09,9072,9159,8897,8948,472407,-0.019074764306073244
25,2009-02-10,8986,9115,8941,8989,478270,0.004582029503799712
26,2009-02-11,8897,9029,8810,8989,242837,0.0
27,2009-02-12,9072,9115,8810,9122,3315307,0.014795861608632775
28,2009-02-13,9115,9465,8941,9427,597176,0.03343565007673765
29,2009-02-16,9291,9945,9291,9862,1113596,0.04614405431208235
30,2009-02-17,9858,9858,9377,9385,597097,-0.04836747110119655
31,2009-02-18,9247,10600,9072,10561,1550744,0.12530633990410234
32,2009-02-19,10644,10819,10164,10299,793157,-0.024808256793864225
33,2009-02-20,10293,11123,10076,10694,1103198,0.03835323817846392
34,2009-02-23,10774,11037,10557,10910,789725,0.02019824200486253
35,2009-02-24,10731,11255,10293,11086,828912,0.016131989000916613
36,2009-02-25,11255,11778,11079,11348,1132891,0.023633411510012525
37,2009-02-26,11473,12129,11255,11392,995079,0.0038773352132535077
38,2009-02-27,11211,11604,10774,11479,944777,0.007636938202247202
39,2009-03-02,11691,11691,10862,10997,676250,-0.04198972035891624
40,2009-03-03,10687,11079,10600,10694,562909,-0.027552968991543136
41,2009-03-04,10687,11211,10600,11086,693093,0.03665606882363948
42,2009-03-05,11037,11255,10906,11216,589360,0.01172650189428115
43,2009-03-06,11168,11734,11123,11653,448634,0.03896219686162628
