,date,open,high,low,close,volume,change
0,2009-01-02,33800,34600,33600,34550,582830,0.03753753753753752
1,2009-01-05,35050,35200,34450,34650,721118,0.002894356005788801
2,2009-01-06,34800,36600,34750,36400,1928910,0.050505050505050615
3,2009-01-07,36700,37500,36400,36850,1547500,0.01236263736263732
4,2009-01-08,36350,38050,35900,37500,1684063,0.01763907734056991
5,2009-01-09,38000,38000,36200,36900,957928,-0.016000000000000014
6,2009-01-12,36100,37350,36100,36750,679343,-0.004065040650406471
7,2009-01-13,36700,36950,36000,36600,547211,-0.0040816326530612726
8,2009-01-14,36900,37800,36150,37650,619348,0.028688524590164025
9,2009-01-15,36300,36450,34300,35000,944460,-0.07038512616201864
10,2009-01-16,35600,36850,35050,36300,1022410,0.03714285714285714
11,2009-01-19,37000,38200,36750,38050,1330515,0.04820936639118467
12,2009-01-20,37500,37750,36350,37100,685781,-0.02496714848883053
13,2009-01-21,35600,36350,35500,36200,620899,-0.02425876010781669
14,2009-01-22,37000,37100,35600,35750,534060,-0.012430939226519387
15,2009-01-23,33900,34600,33100,33200,1466533,-0.07132867132867138
16,2009-01-28,33550,34200,33550,34100,984582,0.02710843373493965
17,2009-01-29,34350,34700,33250,33900,1195423,-0.0058651026392961825
18,2009-01-30,33300,34450,33300,34400,659428,0.014749262536873253
19,2009-02-02,33950,34700,33600,33900,595572,-0.01453488372093026
20,2009-02-03,34000,34700,33450,34550,1082320,0.019174041297935096
21,2009-02-04,35100,35250,34350,34650,1090245,0.002894356005788801
22,2009-02-05,34300,36950,34200,35600,2709470,0.02741702741702734
23,2009-02-06,36550,37150,36300,36950,1579578,0.037921348314606806
24,2009-02-09,37350,37450,36200,36950,1049575,0.0
25,2009-02-10,38400,38750,37700,38500,2011577,0.041948579161028336
26,2009-02-11,38000,40250,37700,39900,2499732,0.036363636363636376
27,2009-02-12,39900,40000,38600,39600,1335547,-0.007518796992481258
28,2009-02-13,39400,41500,38750,41100,1315727,0.03787878787878785
29,2009-02-16,41500,43800,41200,42800,2175164,0.04136253041362537
30,2009-02-17,42850,44650,41200,42600,3713778,-0.004672897196261627
31,2009-02-18,42750,44700,42000,44000,2402966,0.03286384976525825
32,2009-02-19,44300,44950,41300,41300,1717434,-0.0613636363636364
33,2009-02-20,40750,42400,39700,41500,1423394,0.004842615012106588
34,2009-02-23,41500,43100,41300,42800,1124894,0.03132530120481936
35,2009-02-24,41300,43300,40650,41650,1142181,-0.026869158878504718
36,2009-02-25,42800,42850,39900,41100,848162,-0.013205282112845107
37,2009-02-26,41350,42250,39050,39900,784022,-0.029197080291970767
38,2009-02-27,40600,42250,40000,40750,924844,0.02130325814536338
39,2009-03-02,41000,42700,40800,41600,1219814,0.02085889570552157
40,2009-03-03,40600,42950,40550,42850,1204514,0.030048076923076875
41,2009-03-04,43150,43950,42300,42850,1105058,0.0
42,2009-03-05,43250,44750,42250,43200,1445889,0.008168028004667427
43,2009-03-06,42500,46300,42250,45150,2142481,0.04513888888888884
44,2009-03-09,47000,47550,46350,46750,1510155,0.03543743078626793
45,2009-03-10,46400,47250,43600,44100,2316199,-0.056684491978609586
46,2009-03-11,44700,47600,44200,46900,2141942,0.06349206349206349
47,2009-03-12,47300,47700,45700,46150,1640075,-0.015991471215351827
48,2009-03-13,46500,46600,44550,45500,1195872,-0.014084507042253502
49,2009-03-16,44400,44850,43400,44200,1669556,-0.02857142857142858
50,2009-03-17,44300,45150,44250,45050,1047367,0.01923076923076916
51,2009-03-18,46250,46750,45200,45200,1052646,0.003329633740288607
52,2009-03-19,45500,45950,43750,44200,939042,-0.02212389380530977
53,2009-03-20,44250,45000,43800,44300,777776,0.002262443438914019
54,2009-03-23,44900,45550,44500,45450,874591,0.025959367945823875
55,2009-03-24,46100,46200,45000,45400,809657,-0.0011001100110010764
56,2009-03-25,45200,46100,44600,46100,853758,0.01541850220264318
57,2009-03-26,46100,48350,45500,48050,2189315,0.042299349240780826
58,2009-03-27,48300,49500,46850,46850,1423582,-0.024973985431841816
59,2009-03-30,47450,48200,47050,47100,1057949,0.005336179295624355
60,2009-03-31,47950,49150,47700,48800,1233034,0.03609341825902335
61,2009-04-01,49200,51000,48350,49700,1478194,0.01844262295081966
62,2009-04-02,50300,50500,49100,49500,1606704,-0.004024144869215318
