,date,open,high,low,close,volume,change
0,2009-01-02,187133,197125,183045,194401,841449,0.07268152448007759
1,2009-01-05,198942,199851,194400,195764,497264,0.0070112808061686405
2,2009-01-06,193946,199851,193946,199851,544534,0.020877178643673
3,2009-01-07,200758,217564,198034,211206,709826,0.05681732891003799
4,2009-01-08,205755,214385,203484,204394,510403,-0.032252871604026456
5,2009-01-09,208480,211660,199396,199398,469995,-0.02444298756323571
6,2009-01-12,194855,198034,188495,188950,443273,-0.052397717128557016
7,2009-01-13,188041,194400,182136,194401,514504,0.02884890182587996
8,2009-01-14,192583,195308,189858,194401,313673,0.0
9,2009-01-15,182590,186678,175778,175778,671246,-0.09579683232082137
10,2009-01-16,178957,180774,169418,176233,787608,0.0025884923027910127
11,2009-01-19,178502,186224,178502,182592,535280,0.03608291296181765
12,2009-01-20,181683,181683,173506,175778,455770,-0.03731817385208558
13,2009-01-21,165785,179866,165785,171690,594171,-0.02325660776661476
14,2009-01-22,177594,179411,171235,171690,512882,0.0
15,2009-01-23,168056,171235,163968,167149,494997,-0.02644883219756533
16,2009-01-28,170781,179411,170781,179412,491363,0.07336567972288187
17,2009-01-29,181228,183953,175323,176687,581304,-0.015188504670813563
18,2009-01-30,177594,183499,175778,181683,704945,0.028275990876521776
19,2009-02-02,179411,191674,176686,186679,754959,0.02749844509392729
20,2009-02-03,189403,194400,184407,190767,544024,0.02189855313131095
21,2009-02-04,196671,201667,193946,201668,670908,0.05714300691419383
22,2009-02-05,199396,211206,197125,199851,687415,-0.009009857786064224
23,2009-02-06,206209,209389,202575,207573,461872,0.03863878589549219
24,2009-02-09,212568,214385,202575,203031,454662,-0.021881458571201492
25,2009-02-10,207118,209843,197125,198489,492878,-0.022370967980259168
26,2009-02-11,191220,203484,190312,202577,547702,0.020595599756157768
27,2009-02-12,202575,204392,198034,199851,388130,-0.013456611560048735
28,2009-02-13,201213,204846,198488,204848,374593,0.02500362770263842
29,2009-02-16,200758,207572,198034,198034,288429,-0.03326368819807857
30,2009-02-17,195308,197125,184407,185771,466848,-0.061923710069987974
31,2009-02-18,181683,186224,178048,181683,505102,-0.022005587524425274
32,2009-02-19,183499,189858,179865,181229,612853,-0.0024988579008492487
33,2009-02-20,178048,181228,160789,164877,806299,-0.09022838508185772
34,2009-02-23,162151,173961,161697,172599,681088,0.04683491329900469
35,2009-02-24,164422,166694,161697,162606,444131,-0.057897206820433526
36,2009-02-25,168964,169873,158518,163061,577475,0.002798174729099712
37,2009-02-26,163968,169873,158063,160789,585198,-0.013933435953416229
38,2009-02-27,160789,166694,159880,161244,456234,0.002829795570592486
39,2009-03-02,158063,158518,150796,151251,517632,-0.061974399047406425
40,2009-03-03,146253,157609,145800,156701,540312,0.036032819617721534
41,2009-03-04,157609,166694,152158,166694,562173,0.06377113100746001
42,2009-03-05,169873,171690,159426,161698,663662,-0.029971084742102305
43,2009-03-06,156701,160334,154430,159427,457578,-0.01404470061472618
44,2009-03-09,163514,165330,155792,160789,453950,0.008543094958821218
45,2009-03-10,158063,168056,157609,166240,452890,0.033901572868790815
46,2009-03-11,172144,174414,169873,172599,395803,0.03825192492781526
47,2009-03-12,172598,173961,166239,173507,557790,0.005260748903527901
48,2009-03-13,175778,178048,168510,172145,417587,-0.007849827384485919
49,2009-03-16,169418,173052,161697,163515,521651,-0.05013215603125276
50,2009-03-17,165785,172598,163514,172145,446704,0.0527780325963978
51,2009-03-18,175323,178048,171690,173961,392942,0.010549246274942579
52,2009-03-19,175323,177140,170781,172145,278248,-0.010439121412270548
53,2009-03-20,176686,178502,173961,174870,418767,0.015829678468732844
54,2009-03-23,177140,184407,176686,184409,429844,0.054549093612397785
55,2009-03-24,189858,190767,181683,186679,696544,0.01230959443411117
56,2009-03-25,183953,190312,181683,190313,447862,0.019466570958704518
57,2009-03-26,190312,191220,184862,190313,363363,0.0
58,2009-03-27,191220,194400,188495,190767,451675,0.0023855438146631602
59,2009-03-30,190767,192129,179866,179866,415122,-0.057143006914193724
60,2009-03-31,181683,185316,177594,177595,403464,-0.012626066071408705
61,2009-04-01,178502,183045,177140,182592,366303,0.028137053408035184
62,2009-04-02,185316,192583,183499,192129,573449,0.05223120399579395
63,2009-04-03,194400,194855,188041,191676,422161,-0.002357790859266462
64,2009-04-06,193037,202575,192129,198489,536151,0.035544356100920334
65,2009-04-07,199396,200305,189403,193946,639073,-0.022887918222168516
66,2009-04-08,188041,190312,180319,181229,925058,-0.06556979777876315
67,2009-04-09,183045,186224,179866,186225,995988,0.02756733193914873
68,2009-04-10,190312,194400,183953,188950,687010,0.014632836622365362
69,2009-04-13,190312,198488,185316,190767,855020,0.009616300608626728
70,2009-04-14,194855,195762,186224,192584,508962,0.009524708151829264
71,2009-04-15,189858,191674,187133,189859,510523,-0.014149669754496719
72,2009-04-16,193037,198034,191220,195309,777762,0.028705513038623343
73,2009-04-17,198488,199851,188495,192584,567682,-0.013952250024320434
74,2009-04-20,192129,192129,187133,192129,306019,-0.002362605408549045
75,2009-04-21,189403,194855,186678,193038,554917,0.004731196227534706
76,2009-04-22,196217,196217,190767,193493,465525,0.0023570488712068016
77,2009-04-23,193946,204392,192583,199851,1043696,0.03285906983715181
78,2009-04-24,208026,213023,204846,206210,1182225,0.0318187049351768
79,2009-04-27,210751,218473,208026,208027,813088,0.008811405848407006
80,2009-04-28,212114,212568,196217,197581,525675,-0.050214635600186464
