,date,open,high,low,close,volume,change
0,2009-01-02,5932,6688,5883,6688,3223100,0.14993122420907845
1,2009-01-05,7027,7056,6804,6940,3556077,0.037679425837320535
2,2009-01-06,6940,7182,6833,6950,2437646,0.0014409221902016436
3,2009-01-07,7075,7231,6940,7057,3011189,0.015395683453237384
4,2009-01-08,6891,7560,6833,7047,4617469,-0.0014170327334561694
5,2009-01-09,7221,7240,6862,6902,1616298,-0.020576131687242816
6,2009-01-12,6785,6969,6601,6843,1669028,-0.008548246884960921
7,2009-01-13,6853,7017,6804,6940,1386333,0.01417506941399971
8,2009-01-14,6882,7172,6785,7134,1783234,0.02795389048991348
9,2009-01-15,6872,7017,6349,6669,1714643,-0.0651808242220353
10,2009-01-16,6785,7599,6707,7396,4634229,0.10901184585395107
11,2009-01-19,7657,7706,7395,7512,3268465,0.01568415359653863
12,2009-01-20,7512,7696,7318,7522,2441376,0.0013312034078807322
13,2009-01-21,7269,7725,7182,7212,3889905,-0.04121244349906938
14,2009-01-22,7686,8171,7395,7532,6857996,0.0443704936217415
15,2009-01-23,7531,7725,7075,7086,2143261,-0.059214020180562876
16,2009-01-28,7308,7512,7250,7309,1564823,0.03147050522156358
17,2009-01-29,7405,7550,7105,7154,1500929,-0.0212067314270078
18,2009-01-30,7008,7231,6969,7124,1021610,-0.004193458205199896
19,2009-02-02,7095,7298,7037,7115,1047610,-0.001263335204941041
20,2009-02-03,7172,7182,7017,7037,1349869,-0.010962754743499614
21,2009-02-04,7134,7308,7095,7250,1940483,0.030268580360949263
22,2009-02-05,7192,7298,6862,6863,1633330,-0.05337931034482757
23,2009-02-06,7056,7405,6959,7357,2665954,0.07198018359318081
24,2009-02-09,7560,7609,7298,7347,1493621,-0.0013592496941687848
25,2009-02-10,7483,7541,7192,7270,1203635,-0.01048046821832038
26,2009-02-11,7008,7202,6988,7192,794102,-0.01072902338376891
27,2009-02-12,7221,7357,7085,7154,991891,-0.005283648498331517
28,2009-02-13,7221,7221,7124,7173,933668,0.002655856863293282
29,2009-02-16,7153,7609,7066,7541,2658348,0.05130349923323574
30,2009-02-17,7609,7977,7260,7444,4190711,-0.012863015515183651
31,2009-02-18,7463,8055,7366,8055,4029288,0.08207952713594846
32,2009-02-19,8258,8568,7861,8133,4655459,0.00968342644320308
33,2009-02-20,8064,8200,7473,7706,2668210,-0.05250215172752981
34,2009-02-23,7706,7783,7289,7551,2604368,-0.020114196729820955
35,2009-02-24,7221,7463,6911,7028,3220031,-0.06926234935770093
36,2009-02-25,7269,7492,6979,6989,2321595,-0.005549231644849217
37,2009-02-26,7075,7192,6329,6417,2590267,-0.0818428959793962
38,2009-02-27,6387,6833,6349,6737,1491224,0.04986753934860522
39,2009-03-02,6756,6756,6058,6107,1881500,-0.09351343327890747
40,2009-03-03,5476,5757,5282,5651,6198658,-0.07466841329621743
41,2009-03-04,5718,5893,5515,5864,2885470,0.03769244381525394
42,2009-03-05,5961,6000,5622,5651,2730524,-0.03632332878581168
43,2009-03-06,5466,6029,5428,5952,2439255,0.053264908865687584
44,2009-03-09,6126,6184,5864,5952,1830694,0.0
45,2009-03-10,5883,6630,5874,6465,3022412,0.08618951612903225
46,2009-03-11,6678,6920,6581,6834,2652228,0.057076566125290114
47,2009-03-12,6920,7105,6630,6785,2743734,-0.007170032191981313
48,2009-03-13,6979,7269,6843,7192,2760056,0.059985261606484874
49,2009-03-16,7366,7609,7347,7473,2486946,0.03907119021134586
50,2009-03-17,7657,7909,7512,7774,2613158,0.040278335340559364
51,2009-03-18,7919,7919,7609,7755,1664484,-0.0024440442500642807
52,2009-03-19,7851,7909,7395,7551,1723464,-0.02630560928433268
53,2009-03-20,7531,7706,7376,7541,1547793,-0.0013243279035889401
54,2009-03-23,7618,8142,7618,8123,2436512,0.07717809309110191
55,2009-03-24,8336,8481,8161,8414,2599428,0.0358242028807092
56,2009-03-25,8433,9353,8413,8995,4071581,0.06905158069883521
57,2009-03-26,9043,9082,8733,8976,2503678,-0.0021122846025569686
58,2009-03-27,8975,9421,8510,8869,3152295,-0.01192067736185387
59,2009-03-30,8820,9935,8568,9160,10438207,0.032810914421017134
60,2009-03-31,9334,9421,8956,9063,3506086,-0.010589519650655022
61,2009-04-01,9140,9344,8975,9179,2552470,0.012799293832064462
62,2009-04-02,9305,9683,9227,9451,3691456,0.029632857609761313
63,2009-04-03,9547,9673,9431,9470,2208465,0.002010369273092838
64,2009-04-06,9470,9887,9412,9557,3139325,0.00918690601900729
65,2009-04-07,9557,9644,9382,9490,1543079,-0.0070105681699278435
66,2009-04-08,9382,10177,9324,9887,3887988,0.04183350895679672
67,2009-04-09,9983,10759,9838,10566,4355707,0.06867603924345089
68,2009-04-10,10953,12116,10371,11729,6688159,0.11007003596441424
69,2009-04-13,11971,12698,11680,12407,5031422,0.0578054395089096
70,2009-04-14,12310,12504,11486,11680,4932116,-0.05859595389699367
71,2009-04-15,11292,11680,10613,11389,3186412,-0.024914383561643882
72,2009-04-16,11631,11825,11001,11147,4955000,-0.021248573184651898
73,2009-04-17,11292,11340,10323,10517,4423639,-0.05651744864088992
74,2009-04-20,10517,11001,10274,10808,2659481,0.027669487496434275
75,2009-04-21,10371,11340,10323,11244,3209132,0.040340488527017104
76,2009-04-22,11389,11728,11098,11583,3475727,0.03014941302027752
77,2009-04-23,11680,11825,11340,11486,2880241,-0.008374341707675037
78,2009-04-24,11437,11486,10856,11002,2485862,-0.042138255267281884
79,2009-04-27,11147,11292,10662,10662,1739962,-0.030903472095982543
80,2009-04-28,10662,10904,9935,9984,2742290,-0.06359032076533487
81,2009-04-29,10129,10565,9887,10469,1966096,0.04857772435897445
82,2009-04-30,10662,11486,10565,11147,3449628,0.06476263253414838
83,2009-05-04,11340,11437,11098,11341,1885650,0.01740378577195667
84,2009-05-06,11777,12164,11486,11486,4335542,0.012785468653557786
85,2009-05-07,11777,11971,11340,11583,2764539,0.008445063555633014
86,2009-05-08,11583,11583,11147,11535,1819003,-0.0041440041440041755
87,2009-05-11,11631,11777,11389,11486,2297830,-0.004247941048981407
88,2009-05-12,11195,11389,10953,10953,2281666,-0.04640431830053982
89,2009-05-13,11050,11147,10759,10759,1781661,-0.017712042362822974
90,2009-05-14,10565,11195,10517,10517,3146203,-0.022492796728320497
91,2009-05-15,10710,11098,10468,11002,3849645,0.046115812494057266
92,2009-05-18,10953,11001,10323,10566,3111045,-0.039629158334848265
93,2009-05-19,10856,10856,10565,10759,3152616,0.01826613666477384
94,2009-05-20,10807,10953,10565,10662,2513316,-0.009015707779533422
95,2009-05-21,10662,10710,10226,10275,2126895,-0.03629712999437251
96,2009-05-22,10032,10807,10032,10469,3442037,0.018880778588807882
97,2009-05-25,10662,11098,9693,11099,4553683,0.06017766739898756
98,2009-05-26,11292,11437,10710,10759,4547025,-0.030633390395531142
99,2009-05-27,11195,11486,10807,10856,5849780,0.009015707779533422
100,2009-05-28,10613,10807,9693,9984,6784008,-0.08032424465733234
101,2009-05-29,10080,10177,9935,9984,1990483,0.0
102,2009-06-01,10080,10323,10032,10323,1777272,0.03395432692307687
103,2009-06-02,10613,10759,10371,10372,2336927,0.004746682166036909
104,2009-06-03,10565,10613,10323,10614,1410006,0.0233320478210568
105,2009-06-04,10613,10953,10274,10275,2003386,-0.03193894855850765
106,2009-06-05,10565,10662,10226,10469,1298225,0.018880778588807882
107,2009-06-08,10517,10904,10468,10662,1692551,0.018435380647626287
108,2009-06-09,10807,10953,10420,10566,1808086,-0.009003939223410251
109,2009-06-10,10759,11147,10662,11147,3657016,0.054987696384629865
110,2009-06-11,11147,11437,11001,11341,3595833,0.01740378577195667
111,2009-06-12,11389,11437,11098,11389,2329707,0.00423243100255699
112,2009-06-15,11292,11340,10662,10759,4377568,-0.0553165334972342
113,2009-06-16,10517,10710,10468,10662,1404108,-0.009015707779533422
114,2009-06-17,10565,10662,10517,10566,916148,-0.009003939223410251
115,2009-06-18,10662,11001,10517,10662,1587760,0.009085746734809774
116,2009-06-19,10856,10904,10420,10614,1420561,-0.0045019696117051256
117,2009-06-22,10565,11001,10565,11002,1420162,0.036555492745430566
118,2009-06-23,10710,10710,10371,10614,1626274,-0.035266315215415345
119,2009-06-24,10662,10710,10080,10275,1642862,-0.03193894855850765
120,2009-06-25,10323,10468,10080,10420,1764080,0.014111922141119225
121,2009-06-26,10517,10565,10129,10129,1393859,-0.027927063339731276
122,2009-06-29,10226,10371,10129,10129,1058177,0.0
123,2009-06-30,10274,10274,10080,10129,1529996,0.0
124,2009-07-01,10080,10226,10032,10178,1318757,0.004837595024187903
125,2009-07-02,10274,10759,10226,10662,2181639,0.047553546865789054
126,2009-07-03,10517,11244,10517,11244,3698051,0.054586381541924515
127,2009-07-06,11486,11534,11244,11244,2490910,0.0
128,2009-07-07,11389,11825,11147,11826,4308235,0.051760939167555975
