,date,open,high,low,close,volume,change
0,2009-01-02,74100,77600,73000,77200,77742,0.05608755129958953
1,2009-01-05,78700,86600,78700,84000,263177,0.08808290155440424
2,2009-01-06,85200,88900,84000,85200,193406,0.014285714285714237
3,2009-01-07,85500,90000,83000,88000,189747,0.03286384976525825
4,2009-01-08,86000,87800,83200,84900,125938,-0.035227272727272774
5,2009-01-09,85900,87300,81100,82500,115551,-0.028268551236749095
6,2009-01-12,82400,83700,80100,82800,96814,0.00363636363636366
7,2009-01-13,82000,85500,81000,83500,61512,0.008454106280193274
8,2009-01-14,84500,90000,83300,90000,173829,0.07784431137724558
9,2009-01-15,86800,88900,85100,87700,164677,-0.025555555555555557
10,2009-01-16,87900,90900,87400,88900,140797,0.0136830102622576
11,2009-01-19,89900,90800,85000,87000,168038,-0.021372328458942658
12,2009-01-20,87000,87400,83400,85300,104687,-0.01954022988505744
13,2009-01-21,81800,84500,81500,84500,92675,-0.009378663540445477
14,2009-01-22,85500,87800,85200,85500,114547,0.01183431952662728
15,2009-01-23,84000,85000,80100,83900,98864,-0.018713450292397682
16,2009-01-28,86700,87900,85200,87900,63219,0.047675804529201386
17,2009-01-29,89500,93100,89100,90900,187624,0.03412969283276457
18,2009-01-30,88600,90000,88100,90000,81401,-0.00990099009900991
19,2009-02-02,90000,92100,88000,91400,72698,0.015555555555555543
20,2009-02-03,91500,91700,89100,91700,95513,0.003282275711159688
21,2009-02-04,93500,93600,91600,93600,173863,0.02071973827699014
22,2009-02-05,93500,95800,89900,93500,204303,-0.0010683760683760646
23,2009-02-06,93600,94000,90700,92500,158751,-0.010695187165775444
24,2009-02-09,92500,93000,89600,89600,120830,-0.031351351351351364
25,2009-02-10,89100,90800,88000,90700,89035,0.01227678571428581
26,2009-02-11,89300,90600,88000,90600,71567,-0.0011025358324145973
27,2009-02-12,90100,90300,88700,90000,88719,-0.006622516556291425
28,2009-02-13,90800,94100,90700,93000,166354,0.03333333333333344
29,2009-02-16,92900,94900,92100,93000,88641,0.0
30,2009-02-17,93900,93900,88900,89000,111992,-0.043010752688172005
31,2009-02-18,87700,93500,86600,92900,98138,0.04382022471910108
32,2009-02-19,92000,95100,90500,91300,148924,-0.017222820236813763
33,2009-02-20,91300,92000,89000,90200,60708,-0.012048192771084376
34,2009-02-23,90200,94800,88000,91500,118527,0.014412416851441234
35,2009-02-24,90600,94000,89500,94000,81962,0.02732240437158473
36,2009-02-25,96000,96000,90000,91900,138803,-0.022340425531914843
37,2009-02-26,91900,92300,85300,87800,169821,-0.044613710554951
38,2009-02-27,87400,89800,85700,89800,72743,0.02277904328018221
39,2009-03-02,88000,89700,83000,83200,97468,-0.07349665924276172
40,2009-03-03,82000,82000,77500,80000,395497,-0.038461538461538436
41,2009-03-04,80700,82200,79500,81600,254324,0.020000000000000014
42,2009-03-05,84200,86800,82500,85400,352645,0.04656862745098045
43,2009-03-06,85100,88700,84800,88000,149906,0.030444964871194413
44,2009-03-09,89300,92300,88200,91900,127029,0.044318181818181916
45,2009-03-10,89400,94500,89400,94000,108094,0.02285092491838947
46,2009-03-11,95100,95900,92500,95500,133752,0.015957446808510634
47,2009-03-12,95600,95800,92500,93400,145408,-0.021989528795811508
48,2009-03-13,92000,93600,89800,93500,165837,0.0010706638115631772
49,2009-03-16,94300,94700,90500,91900,110474,-0.017112299465240618
50,2009-03-17,93000,93700,92000,93700,111394,0.019586507072905324
51,2009-03-18,93900,93900,89900,90000,155843,-0.039487726787620026
52,2009-03-19,90200,92900,90200,92000,97617,0.022222222222222143
53,2009-03-20,95000,101000,93600,101000,335564,0.09782608695652173
54,2009-03-23,104000,114500,101500,110000,291967,0.08910891089108919
55,2009-03-24,112000,113500,106000,108500,214870,-0.013636363636363669
56,2009-03-25,111000,117000,110000,117000,167434,0.07834101382488479
57,2009-03-26,117000,119000,113000,115000,164469,-0.017094017094017144
58,2009-03-27,115000,118000,109500,114500,134236,-0.004347826086956497
59,2009-03-30,114000,115000,108500,112000,70171,-0.02183406113537123
60,2009-03-31,112000,116000,111500,113000,82362,0.008928571428571397
61,2009-04-01,116500,119500,112500,116500,150154,0.030973451327433562
62,2009-04-02,117000,118500,115000,118000,126211,0.012875536480686732
63,2009-04-03,120000,122500,117000,118000,192331,0.0
64,2009-04-06,120000,121500,117000,118000,120332,0.0
65,2009-04-07,119500,119500,113500,116500,116180,-0.012711864406779629
66,2009-04-08,115000,115000,109500,111500,107100,-0.0429184549356223
67,2009-04-09,113500,119000,112500,117000,113359,0.049327354260089606
68,2009-04-10,120500,124000,117000,121000,159798,0.03418803418803429
69,2009-04-13,123500,126000,121500,124500,162487,0.028925619834710762
70,2009-04-14,122500,138000,120000,135500,267997,0.08835341365461846
71,2009-04-15,131500,137000,130500,137000,127984,0.011070110701107085
72,2009-04-16,140000,144500,135000,137000,174178,0.0
73,2009-04-17,137000,138000,128000,133500,147554,-0.02554744525547448
74,2009-04-20,133000,133500,126500,133000,115803,-0.0037453183520599342
75,2009-04-21,129000,137000,127000,137000,105409,0.030075187969924814
76,2009-04-22,137500,138000,134000,136000,103665,-0.007299270072992692
77,2009-04-23,137500,137500,131000,132000,122258,-0.029411764705882363
78,2009-04-24,133000,134500,131000,133000,86825,0.007575757575757569
79,2009-04-27,133000,133500,129500,130000,64788,-0.022556390977443663
80,2009-04-28,128500,132000,124500,130000,126186,0.0
81,2009-04-29,130000,133000,129000,130000,79852,0.0
82,2009-04-30,134000,141000,133000,138500,265528,0.06538461538461537
83,2009-05-04,138500,148000,138500,146500,171659,0.057761732851985485
84,2009-05-06,145000,150000,144500,148500,151559,0.013651877133105785
85,2009-05-07,149000,151000,147500,149500,83019,0.006734006734006703
86,2009-05-08,150500,151500,144000,151500,174483,0.013377926421404672
87,2009-05-11,148500,151000,144000,151000,95472,-0.0033003300330033407
88,2009-05-12,147500,149500,145000,147000,96707,-0.026490066225165587
89,2009-05-13,145000,148000,143000,148000,189234,0.006802721088435382
90,2009-05-14,145500,145500,140500,142000,153944,-0.04054054054054057
91,2009-05-15,143500,143500,138000,143000,140950,0.007042253521126751
92,2009-05-18,141500,141500,134000,134000,268594,-0.06293706293706293
93,2009-05-19,137500,145000,134500,138000,377722,0.029850746268656806
94,2009-05-20,140000,142000,134500,141000,307999,0.021739130434782702
95,2009-05-21,143000,147000,140000,144500,313400,0.024822695035461084
