,date,open,high,low,close,volume,change
0,2009-01-02,17097,18760,16843,18761,12131183,0.14823428606401867
1,2009-01-05,19230,19628,18615,18761,10516532,0.0
2,2009-01-06,18976,19663,18723,19629,8226097,0.046266190501572435
3,2009-01-07,19591,21434,19446,19629,20967592,0.0
4,2009-01-08,19372,20240,19011,19737,10465299,0.0055020632737277095
5,2009-01-09,20096,20241,19337,19629,6573512,-0.005471956224350261
6,2009-01-12,19084,19372,18215,18291,6907886,-0.06816445055784802
7,2009-01-13,18073,19157,17820,18870,6339373,0.03165491225192718
8,2009-01-14,18905,19267,18832,19195,4048869,0.017223105458399557
9,2009-01-15,18435,18867,17747,17749,8254604,-0.07533211773899451
10,2009-01-16,18469,18722,17963,18580,6284679,0.04681953912896497
11,2009-01-19,18868,20206,18687,19846,12402746,0.06813778256189451
12,2009-01-20,19518,19628,18832,19195,6212046,-0.032802579864960164
13,2009-01-21,18143,19734,18108,18653,6541137,-0.02823651992706433
14,2009-01-22,19410,19446,18325,18472,5076673,-0.009703532943762359
15,2009-01-23,18289,18760,18145,18147,3496341,-0.01759419662191419
16,2009-01-28,18722,19662,18686,19665,5413524,0.08365019011406849
17,2009-01-29,19878,20131,19372,19448,4899865,-0.011034833460462743
18,2009-01-30,19229,19808,19085,19593,5950107,0.007455779514603078
19,2009-02-02,19518,20386,19374,19955,7545892,0.018475986321645488
20,2009-02-03,20349,20601,19951,20171,4901683,0.010824354798296243
21,2009-02-04,20567,20712,20205,20678,6612353,0.025135094938277813
22,2009-02-05,20384,21180,19662,19737,6722994,-0.04550730244704515
23,2009-02-06,20313,20711,19988,20533,5866277,0.04033034402391445
24,2009-02-09,21073,21073,20240,20387,4842642,-0.007110505040666237
25,2009-02-10,20711,20711,19916,20099,3325827,-0.014126649335360788
26,2009-02-11,19517,20204,19300,20099,4073275,0.0
27,2009-02-12,19880,20096,19410,19593,2990958,-0.025175381859794062
28,2009-02-13,19590,20385,19445,20387,3518192,0.0405246771806258
29,2009-02-16,20133,20567,19591,19593,3164025,-0.03894638740373768
30,2009-02-17,19372,19481,18181,18291,5275817,-0.06645230439442662
31,2009-02-18,17890,18252,17529,17966,5487615,-0.01776830135039087
32,2009-02-19,18145,18363,17459,17713,4695543,-0.014082155182010503
33,2009-02-20,17205,17566,15579,15905,8747731,-0.10207192457517078
34,2009-02-23,15650,16879,15614,16881,5612017,0.061364350833071464
35,2009-02-24,16119,16408,15903,16050,2831961,-0.04922694153189977
36,2009-02-25,16700,16808,15867,15942,2845229,-0.006728971962616792
37,2009-02-26,16048,16843,14892,15617,3712324,-0.020386400702546714
38,2009-02-27,15614,16119,15360,15689,2924974,0.004610360504578415
39,2009-03-02,15398,15398,14638,14749,3220916,-0.0599145898400153
40,2009-03-03,14097,15470,14097,15182,4696120,0.02935792257102165
41,2009-03-04,15217,16628,14784,16593,5428216,0.09293900671848232
42,2009-03-05,17061,17133,15796,16267,5897722,-0.019646839028505947
43,2009-03-06,15905,16627,15652,16267,3362048,0.0
44,2009-03-09,16700,17061,16302,16737,2909030,0.02889285055634105
45,2009-03-10,16734,17529,16698,17278,4561658,0.032323594431499014
46,2009-03-11,18073,18289,17820,18075,4604462,0.046128024076860674
47,2009-03-12,17999,18181,17349,17857,3530649,-0.012060857538035985
48,2009-03-13,18071,18180,17458,17569,2638224,-0.016128129025032245
49,2009-03-16,17566,17891,16916,17062,3269293,-0.028857646991860664
50,2009-03-17,17276,17963,17060,17966,3019811,0.05298323760403245
51,2009-03-18,18362,18723,17928,18182,4135864,0.01202270956250695
52,2009-03-19,18361,18614,17818,18001,2637165,-0.009954900450995452
53,2009-03-20,18363,19013,18289,18436,5775439,0.02416532414865835
54,2009-03-23,18649,18975,18505,18978,3201496,0.029399001952701287
55,2009-03-24,19554,19590,19011,19339,3184090,0.0190220255032143
56,2009-03-25,19267,19917,19158,19918,4009625,0.029939500491235282
57,2009-03-26,19771,20060,19410,19882,2673941,-0.0018074103825684864
58,2009-03-27,20133,20170,19193,19484,3288559,-0.02001810683029881
59,2009-03-30,19481,19626,18323,18327,3052579,-0.059382057072469685
60,2009-03-31,18578,18976,18506,18508,3226057,0.009876139029846742
61,2009-04-01,18614,19119,18288,18978,3474703,0.02539442403285075
62,2009-04-02,19517,19734,19156,19701,4067580,0.038096743597850084
63,2009-04-03,19952,20097,19267,19520,4025063,-0.00918735089589362
64,2009-04-06,19697,20566,19590,20171,6269817,0.03335040983606552
65,2009-04-07,20278,20386,19771,19955,3427685,-0.010708442813940788
66,2009-04-08,19661,20384,19445,19448,4653353,-0.02540716612377847
67,2009-04-09,19590,20457,19554,20459,3986749,0.051984779925956286
68,2009-04-10,21289,21830,20638,21147,6771683,0.03362823207390386
69,2009-04-13,21471,22809,20965,22014,9592815,0.040998723223152116
70,2009-04-14,22518,22735,21433,22557,5209732,0.024666121559007825
71,2009-04-15,22264,23240,22264,22701,7031349,0.006383827636653905
72,2009-04-16,23132,23349,22589,22918,4635443,0.009559050262103021
73,2009-04-17,23240,23348,21758,22303,4624877,-0.026834802338772997
74,2009-04-20,22192,22228,21613,22232,3260431,-0.003183428238353603
75,2009-04-21,22627,23205,22518,22991,9278108,0.03413997840949978
76,2009-04-22,22986,23096,22301,22593,6031259,-0.017311121743290858
77,2009-04-23,22771,23241,22192,22557,6405163,-0.001593413889257711
78,2009-04-24,22771,22951,22120,22232,4562512,-0.01440794431883674
79,2009-04-27,22302,22663,21578,21798,3287120,-0.019521410579345092
80,2009-04-28,21795,22084,20601,20821,3882422,-0.04482062574548129
81,2009-04-29,20928,21326,20495,21328,2952114,0.024350415445943963
