,date,open,high,low,close,volume,change
0,2009-01-02,61500,62600,60300,62600,281952,0.01788617886178856
1,2009-01-05,63200,63200,61400,62300,334177,-0.004792332268370614
2,2009-01-06,63000,63500,62100,62500,387216,0.0032102728731941976
3,2009-01-07,62500,63300,61200,63100,400916,0.009600000000000051
4,2009-01-08,62900,63000,61300,61500,359140,-0.02535657686212356
5,2009-01-09,61400,62100,59800,60400,473643,-0.017886178861788667
6,2009-01-12,59300,59800,58700,59500,302262,-0.01490066225165565
7,2009-01-13,58900,59600,58000,59300,256574,-0.003361344537815114
8,2009-01-14,59300,59600,58200,59100,313802,-0.003372681281618939
9,2009-01-15,58100,58400,56700,57900,399255,-0.02030456852791873
10,2009-01-16,57100,58800,57100,58800,291170,0.015544041450777256
11,2009-01-19,58800,59400,58200,58200,256832,-0.010204081632653073
12,2009-01-20,57500,58200,56300,57500,236763,-0.012027491408934663
13,2009-01-21,56200,58200,55700,57000,267167,-0.008695652173912993
14,2009-01-22,57500,60000,56800,59000,335396,0.035087719298245716
15,2009-01-23,58100,58900,55800,58900,306600,-0.0016949152542372616
16,2009-01-28,58900,59900,58800,59600,344219,0.011884550084889645
17,2009-01-29,59000,60000,58800,59900,209700,0.005033557046979942
18,2009-01-30,58800,59800,58600,58600,154514,-0.02170283806343909
19,2009-02-02,57600,58700,56900,58000,260231,-0.010238907849829393
20,2009-02-03,57500,58500,57000,57400,349427,-0.010344827586206915
21,2009-02-04,57900,58500,57600,58500,408167,0.019163763066202044
22,2009-02-05,58400,60200,58000,58800,534700,0.00512820512820511
23,2009-02-06,59200,60400,59200,60200,249621,0.023809523809523725
24,2009-02-09,60000,60400,59600,60200,188098,0.0
25,2009-02-10,60900,61400,59500,59500,190455,-0.011627906976744208
26,2009-02-11,58700,59500,58300,59000,151569,-0.008403361344537784
27,2009-02-12,58500,59100,57600,59000,304414,0.0
28,2009-02-13,58700,59300,57800,58600,182963,-0.006779661016949157
29,2009-02-16,58100,59100,58100,58600,136987,0.0
30,2009-02-17,57900,58400,56500,56800,218766,-0.030716723549488067
31,2009-02-18,55700,56000,54200,55700,435161,-0.019366197183098618
32,2009-02-19,54900,55100,54100,54400,326300,-0.023339317773788167
33,2009-02-20,54300,55000,52200,53500,314956,-0.016544117647058876
34,2009-02-23,52600,54900,52400,54300,234697,0.01495327102803734
35,2009-02-24,53500,54900,52200,54000,269960,-0.005524861878453025
36,2009-02-25,54900,55100,53300,54600,220892,0.011111111111111072
37,2009-02-26,54700,56000,52600,53000,240532,-0.02930402930402931
38,2009-02-27,53000,53800,52200,52500,238262,-0.009433962264150941
39,2009-03-02,52200,52200,50000,52000,331272,-0.00952380952380949
40,2009-03-03,50000,52300,50000,51600,224781,-0.007692307692307666
41,2009-03-04,51200,53500,50000,52300,319001,0.013565891472868241
42,2009-03-05,52700,53500,51900,53100,232333,0.015296367112810794
43,2009-03-06,51800,52800,51200,52400,237236,-0.01318267419962338
44,2009-03-09,52600,52700,50600,51500,316661,-0.01717557251908397
45,2009-03-10,51200,53000,51000,53000,291597,0.029126213592233
46,2009-03-11,53800,54500,53500,54500,276306,0.02830188679245293
47,2009-03-12,54200,55500,53000,55500,530836,0.0183486238532109
48,2009-03-13,54700,55900,54500,54500,235006,-0.018018018018018056
49,2009-03-16,53500,54300,52600,53500,391208,-0.01834862385321101
50,2009-03-17,53900,56100,53600,55600,298228,0.039252336448598164
51,2009-03-18,55800,56400,55200,55500,157667,-0.0017985611510791253
52,2009-03-19,56400,57100,56000,56800,246905,0.02342342342342341
53,2009-03-20,56800,58100,56800,57000,228084,0.0035211267605634866
54,2009-03-23,57800,59500,57300,58200,276494,0.021052631578947437
55,2009-03-24,59100,59600,57600,59000,326603,0.013745704467353905
56,2009-03-25,58900,59500,58500,59400,133599,0.0067796610169490465
57,2009-03-26,58700,59900,58300,59900,261392,0.008417508417508435
58,2009-03-27,59400,59900,58700,59400,264561,-0.008347245409014992
59,2009-03-30,58600,59700,57300,57300,130575,-0.03535353535353536
60,2009-03-31,57000,58500,56300,56300,227232,-0.017452006980802848
61,2009-04-01,56200,58000,55700,58000,286941,0.03019538188277093
62,2009-04-02,58700,60000,58100,59000,259774,0.01724137931034475
63,2009-04-03,59600,59700,57900,59200,250581,0.0033898305084745233
64,2009-04-06,58300,59500,58300,59200,168318,0.0
65,2009-04-07,59400,59400,58500,58700,182319,-0.008445945945945943
66,2009-04-08,58700,58900,57000,57200,200961,-0.02555366269165249
67,2009-04-09,57200,59300,57100,59300,314778,0.03671328671328666
68,2009-04-10,59300,59900,58600,59600,286020,0.005059021922428242
69,2009-04-13,59300,59700,58300,58300,241099,-0.021812080536912748
70,2009-04-14,58500,59000,57400,57900,295088,-0.0068610634648370574
71,2009-04-15,57400,58800,56800,58600,260326,0.012089810017271052
72,2009-04-16,58800,61600,58800,60100,489616,0.025597269624573427
73,2009-04-17,60000,60900,59200,59400,302330,-0.011647254575707144
74,2009-04-20,59400,61000,59000,61000,262877,0.02693602693602704
75,2009-04-21,60400,60500,58300,59900,333002,-0.0180327868852459
76,2009-04-22,59300,59700,58600,59600,233842,-0.005008347245408995
77,2009-04-23,60000,60200,58500,59100,249746,-0.008389261744966459
78,2009-04-24,58800,59400,58700,59100,193621,0.0
79,2009-04-27,58700,59000,57600,58400,287763,-0.011844331641285956
80,2009-04-28,58900,59000,57800,57900,217663,-0.008561643835616417
81,2009-04-29,57900,59600,57700,59500,165808,0.02763385146804831
82,2009-04-30,60000,60900,59000,59900,293574,0.006722689075630228
83,2009-05-04,59100,60600,59000,60600,267059,0.011686143572620988
84,2009-05-06,59900,61400,59600,60000,467572,-0.00990099009900991
85,2009-05-07,61300,62500,60600,62200,477426,0.03666666666666663
86,2009-05-08,62200,63800,62000,62600,411784,0.006430868167202508
87,2009-05-11,61700,63000,61500,62600,216146,0.0
88,2009-05-12,62500,63300,61800,62400,220944,-0.0031948881789137795
89,2009-05-13,61900,62200,61200,61600,253171,-0.012820512820512777
90,2009-05-14,61400,61400,59600,59800,294228,-0.029220779220779262
91,2009-05-15,59800,60500,58900,60400,465098,0.010033444816053505
92,2009-05-18,59700,59700,58500,59100,256227,-0.021523178807947074
93,2009-05-19,59500,60400,59000,60400,309517,0.021996615905245376
94,2009-05-20,60200,60600,59900,60000,141426,-0.006622516556291425
95,2009-05-21,60000,60400,59100,59100,232671,-0.015000000000000013
96,2009-05-22,58700,59500,58200,58400,242431,-0.011844331641285956
97,2009-05-25,58100,59400,57000,59000,307405,0.010273972602739656
98,2009-05-26,58700,59000,57500,57600,266351,-0.023728813559321996
99,2009-05-27,57900,58300,57000,57100,218162,-0.00868055555555558
100,2009-05-28,56800,57500,56200,57500,246284,0.007005253940455257
101,2009-05-29,57000,57900,56600,57800,434103,0.0052173913043478395
102,2009-06-01,57400,57500,56500,57000,428721,-0.01384083044982698
103,2009-06-02,57800,58400,57000,57200,482949,0.0035087719298245727
104,2009-06-03,57700,57700,56400,56700,485900,-0.00874125874125875
105,2009-06-04,56300,56600,54800,55300,565529,-0.02469135802469136
106,2009-06-05,55300,56000,55100,55800,292594,0.009041591320072316
107,2009-06-08,55700,56700,55300,56200,194840,0.007168458781362075
108,2009-06-09,56700,57000,55900,55900,279168,-0.005338078291814985
109,2009-06-10,56100,59000,56000,58500,501280,0.046511627906976834
110,2009-06-11,58600,59900,58000,58200,659908,-0.00512820512820511
111,2009-06-12,58600,59500,58500,59300,226554,0.018900343642611617
