,date,open,high,low,close,volume,change
0,2009-01-02,37103,37781,36473,37781,37552,0.039996696762827584
1,2009-01-05,38264,38264,37392,37927,53758,0.003864376273788439
2,2009-01-06,38070,40686,37586,40688,132731,0.07279774303266806
3,2009-01-07,41413,42624,40250,42577,91674,0.04642646480534807
4,2009-01-08,41364,44367,40928,43594,49654,0.02388613570707188
5,2009-01-09,43690,44078,41801,42625,42960,-0.022227829517823542
6,2009-01-12,42139,42284,40395,41172,25230,-0.034087976539589386
7,2009-01-13,40977,41170,40299,40494,22115,-0.01646750218595161
8,2009-01-14,40300,44271,40300,42528,77823,0.0502296636538746
9,2009-01-15,41655,43689,40977,42141,99748,-0.00909988713318288
10,2009-01-16,43109,47565,42140,45531,145822,0.08044422296575783
11,2009-01-19,46984,49890,45724,47953,129775,0.05319452680591241
12,2009-01-20,49308,49889,46983,48922,125863,0.02020728630116997
13,2009-01-21,46789,49695,46789,48922,85263,0.0
14,2009-01-22,49405,50277,46886,48341,113933,-0.011876047585953177
15,2009-01-23,47759,49890,47759,49309,78832,0.020024409921184816
16,2009-01-28,49114,51342,49114,49988,65188,0.013770305623719723
17,2009-01-29,51053,51343,47468,49600,57267,-0.007761862847083245
18,2009-01-30,48436,50277,48339,49697,44154,0.0019556451612903203
19,2009-02-02,48728,50084,48534,49406,68332,-0.005855484234460806
20,2009-02-03,50181,50665,47710,47759,113776,-0.03333603206088332
21,2009-02-04,48146,49212,46984,47759,98110,0.0
22,2009-02-05,47662,47807,46596,47081,56448,-0.014196277141481197
23,2009-02-06,47952,48145,44803,46694,148137,-0.008219876383254388
24,2009-02-09,46693,46935,44998,45531,48816,-0.02490684027926504
25,2009-02-10,45531,47371,44804,46984,44195,0.0319123234719203
26,2009-02-11,45724,50761,45724,50763,135442,0.08043163630171968
27,2009-02-12,51246,54928,49600,53281,299718,0.049603057344916664
28,2009-02-13,53281,61225,53281,61225,221297,0.14909630074510605
29,2009-02-16,64421,68781,61321,62000,237434,0.012658227848101332
30,2009-02-17,62677,63549,58705,60644,240285,-0.02187096774193553
31,2009-02-18,60546,68296,59093,66553,184563,0.09743750412241936
32,2009-02-19,66842,69652,61030,62969,144486,-0.05385181734857936
33,2009-02-20,61127,63452,55702,56672,198096,-0.10000158808302496
34,2009-02-23,57543,62775,56768,61903,105135,0.09230307735742516
35,2009-02-24,59384,64034,59384,59578,128083,-0.03755876128782132
36,2009-02-25,62484,63743,59093,59578,63823,0.0
37,2009-02-26,59771,61612,57253,60450,56613,0.014636275135117003
38,2009-02-27,57834,59965,57349,58900,174325,-0.02564102564102566
39,2009-03-02,58608,58608,56186,56188,81703,-0.046044142614600984
40,2009-03-03,53958,59092,53958,56769,56539,0.01034028618210292
41,2009-03-04,56961,64033,56670,61516,114378,0.08361958110940826
42,2009-03-05,62192,66358,61999,64616,90582,0.0503933935886598
43,2009-03-06,63646,68490,63356,67134,105225,0.03896867648879532
44,2009-03-09,68781,70621,68103,69556,47505,0.03607709953227878
45,2009-03-10,69556,69750,61418,65875,206375,-0.052921387083788574
46,2009-03-11,66262,68006,64131,65778,115603,-0.0014724857685008974
47,2009-03-12,66552,67520,65195,65391,57838,-0.005883426069506537
48,2009-03-13,65971,67231,65487,66553,49436,0.017770029514764918
49,2009-03-16,65681,66940,62775,64034,95760,-0.037849533454540014
50,2009-03-17,63259,65100,62775,63356,84810,-0.010588125058562659
51,2009-03-18,63162,64228,62096,63356,235816,0.0
52,2009-03-19,63645,63839,61514,61516,95282,-0.02904223751499468
53,2009-03-20,61321,64906,61321,63453,89138,0.031487743026204607
54,2009-03-23,64420,66164,63839,64422,71491,0.01527114557231335
55,2009-03-24,65389,65777,62677,63938,73136,-0.007512961410698238
56,2009-03-25,63936,65583,63161,65391,71017,0.022725139979355102
57,2009-03-26,65970,67424,64711,65972,154387,0.008885014757382459
58,2009-03-27,66746,66746,64228,64325,119123,-0.024965136724671044
59,2009-03-30,64809,64809,61612,63453,68710,-0.013556160124368444
60,2009-03-31,63161,65970,62095,64713,99474,0.019857217152853268
61,2009-04-01,65293,66553,64421,65100,96831,0.005980251263270064
62,2009-04-02,66456,71396,66359,70234,154231,0.07886328725038405
63,2009-04-03,70233,70233,66745,66747,126797,-0.049648318478229925
64,2009-04-06,66746,69168,66650,67134,66811,0.005798013393860435
65,2009-04-07,67812,71009,67231,71009,65099,0.057720380135251936
66,2009-04-08,70234,77790,69362,76531,119816,0.07776479037868445
67,2009-04-09,78370,87961,75852,82538,241817,0.07849106897858382
68,2009-04-10,82634,87478,79050,82150,166762,-0.004700865056095349
69,2009-04-13,82342,87186,79533,87188,117966,0.06132684114424825
70,2009-04-14,87186,87670,82052,83991,115152,-0.03666789007661608
71,2009-04-15,83117,85249,78467,83991,90600,0.0
72,2009-04-16,85152,86702,82149,83216,62126,-0.009227179102522907
73,2009-04-17,83311,84958,80599,83216,50039,0.0
74,2009-04-20,83892,83892,80114,83313,56014,0.0011656412228417956
75,2009-04-21,82052,82924,81180,82344,50277,-0.01163083792445352
76,2009-04-22,82828,89125,82537,88156,90344,0.07058194889730895
77,2009-04-23,88930,92514,86217,91063,58242,0.03297563410318083
78,2009-04-24,91158,91642,88736,90191,35690,-0.009575788190593348
79,2009-04-27,90868,92709,89221,90578,30051,0.0042908937698884495
80,2009-04-28,89706,90965,87284,89125,36645,-0.01604142286206367
81,2009-04-29,88349,95711,88349,95713,51392,0.07391865357643758
82,2009-04-30,96292,98327,94936,96197,34055,0.00505678434486434
83,2009-05-04,96875,96875,93096,94259,54488,-0.020146158404108272
84,2009-05-06,95324,95324,91545,91547,47706,-0.02877178837034133
85,2009-05-07,91643,93387,86896,89900,172263,-0.017990758845183308
86,2009-05-08,89900,91643,88350,91256,82841,0.015083426028920988
87,2009-05-11,91255,91255,89608,90966,31722,-0.0031778732357324872
88,2009-05-12,90577,94936,90189,94938,55309,0.04366466591913465
89,2009-05-13,94452,96002,94064,94066,49891,-0.009184941751458895
90,2009-05-14,93290,95131,91159,95131,41592,0.01132183785852492
91,2009-05-15,96390,108984,95131,108984,237073,0.14562024997109255
92,2009-05-18,110921,111406,101718,108500,162573,-0.004441018865154467
93,2009-05-19,110436,116249,104624,108016,147100,-0.00446082949308757
94,2009-05-20,107531,111406,104625,111406,64400,0.03138423937194479
95,2009-05-21,111406,118671,109468,112375,124815,0.008697915731648242
96,2009-05-22,111405,117217,108499,109469,108077,-0.02585984427141264
97,2009-05-25,107045,116249,103655,114313,89070,0.04424997031122957
98,2009-05-26,115280,130780,110920,123516,177213,0.08050702894683902
99,2009-05-27,125937,135625,122546,127875,154564,0.035290974448654484
100,2009-05-28,127875,137562,123515,124484,147790,-0.02651808406647116
101,2009-05-29,128842,132717,123514,126422,73812,0.0155682658012275
102,2009-06-01,126420,133202,126420,131266,65266,0.03831611586590933
103,2009-06-02,134656,135140,123031,124484,162081,-0.05166608261088168
104,2009-06-03,124968,126906,117218,119156,102383,-0.04280068121204328
105,2009-06-04,119155,125453,116250,116250,94489,-0.02438819698546446
106,2009-06-05,118671,120609,112375,120609,92796,0.03749677419354836
107,2009-06-08,119640,121578,117703,120609,38671,0.0
108,2009-06-09,121577,121577,114311,118188,65820,-0.020073128870979784
109,2009-06-10,118187,119156,115281,119156,57193,0.00819034081294201
110,2009-06-11,118671,118671,113343,116250,101564,-0.02438819698546446
111,2009-06-12,115281,116734,112374,112375,73971,-0.033333333333333326
112,2009-06-15,112374,112858,108499,110438,68852,-0.01723692992213566
113,2009-06-16,109467,113827,108499,109469,63361,-0.008774153823864926
114,2009-06-17,108014,111889,107045,110922,56747,0.01327316409211732
115,2009-06-18,110920,118186,110920,115766,113826,0.04367032689637762
116,2009-06-19,117703,119156,115281,119156,80902,0.029283209232417118
117,2009-06-22,118186,119155,114795,117219,52846,-0.01625600053711096
118,2009-06-23,114311,115764,111889,114313,40190,-0.02479120279135638
119,2009-06-24,114312,115765,105593,113828,98948,-0.0042427370465301095
120,2009-06-25,111889,116249,110436,113344,77970,-0.0042520293776575615
121,2009-06-26,114311,123030,112374,119641,132329,0.05555653585544884
122,2009-06-29,122545,127874,121092,122063,92564,0.02024389632316681
123,2009-06-30,124968,124968,119156,123031,48575,0.007930331058551676
124,2009-07-01,123999,129811,121092,125938,135335,0.023628191268867168
125,2009-07-02,125936,130295,123514,127391,125800,0.011537423176483765
126,2009-07-03,125453,128843,124000,128359,60873,0.007598652966065211
127,2009-07-06,127389,131749,127389,130297,71922,0.01509827904548966
128,2009-07-07,132234,137562,130296,135625,111371,0.04089119473203517
129,2009-07-08,135139,140952,133202,134172,109159,-0.010713364055299546
130,2009-07-09,135624,135624,127874,129813,129116,-0.03248814953939716
131,2009-07-10,128842,129327,123030,128844,99051,-0.007464583670356628
132,2009-07-13,126421,128359,118187,121578,97635,-0.056393778522864875
133,2009-07-14,123031,123515,113343,120125,171616,-0.0119511753771242
134,2009-07-15,120125,124968,117218,120125,109635,0.0
135,2009-07-16,122545,123030,117217,119641,157539,-0.004029136316337167
136,2009-07-17,119640,123031,119640,120125,87924,0.004045435929154628
137,2009-07-20,122061,122545,118186,122063,160024,0.016133194588969783
138,2009-07-21,124000,128843,123031,125453,254742,0.027772543686457096
139,2009-07-22,125452,126420,117702,118188,277879,-0.05791013367555975
140,2009-07-23,118671,119156,108984,112859,408560,-0.045089179950587255
141,2009-07-24,113828,118187,107531,107531,290841,-0.04720934971956159
142,2009-07-27,108014,117217,106561,117219,404664,0.09009494936343933
143,2009-07-28,118186,121092,114795,118188,250867,0.008266577943848663
144,2009-07-29,116733,123030,115280,121094,334272,0.024587944630588558
145,2009-07-30,119155,119639,114795,115766,363446,-0.043998876905544486
146,2009-07-31,117703,119640,115281,119156,310920,0.029283209232417118
