,date,open,high,low,close,volume,change
0,2009-01-02,53000,59200,52300,56000,239982,0.0831721470019342
1,2009-01-05,56500,60300,55800,60300,304841,0.07678571428571422
2,2009-01-06,60200,62600,58300,61100,188708,0.013266998341625149
3,2009-01-07,59200,61400,58100,60000,288478,-0.018003273322422242
4,2009-01-08,59500,59600,56800,58500,170585,-0.025000000000000026
5,2009-01-09,58500,59500,56000,57300,144820,-0.02051282051282055
6,2009-01-12,56900,57400,55700,56900,94056,-0.006980802792321161
7,2009-01-13,56500,59200,55000,56800,191165,-0.0017574692442882125
8,2009-01-14,57000,60400,55700,60000,182671,0.05633802816901401
9,2009-01-15,58700,61100,58200,59100,283628,-0.015000000000000013
10,2009-01-16,60000,61800,59000,59500,250360,0.006768189509306355
11,2009-01-19,61200,63200,60000,60300,94316,0.013445378151260456
12,2009-01-20,59500,62300,58500,60700,147169,0.006633499170812574
13,2009-01-21,59800,63600,58700,61200,149155,0.008237232289950658
14,2009-01-22,63000,63100,58900,60600,215700,-0.009803921568627416
15,2009-01-23,59200,61200,58700,59700,100469,-0.014851485148514863
16,2009-01-28,61600,61600,58400,60000,170673,0.005025125628140614
17,2009-01-29,60400,62200,58600,59900,162782,-0.0016666666666667054
18,2009-01-30,59300,59400,58300,59000,163395,-0.015025041736227096
19,2009-02-02,58000,58600,56000,57000,165593,-0.03389830508474578
20,2009-02-03,56700,56700,54300,54300,451709,-0.04736842105263162
21,2009-02-04,55300,56100,54600,55100,322212,0.014732965009208066
22,2009-02-05,54700,56700,54500,55200,265164,0.001814882032667775
23,2009-02-06,56100,59000,55800,59000,318964,0.06884057971014501
24,2009-02-09,58800,59700,56600,58000,260298,-0.016949152542372836
25,2009-02-10,58500,58500,56100,56200,156850,-0.031034482758620637
26,2009-02-11,54100,57400,54100,56700,129699,0.008896797153024938
27,2009-02-12,57300,58200,55800,58200,189742,0.02645502645502651
28,2009-02-13,57500,58800,57100,58300,90525,0.001718213058419238
29,2009-02-16,57700,57700,55800,56800,155998,-0.02572898799313894
30,2009-02-17,55800,56500,52100,52500,170445,-0.07570422535211263
31,2009-02-18,51900,52000,50000,51200,214026,-0.024761904761904763
32,2009-02-19,50600,54200,48200,48500,325204,-0.052734375
33,2009-02-20,47950,47950,46300,47100,181018,-0.028865979381443307
34,2009-02-23,46100,48400,45200,47500,201635,0.00849256900212314
35,2009-02-24,45500,48850,45100,48600,237261,0.023157894736842044
36,2009-02-25,50300,50500,48600,48900,173973,0.006172839506172867
37,2009-02-26,49800,50300,46000,47000,121000,-0.03885480572597133
38,2009-02-27,46500,47950,45900,47000,99421,0.0
39,2009-03-02,47000,47000,43100,44400,176917,-0.05531914893617018
40,2009-03-03,43000,43500,41500,42800,162583,-0.03603603603603601
41,2009-03-04,42900,45000,42300,44300,194121,0.035046728971962704
42,2009-03-05,45000,47100,44700,46300,321802,0.045146726862302484
43,2009-03-06,44950,47950,44600,46550,229733,0.005399568034557323
44,2009-03-09,47100,48500,47000,47650,180949,0.02363050483351237
45,2009-03-10,47200,51600,47200,50100,156946,0.05141657922350462
46,2009-03-11,51500,54600,51100,53000,157771,0.05788423153692612
47,2009-03-12,53900,53900,51600,52800,210207,-0.0037735849056603774
48,2009-03-13,52800,55000,51800,53300,219462,0.009469696969697015
49,2009-03-16,54900,56600,52900,55100,208228,0.03377110694183871
50,2009-03-17,56500,56800,54500,55000,211750,-0.0018148820326678858
51,2009-03-18,57100,57100,54400,55000,90748,0.0
52,2009-03-19,55300,57500,55300,56700,306769,0.030909090909091
53,2009-03-20,57200,57900,56300,57500,109031,0.014109347442680775
54,2009-03-23,58300,59700,57900,59100,211576,0.027826086956521667
55,2009-03-24,59600,60000,58100,59700,191673,0.01015228426395942
56,2009-03-25,59100,60100,58100,59400,183791,-0.005025125628140725
57,2009-03-26,59400,62500,59300,61200,326950,0.03030303030303028
58,2009-03-27,60600,62000,57900,59600,241522,-0.026143790849673217
59,2009-03-30,58900,60200,57800,59000,158623,-0.010067114093959773
60,2009-03-31,59600,61100,58500,59300,312567,0.005084745762711895
61,2009-04-01,59400,67300,58500,64300,655231,0.08431703204047225
62,2009-04-02,66000,70800,65300,67500,524032,0.049766718506998535
63,2009-04-03,68100,69400,66100,68300,185594,0.01185185185185178
64,2009-04-06,67700,69800,67500,69000,235186,0.01024890190336758
65,2009-04-07,68800,71200,67200,69300,324606,0.004347826086956497
66,2009-04-08,68000,72500,68000,72300,304389,0.04329004329004338
67,2009-04-09,74000,78900,73200,78900,326156,0.0912863070539418
68,2009-04-10,81000,81000,75000,75100,272592,-0.04816223067173642
69,2009-04-13,75000,75500,71500,72600,286775,-0.03328894806924099
70,2009-04-14,71300,74000,70900,72500,365905,-0.0013774104683195176
71,2009-04-15,71800,72300,68200,69600,351064,-0.040000000000000036
72,2009-04-16,70700,73800,68800,71100,296690,0.02155172413793105
73,2009-04-17,70700,72300,67100,68000,274407,-0.043600562587904346
