,date,open,high,low,close,volume,change
0,2009-01-02,214506,222735,213333,215106,205880,-0.01346982017308518
1,2009-01-05,212747,213920,200992,200999,334719,-0.06558162022444748
2,2009-01-06,204222,212742,202753,205699,322879,0.02338320091144741
3,2009-01-07,205683,207752,201288,207463,268391,0.008575637217487664
4,2009-01-08,208626,209219,200687,203942,319639,-0.01697170097800571
5,2009-01-09,203928,206861,198638,203942,256076,0.0
6,2009-01-12,204512,204512,193937,194241,231127,-0.04756744564631121
7,2009-01-13,193051,194521,189236,191009,202267,-0.01663912356299646
8,2009-01-14,193048,193338,185707,190419,204583,-0.00308885968723982
9,2009-01-15,185709,186289,176300,177197,346669,-0.06943634826356615
10,2009-01-16,176003,187474,174540,186309,242004,0.05142299248858606
11,2009-01-19,184539,188948,183069,183071,180239,-0.017379729374318975
12,2009-01-20,179246,181888,173369,176908,221414,-0.033664534524856515
13,2009-01-21,173062,176001,169248,175145,177190,-0.009965631853844914
14,2009-01-22,176893,179535,170126,173375,253191,-0.010105912244140593
15,2009-01-23,173065,175720,168953,173375,192113,0.0
16,2009-01-28,176894,184538,176301,182186,172793,0.05082047584715221
17,2009-01-29,180414,186594,179537,184539,197025,0.012915372202035202
18,2009-01-30,181885,185114,179533,182782,169052,-0.009521022656457491
19,2009-02-02,179244,181294,174243,178672,257072,-0.02248580275957146
20,2009-02-03,176598,182765,174832,176908,287545,-0.009872839616727913
21,2009-02-04,177474,185117,176597,182186,260497,0.02983471634974122
22,2009-02-05,195693,197755,188649,188655,434649,0.03550766798766092
23,2009-02-06,193049,195111,189821,190125,4908601,0.007792001272163506
24,2009-02-09,193938,193938,188943,188951,186908,-0.006174884944115665
25,2009-02-10,191876,196870,190999,192772,206313,0.0202221740027837
26,2009-02-11,191876,195111,186592,190125,187699,-0.013731247276575487
27,2009-02-12,186884,191002,178364,184539,498877,-0.029380670611439893
28,2009-02-13,183938,185711,179246,182186,208059,-0.012750692265591557
29,2009-02-16,180120,184825,179534,183956,161680,0.009715345855334734
30,2009-02-17,182761,182761,173655,177787,331327,-0.0335351931983735
31,2009-02-18,175124,175124,171006,171316,287386,-0.036397486880368035
32,2009-02-19,171309,171309,162499,162500,398960,-0.05146045903476615
33,2009-02-20,159548,162190,149849,150752,291074,-0.07229538461538465
34,2009-02-23,151615,154554,145152,154568,252762,0.025313097007004792
35,2009-02-24,148681,148681,141044,142224,351320,-0.07986129082345639
36,2009-02-25,147788,149263,140158,144283,280639,0.01447716278546518
37,2009-02-26,144570,156029,134285,138114,342882,-0.04275624987004712
38,2009-02-27,136630,143397,136630,136940,282258,-0.00850022445226406
39,2009-03-02,136923,136923,123112,128713,419560,-0.060077406163283165
40,2009-03-03,123692,135453,123402,133997,360598,0.041052574332041125
41,2009-03-04,131636,141922,127525,141936,341409,0.05924759509541255
42,2009-03-05,141919,141919,132226,134876,429119,-0.04974072821553377
43,2009-03-06,131632,135453,128686,132817,255042,-0.015265873839674924
44,2009-03-09,137508,139867,133983,139288,250292,0.048721172741441165
45,2009-03-10,136049,145155,135752,141051,253078,0.012657228189075777
46,2009-03-11,145153,149851,143690,147816,283564,0.04796137567262915
47,2009-03-12,150735,154260,146037,152811,659831,0.03379201169020951
48,2009-03-13,151615,156616,149263,154568,259450,0.011497863373709949
49,2009-03-16,150735,153377,146327,146347,210369,-0.053186946845401366
50,2009-03-17,149266,154261,145155,153985,248186,0.05219102543953746
51,2009-03-18,157496,158669,152205,157800,207847,0.024775140435756796
52,2009-03-19,158969,163667,155728,163385,215372,0.03539290240811144
53,2009-03-20,163372,168663,162193,165738,175140,0.014401566851302228
54,2009-03-23,170420,173945,166605,167502,135903,0.010643304492632844
55,2009-03-24,168367,169540,161021,164270,269708,-0.019295291996513475
56,2009-03-25,166318,167188,164256,164270,125988,0.0
57,2009-03-26,161611,168662,160438,166033,199776,0.010732330918609591
58,2009-03-27,168662,168662,161611,162211,170537,-0.02301952021586073
59,2009-03-30,163969,166907,155732,162500,185166,0.0017816300990685094
60,2009-03-31,162191,166902,158376,158390,199416,-0.025292307692307725
61,2009-04-01,156621,165141,152800,165149,259948,0.042673148557358376
62,2009-04-02,165140,173950,164850,170438,218770,0.03202562534438602
63,2009-04-03,169837,173369,167788,173086,246297,0.015536441403912303
64,2009-04-06,168956,176303,168956,168970,198820,-0.023780086199923774
65,2009-04-07,171012,173661,168666,172792,127199,0.02261939989347228
66,2009-04-08,174542,176301,165436,165443,132800,-0.04253090420852812
67,2009-04-09,165727,175419,163671,175440,305347,0.06042564508622305
68,2009-04-10,174244,178066,171892,174555,291272,-0.005044459644322874
69,2009-04-13,174829,176891,168662,168675,197167,-0.03368565781558819
70,2009-04-14,169837,172189,165139,165443,268004,-0.01916110864087739
71,2009-04-15,162499,164258,160443,161326,199562,-0.024884703493045945
72,2009-04-16,162193,168077,159261,159269,252650,-0.012750579571798705
73,2009-04-17,160441,163670,150440,151343,452985,-0.049764863218830994
74,2009-04-20,152796,157198,151321,156915,209784,0.03681703151120308
75,2009-04-21,154559,160443,151620,157505,194802,0.003759997450849095
76,2009-04-22,157497,160146,154559,156331,266455,-0.00745373162756735
77,2009-04-23,160440,163082,156908,163096,269230,0.0432735669828761
78,2009-04-24,164547,166906,160146,160153,193438,-0.018044587236964785
79,2009-04-27,159263,161022,154559,156331,226635,-0.02386467940032344
80,2009-04-28,156907,158969,155141,155748,194579,-0.0037292667481177992
81,2009-04-29,153972,161325,153972,160153,184773,0.02828286719572648
82,2009-04-30,159261,164255,156619,156627,217406,-0.02201644677277359
83,2009-05-04,157493,159846,156617,159563,183065,0.01874517164984324
84,2009-05-06,160438,168662,159258,168675,441022,0.0571059706824264
85,2009-05-07,171890,176001,169248,175145,476783,0.038357788646806064
86,2009-05-08,176002,176892,171595,174843,217254,-0.0017242855919381572
87,2009-05-11,172190,173660,167492,170438,310589,-0.02519403121657715
88,2009-05-12,168366,173368,165138,169559,218070,-0.0051573006019783865
89,2009-05-13,167488,176001,167488,175145,209270,0.0329442848801893
90,2009-05-14,174538,176297,167488,167502,340194,-0.043638128407890615
91,2009-05-15,167786,170125,164254,167206,190274,-0.0017671430788885891
92,2009-05-18,165138,165138,158668,163096,195368,-0.0245804576390799
93,2009-05-19,162192,164544,162192,164564,180673,0.009000833864717617
94,2009-05-20,162794,164547,161615,162795,106478,-0.010749617170219494
95,2009-05-21,163371,164847,160439,164564,151840,0.010866427101569487
96,2009-05-22,165728,166907,158671,158684,208777,-0.035730779514353106
97,2009-05-25,155727,159845,136336,154568,377059,-0.025938342870106657
98,2009-05-26,155729,155729,147789,147816,271317,-0.04368303918016669
99,2009-05-27,148676,149559,145151,146931,241659,-0.005987173242409494
100,2009-05-28,148095,152799,144569,149874,229432,0.020029809910774517
101,2009-05-29,151620,152799,147791,149874,184358,0.0
102,2009-06-01,147508,156318,146328,156331,213789,0.04308285626593
103,2009-06-02,156909,161903,155440,156627,307333,0.0018934184518746289
104,2009-06-03,159848,163373,157200,160442,214641,0.024357230873348845
105,2009-06-04,158665,159844,150732,150752,202169,-0.06039565699754424
106,2009-06-05,151029,155727,149264,155748,231301,0.033140522182127034
107,2009-06-08,151617,156618,151617,151631,138879,-0.026433726275778783
108,2009-06-09,153377,156026,148975,148989,185330,-0.01742387770310816
109,2009-06-10,148381,159549,148091,159563,230600,0.07097168247320274
110,2009-06-11,157795,163968,155732,158684,462782,-0.005508795898798603
111,2009-06-12,157497,159262,148681,148694,340697,-0.06295530740339295
112,2009-06-15,149559,150435,147207,148104,255073,-0.003967880344869279
113,2009-06-16,148089,148676,145737,145751,161868,-0.015887484470372137
114,2009-06-17,145152,146035,142800,142821,185721,-0.020102778025536727
115,2009-06-18,142800,145739,142510,142821,147532,0.0
116,2009-06-19,145154,145154,140449,141346,120461,-0.010327612886060213
117,2009-06-22,139870,141630,139277,139877,131911,-0.010392936482107706
118,2009-06-23,139279,139279,132815,133119,243791,-0.048313875762276866
119,2009-06-24,133985,135454,131046,133702,153315,0.004379540110728053
120,2009-06-25,133106,143101,132816,138114,282271,0.032998758432932984
121,2009-06-26,138695,146325,136627,145463,210772,0.053209667376225456
122,2009-06-29,143694,145156,142514,144578,105399,-0.0060840213662580744
123,2009-06-30,145742,149853,143692,143693,265035,-0.006121263262737098
124,2009-07-01,142219,149559,142219,148104,144141,0.030697389573604905
125,2009-07-02,150149,150149,142222,142519,170244,-0.03770998757629773
126,2009-07-03,140752,143394,137807,141346,83077,-0.008230481549828417
127,2009-07-06,141333,142512,138097,142519,130738,0.008298784542894788
128,2009-07-07,143100,143100,139575,139582,97397,-0.02060777861197449
129,2009-07-08,137510,142800,137510,142821,109959,0.02320499777908336
130,2009-07-09,143973,143973,138979,138999,203427,-0.0267607704749302
131,2009-07-10,139574,142223,138098,141051,110217,0.01476269613450465
132,2009-07-13,141040,142219,133984,133997,135273,-0.050010279969656346
133,2009-07-14,134280,136046,132811,132817,134441,-0.008806167302253032
134,2009-07-15,133101,139570,133101,136646,103619,0.028829140847933525
135,2009-07-16,137513,139575,136926,139582,106380,0.02148617595831559
136,2009-07-17,140755,141922,139872,141936,85615,0.016864638706996615
137,2009-07-20,140749,150145,140749,148104,199847,0.043456205613797705
138,2009-07-21,148682,150441,145156,148399,145653,0.0019918435693837555
139,2009-07-22,148380,150732,147504,150752,104925,0.015855901993948818
140,2009-07-23,150734,158667,148975,156915,209577,0.040881713012099315
141,2009-07-24,155440,157496,153378,153985,132628,-0.018672529713539162
142,2009-07-27,156908,162192,154846,156915,307600,0.01902782738578424
143,2009-07-28,155728,157494,153673,154279,110931,-0.016798903865149928
144,2009-07-29,153671,158665,152794,157216,75944,0.01903693957051833
145,2009-07-30,161022,161615,154559,156331,104298,-0.005629198046000372
146,2009-07-31,155145,159553,153972,156331,159114,0.0
147,2009-08-03,158376,160438,156314,159563,162049,0.0206740825556031
