,date,open,high,low,close,volume,change
0,2009-01-02,16000,16750,15650,16750,504734,0.06012658227848111
1,2009-01-05,16900,17050,16550,16650,350828,-0.005970149253731294
2,2009-01-06,16500,16650,15650,15650,851595,-0.06006006006006004
3,2009-01-07,15650,15950,15350,15700,1092196,0.0031948881789136685
4,2009-01-08,15450,15600,14850,14850,728233,-0.05414012738853502
5,2009-01-09,15000,15300,14800,14850,922686,0.0
6,2009-01-12,14600,14650,14050,14300,554395,-0.03703703703703709
7,2009-01-13,14250,14950,14100,14950,429548,0.04545454545454541
8,2009-01-14,14850,15150,14600,15050,337259,0.006688963210702337
9,2009-01-15,14350,14550,13500,13500,521746,-0.10299003322259136
10,2009-01-16,13850,14050,13550,13900,488703,0.029629629629629676
11,2009-01-19,14050,14450,13800,14450,459672,0.03956834532374098
12,2009-01-20,14350,14350,13800,14000,280801,-0.031141868512110763
13,2009-01-21,13350,13650,12750,12750,793792,-0.0892857142857143
14,2009-01-22,13250,13300,12750,13000,606965,0.019607843137254832
15,2009-01-23,12800,12950,12500,12950,305586,-0.003846153846153833
16,2009-01-28,13150,13500,13150,13400,445435,0.03474903474903468
17,2009-01-29,13550,13650,12900,12950,464914,-0.03358208955223885
18,2009-01-30,12750,13500,12700,13300,424041,0.027027027027026973
19,2009-02-02,13300,13650,12900,13000,579579,-0.022556390977443663
20,2009-02-03,13100,13400,12850,13200,349164,0.015384615384615332
21,2009-02-04,13450,14950,13400,14800,1999074,0.1212121212121211
22,2009-02-05,14650,15000,14200,14200,1007746,-0.04054054054054057
23,2009-02-06,14650,15550,14500,15400,1855293,0.08450704225352124
24,2009-02-09,15700,16600,15600,15950,2207072,0.03571428571428581
25,2009-02-10,16400,16700,15900,16500,1060333,0.034482758620689724
26,2009-02-11,16100,17600,15850,17600,1358419,0.06666666666666665
27,2009-02-12,17750,18050,17300,17800,746186,0.011363636363636465
28,2009-02-13,17750,17950,17350,17600,577218,-0.011235955056179804
29,2009-02-16,17400,18850,17400,18450,770704,0.04829545454545458
30,2009-02-17,18200,18400,15950,16000,1208798,-0.13279132791327908
31,2009-02-18,16100,17550,15850,17250,1025951,0.078125
32,2009-02-19,17500,18650,16700,17550,1362105,0.017391304347825987
33,2009-02-20,17550,18900,16500,16800,1105423,-0.04273504273504269
34,2009-02-23,16950,18100,16800,18000,771481,0.0714285714285714
