,date,open,high,low,close,volume,change
0,2009-01-02,64200,70000,63700,70000,522100,0.10935023771790807
1,2009-01-05,71800,71800,67600,68600,628743,-0.020000000000000014
2,2009-01-06,69800,70700,67400,68000,637482,-0.008746355685131156
3,2009-01-07,68800,71200,68000,70000,723338,0.02941176470588225
4,2009-01-08,69400,69500,65200,65300,1381361,-0.06714285714285717
5,2009-01-09,67000,68500,65900,66000,990162,0.01071975497702904
6,2009-01-12,65400,68000,65000,65000,558591,-0.015151515151515138
7,2009-01-13,63700,64500,61800,63000,1388639,-0.030769230769230767
8,2009-01-14,63500,66900,62100,66900,1144762,0.061904761904761914
9,2009-01-15,64200,65000,61600,62600,724886,-0.06427503736920781
10,2009-01-16,62500,66300,62400,64400,706519,0.028753993610223683
11,2009-01-19,65500,65900,63700,64800,577094,0.006211180124223503
12,2009-01-20,64400,64400,62100,63100,411849,-0.026234567901234573
13,2009-01-21,60400,62300,59100,61400,589645,-0.02694136291600635
14,2009-01-22,62500,62800,59800,60700,584160,-0.01140065146579805
15,2009-01-23,59700,62000,58700,60000,484691,-0.01153212520593083
16,2009-01-28,61400,64900,61300,64000,536774,0.06666666666666665
17,2009-01-29,64200,65800,64200,65000,559001,0.015625
18,2009-01-30,63900,66300,63400,65200,682923,0.0030769230769229767
19,2009-02-02,64000,69700,63900,68000,1136498,0.0429447852760736
20,2009-02-03,69000,71800,68100,70200,989528,0.032352941176470695
21,2009-02-04,71700,75000,71000,73300,881224,0.04415954415954415
22,2009-02-05,73300,75200,72600,73300,570023,0.0
23,2009-02-06,77300,77300,74000,75900,504946,0.03547066848567537
24,2009-02-09,76600,78600,74000,76000,569552,0.0013175230566535578
25,2009-02-10,78000,78300,75100,75100,463103,-0.011842105263157876
26,2009-02-11,73000,76600,72100,74700,402829,-0.005326231691078598
27,2009-02-12,74700,74800,73000,74800,417739,0.001338688085676054
28,2009-02-13,75000,76400,74300,75500,235986,0.009358288770053402
29,2009-02-16,75000,78200,74700,76000,317418,0.006622516556291425
30,2009-02-17,75500,75900,71900,73500,357511,-0.03289473684210531
31,2009-02-18,73000,73000,70400,72200,452106,-0.017687074829931926
32,2009-02-19,71300,74400,70200,74000,445691,0.024930747922437657
33,2009-02-20,73800,74800,71100,71900,277243,-0.028378378378378418
34,2009-02-23,72800,74900,71300,74800,296762,0.040333796940194684
35,2009-02-24,73000,75900,71800,75000,416581,0.002673796791443861
36,2009-02-25,77000,77600,75600,76900,373830,0.02533333333333343
37,2009-02-26,77900,79900,73000,75800,393677,-0.014304291287386197
38,2009-02-27,76300,77300,73200,74500,391821,-0.01715039577836408
39,2009-03-02,72900,73000,69300,71200,460686,-0.0442953020134228
40,2009-03-03,70400,75700,70000,74500,455586,0.0463483146067416
41,2009-03-04,74600,76300,73500,75500,364979,0.013422818791946291
42,2009-03-05,76500,79500,74900,77000,793704,0.019867549668874274
43,2009-03-06,75300,79100,75300,77500,370580,0.006493506493506551
44,2009-03-09,78200,81100,77600,78700,379031,0.01548387096774184
45,2009-03-10,78200,80500,77500,78700,442732,0.0
46,2009-03-11,80900,80900,77200,78000,815129,-0.00889453621346892
47,2009-03-12,79200,79200,74700,76300,1274554,-0.021794871794871832
48,2009-03-13,77000,77500,74900,75500,675928,-0.010484927916120546
49,2009-03-16,76000,80300,75600,79000,763314,0.04635761589403975
50,2009-03-17,80000,80800,78000,78200,594010,-0.010126582278481068
51,2009-03-18,79000,80600,78600,80200,772314,0.02557544757033248
52,2009-03-19,80200,80300,78100,79000,346769,-0.01496259351620943
53,2009-03-20,79000,81800,78900,80400,355773,0.01772151898734187
54,2009-03-23,81300,84300,80700,83000,557014,0.03233830845771135
55,2009-03-24,83500,85100,83000,84300,487857,0.01566265060240957
56,2009-03-25,84200,85100,80400,80700,728591,-0.042704626334519546
57,2009-03-26,81000,82600,80000,80600,706785,-0.0012391573729864105
58,2009-03-27,81500,84000,78800,78800,877926,-0.02233250620347393
59,2009-03-30,79800,80300,77600,78400,486954,-0.005076142131979711
60,2009-03-31,79600,81800,79000,79600,783846,0.015306122448979663
61,2009-04-01,80500,83500,79600,83500,887762,0.048994974874371884
