,date,open,high,low,close,volume,change
0,2009-01-02,52800,53200,51400,51800,69118,-0.04074074074074074
1,2009-01-05,52100,52600,50000,50000,77558,-0.03474903474903479
2,2009-01-06,50900,52500,50200,51400,91231,0.028000000000000025
3,2009-01-07,50900,51400,50000,50800,117235,-0.011673151750972721
4,2009-01-08,51000,51900,50300,51900,85894,0.021653543307086576
5,2009-01-09,51600,52600,50300,50300,59331,-0.030828516377649277
6,2009-01-12,50900,51400,50200,50600,52015,0.0059642147117295865
7,2009-01-13,50800,50800,48900,49350,64655,-0.024703557312252933
8,2009-01-14,49500,50100,48700,49850,58712,0.010131712259371815
9,2009-01-15,48750,49000,47700,48000,97656,-0.037111334002006065
10,2009-01-16,47750,48350,45600,46200,160671,-0.03749999999999998
11,2009-01-19,46800,47250,46350,46500,92152,0.006493506493506551
12,2009-01-20,46300,48000,45550,47400,101352,0.019354838709677358
13,2009-01-21,46250,47150,45850,46600,92777,-0.016877637130801704
14,2009-01-22,47300,47450,46600,47000,134303,0.008583690987124415
15,2009-01-23,46750,47400,46100,47000,82851,0.0
16,2009-01-28,47700,48500,47450,47500,148728,0.010638297872340495
17,2009-01-29,47700,48200,47300,47950,76981,0.0094736842105263
18,2009-01-30,47550,48500,47350,47450,74314,-0.010427528675703844
19,2009-02-02,46600,46600,45500,45500,184363,-0.041095890410958964
20,2009-02-03,45700,46750,45350,46400,125063,0.01978021978021971
21,2009-02-04,46700,46950,46100,46300,118488,-0.0021551724137931494
22,2009-02-05,46100,46500,46000,46100,133832,-0.004319654427645814
23,2009-02-06,46300,46500,45450,45700,134148,-0.008676789587852451
24,2009-02-09,46350,46350,45650,45650,118983,-0.0010940919037198962
25,2009-02-10,45700,46150,44800,44800,148261,-0.018619934282584905
26,2009-02-11,44700,46000,44550,45900,96275,0.0245535714285714
27,2009-02-12,45650,46600,45000,46400,178765,0.01089324618736387
28,2009-02-13,46550,46650,45850,46350,123109,-0.001077586206896575
29,2009-02-16,46500,47500,46450,47400,197407,0.02265372168284796
30,2009-02-17,46800,46800,45300,46150,175731,-0.026371308016877596
31,2009-02-18,45700,45700,44700,45050,131335,-0.023835319609967542
32,2009-02-19,44800,44800,42900,43550,145959,-0.033296337402885734
33,2009-02-20,44050,44300,41850,42600,118539,-0.02181400688863377
34,2009-02-23,42450,43900,41550,43900,68160,0.030516431924882736
35,2009-02-24,42450,42800,41550,42500,78276,-0.031890660592255086
36,2009-02-25,43050,43250,41350,41400,112739,-0.025882352941176467
37,2009-02-26,41950,43950,41500,42500,87003,0.02657004830917864
38,2009-02-27,42100,43000,41600,43000,85142,0.0117647058823529
39,2009-03-02,42700,42700,40450,41200,116677,-0.041860465116279055
40,2009-03-03,40100,42450,40100,40600,96850,-0.014563106796116497
41,2009-03-04,40800,41300,40050,41000,110157,0.00985221674876846
42,2009-03-05,41000,41950,40200,41600,95708,0.014634146341463428
43,2009-03-06,41200,42800,40600,42300,115598,0.016826923076923128
44,2009-03-09,43000,43350,41350,42600,87329,0.007092198581560183
45,2009-03-10,42400,43000,42000,42600,85338,0.0
46,2009-03-11,43300,45050,43100,45050,193476,0.057511737089201986
47,2009-03-12,45450,46550,44550,46500,229671,0.03218645948945609
48,2009-03-13,46500,46600,44950,44950,181492,-0.033333333333333326
49,2009-03-16,44500,45200,44300,44500,52602,-0.010011123470522798
50,2009-03-17,45000,46400,44550,46150,83334,0.03707865168539315
51,2009-03-18,46600,47400,45350,47400,92118,0.027085590465872226
52,2009-03-19,47800,48100,47150,47750,104798,0.007383966244725705
53,2009-03-20,48000,48750,47450,47450,136351,-0.006282722513089034
54,2009-03-23,47550,48300,46400,46450,110112,-0.021074815595363502
55,2009-03-24,47100,47300,46000,46400,138377,-0.0010764262648008671
56,2009-03-25,46650,46850,46250,46800,63844,0.008620689655172377
57,2009-03-26,46500,46900,46000,46850,77013,0.0010683760683760646
58,2009-03-27,47400,49250,46900,48800,209613,0.04162219850586979
59,2009-03-30,48150,49100,46350,46700,86702,-0.04303278688524592
60,2009-03-31,46650,47300,46250,46300,88698,-0.008565310492505307
61,2009-04-01,47850,47850,46350,46850,116694,0.01187904967602593
62,2009-04-02,47000,48900,46900,48900,87574,0.043756670224119436
63,2009-04-03,48500,49900,48000,49850,136795,0.019427402862985717
64,2009-04-06,49100,50000,49000,49300,49956,-0.011033099297893643
65,2009-04-07,49450,49450,48250,49200,50242,-0.0020283975659228792
66,2009-04-08,49200,49500,48600,48900,43061,-0.0060975609756097615
67,2009-04-09,48900,49100,47950,48350,190043,-0.011247443762781195
68,2009-04-10,48550,48950,47500,47850,114559,-0.010341261633919352
69,2009-04-13,48050,48900,47850,47850,87429,0.0
70,2009-04-14,47850,48250,46500,47850,188676,0.0
71,2009-04-15,47100,47850,46700,47850,96756,0.0
72,2009-04-16,48550,48700,47100,47400,100705,-0.009404388714733591
73,2009-04-17,47100,47450,44150,44500,390732,-0.06118143459915615
74,2009-04-20,44800,45000,43500,43500,153608,-0.022471910112359602
75,2009-04-21,43400,44800,43200,44500,173799,0.02298850574712641
76,2009-04-22,44500,44800,43500,43600,139976,-0.02022471910112356
77,2009-04-23,44100,44800,44050,44200,76402,0.013761467889908284
78,2009-04-24,44500,47200,44300,47000,261201,0.06334841628959276
79,2009-04-27,47400,47450,45800,47000,117076,0.0
80,2009-04-28,47250,47500,46000,46800,122295,-0.0042553191489361755
81,2009-04-29,47150,48200,47050,47100,147838,0.006410256410256388
82,2009-04-30,47100,47400,45900,47000,206999,-0.002123142250530785
83,2009-05-04,47100,47400,46050,46200,145562,-0.017021276595744702
84,2009-05-06,46200,46200,44550,44550,237448,-0.0357142857142857
85,2009-05-07,45200,45550,44950,45000,216076,0.010101010101010166
86,2009-05-08,45100,47100,45100,46950,234270,0.04333333333333322
87,2009-05-11,46800,49150,46400,49150,378711,0.046858359957401514
88,2009-05-12,48650,49450,48400,49100,139954,-0.0010172939979654627
89,2009-05-13,49600,51100,49600,50900,266147,0.03665987780040725
90,2009-05-14,50000,51100,49800,50400,128029,-0.009823182711198421
91,2009-05-15,50400,50800,48900,48900,78742,-0.029761904761904767
92,2009-05-18,48300,49000,48050,48300,72533,-0.012269938650306787
93,2009-05-19,48600,49200,48300,49000,74229,0.014492753623188468
94,2009-05-20,49100,50700,49100,50600,68187,0.032653061224489736
95,2009-05-21,50200,51600,50000,51500,103958,0.01778656126482203
96,2009-05-22,50700,54200,50700,54100,258983,0.05048543689320395
97,2009-05-25,53900,54600,49400,52800,129514,-0.02402957486136781
98,2009-05-26,53500,54600,51800,53000,105351,0.003787878787878896
99,2009-05-27,53500,55800,53000,54000,125160,0.018867924528301886
100,2009-05-28,52900,54100,52600,53900,61872,-0.0018518518518518825
101,2009-05-29,53900,54100,52700,53300,227550,-0.011131725417439677
102,2009-06-01,53500,55100,52100,54800,162922,0.02814258911819878
103,2009-06-02,54900,55900,52300,52400,141737,-0.04379562043795615
104,2009-06-03,51600,52400,51000,52300,166619,-0.001908396946564861
105,2009-06-04,52100,52100,50700,50900,104349,-0.02676864244741872
106,2009-06-05,50900,51100,50000,51000,78327,0.0019646365422396612
107,2009-06-08,50600,52000,50400,51400,161927,0.007843137254901933
108,2009-06-09,51700,51700,50400,51000,65993,-0.007782101167315147
109,2009-06-10,51000,51700,50200,51400,103403,0.007843137254901933
110,2009-06-11,51000,52500,50800,51700,167411,0.005836575875486361
111,2009-06-12,51400,52500,51000,52200,119451,0.009671179883945944
112,2009-06-15,51500,51700,50500,50700,64230,-0.028735632183908063
113,2009-06-16,50500,51100,50200,50800,56939,0.001972386587771213
114,2009-06-17,50500,52200,50000,51000,111349,0.003937007874015741
115,2009-06-18,51500,53200,50800,52800,113026,0.03529411764705892
116,2009-06-19,52500,53400,51700,53400,68088,0.011363636363636465
117,2009-06-22,53900,53900,52600,53500,40027,0.0018726591760298559
118,2009-06-23,53200,53200,51300,52000,47478,-0.028037383177570097
119,2009-06-24,52400,52500,51300,51800,38584,-0.003846153846153833
120,2009-06-25,51200,54700,51200,52900,102988,0.021235521235521304
121,2009-06-26,53200,54700,52900,53800,56458,0.017013232514177634
122,2009-06-29,54500,54500,52600,53600,39855,-0.00371747211895912
123,2009-06-30,54200,54800,53700,54200,99034,0.011194029850746244
124,2009-07-01,54100,55500,53600,54400,85367,0.0036900369003689533
125,2009-07-02,54000,55500,53100,53100,69731,-0.02389705882352944
126,2009-07-03,53000,54000,52700,52800,40824,-0.005649717514124243
127,2009-07-06,53400,53400,51200,51300,73882,-0.028409090909090936
128,2009-07-07,51900,52100,51300,52000,64878,0.013645224171539905
129,2009-07-08,52000,52900,51300,52300,69440,0.00576923076923075
130,2009-07-09,52900,54100,52400,53400,128710,0.021032504780114758
131,2009-07-10,53100,53500,52000,52000,94072,-0.026217228464419432
132,2009-07-13,51600,52000,50800,51700,93887,-0.00576923076923075
133,2009-07-14,51700,52200,50400,50500,47921,-0.023210831721469986
134,2009-07-15,50500,52200,50500,51500,106362,0.01980198019801982
135,2009-07-16,51600,52700,50500,52700,75706,0.023300970873786356
136,2009-07-17,52700,52900,52000,52800,62335,0.0018975332068311699
137,2009-07-20,52200,54000,52200,53700,61866,0.017045454545454586
138,2009-07-21,53200,53300,52100,52800,52865,-0.016759776536312887
139,2009-07-22,52600,55600,52300,55000,116169,0.04166666666666674
140,2009-07-23,55300,55800,54600,55400,138043,0.007272727272727319
141,2009-07-24,54500,59000,54500,59000,162302,0.06498194945848379
142,2009-07-27,59000,59000,57200,58600,114983,-0.006779661016949157
143,2009-07-28,57500,59000,56600,56600,139490,-0.034129692832764465
144,2009-07-29,56600,57100,55200,55600,65883,-0.017667844522968212
145,2009-07-30,55200,56500,54600,54900,39608,-0.012589928057553991
146,2009-07-31,55100,56200,54800,55900,68716,0.018214936247723083
147,2009-08-03,55800,56800,55200,55300,33281,-0.01073345259391767
148,2009-08-04,55500,56500,54500,55300,85566,0.0
149,2009-08-05,55200,55900,53800,55000,182330,-0.0054249547920434136
150,2009-08-06,55200,55500,54500,54900,65125,-0.0018181818181818297
151,2009-08-07,55000,55900,54300,55200,41767,0.005464480874316946
152,2009-08-10,55200,55900,54500,54500,70134,-0.0126811594202898
153,2009-08-11,54400,54900,53400,53900,85783,-0.011009174311926606
154,2009-08-12,54100,54300,53200,54000,49989,0.0018552875695732047
155,2009-08-13,53700,54200,52900,52900,96917,-0.02037037037037037
156,2009-08-14,53400,54800,53000,54100,104864,0.022684310018903583
157,2009-08-17,54800,54900,51700,52000,163215,-0.03881700554528656
158,2009-08-18,52200,53400,52000,52100,62431,0.001923076923076916
159,2009-08-19,52500,52500,51200,51200,67413,-0.017274472168905985
160,2009-08-20,51800,52400,51200,52000,45300,0.015625
161,2009-08-21,51800,52900,51500,52300,47226,0.00576923076923075
162,2009-08-24,52400,54800,52400,53900,160023,0.030592734225621362
163,2009-08-25,53400,54300,52500,52500,35423,-0.025974025974025983
164,2009-08-26,52400,53400,52400,52800,60448,0.005714285714285783
165,2009-08-27,52800,53200,51600,52500,55494,-0.005681818181818232
166,2009-08-28,52500,52900,51700,52000,51979,-0.00952380952380949
167,2009-08-31,52200,52500,50400,50400,86739,-0.030769230769230767
168,2009-09-01,50600,51800,50600,51100,84496,0.013888888888888841
169,2009-09-02,50900,51800,50200,51700,66973,0.011741682974559796
170,2009-09-03,51400,51900,50500,50500,80635,-0.023210831721469986
171,2009-09-04,50700,51500,50500,51200,37263,0.013861386138613874
172,2009-09-07,51800,51900,50500,50500,33444,-0.013671875
173,2009-09-08,50700,52500,50700,51500,151349,0.01980198019801982
174,2009-09-09,51200,51400,50500,50600,38808,-0.01747572815533982
175,2009-09-10,50600,51900,50600,51500,113145,0.01778656126482203
176,2009-09-11,51500,53000,51200,52000,167020,0.009708737864077666
177,2009-09-14,52000,53400,51800,52100,138607,0.001923076923076916
178,2009-09-15,52800,53000,51800,52100,112224,0.0
179,2009-09-16,52300,52700,51300,51700,158476,-0.0076775431861804124
180,2009-09-17,52000,52700,51800,52600,151416,0.01740812379110257
181,2009-09-18,52400,52600,51000,51000,219716,-0.03041825095057038
182,2009-09-21,51200,51300,50600,51000,83768,0.0
183,2009-09-22,51000,51600,51000,51500,70961,0.009803921568627416
184,2009-09-23,51400,51400,50500,50700,72641,-0.01553398058252431
185,2009-09-24,50700,51100,50100,50500,62667,-0.0039447731755424265
186,2009-09-25,50500,50700,49900,50200,41693,-0.005940594059405946
187,2009-09-28,49900,51500,49700,51000,112367,0.015936254980079667
188,2009-09-29,51100,52000,50700,52000,96380,0.019607843137254832
189,2009-09-30,51900,52400,51100,51800,95351,-0.003846153846153833
190,2009-10-01,51600,52000,50200,50600,83728,-0.02316602316602312
191,2009-10-05,50600,52100,50300,51700,78102,0.021739130434782702
192,2009-10-06,51500,51900,51200,51500,83187,-0.003868471953578312
193,2009-10-07,51200,53000,51100,52000,117730,0.009708737864077666
194,2009-10-08,52500,52600,50700,51800,93659,-0.003846153846153833
195,2009-10-09,51000,51200,50000,50000,181311,-0.03474903474903479
196,2009-10-12,50300,50500,49800,49850,76997,-0.003000000000000003
197,2009-10-13,49950,50000,48850,49850,128609,0.0
198,2009-10-14,49500,49850,49250,49400,48162,-0.009027081243731194
199,2009-10-15,49100,49800,48900,49700,96222,0.006072874493927127
200,2009-10-16,49500,51600,49500,51000,158654,0.026156941649899457
201,2009-10-19,51000,51500,50500,51400,103010,0.007843137254901933
202,2009-10-20,51400,51400,50500,50700,67463,-0.013618677042801508
203,2009-10-21,50300,50900,49700,50200,60363,-0.009861932938856066
204,2009-10-22,49650,50300,49500,49900,105607,-0.005976095617529875
205,2009-10-23,49700,50000,47100,47100,343257,-0.05611222444889774
206,2009-10-26,47300,49500,47100,49000,235451,0.04033970276008492
207,2009-10-27,48900,49600,48100,49100,74892,0.0020408163265306367
208,2009-10-28,48650,49500,48450,48850,81836,-0.005091649694501044
209,2009-10-29,48050,49000,47700,48650,121143,-0.004094165813715467
210,2009-10-30,48800,48800,47500,47650,111288,-0.020554984583761596
211,2009-11-02,46850,47100,45350,45900,194210,-0.036726128016789095
212,2009-11-03,45900,46400,45200,46400,189231,0.01089324618736387
213,2009-11-04,46350,46350,45350,46200,143481,-0.004310344827586189
214,2009-11-05,45900,45900,45500,45500,111824,-0.015151515151515138
215,2009-11-06,45800,46350,45550,46200,65918,0.015384615384615332
216,2009-11-09,46200,46550,46200,46200,42462,0.0
217,2009-11-10,46300,47100,45850,46950,101409,0.016233766233766156
218,2009-11-11,47000,47250,46700,47100,80924,0.0031948881789136685
219,2009-11-12,47000,48500,47000,47000,123171,-0.002123142250530785
220,2009-11-13,47300,48100,47000,47600,93721,0.012765957446808418
221,2009-11-16,47300,47600,46400,47000,80559,-0.012605042016806678
222,2009-11-17,46700,47550,46600,47100,115718,0.002127659574468144
223,2009-11-18,47050,48200,47050,47400,83754,0.006369426751592354
224,2009-11-19,47050,48100,47050,47900,61981,0.010548523206751035
225,2009-11-20,48200,48550,47700,48200,76351,0.006263048016701411
226,2009-11-23,48000,48700,47300,48150,66703,-0.0010373443983402453
227,2009-11-24,48150,48500,47950,48450,61554,0.006230529595015577
228,2009-11-25,48650,48650,47900,48300,31928,-0.003095975232198178
229,2009-11-26,47650,48100,47500,47600,54952,-0.01449275362318836
230,2009-11-27,47100,47900,46200,46200,41766,-0.029411764705882363
231,2009-11-30,46300,47500,46000,47000,87241,0.017316017316017396
232,2009-12-01,46750,47250,46450,47200,62049,0.0042553191489360645
233,2009-12-02,47200,47650,46500,47400,106596,0.004237288135593209
234,2009-12-03,47150,47550,46750,47450,97375,0.0010548523206750369
235,2009-12-04,47100,47850,47000,47300,77611,-0.0031612223393044925
236,2009-12-07,47350,47800,47100,47100,61765,-0.0042283298097252064
237,2009-12-08,47000,47450,46750,46850,45719,-0.005307855626326964
238,2009-12-09,47000,47250,46800,46950,61199,0.002134471718249653
239,2009-12-10,47350,47350,46350,47000,151143,0.0010649627263046302
240,2009-12-11,47050,47500,46850,47200,106879,0.0042553191489360645
241,2009-12-14,47500,48550,47200,48000,111691,0.016949152542372836
242,2009-12-15,48000,48500,47500,47950,76252,-0.0010416666666667183
243,2009-12-16,47650,48600,47650,48100,59721,0.0031282586027112647
244,2009-12-17,48100,48650,48050,48100,36151,0.0
245,2009-12-18,48100,48600,47750,48350,47032,0.005197505197505281
246,2009-12-21,48400,49300,47850,48950,63016,0.012409513960703222
247,2009-12-22,48800,49300,48600,48950,45626,0.0
248,2009-12-23,48500,49000,48200,48200,27888,-0.01532175689479065
249,2009-12-24,47950,48850,47950,48600,53408,0.008298755186721962
250,2009-12-28,48250,49700,48200,48500,95855,-0.002057613168724326
251,2009-12-29,47850,48500,47050,48500,67878,0.0
252,2009-12-30,48300,48600,47550,48500,46488,0.0
253,2010-01-04,48100,49550,47850,49300,61290,0.016494845360824684
254,2010-01-05,49000,50100,48650,49400,114071,0.0020283975659229907
255,2010-01-06,49050,49900,49000,49000,58833,-0.0080971659919028
256,2010-01-07,49000,49000,48350,48400,52810,-0.01224489795918371
257,2010-01-08,48250,48850,48200,48300,157638,-0.0020661157024793875
258,2010-01-11,48450,49350,48400,48700,117477,0.008281573498964745
259,2010-01-12,48700,48750,47900,48100,112361,-0.012320328542094416
260,2010-01-13,48300,48950,47900,48950,107230,0.017671517671517645
261,2010-01-14,48800,49700,48600,49150,97109,0.0040858018386107356
262,2010-01-15,49150,49500,48450,48900,58175,-0.005086469989827092
263,2010-01-18,49200,49200,47950,48000,63909,-0.018404907975460127
264,2010-01-19,47950,48400,47500,47550,55960,-0.009375000000000022
265,2010-01-20,47550,47850,47350,47450,38942,-0.002103049421661396
266,2010-01-21,47400,48150,47150,48000,35058,0.011591148577450028
267,2010-01-22,47450,48100,46350,46350,80394,-0.034375000000000044
268,2010-01-25,46350,46800,46150,46250,68683,-0.0021574973031284195
269,2010-01-26,46400,46900,46000,46250,65842,0.0
270,2010-01-27,46250,47700,46250,47000,61597,0.016216216216216273
271,2010-01-28,47000,47500,46750,47400,39645,0.008510638297872353
272,2010-01-29,47500,47700,46400,46600,62105,-0.016877637130801704
273,2010-02-01,46600,47550,46500,47500,57450,0.0193133047210301
274,2010-02-02,46500,46650,45250,45700,136809,-0.037894736842105314
275,2010-02-03,45600,45850,45200,45400,53044,-0.006564551422319487
276,2010-02-04,45400,45600,44750,44800,81998,-0.013215859030836996
277,2010-02-05,44200,44400,43750,43800,72399,-0.022321428571428603
278,2010-02-08,44600,44600,43800,43850,51251,0.001141552511415567
279,2010-02-09,43850,43950,43400,43450,64628,-0.009122006841505105
280,2010-02-10,43500,43600,42750,43250,64518,-0.004602991944764101
281,2010-02-11,43400,44100,43100,43800,114549,0.012716763005780285
282,2010-02-12,43700,44300,43450,43900,65333,0.002283105022831133
283,2010-02-16,43800,44400,43650,43900,76321,0.0
284,2010-02-17,43900,44800,43800,44600,55618,0.015945330296127658
285,2010-02-18,44550,44900,44000,44500,40269,-0.0022421524663677195
286,2010-02-19,44200,44300,43450,43500,43373,-0.022471910112359602
287,2010-02-22,43600,44500,43550,44200,107565,0.016091954022988464
288,2010-02-23,44350,45200,44200,45000,54973,0.018099547511312156
289,2010-02-24,45000,45350,44650,45350,47186,0.0077777777777778825
290,2010-02-25,45350,45700,45100,45700,61289,0.007717750826901959
291,2010-02-26,45300,45650,45100,45100,32680,-0.013129102844638972
292,2010-03-02,45000,45550,44900,45100,59105,0.0
