,date,open,high,low,close,volume,change
0,2009-01-02,29600,30150,28650,30150,1382523,0.01858108108108114
1,2009-01-05,31350,31400,30250,31000,1911189,0.02819237147595355
2,2009-01-06,31450,32500,31250,32000,2405454,0.032258064516129004
3,2009-01-07,32150,32550,31650,32500,2892489,0.015625
4,2009-01-08,32400,32400,31050,31350,1687685,-0.03538461538461535
5,2009-01-09,31550,31750,29900,30000,2209338,-0.0430622009569378
6,2009-01-12,29900,30250,29550,30100,1571786,0.0033333333333334107
7,2009-01-13,30000,30150,29350,30000,1239549,-0.0033222591362126463
8,2009-01-14,29850,29950,29200,29500,2010144,-0.01666666666666672
9,2009-01-15,28850,28850,27700,27700,2081314,-0.06101694915254241
10,2009-01-16,27700,28750,27700,28500,2053087,0.028880866425992743
11,2009-01-19,28500,29000,27900,29000,1178028,0.017543859649122858
12,2009-01-20,28500,28900,27800,28100,1375930,-0.031034482758620637
13,2009-01-21,27250,28000,27050,27050,1792134,-0.037366548042704666
14,2009-01-22,27550,28000,27200,27850,1377885,0.02957486136783727
15,2009-01-23,27800,27850,26900,27550,1420588,-0.010771992818671472
16,2009-01-28,27800,29250,27800,29150,1783343,0.058076225045372125
17,2009-01-29,29400,29850,28250,29050,1974477,-0.0034305317324184736
18,2009-01-30,28700,28950,28000,28250,1904981,-0.027538726333907082
19,2009-02-02,27600,27850,26750,27100,3247228,-0.04070796460176995
20,2009-02-03,27200,27550,26700,27100,2557738,0.0
21,2009-02-04,27550,27600,26750,27200,3630136,0.0036900369003689533
22,2009-02-05,27100,27150,26700,26700,2045983,-0.01838235294117652
23,2009-02-06,26950,28400,26700,28350,4501422,0.0617977528089888
24,2009-02-09,28650,29300,28400,28400,2683409,0.0017636684303350414
25,2009-02-10,28600,29200,28000,28050,1354879,-0.01232394366197187
26,2009-02-11,27400,27750,27200,27550,1620236,-0.017825311942959
27,2009-02-12,27350,28350,27250,28000,2593343,0.016333938294010864
28,2009-02-13,27600,27800,27150,27700,2331244,-0.010714285714285676
29,2009-02-16,27200,27400,26600,26650,1910299,-0.037906137184115514
30,2009-02-17,26300,26400,25050,25250,3058562,-0.05253283302063794
31,2009-02-18,25000,25050,24150,24550,2269134,-0.027722772277227747
32,2009-02-19,24450,24750,23700,23950,2731651,-0.024439918533604943
33,2009-02-20,23700,23900,22900,23250,2227456,-0.029227557411273475
34,2009-02-23,23000,25150,22600,25000,2976442,0.07526881720430101
35,2009-02-24,24000,24500,23550,24250,2191347,-0.030000000000000027
36,2009-02-25,25100,25100,24000,24300,1569348,0.002061855670103085
37,2009-02-26,24500,25500,23750,24000,2018616,-0.012345679012345734
38,2009-02-27,24000,24550,23550,24000,1857548,0.0
39,2009-03-02,23550,23600,22700,23000,2276374,-0.04166666666666663
40,2009-03-03,22200,23950,22100,23450,2127556,0.019565217391304342
41,2009-03-04,23050,24000,22600,23850,2312943,0.017057569296375252
42,2009-03-05,23750,24650,23550,24200,2500098,0.01467505241090139
43,2009-03-06,23650,23650,23250,23300,1943877,-0.037190082644628086
44,2009-03-09,23400,24050,23300,23650,3168562,0.015021459227467782
45,2009-03-10,23200,25400,23200,24950,3503070,0.05496828752642702
46,2009-03-11,26000,27350,25700,26950,5503602,0.08016032064128265
47,2009-03-12,27200,27250,26050,26700,3380827,-0.00927643784786647
48,2009-03-13,27000,27850,26500,26650,2493881,-0.0018726591760299671
49,2009-03-16,26200,27600,26200,27000,1427770,0.0131332082551594
50,2009-03-17,27300,27750,26800,27650,2160140,0.024074074074074137
51,2009-03-18,27950,27950,26600,26850,2499517,-0.028933092224231464
52,2009-03-19,27200,27450,26600,26600,1461225,-0.009310986964618295
53,2009-03-20,26850,27100,26450,26600,1198881,0.0
54,2009-03-23,27100,27600,26900,27350,1452077,0.02819548872180455
55,2009-03-24,27950,28150,27400,28000,1697475,0.02376599634369292
56,2009-03-25,27850,27950,27250,27650,1273144,-0.012499999999999956
57,2009-03-26,27850,27850,26900,27450,3036933,-0.007233273056057921
58,2009-03-27,27200,27250,26400,26650,2640524,-0.029143897996356968
59,2009-03-30,26650,26900,25100,25500,2473875,-0.04315196998123827
60,2009-03-31,25650,26150,25350,25450,2115128,-0.0019607843137254832
61,2009-04-01,25950,26650,25700,26200,2723333,0.02946954813359537
62,2009-04-02,26900,27500,26600,27500,3181980,0.04961832061068705
63,2009-04-03,27450,27550,26900,27300,1926674,-0.007272727272727319
64,2009-04-06,27800,27900,27000,27100,2804904,-0.0073260073260073
65,2009-04-07,27100,27300,26750,27100,1457006,0.0
66,2009-04-08,27350,27700,26850,26850,2119108,-0.009225092250922495
67,2009-04-09,27150,27800,26900,27800,2890366,0.035381750465549366
68,2009-04-10,28000,28300,27200,27550,2602685,-0.008992805755395739
69,2009-04-13,27600,28050,27250,27400,1925962,-0.005444646098003658
70,2009-04-14,27650,27750,27300,27400,1947209,0.0
71,2009-04-15,27050,27100,26150,26750,2949275,-0.02372262773722633
72,2009-04-16,26900,27100,26150,26150,2522055,-0.022429906542056118
73,2009-04-17,26300,26700,25600,25700,2737507,-0.017208413001912004
74,2009-04-20,25800,26050,25250,26000,2060875,0.011673151750972721
75,2009-04-21,25550,26600,25500,26250,1972413,0.00961538461538458
76,2009-04-22,26200,26250,25800,26100,2459238,-0.005714285714285672
77,2009-04-23,26250,26300,25800,26050,1620585,-0.0019157088122605528
78,2009-04-24,26050,26300,25700,26300,1817782,0.009596928982725572
79,2009-04-27,26200,26250,25750,25750,1355320,-0.020912547528517126
80,2009-04-28,25750,26900,25750,26000,3237997,0.009708737864077666
81,2009-04-29,26450,27700,26200,27400,4293742,0.053846153846153884
82,2009-04-30,27800,28000,27450,28000,2848295,0.021897810218978183
83,2009-05-04,28200,30350,28200,29650,3957683,0.058928571428571434
84,2009-05-06,29400,29550,28300,28550,3156051,-0.037099494097807766
85,2009-05-07,28850,29150,28450,29050,2011396,0.017513134851138368
86,2009-05-08,29200,29200,28350,29100,1513932,0.001721170395869276
87,2009-05-11,30100,30800,29800,30200,4909362,0.037800687285223455
88,2009-05-12,30600,30650,29900,30200,3119929,0.0
89,2009-05-13,30350,30650,30100,30450,1748041,0.008278145695364225
90,2009-05-14,29900,29950,28800,28800,2779400,-0.05418719211822665
91,2009-05-15,29000,29800,28200,29750,2645198,0.03298611111111116
92,2009-05-18,29350,29750,28600,29700,1934967,-0.001680672268907557
93,2009-05-19,29700,30500,29700,30500,2385175,0.02693602693602704
94,2009-05-20,30450,31050,30050,30500,2196229,0.0
95,2009-05-21,30700,30900,30150,30550,1851013,0.0016393442622950616
96,2009-05-22,30200,31150,29950,30200,1977304,-0.011456628477905071
97,2009-05-25,29850,30300,27000,29950,1937381,-0.008278145695364225
98,2009-05-26,29750,29900,28500,29050,2196253,-0.03005008347245408
99,2009-05-27,29100,29250,28200,28450,1755368,-0.020654044750430308
100,2009-05-28,28050,28600,27600,28550,1877791,0.0035149384885764245
101,2009-05-29,28100,28500,27750,28350,1798448,-0.0070052539404553684
102,2009-06-01,28400,29350,28150,29050,2075074,0.024691358024691468
103,2009-06-02,29350,29400,28450,28600,2234508,-0.015490533562822706
104,2009-06-03,28700,28800,27950,28000,1869892,-0.02097902097902093
105,2009-06-04,27800,28550,27500,27550,2938263,-0.016071428571428625
106,2009-06-05,29000,29100,28750,29050,4516739,0.05444646098003636
107,2009-06-08,29050,30350,28950,29400,3776416,0.012048192771084263
108,2009-06-09,29700,29900,28950,28950,1915878,-0.015306122448979553
109,2009-06-10,29000,30450,29000,30350,2308961,0.04835924006908465
110,2009-06-11,30300,31050,29900,30300,3007601,-0.0016474464579900874
111,2009-06-12,30800,30800,29900,30600,1201803,0.00990099009900991
112,2009-06-15,30300,30500,29750,30200,1195172,-0.013071895424836557
113,2009-06-16,29800,29950,29550,29850,1181431,-0.011589403973509936
114,2009-06-17,29450,29450,29050,29200,1002671,-0.02177554438860974
115,2009-06-18,28950,29050,28550,28850,1512976,-0.011986301369863006
116,2009-06-19,28850,29000,28250,29000,1363169,0.005199306759098743
117,2009-06-22,28700,29850,28650,29700,1257938,0.024137931034482696
118,2009-06-23,29150,29150,28600,28650,1031550,-0.03535353535353536
119,2009-06-24,28650,29350,28450,29000,1298759,0.01221640488656206
120,2009-06-25,29050,29900,28950,29400,1448740,0.013793103448275891
121,2009-06-26,29450,30100,28950,29500,1743738,0.0034013605442175803
122,2009-06-29,29900,30400,29500,29500,955814,0.0
