,date,open,high,low,close,volume,change
0,2009-01-02,35887,37008,35542,36233,1697729,0.004797559622850889
1,2009-01-05,36750,36922,34938,35197,3536403,-0.028592719344244236
2,2009-01-06,35197,35714,34852,35370,2902478,0.004915191635650684
3,2009-01-07,35283,35456,34852,35284,3374524,-0.002431439072660413
4,2009-01-08,35369,35714,34852,35370,3148745,0.0024373653780751514
5,2009-01-09,35628,36059,35283,35542,1707710,0.004862878145320826
6,2009-01-12,35801,35801,34852,35284,2046896,-0.007259017500422016
7,2009-01-13,35283,35801,34852,35284,1811044,0.0
8,2009-01-14,35369,35801,35111,35715,1277458,0.012215168348259864
9,2009-01-15,35369,36060,35197,35974,2771236,0.0072518549629008175
10,2009-01-16,35973,37267,35628,37009,2113873,0.02877077889586932
11,2009-01-19,36577,37095,35628,36233,1802832,-0.020967872679618527
12,2009-01-20,35715,36232,35369,35801,1320075,-0.011922832776750436
13,2009-01-21,35801,36491,35542,36146,1689592,0.009636602329543777
14,2009-01-22,36060,36750,35542,36578,2083022,0.011951529906490288
15,2009-01-23,36405,36663,35542,36233,1446176,-0.009431898955656435
16,2009-01-28,36922,37958,36836,37613,1754535,0.03808682692573062
17,2009-01-29,37612,37699,35973,36578,2399906,-0.02751708185999524
18,2009-01-30,36060,36318,35542,35801,1381350,-0.021242276778391408
19,2009-02-02,35456,35887,35024,35197,1360716,-0.016871037121868104
20,2009-02-03,35369,35715,34938,35111,1523215,-0.0024433900616529503
21,2009-02-04,35283,35369,34421,34680,4200054,-0.012275355301757274
22,2009-02-05,34679,35197,34507,35111,2043680,0.012427912341407056
23,2009-02-06,34852,34938,34507,34852,2155847,-0.007376605622169684
24,2009-02-09,34852,35111,34593,35025,1575077,0.004963847124985543
25,2009-02-10,35111,35283,34852,35111,1394153,0.0024553890078515828
26,2009-02-11,34766,34852,34421,34421,1560993,-0.01965196092392696
27,2009-02-12,34334,34679,33903,34421,2176382,0.0
28,2009-02-13,34075,34852,33903,34766,1497626,0.010022951105429723
29,2009-02-16,34507,34679,33817,33817,1880937,-0.027296784214462355
30,2009-02-17,33644,33817,32436,33386,2609798,-0.0127450690481119
31,2009-02-18,33126,33385,32523,32954,1866499,-0.01293955550230641
32,2009-02-19,32781,33817,32523,33213,2333149,0.007859440432117505
