,date,open,high,low,close,volume,change
0,2009-01-02,1444,1470,1414,1458,204702,0.0055172413793103114
1,2009-01-05,1478,1498,1458,1458,142911,0.0
2,2009-01-06,1478,1558,1462,1538,214327,0.054869684499314175
3,2009-01-07,1546,1548,1508,1530,176451,-0.005201560468140465
4,2009-01-08,1510,1520,1466,1466,169790,-0.04183006535947709
5,2009-01-09,1480,1520,1422,1450,226615,-0.010914051841746208
6,2009-01-12,1440,1444,1414,1426,154719,-0.016551724137931045
7,2009-01-13,1420,1442,1402,1436,180391,0.007012622720897532
8,2009-01-14,1440,1478,1412,1478,141361,0.02924791086350975
9,2009-01-15,1428,1434,1392,1394,230145,-0.05683355886332886
10,2009-01-16,1382,1404,1382,1398,205855,0.0028694404591105287
11,2009-01-19,1418,1422,1388,1398,334191,0.0
12,2009-01-20,1394,1400,1346,1376,359956,-0.01573676680972813
13,2009-01-21,1342,1350,1318,1340,521035,-0.02616279069767446
14,2009-01-22,1370,1370,1328,1340,243580,0.0
15,2009-01-23,1328,1348,1280,1294,160980,-0.03432835820895519
16,2009-01-28,1320,1344,1300,1344,299183,0.03863987635239563
17,2009-01-29,1370,1380,1346,1380,267293,0.02678571428571419
18,2009-01-30,1370,1402,1352,1400,196920,0.014492753623188468
19,2009-02-02,1382,1410,1344,1368,228204,-0.02285714285714291
20,2009-02-03,1376,1376,1336,1362,339391,-0.0043859649122807145
21,2009-02-04,1372,1500,1368,1500,888785,0.1013215859030836
22,2009-02-05,1502,1510,1444,1444,398135,-0.03733333333333333
23,2009-02-06,1486,1492,1412,1444,294362,0.0
24,2009-02-09,1478,1512,1460,1490,340393,0.03185595567867039
25,2009-02-10,1506,1528,1454,1490,161349,0.0
26,2009-02-11,1442,1474,1434,1466,219330,-0.016107382550335614
27,2009-02-12,1470,1486,1416,1466,252956,0.0
28,2009-02-13,1450,1498,1434,1494,279611,0.019099590723056004
29,2009-02-16,1492,1518,1432,1438,256114,-0.03748326639892907
30,2009-02-17,1432,1432,1342,1346,244851,-0.06397774687065373
31,2009-02-18,1302,1396,1288,1396,270190,0.03714710252600306
32,2009-02-19,1378,1380,1344,1364,193693,-0.022922636103151817
33,2009-02-20,1364,1364,1310,1328,126422,-0.026392961876832818
