,date,open,high,low,close,volume,change
0,2009-01-02,1579,1621,1562,1615,2970,0.005603985056039873
1,2009-01-05,1621,1646,1531,1559,3450,-0.03467492260061922
2,2009-01-06,1528,1587,1528,1547,4850,-0.007697241821680524
3,2009-01-07,1579,1596,1510,1581,8250,0.0219780219780219
4,2009-01-08,1535,1554,1531,1555,1070,-0.0164452877925364
5,2009-01-09,1562,1562,1510,1539,4660,-0.01028938906752408
6,2009-01-12,1506,1510,1485,1514,6420,-0.01624431448992858
7,2009-01-13,1544,1544,1472,1514,3430,0.0
8,2009-01-14,1510,1579,1494,1525,3420,0.007265521796565365
9,2009-01-15,1481,1494,1451,1453,3420,-0.0472131147540984
10,2009-01-16,1429,1476,1429,1474,2770,0.014452856159669738
11,2009-01-19,1502,1625,1459,1627,5680,0.10379918588873817
12,2009-01-20,1625,1625,1554,1620,15140,-0.004302397049784856
13,2009-01-21,1599,1599,1535,1539,4560,-0.05000000000000005
14,2009-01-22,1591,1591,1528,1539,5120,0.0
15,2009-01-23,1540,1557,1413,1462,12220,-0.05003248862897991
16,2009-01-28,1459,1499,1459,1496,1025,0.023255813953488413
17,2009-01-29,1519,1519,1472,1496,1590,0.0
18,2009-01-30,1476,1485,1468,1474,1340,-0.014705882352941124
19,2009-02-02,1472,1569,1468,1543,9585,0.04681139755766628
20,2009-02-03,1554,1596,1476,1529,8530,-0.009073233959818516
21,2009-02-04,1569,1569,1519,1521,3095,-0.005232177894048395
22,2009-02-05,1557,1557,1485,1487,3770,-0.02235371466140701
23,2009-02-06,1535,1535,1499,1529,1430,0.02824478816408882
24,2009-02-09,1557,1557,1499,1529,2091,0.0
25,2009-02-10,1510,1612,1510,1589,11490,0.03924133420536302
26,2009-02-11,1535,1612,1535,1594,6220,0.003146633102580232
27,2009-02-12,1608,1608,1535,1564,3090,-0.01882057716436636
28,2009-02-13,1535,1569,1528,1569,4880,0.0031969309462915874
29,2009-02-16,1544,1569,1510,1514,4570,-0.03505417463352456
30,2009-02-17,1528,1528,1443,1444,16700,-0.04623513870541607
31,2009-02-18,1443,1540,1413,1534,7770,0.062326869806094136
32,2009-02-19,1535,1535,1476,1514,6821,-0.013037809647979182
33,2009-02-20,1485,1528,1451,1462,3960,-0.034346103038309095
34,2009-02-23,1426,1489,1426,1444,14220,-0.012311901504788005
35,2009-02-24,1476,1476,1429,1432,1700,-0.008310249307479256
36,2009-02-25,1468,1468,1426,1444,2120,0.008379888268156499
37,2009-02-26,1476,1659,1476,1661,21050,0.15027700831024934
38,2009-02-27,1655,1727,1549,1691,44430,0.0180614087898856
39,2009-03-02,1689,1689,1591,1620,5832,-0.04198698994677708
40,2009-03-03,1562,1664,1544,1620,8452,0.0
41,2009-03-04,1583,1706,1583,1683,12140,0.038888888888888966
42,2009-03-05,1681,1681,1612,1623,3588,-0.035650623885918
43,2009-03-06,1579,1706,1579,1679,16590,0.03450400492914363
44,2009-03-09,1671,1709,1651,1712,4320,0.01965455628350199
45,2009-03-10,1709,1719,1659,1661,3940,-0.02978971962616828
46,2009-03-11,1697,1723,1671,1691,1959,0.0180614087898856
47,2009-03-12,1723,1723,1681,1717,2360,0.015375517445298748
48,2009-03-13,1736,1800,1697,1751,7506,0.01980198019801982
49,2009-03-16,1766,1812,1739,1780,22700,0.016561964591661926
50,2009-03-17,1782,1795,1744,1785,3000,0.0028089887640450058
51,2009-03-18,1800,1850,1774,1776,6137,-0.005042016806722671
52,2009-03-19,1800,1800,1723,1780,10190,0.0022522522522523407
53,2009-03-20,1795,1807,1766,1767,4301,-0.007303370786516883
54,2009-03-23,1766,1833,1757,1836,4060,0.039049235993208864
55,2009-03-24,1833,1841,1805,1827,3420,-0.004901960784313708
56,2009-03-25,1807,1816,1769,1820,2580,-0.0038314176245211047
57,2009-03-26,1807,1821,1769,1820,6130,0.0
58,2009-03-27,1816,1867,1812,1827,8080,0.003846153846153833
59,2009-03-30,1807,1863,1766,1810,5450,-0.009304871373836844
60,2009-03-31,1800,1807,1739,1810,17850,0.0
61,2009-04-01,1812,1841,1807,1827,5700,0.00939226519337022
62,2009-04-02,1841,1841,1816,1823,2570,-0.002189381499726361
63,2009-04-03,1812,1841,1791,1806,4633,-0.009325287986834851
64,2009-04-06,1825,1825,1774,1792,6060,-0.007751937984496138
65,2009-04-07,1816,1821,1774,1776,20829,-0.008928571428571397
66,2009-04-08,1770,1816,1732,1776,5280,0.0
67,2009-04-09,1782,1859,1757,1790,5780,0.007882882882882969
68,2009-04-10,1782,1787,1694,1717,46260,-0.04078212290502792
69,2009-04-13,1757,1774,1714,1772,11625,0.03203261502620846
70,2009-04-14,1757,1774,1714,1764,6470,-0.004514672686230292
71,2009-04-15,1825,2024,1825,2028,199282,0.14965986394557818
72,2009-04-16,2079,2118,1943,1947,96397,-0.0399408284023669
73,2009-04-17,1962,2228,1943,2125,74680,0.09142270159219312
74,2009-04-20,2148,2288,2083,2184,51415,0.027764705882352917
75,2009-04-21,2123,2224,2088,2167,39990,-0.007783882783882756
76,2009-04-22,2152,2194,2113,2150,15360,-0.007844946931241381
77,2009-04-23,2174,2174,2049,2142,11970,-0.0037209302325581506
78,2009-04-24,2130,2148,2083,2133,12400,-0.004201680672268893
79,2009-04-27,2449,2449,2428,2452,106034,0.14955461790904834
80,2009-04-28,2607,2658,2224,2227,224989,-0.09176182707993474
81,2009-04-29,2228,2279,2156,2175,58071,-0.02334979793444092
82,2009-04-30,2190,2267,2148,2175,34557,0.0
83,2009-05-04,2148,2165,2079,2098,26760,-0.035402298850574665
84,2009-05-06,2130,2139,2079,2088,8241,-0.004766444232602529
85,2009-05-07,2088,2130,2079,2088,9561,0.0
86,2009-05-08,2083,2105,2028,2098,12098,0.00478927203065127
87,2009-05-11,2105,2194,2105,2180,15933,0.03908484270734025
88,2009-05-12,2143,2190,2139,2142,5022,-0.017431192660550487
89,2009-05-13,2127,2224,2110,2193,9468,0.023809523809523725
90,2009-05-14,2182,2242,2178,2209,21042,0.007295941632466941
91,2009-05-15,2276,2292,2186,2205,7790,-0.001810774105930335
92,2009-05-18,2237,2339,2208,2261,23332,0.02539682539682531
93,2009-05-19,2267,2331,2249,2257,14427,-0.0017691287041132766
94,2009-05-20,2276,2288,2233,2257,12510,0.0
95,2009-05-21,2215,2242,1917,2218,13860,-0.017279574656623886
96,2009-05-22,2152,2224,2148,2184,6750,-0.015329125338142456
97,2009-05-25,2224,2224,1880,2116,19990,-0.031135531135531136
98,2009-05-26,2123,2135,2020,2058,9205,-0.027410207939508543
99,2009-05-27,2098,2098,1917,1937,14170,-0.05879494655004858
100,2009-05-28,1902,1952,1821,1929,23880,-0.00413009808982967
101,2009-05-29,1947,1966,1888,1955,5500,0.013478486262312073
102,2009-06-01,1922,1952,1892,1926,8550,-0.014833759590792804
103,2009-06-02,1927,1987,1927,1955,4880,0.015057113187954219
104,2009-06-03,1952,2003,1936,1993,13946,0.01943734015345266
105,2009-06-04,2008,2008,1927,1951,8042,-0.021073758153537403
106,2009-06-05,1962,1972,1943,1955,4600,0.002050230650948226
107,2009-06-08,1952,1952,1876,1932,3860,-0.0117647058823529
108,2009-06-09,1917,1917,1841,1853,22700,-0.040890269151138685
109,2009-06-10,1855,1902,1812,1845,14960,-0.004317323259579009
110,2009-06-11,1850,1932,1841,1929,5010,0.04552845528455274
111,2009-06-12,1885,1943,1885,1942,5674,0.0067392431311561465
112,2009-06-15,1885,1943,1885,1937,2310,-0.002574665293511802
113,2009-06-16,1943,1969,1932,1967,5139,0.015487867836861069
114,2009-06-17,1952,2101,1936,1981,40334,0.007117437722419906
115,2009-06-18,1977,2012,1973,1997,13220,0.008076728924785392
116,2009-06-19,1966,1999,1943,1997,4500,0.0
117,2009-06-22,2024,2024,1943,1981,5706,-0.008012018027040546
118,2009-06-23,1927,1952,1867,1903,10533,-0.03937405350832912
119,2009-06-24,1902,1952,1855,1878,4640,-0.013137151865475594
120,2009-06-25,1876,1910,1867,1907,8455,0.015441959531416359
121,2009-06-26,1888,1932,1888,1932,4500,0.013109596224436304
122,2009-06-29,1927,1957,1914,1959,5980,0.013975155279503104
123,2009-06-30,1966,1966,1910,1921,7984,-0.01939765186319553
124,2009-07-01,1962,1962,1927,1951,5840,0.015616866215512726
125,2009-07-02,1943,1957,1943,1959,2040,0.004100461301896452
126,2009-07-03,1927,1977,1910,1981,3750,0.011230219499744676
127,2009-07-06,1977,2054,1977,2053,8860,0.03634528016153449
128,2009-07-07,2058,2068,2038,2064,2979,0.005358012664393508
129,2009-07-08,2073,2165,2049,2113,29629,0.02374031007751931
130,2009-07-09,2123,2144,2093,2098,2570,-0.00709891150023667
131,2009-07-10,2105,2105,2063,2098,2950,0.0
132,2009-07-13,2113,2113,2033,2035,2101,-0.030028598665395645
133,2009-07-14,2074,2074,2028,2058,2120,0.011302211302211207
134,2009-07-15,2054,2074,2038,2039,9176,-0.00923226433430513
135,2009-07-16,2028,2073,2028,2064,3360,0.012260912211868645
136,2009-07-17,2075,2075,2020,2064,1790,0.0
137,2009-07-20,2063,2068,2028,2058,6400,-0.002906976744186052
138,2009-07-21,2054,2054,1962,2039,6238,-0.00923226433430513
139,2009-07-22,2049,2079,1982,2039,16260,0.0
140,2009-07-23,2017,2049,2003,2032,8610,-0.00343305541932315
141,2009-07-24,2038,2038,1991,1993,3536,-0.019192913385826738
142,2009-07-27,1982,2007,1952,1976,13390,-0.008529854490717527
143,2009-07-28,1977,1982,1952,1967,2900,-0.004554655870445346
144,2009-07-29,1966,1969,1927,1929,3280,-0.01931875953228268
145,2009-07-30,1914,1962,1910,1959,2830,0.01555209953343706
146,2009-07-31,1940,1966,1936,1962,9010,0.0015313935681469106
147,2009-08-03,1977,1977,1936,1942,5291,-0.010193679918450549
148,2009-08-04,1982,1982,1906,1955,21080,0.006694129763130885
149,2009-08-05,1952,1966,1939,1955,5830,0.0
150,2009-08-06,1947,1952,1910,1947,3450,-0.004092071611253245
151,2009-08-07,1943,1943,1917,1947,1910,0.0
152,2009-08-10,1943,1962,1932,1942,10060,-0.002568053415511029
153,2009-08-11,1943,1994,1943,1962,12920,0.01029866117404743
154,2009-08-12,1969,2063,1966,2023,7907,0.031090723751274307
155,2009-08-13,2063,2068,1977,2032,3962,0.0044488383588729965
156,2009-08-14,2063,2063,2012,2039,1794,0.0034448818897638844
157,2009-08-17,2093,2127,2049,2083,9351,0.02157920549288872
158,2009-08-18,2074,2074,1999,2009,4570,-0.03552568410945756
