,date,open,high,low,close,volume,change
0,2009-01-02,26650,26650,24500,25800,261902,-0.03189493433395873
1,2009-01-05,25850,26150,24650,24800,421428,-0.03875968992248058
2,2009-01-06,25000,25450,24450,24600,465796,-0.008064516129032251
3,2009-01-07,24950,25250,24500,24850,401627,0.010162601626016343
4,2009-01-08,24850,25450,24650,24650,376744,-0.008048289738430636
5,2009-01-09,25050,25500,24850,25350,362247,0.028397565922920975
6,2009-01-12,25500,25850,25150,25300,300789,-0.001972386587771213
7,2009-01-13,25500,25900,24600,25900,386964,0.02371541501976293
8,2009-01-14,25850,26300,25200,26200,472170,0.01158301158301156
9,2009-01-15,25550,25750,24850,25000,607659,-0.04580152671755722
10,2009-01-16,25050,25500,24800,25150,236068,0.0060000000000000045
11,2009-01-19,25250,25450,24850,25000,261240,-0.0059642147117295865
12,2009-01-20,25000,25000,24400,24750,305821,-0.010000000000000007
13,2009-01-21,23950,24300,23850,24050,289488,-0.028282828282828243
14,2009-01-22,24250,24300,22950,23450,661822,-0.02494802494802495
15,2009-01-23,23600,24200,23100,23900,332053,0.019189765458422103
16,2009-01-28,24400,25150,24200,24850,314445,0.03974895397489542
17,2009-01-29,25100,25950,24950,25950,551930,0.044265593561368284
18,2009-01-30,25650,26550,25500,25600,260035,-0.013487475915221592
19,2009-02-02,25550,26850,25200,26400,309301,0.03125
20,2009-02-03,26700,27000,26000,26700,289652,0.011363636363636465
21,2009-02-04,26700,26950,26200,26800,174424,0.0037453183520599342
22,2009-02-05,27050,27750,26800,27700,239471,0.033582089552238736
23,2009-02-06,27650,28050,26550,26550,323646,-0.041516245487364656
24,2009-02-09,26400,26850,26100,26850,165938,0.011299435028248485
25,2009-02-10,27100,28150,26900,27450,357818,0.022346368715083772
26,2009-02-11,26750,26850,26250,26500,409323,-0.03460837887067392
27,2009-02-12,26650,27750,26050,27750,455693,0.04716981132075482
28,2009-02-13,27600,27800,27150,27350,214611,-0.014414414414414378
29,2009-02-16,27100,27850,26800,26800,210294,-0.020109689213893996
30,2009-02-17,26650,27200,26500,26750,214961,-0.0018656716417910781
31,2009-02-18,26100,26500,25550,25550,231203,-0.04485981308411213
32,2009-02-19,25800,26100,25450,25700,353345,0.0058708414872798995
