,date,open,high,low,close,volume,change
0,2009-01-02,191160,191160,182450,188868,32209,-0.01905098267337013
1,2009-01-05,190243,192077,181991,186118,55997,-0.014560433742084378
2,2009-01-06,187951,190701,183367,183826,54572,-0.01231476805037668
3,2009-01-07,182908,184283,176949,178783,135432,-0.02743355129307057
4,2009-01-08,180616,183825,174198,175116,75983,-0.020510898687235324
5,2009-01-09,177407,179241,173740,173740,50067,-0.007857648644327142
6,2009-01-12,170989,173740,168697,171448,65157,-0.01319212616553467
7,2009-01-13,171906,171906,166405,167781,66375,-0.021388409313611082
8,2009-01-14,167780,170531,165488,168239,69186,0.002729748898862239
9,2009-01-15,162279,164113,154945,155404,106752,-0.0762902775218588
10,2009-01-16,156778,160446,154945,158613,100168,0.02064940413374172
11,2009-01-19,159987,170073,159529,169156,77384,0.06646996147856732
12,2009-01-20,168697,169614,160904,169156,51188,0.0
13,2009-01-21,161363,169156,161363,162280,48631,-0.040648868500082765
14,2009-01-22,164572,170531,162279,170073,48242,0.04802193739216176
15,2009-01-23,169614,169614,163196,165030,44226,-0.02965197297631017
16,2009-01-28,167780,170989,167780,169615,32658,0.0277828273647216
17,2009-01-29,170073,177407,169614,176949,54738,0.04323910031542022
18,2009-01-30,171448,176949,171448,175116,32370,-0.010358916976077824
19,2009-02-02,173740,177407,169614,174199,36482,-0.005236528929395412
20,2009-02-03,172823,175574,169614,171907,50490,-0.013157366000952964
21,2009-02-04,172365,176949,170073,170990,90365,-0.005334279581401535
22,2009-02-05,170989,170989,162279,162280,183340,-0.05093865138312181
23,2009-02-06,164113,165030,162279,164114,94707,0.011301454276559042
24,2009-02-09,165488,168239,162738,164114,70068,0.0
25,2009-02-10,164572,165488,161821,163197,62030,-0.005587579365562978
26,2009-02-11,161821,163196,159070,161822,40928,-0.008425399976715209
27,2009-02-12,160904,161821,159987,161363,67238,-0.00283644992646237
28,2009-02-13,163196,165030,161363,163655,52219,0.014203999677745216
29,2009-02-16,162738,163655,161363,161363,46022,-0.014005071644618285
30,2009-02-17,159987,160446,154486,155862,54406,-0.034090838668096146
31,2009-02-18,154945,156320,147610,148069,94174,-0.0499993584067957
32,2009-02-19,148985,150361,145318,146235,104421,-0.012386117283158526
33,2009-02-20,142567,143943,139359,140276,66940,-0.040749478578999576
34,2009-02-23,137066,147610,137066,146694,76656,0.045752659043599715
35,2009-02-24,144401,148527,142109,146694,79603,0.0
36,2009-02-25,149902,150819,145318,146694,91190,0.0
37,2009-02-26,147610,150361,141651,143026,78403,-0.025004430992406013
38,2009-02-27,142567,154028,142567,151278,111475,0.05769580356019177
39,2009-03-02,151277,151277,141192,146694,56435,-0.03030182842184592
40,2009-03-03,144860,150361,143484,146235,68097,-0.0031289623297476865
41,2009-03-04,147610,152653,145776,147152,88048,0.00627072862173894
42,2009-03-05,148068,152653,146235,148069,74885,0.006231651625530078
43,2009-03-06,148068,148527,144401,145777,63516,-0.015479269799890559
44,2009-03-09,148527,150361,145318,150361,45057,0.031445289723344594
45,2009-03-10,147610,158612,147610,154028,68832,0.02438797294511219
46,2009-03-11,157695,162279,157237,161363,133251,0.04762121172773792
47,2009-03-12,160446,163655,158612,160905,118720,-0.002838321052533677
48,2009-03-13,161363,162738,159070,160446,104194,-0.0028526148969889586
49,2009-03-16,159071,168697,159071,166864,169290,0.040000997220248635
50,2009-03-17,169614,181991,165030,174199,183380,0.04395795378272127
51,2009-03-18,175115,179699,172365,179700,65362,0.03157882651450361
52,2009-03-19,181075,183825,177407,181075,111424,0.007651641624930372
53,2009-03-20,181075,183825,177866,181075,65529,0.0
54,2009-03-23,178782,182450,176490,180617,78644,-0.0025293386718210353
55,2009-03-24,183825,183825,173281,180158,89146,-0.0025412890259499665
56,2009-03-25,178782,182450,176949,180617,33199,0.0025477636297028816
57,2009-03-26,181075,190701,177866,187951,118791,0.040605258641213116
58,2009-03-27,187034,189326,184283,187951,66355,0.0
59,2009-03-30,187951,190701,179241,179241,52580,-0.04634186569903853
60,2009-03-31,180616,183367,174657,174657,84116,-0.025574505832928862
61,2009-04-01,176490,184742,175574,181992,94555,0.04199659904842057
62,2009-04-02,187034,201245,184283,197120,139531,0.08312453294650313
63,2009-04-03,197119,205829,194369,202621,131915,0.027906858766233663
64,2009-04-06,201703,214081,201703,212706,85671,0.0497727283943914
65,2009-04-07,215914,215914,202162,206288,59991,-0.030173102780363562
66,2009-04-08,204454,204454,190701,191160,105344,-0.07333436748623279
67,2009-04-09,193452,200787,191618,198953,75839,0.04076689684034318
68,2009-04-10,200787,203537,196202,203079,73267,0.020738566395078317
69,2009-04-13,203537,203537,195744,198037,62112,-0.024827776382590042
70,2009-04-14,199870,200328,192535,199870,53609,0.0092558461297636
71,2009-04-15,194827,198953,192535,198953,62116,-0.004587982188422489
72,2009-04-16,199870,202620,196661,197120,62883,-0.009213231265675859
73,2009-04-17,194827,197578,191160,191619,66197,-0.027906858766233774
74,2009-04-20,192535,195744,189785,192994,38092,0.007175697608274857
75,2009-04-21,189784,198036,188409,197120,53382,0.02137890297107692
76,2009-04-22,195744,198036,192993,197120,72574,0.0
77,2009-04-23,196202,198953,193452,195286,82767,-0.009303977272727249
78,2009-04-24,196661,196661,192535,196203,69849,0.004695677109470164
79,2009-04-27,196202,196202,190243,196203,89397,0.0
80,2009-04-28,195744,196202,187492,189327,53728,-0.035045335698230866
81,2009-04-29,188868,192077,187034,191619,47987,0.012106038758338709
82,2009-04-30,193910,205371,191618,205371,127912,0.07176741346108684
83,2009-05-04,204912,225541,204454,223708,155109,0.08928719244684014
84,2009-05-06,224166,239294,220040,232876,213211,0.04098199438553829
85,2009-05-07,237918,241127,231501,235168,126856,0.009842147752451956
86,2009-05-08,233334,235168,228750,234252,48067,-0.0038950877670431705
87,2009-05-11,234709,239752,229208,238377,72550,0.017609241329849867
88,2009-05-12,238377,245711,236543,243420,80517,0.021155564504964808
89,2009-05-13,242503,254421,242044,249838,97809,0.0263659518527648
90,2009-05-14,252129,253505,237918,237919,81309,-0.04770691408032402
91,2009-05-15,238835,239294,229208,229209,74285,-0.03660909805437984
92,2009-05-18,229208,233334,222791,231043,86563,0.008001431008380909
93,2009-05-19,236543,240210,233334,234710,35625,0.015871504438567774
94,2009-05-20,231959,239294,231959,234710,47822,0.0
95,2009-05-21,231959,236543,229208,236544,46607,0.007813898001789443
96,2009-05-22,232876,237918,226916,231043,41722,-0.023255715638528133
97,2009-05-25,226458,238377,222332,227375,66352,-0.015875832637214704
98,2009-05-26,229208,230125,214539,216832,69354,-0.04636833424958764
99,2009-05-27,223707,223707,213164,214998,44050,-0.008458161157024802
100,2009-05-28,212247,226458,210872,223250,72807,0.03838175238839425
101,2009-05-29,224166,230125,220040,220041,110244,-0.014374020156774912
102,2009-06-01,220040,222332,215456,218207,45390,-0.008334810330801967
103,2009-06-02,224624,238835,221874,231043,95120,0.058824877295412074
104,2009-06-03,231959,239294,230584,236085,51836,0.02182277757819984
105,2009-06-04,234251,236085,220040,220041,79708,-0.06795857424232797
106,2009-06-05,224624,224624,217290,219124,60561,-0.004167405165401039
107,2009-06-08,217290,224624,215914,219124,63630,0.0
108,2009-06-09,222791,224166,211789,216373,79346,-0.01255453533159312
109,2009-06-10,216373,235168,215914,231501,133158,0.06991630194155474
110,2009-06-11,230584,239294,225541,234252,142060,0.011883317998626408
111,2009-06-12,234251,239294,232417,235627,52110,0.00586974710995003
112,2009-06-15,231959,236543,226458,226458,42302,-0.03891319755376077
113,2009-06-16,224624,233334,221415,231959,37116,0.024291480097854867
114,2009-06-17,231501,232876,225083,229209,62348,-0.011855543436555592
115,2009-06-18,230125,231959,226000,231501,39117,0.009999607345261284
116,2009-06-19,229208,233793,222332,224166,70078,-0.03168452836056868
117,2009-06-22,221415,225541,219582,223708,69047,-0.002043128752799217
118,2009-06-23,218206,221874,217290,220041,37379,-0.016391903731650226
119,2009-06-24,220040,222332,216831,220041,42323,0.0
120,2009-06-25,220957,231042,220040,227375,53419,0.033330152108016264
121,2009-06-26,225999,233334,225999,232418,50299,0.022179219351291968
122,2009-06-29,234709,234709,229208,231959,20077,-0.0019748900687553968
123,2009-06-30,235626,242044,232417,240211,86923,0.03557525252307525
124,2009-07-01,241586,247087,240210,246629,54791,0.026718176936110227
125,2009-07-02,248462,248920,242961,243878,37273,-0.011154406010647544
126,2009-07-03,238835,246628,237918,243878,21479,0.0
127,2009-07-06,241586,244336,238377,243420,20462,-0.0018779881744150906
128,2009-07-07,241586,246628,240210,242961,20355,-0.0018856297756962848
129,2009-07-08,245253,245253,238377,241128,24839,-0.007544420709496569
130,2009-07-09,239752,253046,238835,249838,112555,0.03612189376596664
131,2009-07-10,251212,259006,249837,256256,95077,0.025688646242765237
132,2009-07-13,256255,256714,243419,247546,56561,-0.033989448051948035
133,2009-07-14,249379,251212,243878,243878,47741,-0.014817448070257644
134,2009-07-15,245253,248004,241586,247546,47837,0.015040307038765244
135,2009-07-16,248462,250296,235168,240669,60199,-0.027780695305114955
136,2009-07-17,240669,242961,238835,240669,21383,0.0
137,2009-07-20,240210,244795,240210,242961,41047,0.009523453373720736
138,2009-07-21,245253,256713,242961,256714,76169,0.05660579269923983
139,2009-07-22,256713,259464,252588,256714,45846,0.0
140,2009-07-23,254880,260839,251671,256256,59284,-0.0017840865710478933
141,2009-07-24,259464,264965,258089,262215,66086,0.0232540896603397
142,2009-07-27,265423,278718,264965,277343,179477,0.05769311442899916
143,2009-07-28,275050,277342,270466,275509,55168,-0.006612750276733137
144,2009-07-29,273217,277342,272300,277343,26669,0.0066567698332904435
145,2009-07-30,275050,281926,274592,281927,49354,0.016528270048279614
146,2009-07-31,277801,285135,277801,281927,45394,0.0
147,2009-08-03,279176,279634,267257,273675,120539,-0.02926998833031247
148,2009-08-04,275050,275509,264048,264507,70534,-0.0334995889284736
149,2009-08-05,264507,269091,255797,261298,130275,-0.012132004067945236
150,2009-08-06,261298,262673,255797,261298,96214,0.0
151,2009-08-07,261298,266340,258089,264966,69096,0.014037612228184004
152,2009-08-10,265423,267716,259464,262673,55796,-0.008653940505574331
153,2009-08-11,262673,270466,259006,270467,59372,0.029671873393915638
154,2009-08-12,270466,272758,262673,264049,54084,-0.023729327422569058
155,2009-08-13,268174,270924,263590,263590,61117,-0.0017383137220743359
156,2009-08-14,264048,267716,259922,264049,54715,0.0017413407185402632
157,2009-08-17,264965,265882,257630,260840,37349,-0.01215304735105982
158,2009-08-18,258089,261756,257630,260381,49331,-0.0017596994326023465
159,2009-08-19,263590,264048,259006,261757,52581,0.005284563773854556
160,2009-08-20,261756,264965,259006,264507,40776,0.010505927253139369
161,2009-08-21,264507,265423,250754,253047,69332,-0.04332588551531713
162,2009-08-24,255338,262215,252129,253963,71215,0.003619880891692073
163,2009-08-25,251212,254421,249379,250296,67471,-0.014439111209113118
164,2009-08-26,250296,254880,248462,253963,61420,0.014650653626106624
165,2009-08-27,253963,266799,252588,266341,110487,0.048739383295991916
166,2009-08-28,265882,267257,261756,263132,24713,-0.012048464186888208
167,2009-08-31,263131,266340,258547,260840,26830,-0.008710457108979552
168,2009-09-01,264048,264965,258089,259923,34917,-0.0035155650973777157
169,2009-09-02,260381,266799,255797,266799,40296,0.026453988296534003
170,2009-09-03,267716,271841,264048,271842,43272,0.018901869947038685
171,2009-09-04,271841,271841,264048,269091,47498,-0.010119849029951222
172,2009-09-07,267257,271841,260839,260840,63284,-0.03066248964105078
173,2009-09-08,260381,264965,259464,262673,46538,0.007027296426928453
174,2009-09-09,260839,263131,258089,263132,21727,0.0017474197957156876
175,2009-09-10,263131,271383,262673,271383,58514,0.031356885517535016
176,2009-09-11,274133,284219,271841,282844,139753,0.0422318273436435
177,2009-09-14,284219,291553,283302,286970,115507,0.014587546492059287
178,2009-09-15,284219,287886,279634,281927,42608,-0.01757326549813565
179,2009-09-16,279634,292012,279634,292012,59025,0.035771671390111726
180,2009-09-17,288803,297971,286052,294763,79545,0.00942084571866908
181,2009-09-18,294762,298888,288344,298888,87976,0.013994293720718032
182,2009-09-21,295221,298888,293387,294763,28411,-0.013801156285966676
183,2009-09-22,297971,297971,284219,284219,93474,-0.03577111102818198
184,2009-09-23,286052,287428,279176,280093,79704,-0.014516974586498475
185,2009-09-24,284219,285594,274592,277801,90143,-0.008182996361922656
186,2009-09-25,281010,281010,274133,275051,49125,-0.00989917242918492
187,2009-09-28,275050,280551,274133,275051,48713,0.0
188,2009-09-29,277801,290636,276884,287886,135749,0.046664073208241286
189,2009-09-30,287886,293387,285594,291095,98853,0.01114677337557235
190,2009-10-01,291095,291553,281010,284219,63988,-0.023621154605884653
191,2009-10-05,283302,283760,270466,275968,132978,-0.02903043075937917
192,2009-10-06,275509,276425,264965,267716,85006,-0.029902017625231925
193,2009-10-07,267716,275050,267716,271383,45428,0.013697350924113616
194,2009-10-08,275967,286052,271841,282385,117543,0.04054049074555155
195,2009-10-09,279634,282843,275967,277343,35535,-0.017855056040512074
196,2009-10-12,281010,285594,277801,282385,56314,0.018179654795686284
197,2009-10-13,280093,282385,273217,275968,86277,-0.022724294845689386
198,2009-10-14,275509,282385,275509,280552,27365,0.016610621521335744
199,2009-10-15,279634,286969,279634,283302,36732,0.009802104422709457
200,2009-10-16,280551,284677,280551,280552,18503,-0.009706955828056252
201,2009-10-19,275509,280551,273675,278260,41845,-0.008169608486127355
202,2009-10-20,279634,290636,279634,289262,101986,0.03953856105800324
203,2009-10-21,288344,294762,286052,291095,74967,0.0063368157587240246
204,2009-10-22,287886,296596,286969,295221,48623,0.01417406688538114
205,2009-10-23,291095,297054,290636,294763,35587,-0.0015513801524958961
206,2009-10-26,290636,305306,290636,299347,81959,0.015551476949277944
207,2009-10-27,288803,303014,288803,301639,120007,0.007656666009681069
208,2009-10-28,306223,314474,304847,307140,203672,0.01823703168356872
209,2009-10-29,305306,308973,295679,301639,97642,-0.017910399166503832
210,2009-10-30,302555,316308,300263,309890,152945,0.027353889914765617
211,2009-11-02,303014,314474,303014,306223,100190,-0.011833231146535894
212,2009-11-03,304389,310807,303014,308974,83319,0.00898364917070249
213,2009-11-04,309890,309890,300263,305765,59419,-0.01038598717044148
214,2009-11-05,303472,303472,296596,297513,56002,-0.02698804637548446
215,2009-11-06,298888,302097,294762,300264,36408,0.009246654768026996
216,2009-11-09,296596,306223,296596,301639,81587,0.004579303546212721
217,2009-11-10,303014,308973,303014,305765,45422,0.013678602567970266
218,2009-11-11,305764,307598,301638,305765,27785,0.0
219,2009-11-12,306681,308056,299346,299347,32220,-0.020989975961931532
220,2009-11-13,302097,303472,298430,298430,43623,-0.003063334524815664
221,2009-11-16,299805,316308,299805,311724,125484,0.04454645980631966
222,2009-11-17,311724,323643,311724,315391,89276,0.011763611399828068
223,2009-11-18,311724,335561,311724,326394,78976,0.03488685472952624
224,2009-11-19,324559,337395,324559,333728,57857,0.022469775792447244
225,2009-11-20,327768,332811,324559,326394,89544,-0.021975980439160048
226,2009-11-23,326393,328227,319517,320893,58025,-0.016853863735240227
227,2009-11-24,320892,324559,319058,320893,30332,0.0
228,2009-11-25,320892,334186,319975,328227,99457,0.022854970348371584
229,2009-11-26,332811,347480,330060,346105,101514,0.05446840144168519
230,2009-11-27,335103,347022,329602,334645,125077,-0.03311133904450958
231,2009-11-30,336020,341062,325476,330061,115684,-0.013698097984431223
232,2009-12-01,330060,335561,325935,331895,88992,0.005556548637978942
233,2009-12-02,331894,336937,328685,330061,51128,-0.005525844016933013
234,2009-12-03,330060,333728,321350,324560,95473,-0.016666616170950218
235,2009-12-04,329144,330977,325476,328227,73110,0.01129837318215432
236,2009-12-07,331436,340146,329144,336479,78815,0.025141137078911857
237,2009-12-08,333728,336020,329144,330061,42472,-0.01907399867450865
238,2009-12-09,328685,331436,320892,324560,184077,-0.016666616170950218
239,2009-12-10,325476,326393,316308,320893,125213,-0.01129837318215432
240,2009-12-11,319517,325476,314933,319059,101773,-0.005715300738875606
