,date,open,high,low,close,volume,change
0,2009-01-02,7500,7740,7130,7740,2620741,0.006501950585175553
1,2009-01-05,7960,8840,7830,8500,7695306,0.09819121447028434
2,2009-01-06,8500,8560,8270,8540,2890839,0.0047058823529411145
3,2009-01-07,8650,9150,8470,8900,4297657,0.042154566744730726
4,2009-01-08,8700,8980,8570,8900,2206939,0.0
5,2009-01-09,9100,9100,8220,8300,3095310,-0.0674157303370787
6,2009-01-12,8100,8100,7900,8000,1795244,-0.03614457831325302
7,2009-01-13,7890,8200,7700,8050,1387987,0.006250000000000089
8,2009-01-14,8000,8380,7860,8250,1901120,0.024844720496894457
9,2009-01-15,7820,8030,7700,7890,2285292,-0.043636363636363584
10,2009-01-16,7880,8220,7680,8120,1717274,0.0291508238276299
11,2009-01-19,8210,8710,8160,8330,1991474,0.02586206896551735
12,2009-01-20,8130,8130,7820,7990,2200493,-0.04081632653061229
13,2009-01-21,7600,8030,7500,7750,1122728,-0.030037546933667118
14,2009-01-22,8100,8300,7880,8060,1676223,0.040000000000000036
15,2009-01-23,8030,8280,7810,8020,1883494,-0.00496277915632759
16,2009-01-28,8440,8860,8230,8800,4505912,0.09725685785536163
17,2009-01-29,8990,9100,8810,8970,2949656,0.01931818181818179
18,2009-01-30,8720,9020,8590,8750,2334820,-0.024526198439241864
19,2009-02-02,8550,8640,8300,8300,2546877,-0.05142857142857138
20,2009-02-03,8220,8600,8190,8600,1820482,0.03614457831325302
21,2009-02-04,8680,8700,8490,8680,1741275,0.009302325581395321
22,2009-02-05,8580,8670,8360,8500,943381,-0.020737327188940058
23,2009-02-06,8660,8770,8140,8500,3226087,0.0
24,2009-02-09,8700,8790,8360,8530,2052358,0.0035294117647057814
25,2009-02-10,8550,8600,8300,8350,1827858,-0.021101992966002348
26,2009-02-11,8050,8180,7950,8170,1593134,-0.021556886227544925
27,2009-02-12,8170,8170,7910,8110,2136105,-0.007343941248470044
28,2009-02-13,8050,8190,7940,8110,1360163,0.0
29,2009-02-16,8010,8130,7840,7900,1877065,-0.025893958076448783
30,2009-02-17,7770,7820,7330,7490,2810084,-0.05189873417721525
31,2009-02-18,7210,7270,6860,7040,2270842,-0.060080106809078826
32,2009-02-19,7000,7300,6720,6720,4127290,-0.04545454545454541
33,2009-02-20,6690,6690,6230,6310,3697253,-0.061011904761904774
34,2009-02-23,6230,6440,6000,6420,4498311,0.017432646592709933
35,2009-02-24,6110,6190,6080,6100,2646747,-0.049844236760124616
36,2009-02-25,6350,6400,5920,5920,5475600,-0.029508196721311438
37,2009-02-26,6000,6130,5710,5710,4355043,-0.035472972972973034
38,2009-02-27,5790,6030,5690,5940,5285040,0.04028021015761829
39,2009-03-02,5790,5790,5600,5600,3112032,-0.0572390572390572
40,2009-03-03,5400,5550,5310,5480,7856858,-0.021428571428571463
41,2009-03-04,5460,5700,5430,5680,5438152,0.03649635036496357
42,2009-03-05,5750,5760,5460,5550,4708624,-0.022887323943662
43,2009-03-06,5360,5440,5330,5380,6462789,-0.03063063063063065
44,2009-03-09,5470,5510,5310,5360,2871162,-0.00371747211895912
45,2009-03-10,5300,6100,5300,5850,13503736,0.09141791044776126
46,2009-03-11,6180,6200,5940,6050,9417480,0.03418803418803429
47,2009-03-12,6040,6090,5860,6090,5030623,0.006611570247933907
48,2009-03-13,6310,6400,6220,6270,6181584,0.029556650246305383
49,2009-03-16,6280,6590,6230,6400,5773422,0.020733652312599604
50,2009-03-17,6570,6970,6530,6900,6178513,0.078125
51,2009-03-18,7090,7090,6750,6900,4116500,0.0
52,2009-03-19,7000,7160,6730,6740,5569811,-0.023188405797101463
53,2009-03-20,6740,6840,6480,6650,4869424,-0.013353115727002929
54,2009-03-23,6730,6940,6680,6920,4333591,0.040601503759398534
