,date,open,high,low,close,volume,change
0,2009-01-02,27740,28612,27272,28613,588184,0.05516834458089015
1,2009-01-05,29298,30670,29111,30421,1104773,0.06318806137070565
2,2009-01-06,30607,31729,30545,31605,1088889,0.03892048256138847
3,2009-01-07,31792,34285,31293,33600,1126755,0.06312292358803995
4,2009-01-08,33288,34348,32602,33351,825671,-0.0074107142857142705
5,2009-01-09,33662,35033,31916,33538,984635,0.0056070282750142475
6,2009-01-12,32851,34285,32602,33039,731087,-0.014878645118969525
7,2009-01-13,32976,33537,32166,33039,516597,0.0
8,2009-01-14,32851,34098,32290,34099,496118,0.03208329549925848
9,2009-01-15,32727,33225,32228,32229,513519,-0.05484031789788557
10,2009-01-16,32914,34285,32166,33912,529555,0.052220050265288975
11,2009-01-19,34285,35220,33849,34410,429504,0.014685067232838024
12,2009-01-20,34535,34971,33475,34473,583852,0.0018308631211856328
13,2009-01-21,33038,35844,33038,35532,756281,0.030719693673309626
14,2009-01-22,36779,37153,35532,36779,773744,0.03509512552065752
15,2009-01-23,36779,36903,34535,35719,479020,-0.028820794475108106
16,2009-01-28,36342,36654,35470,35844,541228,0.003499538060975915
17,2009-01-29,36155,38150,35532,35532,1109722,-0.008704385671242099
18,2009-01-30,35283,35781,33974,34223,1132380,-0.03684003152088256
19,2009-02-02,34223,35407,33911,34286,537723,0.0018408672530170198
20,2009-02-03,34597,36342,34161,36281,714757,0.05818701510820734
21,2009-02-04,36467,36841,35470,35906,649233,-0.010335988533943352
22,2009-02-05,35906,36592,34784,34784,537809,-0.031248259343842236
23,2009-02-06,35283,35657,33662,34597,898218,-0.005376034958601617
24,2009-02-09,35033,35844,34597,34597,493009,0.0
25,2009-02-10,34909,35345,33724,34161,588574,-0.012602248749891576
26,2009-02-11,33412,35096,32602,34099,1048334,-0.0018149351599777708
27,2009-02-12,34348,35033,33911,34036,570185,-0.0018475615120677746
28,2009-02-13,34285,35345,33974,35283,455525,0.036637677752967564
29,2009-02-16,35033,35906,34410,34722,435814,-0.01590000850267836
30,2009-02-17,34223,34472,31480,31917,680758,-0.08078451702090894
31,2009-02-18,31168,32228,30233,31231,763527,-0.021493248112291245
32,2009-02-19,31605,31979,30888,31169,425586,-0.00198520700585958
33,2009-02-20,30794,31605,29454,30234,496025,-0.02999775417883155
34,2009-02-23,29859,30607,28862,30608,463285,0.01237017926837325
35,2009-02-24,29485,29735,28114,28738,517191,-0.061095138525875566
36,2009-02-25,29672,29735,27148,27148,502795,-0.05532744101886
37,2009-02-26,27241,28644,25994,26556,591028,-0.02180639457786948
38,2009-02-27,26555,28581,26400,27990,496389,0.05399909624943522
39,2009-03-02,27553,27615,25901,26182,506216,-0.0645944980350125
