,date,open,high,low,close,volume,change
0,2009-01-02,37900,39900,37700,39500,1211697,0.05333333333333323
1,2009-01-05,40300,41200,40300,40900,1030808,0.03544303797468351
2,2009-01-06,40550,41500,40250,41100,737342,0.004889975550122161
3,2009-01-07,40600,40900,38950,39600,2002094,-0.03649635036496346
4,2009-01-08,39850,39850,38050,38750,1426000,-0.02146464646464652
5,2009-01-09,38900,39300,38000,38750,857174,0.0
6,2009-01-12,39550,40800,39300,40300,2087114,0.040000000000000036
7,2009-01-13,40050,40500,39600,40000,1169158,-0.0074441687344912735
8,2009-01-14,39600,40000,38600,39550,717799,-0.01124999999999998
9,2009-01-15,38600,39050,37850,38750,1062691,-0.02022756005056892
10,2009-01-16,38050,40250,38050,39600,813150,0.021935483870967776
11,2009-01-19,39400,40450,39350,39750,672824,0.003787878787878896
12,2009-01-20,40300,40800,38850,39700,1449845,-0.0012578616352201255
13,2009-01-21,41000,44000,40550,42000,3156037,0.05793450881612095
14,2009-01-22,42300,42550,40800,41500,2011649,-0.011904761904761862
15,2009-01-23,40500,41750,40000,41000,919250,-0.012048192771084376
16,2009-01-28,41450,42500,41400,41950,950942,0.02317073170731709
17,2009-01-29,41400,41700,40350,40950,1546498,-0.023837902264600697
18,2009-01-30,40700,40750,39750,39800,966645,-0.02808302808302809
19,2009-02-02,39150,39850,38400,38950,1534407,-0.021356783919597944
20,2009-02-03,38550,39250,38300,38500,1647241,-0.011553273427471145
21,2009-02-04,38800,39500,38400,38600,1213661,0.0025974025974024872
22,2009-02-05,39000,39350,38600,38900,736262,0.0077720207253886295
23,2009-02-06,38900,40500,38700,40250,1214418,0.03470437017994854
24,2009-02-09,40000,41300,39800,40600,1157851,0.008695652173912993
25,2009-02-10,40650,41450,39300,39700,829109,-0.02216748768472909
26,2009-02-11,39000,40000,38700,39200,556047,-0.012594458438287104
27,2009-02-12,38900,39300,38600,39250,962286,0.001275510204081565
28,2009-02-13,38850,39600,38500,39350,615952,0.002547770700636942
29,2009-02-16,38950,39250,38700,39150,483503,-0.0050825921219822545
30,2009-02-17,38700,38750,38000,38050,802050,-0.028097062579821253
31,2009-02-18,37700,37900,36200,36700,1459410,-0.03547963206307492
32,2009-02-19,36500,36950,35450,36500,1277873,-0.00544959128065392
33,2009-02-20,36400,36550,35500,35800,835795,-0.019178082191780854
34,2009-02-23,35200,35900,34900,35850,695659,0.0013966480446927498
35,2009-02-24,35200,36000,34500,35800,830051,-0.0013947001394699619
36,2009-02-25,36450,38500,36400,37800,2036214,0.05586592178770955
37,2009-02-26,39200,39850,37900,38100,1580726,0.007936507936507908
38,2009-02-27,38100,38650,37250,37450,959296,-0.017060367454068248
39,2009-03-02,37300,37500,36450,37450,982153,0.0
40,2009-03-03,37300,37400,36400,36900,829775,-0.014686248331108097
41,2009-03-04,36600,38350,36250,37800,1450220,0.024390243902439046
42,2009-03-05,37500,38700,37300,38100,1084970,0.007936507936507908
43,2009-03-06,38000,39300,37750,38900,1297221,0.0209973753280841
44,2009-03-09,39200,39500,38200,39000,909553,0.002570694087403513
45,2009-03-10,39000,39250,38350,38650,1180760,-0.008974358974358942
46,2009-03-11,39000,39150,38500,38800,1220416,0.003880983182406261
47,2009-03-12,38950,39050,38500,38900,1559716,0.002577319587628857
48,2009-03-13,38700,39000,38500,38900,1093228,0.0
49,2009-03-16,38600,39150,38450,38800,1648603,-0.002570694087403625
50,2009-03-17,38600,38900,38450,38800,1571363,0.0
51,2009-03-18,39050,39100,38300,38600,2092249,-0.005154639175257714
52,2009-03-19,39000,40800,38800,40000,2478354,0.03626943005181338
53,2009-03-20,39850,40000,39200,39850,1849015,-0.003750000000000031
54,2009-03-23,39700,39950,39250,39350,1520282,-0.012547051442910906
55,2009-03-24,39450,39550,38550,39300,1475649,-0.0012706480304955914
56,2009-03-25,39300,39400,38900,39200,1039788,-0.002544529262086481
57,2009-03-26,39050,40400,38950,40100,1747478,0.022959183673469497
58,2009-03-27,39700,40000,39200,39850,1958071,-0.006234413965087282
59,2009-03-30,39750,39850,39050,39100,1121881,-0.01882057716436636
60,2009-03-31,39200,39550,38500,38500,1485303,-0.01534526854219953
61,2009-04-01,38500,38600,37850,38400,2107672,-0.0025974025974025983
62,2009-04-02,38500,38650,38100,38450,1893073,0.001302083333333259
63,2009-04-03,38400,38700,38250,38500,1265304,0.0013003901170351995
64,2009-04-06,38300,38750,38150,38150,1927380,-0.009090909090909037
65,2009-04-07,38150,38700,38050,38500,1659718,0.00917431192660545
66,2009-04-08,38600,38800,38300,38400,1470398,-0.0025974025974025983
67,2009-04-09,38500,38550,38150,38500,2194073,0.002604166666666741
68,2009-04-10,38450,38500,38200,38350,1619798,-0.0038961038961038423
69,2009-04-13,38350,39200,38250,39000,2636348,0.016949152542372836
70,2009-04-14,39000,39200,38450,38950,3308168,-0.0012820512820512775
