,date,open,high,low,close,volume,change
0,2009-01-02,10000,10050,9720,9900,752958,-0.0030211480362537517
1,2009-01-05,10000,10200,9950,9990,1001403,0.009090909090909037
2,2009-01-06,10100,10450,9910,9920,1802894,-0.00700700700700696
3,2009-01-07,9990,9990,9670,9810,1977715,-0.011088709677419371
4,2009-01-08,9890,9990,9570,9580,1617841,-0.023445463812436285
5,2009-01-09,9600,9690,9410,9410,1695025,-0.017745302713987443
6,2009-01-12,9460,9630,9230,9230,2129605,-0.019128586609989395
7,2009-01-13,9240,9600,9240,9600,1701781,0.04008667388949072
8,2009-01-14,9680,9880,9540,9820,1887575,0.022916666666666696
9,2009-01-15,9610,9690,9400,9530,905201,-0.029531568228105883
10,2009-01-16,9590,9800,9460,9790,878584,0.02728226652675758
11,2009-01-19,9800,9820,9650,9660,765800,-0.013278855975485173
12,2009-01-20,9620,9760,9420,9710,599466,0.005175983436852993
13,2009-01-21,9590,9780,9500,9620,1050101,-0.009268795056642687
14,2009-01-22,9670,9700,9500,9500,646192,-0.012474012474012476
15,2009-01-23,9470,9500,9340,9440,310660,-0.006315789473684164
16,2009-01-28,9500,9590,9460,9510,781248,0.0074152542372880595
17,2009-01-29,9600,9660,9490,9500,1124212,-0.001051524710830698
18,2009-01-30,9450,9470,9300,9310,634166,-0.020000000000000014
19,2009-02-02,9330,9410,9280,9330,634899,0.002148227712137407
20,2009-02-03,9300,9460,9260,9460,776438,0.013933547695605508
21,2009-02-04,9520,9520,9370,9500,762869,0.0042283298097252064
22,2009-02-05,9500,9500,9420,9490,1107144,-0.001052631578947416
23,2009-02-06,9530,9550,9440,9520,432185,0.0031612223393044925
24,2009-02-09,9540,9540,9440,9460,626488,-0.006302521008403339
25,2009-02-10,9460,9460,9290,9310,888124,-0.015856236786469302
26,2009-02-11,9250,9350,9200,9260,730225,-0.00537056928034374
27,2009-02-12,9270,9300,9110,9110,804313,-0.016198704103671746
28,2009-02-13,9120,9170,9030,9070,774654,-0.004390779363336983
29,2009-02-16,9070,9170,9050,9090,492560,0.0022050716648291946
30,2009-02-17,9030,9080,8700,8870,1430259,-0.02420242024202424
31,2009-02-18,8710,8780,8600,8770,587360,-0.011273957158962844
32,2009-02-19,8770,8770,8590,8770,704113,0.0
33,2009-02-20,8550,8640,8380,8490,1028854,-0.03192702394526792
34,2009-02-23,8400,8590,8050,8590,1109361,0.011778563015312216
35,2009-02-24,8310,8570,8220,8500,715445,-0.010477299185098987
36,2009-02-25,8680,8860,8520,8530,821884,0.0035294117647057814
37,2009-02-26,8540,8900,8540,8710,845373,0.021101992966002348
38,2009-02-27,8900,8940,8800,8890,1174992,0.02066590126291623
39,2009-03-02,8850,8850,8250,8530,578516,-0.040494938132733416
40,2009-03-03,8110,8180,7260,8070,1575480,-0.05392731535756157
41,2009-03-04,7920,8140,7770,8070,2067024,0.0
42,2009-03-05,8130,8190,7720,7900,3108564,-0.02106567534076831
43,2009-03-06,7700,8150,7550,8150,1496747,0.03164556962025311
44,2009-03-09,8150,8200,7980,8030,543445,-0.014723926380368124
45,2009-03-10,7980,8310,7950,8310,938010,0.03486924034869232
46,2009-03-11,8500,8500,8090,8100,2050366,-0.02527075812274371
47,2009-03-12,8100,8290,8100,8160,1206717,0.007407407407407306
48,2009-03-13,8230,8250,8060,8080,1330845,-0.009803921568627416
49,2009-03-16,8110,8150,7970,7990,1181106,-0.011138613861386149
50,2009-03-17,8070,8310,8050,8300,1491978,0.038798498122653235
51,2009-03-18,8350,8440,8250,8400,1100577,0.012048192771084263
52,2009-03-19,8480,8480,8130,8150,1503252,-0.029761904761904767
53,2009-03-20,8250,8250,8070,8100,1702140,-0.006134969325153339
54,2009-03-23,8070,8140,8060,8100,1255643,0.0
55,2009-03-24,8270,8280,8070,8100,2113817,0.0
56,2009-03-25,8080,8140,8040,8040,1364686,-0.007407407407407419
57,2009-03-26,8070,8090,8000,8050,1631583,0.001243781094527385
58,2009-03-27,8060,8430,8040,8430,3595467,0.047204968944099424
59,2009-03-30,8420,8500,8310,8430,2775346,0.0
60,2009-03-31,8440,8460,8270,8430,2214590,0.0
61,2009-04-01,8420,8430,8260,8280,2299089,-0.017793594306049876
62,2009-04-02,8320,8430,8270,8350,2188003,0.008454106280193274
63,2009-04-03,8430,8720,8370,8690,4213021,0.04071856287425146
64,2009-04-06,8720,9060,8640,9030,3371342,0.03912543153049475
65,2009-04-07,9030,9100,8840,8990,1709247,-0.004429678848283492
66,2009-04-08,8850,8950,8670,8730,1927034,-0.028921023359288145
67,2009-04-09,8770,8820,8710,8760,1861512,0.003436426116838476
68,2009-04-10,8860,9050,8740,8810,3136039,0.0057077625570776105
69,2009-04-13,8900,9130,8840,9130,2635405,0.03632236095346197
70,2009-04-14,9200,9210,8730,8760,2891620,-0.040525739320920066
71,2009-04-15,8660,8740,8530,8740,1625439,-0.0022831050228310228
72,2009-04-16,8790,8880,8600,8640,2361725,-0.01144164759725397
73,2009-04-17,8670,8770,8550,8740,1608098,0.01157407407407418
74,2009-04-20,8820,8930,8760,8790,1281670,0.005720823798627039
75,2009-04-21,8700,8860,8660,8860,1160044,0.007963594994311762
76,2009-04-22,8880,8880,8700,8700,1137451,-0.018058690744920947
77,2009-04-23,8730,8750,8560,8570,1175853,-0.014942528735632175
78,2009-04-24,8660,8740,8600,8700,1182162,0.015169194865811031
79,2009-04-27,8840,9050,8790,8860,3671466,0.01839080459770126
80,2009-04-28,9010,9100,8780,8900,3948474,0.004514672686230181
81,2009-04-29,9000,9040,8900,8990,1894200,0.010112359550561887
82,2009-04-30,9050,9060,8920,9010,2123084,0.0022246941045607205
83,2009-05-04,9050,9080,8830,8850,2333450,-0.017758046614872347
84,2009-05-06,8940,9040,8910,8980,2834975,0.014689265536723228
85,2009-05-07,9070,9190,8980,9040,2937685,0.0066815144766148036
86,2009-05-08,9090,9780,9060,9780,5432731,0.08185840707964598
87,2009-05-11,9780,9780,9390,9430,2056533,-0.03578732106339466
88,2009-05-12,9440,9610,9340,9490,1968932,0.006362672322375307
89,2009-05-13,9410,9500,9130,9160,2020473,-0.03477344573234986
90,2009-05-14,9140,9310,9050,9110,1243114,-0.00545851528384278
91,2009-05-15,9240,9300,9140,9220,1140410,0.012074643249176729
92,2009-05-18,9230,9350,9170,9350,891495,0.014099783080260275
93,2009-05-19,9420,9430,9160,9160,2053217,-0.02032085561497321
94,2009-05-20,9170,9270,8700,8830,3405628,-0.03602620087336239
95,2009-05-21,8880,8950,8730,8770,1777669,-0.006795016987542479
96,2009-05-22,8770,8850,8630,8630,1411924,-0.015963511972634015
97,2009-05-25,8620,8830,8450,8680,1268456,0.0057937427578216285
98,2009-05-26,8630,8690,8400,8420,1141182,-0.02995391705069128
99,2009-05-27,8530,8550,8380,8400,659607,-0.0023752969121140217
100,2009-05-28,8400,8670,8400,8670,978165,0.03214285714285725
101,2009-05-29,8680,8690,8430,8460,790782,-0.02422145328719727
102,2009-06-01,8400,8450,8310,8370,1357747,-0.010638297872340384
103,2009-06-02,8460,8460,8150,8150,2336592,-0.026284348864993982
104,2009-06-03,8200,8300,8150,8200,1716181,0.006134969325153339
105,2009-06-04,8270,8330,8150,8210,1073990,0.0012195121951219525
106,2009-06-05,8270,8270,8160,8250,976205,0.004872107186357999
107,2009-06-08,8270,8290,8100,8140,1518153,-0.013333333333333308
108,2009-06-09,8230,8310,8140,8300,1526912,0.0196560196560196
109,2009-06-10,8350,8610,8320,8610,4199668,0.037349397590361384
110,2009-06-11,8550,8600,8360,8600,1457575,-0.0011614401858304204
111,2009-06-12,8600,8710,8500,8510,1648482,-0.010465116279069764
112,2009-06-15,8560,8560,8410,8520,796651,0.001175088131609936
113,2009-06-16,8410,8560,8410,8450,620454,-0.008215962441314506
