,date,open,high,low,close,volume,change
0,2009-01-02,79200,81000,78100,81000,342903,0.02402022756005051
1,2009-01-05,82000,82100,78300,78400,626273,-0.032098765432098775
2,2009-01-06,79400,80600,78200,78400,777939,0.0
3,2009-01-07,77400,78300,77300,77800,1304865,-0.007653061224489831
4,2009-01-08,77800,79300,77700,78500,797357,0.008997429305912519
5,2009-01-09,79100,81100,78700,80700,794866,0.028025477707006363
6,2009-01-12,80700,81300,80100,80900,432376,0.00247831474597282
7,2009-01-13,81600,82900,80900,82700,739674,0.02224969097651419
8,2009-01-14,84000,85500,82700,85500,859692,0.03385731559854888
9,2009-01-15,84600,84600,82900,83400,661529,-0.02456140350877189
10,2009-01-16,82400,84000,80700,83500,657699,0.0011990407673860837
11,2009-01-19,83900,84700,82500,83400,388252,-0.001197604790419193
12,2009-01-20,82200,82900,81200,82100,333448,-0.0155875299760192
13,2009-01-21,82700,83400,81000,81000,420483,-0.013398294762484777
14,2009-01-22,80400,82800,80000,82000,558334,0.012345679012345734
15,2009-01-23,82200,84500,82200,84500,558344,0.030487804878048808
16,2009-01-28,84500,86600,84000,84500,526182,0.0
17,2009-01-29,83700,84800,82300,84500,521162,0.0
18,2009-01-30,83500,84800,83000,83000,203069,-0.017751479289940808
19,2009-02-02,83000,83200,80300,81100,440952,-0.02289156626506028
20,2009-02-03,81100,82800,80000,80500,450599,-0.007398273736128225
21,2009-02-04,82000,82500,81000,82500,436547,0.024844720496894457
22,2009-02-05,81600,82600,81200,82500,379463,0.0
23,2009-02-06,83000,84100,82000,84000,349194,0.01818181818181808
24,2009-02-09,83200,84200,83100,84000,293520,0.0
25,2009-02-10,84400,84900,82200,83700,306405,-0.003571428571428559
26,2009-02-11,82400,82900,80900,80900,512237,-0.03345280764635605
27,2009-02-12,80200,80300,78000,80000,1285804,-0.011124845488257096
28,2009-02-13,79100,82400,78800,82000,636283,0.024999999999999908
29,2009-02-16,81200,82500,80900,81900,289591,-0.0012195121951219525
30,2009-02-17,80800,82000,80000,81300,518689,-0.0073260073260073
31,2009-02-18,81800,82900,80700,82800,762822,0.01845018450184499
32,2009-02-19,81900,81900,79500,80200,713083,-0.031400966183574915
33,2009-02-20,80200,81100,78700,79100,397819,-0.013715710723191998
34,2009-02-23,78300,80300,77800,79100,409454,0.0
35,2009-02-24,78100,80800,77500,80200,588134,0.013906447534766107
36,2009-02-25,81500,81500,79100,81400,608050,0.01496259351620943
37,2009-02-26,81400,82000,78900,80000,506438,-0.017199017199017175
38,2009-02-27,80300,80500,78300,78900,524810,-0.01375000000000004
39,2009-03-02,79500,79500,76700,77700,638045,-0.01520912547528519
40,2009-03-03,77600,78400,76500,77200,412264,-0.006435006435006385
41,2009-03-04,77500,77900,75800,76800,588064,-0.005181347150259086
42,2009-03-05,76500,76500,74000,75800,1486849,-0.01302083333333337
43,2009-03-06,75700,77900,75000,77900,708834,0.02770448548812654
