,date,open,high,low,close,volume,change
0,2009-01-02,48503,50721,47049,50034,753827,0.03975395357536216
1,2009-01-05,51028,52022,50492,51334,812234,0.02598233201423028
2,2009-01-06,52022,52481,50492,52099,688761,0.01490240386488484
3,2009-01-07,52862,53552,51334,52941,1070500,0.016161538609186454
4,2009-01-08,51945,52022,50568,51410,554071,-0.02891898528550652
5,2009-01-09,51639,52175,49956,50340,550618,-0.020813071386889703
6,2009-01-12,49420,49879,47814,48657,459600,-0.033432657926102505
7,2009-01-13,48197,49420,47202,48580,469904,-0.001582506114228166
8,2009-01-14,48656,51334,48350,51258,773283,0.05512556607657482
9,2009-01-15,48962,49497,46207,46439,679836,-0.0940145928440439
10,2009-01-16,47507,48426,47049,48427,439165,0.04280884601304935
11,2009-01-19,49038,51639,48962,50876,619963,0.05057096247960846
12,2009-01-20,50415,50415,48350,49268,408158,-0.03160625835364417
13,2009-01-21,47049,50950,46666,48274,605849,-0.020175367378420076
14,2009-01-22,49726,51410,49192,50647,755700,0.04915689605170481
15,2009-01-23,51716,53322,51563,52329,1533136,0.03321025924536492
16,2009-01-28,54241,54469,52710,54165,897118,0.035085707733761407
17,2009-01-29,53934,55005,52405,53706,705145,-0.0084741068955968
18,2009-01-30,52940,55923,52940,55236,850065,0.028488437046140014
19,2009-02-02,54393,56994,54317,54930,499918,-0.005539865305235757
20,2009-02-03,55235,56611,53934,56078,625340,0.02089932641543779
21,2009-02-04,56765,57530,56153,57532,526896,0.025928171475444902
22,2009-02-05,55618,57454,54469,54930,763249,-0.045227004102064934
23,2009-02-06,55541,56459,54011,56078,626771,0.02089932641543779
24,2009-02-09,56382,56765,55465,56002,552123,-0.001355255180284565
25,2009-02-10,57224,59213,55847,58220,999678,0.03960572836684406
26,2009-02-11,56918,59902,56918,58526,878811,0.005255925798694605
27,2009-02-12,58525,59137,56535,57149,538072,-0.02352800464750704
28,2009-02-13,56994,58218,56153,57760,355998,0.01069135067980187
29,2009-02-16,57990,60360,57454,59445,710614,0.02917243767313016
30,2009-02-17,58601,59442,54853,55772,544239,-0.061788207586845
31,2009-02-18,55005,56229,53705,53936,718056,-0.03291974467474723
32,2009-02-19,53934,55082,50798,53936,995852,0.0
33,2009-02-20,52634,53475,50721,50723,541004,-0.05957060219519428
34,2009-02-23,50109,52405,49420,52405,723483,0.03316049918183084
35,2009-02-24,50492,50874,49649,49881,510429,-0.04816334319244342
36,2009-02-25,51639,51792,46590,48121,929396,-0.03528397586255283
37,2009-02-26,48656,49420,44678,45903,859070,-0.04609214272355099
38,2009-02-27,45595,46819,44218,45749,660636,-0.0033549005511622765
39,2009-03-02,44907,45060,41541,42460,923860,-0.07189228179850926
40,2009-03-03,40623,43223,40546,42460,797021,0.0
41,2009-03-04,42382,46513,40546,46133,2105683,0.0865049458313707
42,2009-03-05,46436,47125,44065,44372,1320137,-0.03817224112890994
43,2009-03-06,43070,43912,42382,42536,1203097,-0.04137744523573428
44,2009-03-09,43836,44600,41694,42766,1645600,0.005407184502538964
45,2009-03-10,41694,44754,41541,44372,1145484,0.03755319646448108
46,2009-03-11,46360,47661,45289,45903,1783236,0.034503741097989815
47,2009-03-12,45595,46360,43376,44372,2436064,-0.033352939894995985
48,2009-03-13,42536,45749,42459,45137,10120575,0.017240602181555875
49,2009-03-16,46972,48120,46055,46055,3218099,0.02033808183973229
50,2009-03-17,46896,48197,46055,48197,1681686,0.04650960807729887
51,2009-03-18,48962,49115,47431,48197,1362466,0.0
52,2009-03-19,48579,48732,46742,46898,1136214,-0.02695188497209366
53,2009-03-20,47279,48503,47125,47662,933998,0.01629067337626333
54,2009-03-23,48503,50109,48426,50034,1315050,0.049767110066719855
55,2009-03-24,51639,53858,50874,53247,2176400,0.06421633289363228
56,2009-03-25,53398,56459,53246,55466,2111265,0.0416737093169568
57,2009-03-26,55694,55999,54011,55848,1369916,0.006887102008437561
58,2009-03-27,56229,56229,53705,53706,1438746,-0.03835410399656214
