,date,open,high,low,close,volume,change
0,2009-01-02,21750,24000,21250,23400,2415967,0.11428571428571432
1,2009-01-05,24000,25000,23750,24400,2970694,0.042735042735042805
2,2009-01-06,24450,25750,24400,25250,3052298,0.0348360655737705
3,2009-01-07,25250,25900,24600,25600,2888775,0.013861386138613874
4,2009-01-08,24800,25200,24250,24500,2040108,-0.04296875
5,2009-01-09,25000,25350,23750,23750,1979803,-0.030612244897959218
6,2009-01-12,24850,25100,23550,23550,2394713,-0.008421052631578996
7,2009-01-13,24100,24500,23700,24300,2348831,0.031847133757961776
8,2009-01-14,24300,25750,23750,25300,2083282,0.04115226337448563
9,2009-01-15,24100,24650,22800,22800,2664989,-0.09881422924901184
10,2009-01-16,23400,24350,23200,24100,2250623,0.05701754385964919
11,2009-01-19,25400,26350,25000,26000,4201964,0.07883817427385886
12,2009-01-20,25500,26200,24800,25200,3000033,-0.030769230769230767
13,2009-01-21,24450,25600,24100,24850,2048409,-0.013888888888888841
14,2009-01-22,25650,25800,24700,24750,1988392,-0.004024144869215318
15,2009-01-23,24300,24900,23600,24550,2620455,-0.008080808080808133
16,2009-01-28,25550,26900,25400,26750,2984353,0.08961303462321801
17,2009-01-29,26900,27700,26300,26800,2509086,0.0018691588785046953
18,2009-01-30,26550,27200,26150,26800,1718839,0.0
19,2009-02-02,26600,28200,26300,27300,3160692,0.01865671641791056
20,2009-02-03,27300,27700,26500,27350,1840510,0.001831501831501825
21,2009-02-04,28200,29200,27950,28550,3634865,0.043875685557586815
22,2009-02-05,28800,29500,28000,28000,2113969,-0.019264448336252186
23,2009-02-06,29000,29600,27600,28650,3506835,0.023214285714285632
24,2009-02-09,29200,29700,27500,28050,4281912,-0.020942408376963373
25,2009-02-10,28400,28400,27100,27650,2395223,-0.014260249554367218
26,2009-02-11,26750,28100,26700,27900,2559898,0.009041591320072316
27,2009-02-12,27700,27900,26800,27150,2021105,-0.026881720430107503
28,2009-02-13,27100,27500,26350,27500,2613810,0.012891344383057168
29,2009-02-16,27100,27650,26900,26950,1261541,-0.020000000000000014
30,2009-02-17,27000,27000,25500,25900,2032111,-0.038961038961038974
31,2009-02-18,25400,26850,25050,26050,2911650,0.005791505791505891
32,2009-02-19,26100,27200,25500,26500,2681408,0.017274472168905985
33,2009-02-20,26050,26500,25450,25500,2163622,-0.03773584905660377
34,2009-02-23,25950,27100,25650,26800,2615241,0.05098039215686279
35,2009-02-24,26000,27550,25900,26550,3419899,-0.00932835820895528
36,2009-02-25,27650,27750,26550,26750,1934560,0.007532956685499138
37,2009-02-26,27250,27400,24250,24550,5595747,-0.0822429906542056
38,2009-02-27,25050,26000,25050,25500,2798370,0.0386965376782078
39,2009-03-02,25650,25700,24150,24650,2099608,-0.033333333333333326
40,2009-03-03,24200,26100,24100,25650,2602457,0.040567951318458466
41,2009-03-04,26000,27350,25500,27100,2727549,0.056530214424951326
42,2009-03-05,27600,27700,26700,26700,2179200,-0.014760147601476037
43,2009-03-06,26450,27650,26350,27100,2122164,0.014981273408239737
44,2009-03-09,28000,28250,27400,27800,1798348,0.02583025830258312
45,2009-03-10,27300,27900,26850,27250,2712039,-0.01978417266187049
46,2009-03-11,27900,28100,27250,27700,2999062,0.016513761467889854
47,2009-03-12,26000,26650,25850,25900,65083407,-0.06498194945848379
48,2009-03-13,26450,27150,26100,26400,12045095,0.019305019305019263
49,2009-03-16,26700,27600,26500,26750,6702039,0.01325757575757569
50,2009-03-17,27050,27300,26300,27300,6090081,0.020560747663551426
51,2009-03-18,27800,27950,27150,27400,3483472,0.00366300366300365
52,2009-03-19,27650,27700,26300,26300,5139908,-0.04014598540145986
53,2009-03-20,26400,26700,26050,26450,3652297,0.005703422053231932
54,2009-03-23,26500,27000,26300,27000,4843358,0.0207939508506616
55,2009-03-24,27650,27750,27100,27550,4537339,0.02037037037037037
56,2009-03-25,27500,28550,27400,28200,5655103,0.023593466424682408
57,2009-03-26,28300,29250,28200,28800,5700946,0.021276595744680767
58,2009-03-27,29250,29600,28200,28550,4274394,-0.00868055555555558
59,2009-03-30,28700,28950,27250,27350,3341296,-0.042031523642732
60,2009-03-31,27750,28800,27600,28050,4973778,0.025594149908592326
61,2009-04-01,28300,28850,27950,28750,3447915,0.024955436720142558
62,2009-04-02,29300,30200,29200,30200,5761029,0.050434782608695716
63,2009-04-03,30850,31100,30000,30300,4540825,0.0033112582781456013
64,2009-04-06,31200,32150,30950,31200,5550875,0.029702970297029733
65,2009-04-07,31400,32150,30700,31650,4545261,0.014423076923076872
66,2009-04-08,31000,31450,30100,30500,3963891,-0.0363349131121643
67,2009-04-09,30900,31750,30300,31300,4579699,0.02622950819672121
68,2009-04-10,31800,32650,31600,32100,4686127,0.025559105431310014
69,2009-04-13,32600,32600,31550,31850,3757410,-0.007788161993769416
70,2009-04-14,32250,32600,31700,31900,3313757,0.0015698587127157546
71,2009-04-15,31300,31600,30250,31250,4399935,-0.020376175548589396
72,2009-04-16,31600,31950,30650,31150,5176087,-0.003199999999999981
73,2009-04-17,31800,32850,31250,31450,6237547,0.009630818619582593
74,2009-04-20,32300,32450,31400,31800,4248993,0.0111287758346581
75,2009-04-21,31150,32200,31000,32100,2967908,0.009433962264151052
76,2009-04-22,32800,33900,32600,33500,5654502,0.04361370716510904
77,2009-04-23,34100,34600,33650,34100,3272584,0.01791044776119399
78,2009-04-24,34100,34250,32500,33400,3270782,-0.020527859237536642
79,2009-04-27,33400,33450,31850,32400,4269280,-0.029940119760479056
80,2009-04-28,32100,32550,30400,31000,4225984,-0.04320987654320985
81,2009-04-29,31000,31650,30900,31500,2453209,0.016129032258064502
82,2009-04-30,31750,32200,30500,31300,7513106,-0.0063492063492063275
83,2009-05-04,31450,31600,30800,31450,6084791,0.004792332268370503
84,2009-05-06,31700,31800,30850,31400,5568798,-0.0015898251192368873
85,2009-05-07,31750,31800,30600,31000,5053326,-0.012738853503184709
86,2009-05-08,30650,31650,30500,31400,3765593,0.012903225806451646
