,date,open,high,low,close,volume,change
0,2009-01-02,13650,13750,13300,13650,650822,0.0
1,2009-01-05,13950,13950,13450,13450,964202,-0.0146520146520146
2,2009-01-06,13700,14200,13450,13550,1550686,0.007434944237918238
3,2009-01-07,13550,13800,13250,13400,2096424,-0.011070110701106972
4,2009-01-08,13300,13300,12800,12850,1486158,-0.04104477611940294
5,2009-01-09,13000,13250,12900,13000,740981,0.011673151750972721
6,2009-01-12,13000,13150,12750,12850,689940,-0.011538461538461496
7,2009-01-13,12900,12950,12550,12750,600785,-0.007782101167315147
8,2009-01-14,12750,13050,12600,12850,594931,0.007843137254901933
9,2009-01-15,12600,12650,12050,12250,919750,-0.046692607003891
10,2009-01-16,12250,12300,12000,12150,730553,-0.008163265306122436
11,2009-01-19,12250,12550,12200,12500,671952,0.028806584362139894
12,2009-01-20,12350,12750,12100,12700,651801,0.016000000000000014
13,2009-01-21,12400,12700,12100,12500,672997,-0.015748031496062964
14,2009-01-22,12650,12850,12250,12700,734475,0.016000000000000014
15,2009-01-23,12600,12700,12400,12500,360891,-0.015748031496062964
16,2009-01-28,12650,13050,12600,12900,703873,0.03200000000000003
17,2009-01-29,12900,13150,12800,13000,640993,0.007751937984496138
18,2009-01-30,12850,12950,12700,12800,384569,-0.015384615384615332
19,2009-02-02,12750,12850,12450,12650,545436,-0.01171875
20,2009-02-03,12650,13000,12500,12750,704631,0.007905138339920903
21,2009-02-04,12900,13100,12800,13100,1161386,0.027450980392156762
22,2009-02-05,13000,13200,12800,12800,543807,-0.022900763358778664
23,2009-02-06,12950,13100,12750,12850,577395,0.00390625
24,2009-02-09,13000,13250,12900,13100,736883,0.01945525291828787
25,2009-02-10,13200,13350,13000,13250,548907,0.011450381679389388
26,2009-02-11,13000,13250,12850,12900,632414,-0.02641509433962264
27,2009-02-12,12900,13200,12600,13200,1137163,0.023255813953488413
28,2009-02-13,13200,13300,12900,13000,1319669,-0.015151515151515138
29,2009-02-16,12950,13100,12850,12900,566166,-0.007692307692307666
30,2009-02-17,12800,12850,11900,12300,1246801,-0.046511627906976716
