,date,open,high,low,close,volume,change
0,2009-01-02,41433,41433,39393,40022,142601,-0.019236895630651563
1,2009-01-05,41276,41433,39550,39708,125537,-0.007845684873319714
2,2009-01-06,40022,40650,37982,38296,435885,-0.03555958497028311
3,2009-01-07,38923,40963,38765,40964,386566,0.06966785042824307
4,2009-01-08,40179,42690,39865,40807,457189,-0.0038326335318816795
5,2009-01-09,41435,41435,39551,40807,238947,0.0
6,2009-01-12,40334,40805,39079,39394,158320,-0.034626412135172924
7,2009-01-13,39236,40491,38923,40336,268118,0.023912270904198563
8,2009-01-14,40650,41435,40179,41278,206837,0.023353827846092745
9,2009-01-15,39863,41747,39393,39551,278400,-0.041838267357914634
10,2009-01-16,40179,41278,40179,40807,172384,0.03175646633460594
11,2009-01-19,41278,41749,40650,40650,126483,-0.0038473791261303134
12,2009-01-20,40648,40805,39707,40493,70583,-0.0038622386223862155
13,2009-01-21,39393,40334,39079,39708,182487,-0.019386066727582585
14,2009-01-22,41119,41119,39393,39708,89562,0.0
15,2009-01-23,39394,39708,38139,38139,158174,-0.03951344817165303
16,2009-01-28,38923,39707,38452,39708,150592,0.041138991583418605
17,2009-01-29,40492,43159,39864,43004,502391,0.08300594338672318
18,2009-01-30,42375,43945,41905,43946,270952,0.02190493907543489
19,2009-02-02,43946,45358,43789,45359,289936,0.032153096982660445
20,2009-02-03,45515,45515,43318,43632,315094,-0.03807403161445355
21,2009-02-04,43944,44258,42375,43318,320229,-0.007196552988632199
22,2009-02-05,43946,44731,40807,40807,464734,-0.05796666512766058
23,2009-02-06,41433,41747,38608,39551,1019929,-0.03077903300904261
24,2009-02-09,40179,40336,38453,39081,559438,-0.011883391064701264
25,2009-02-10,39707,40335,39079,40336,437315,0.032112791382001404
26,2009-02-11,39237,41435,38609,41121,351463,0.01946152320507744
27,2009-02-12,41278,41749,40022,41278,539381,0.003818000535006361
28,2009-02-13,41435,41749,40493,41592,225978,0.007606957701439044
29,2009-02-16,41277,42689,40806,42690,373954,0.02639930755914599
30,2009-02-17,42847,42847,40493,41121,306042,-0.0367533380182713
31,2009-02-18,40805,41590,40021,40179,248570,-0.02290800321003872
32,2009-02-19,40493,42690,39551,41435,230381,0.031260111003260434
