,date,open,high,low,close,volume,change
0,2009-01-02,6382,6452,6021,6021,277566,-0.056565340018802875
1,2009-01-05,6091,6201,5960,6001,165820,-0.0033217073575817486
2,2009-01-06,6041,6252,6011,6172,204631,0.028495250791534813
3,2009-01-07,6252,6513,6181,6513,249212,0.0552495139338951
4,2009-01-08,6371,6472,6291,6392,179786,-0.018578228159066512
5,2009-01-09,6502,6643,6221,6342,290931,-0.007822277847309156
6,2009-01-12,6241,6281,5940,6001,160131,-0.053768527278461035
7,2009-01-13,5920,6001,5840,6001,145652,0.0
8,2009-01-14,5971,6212,5920,6212,122694,0.035160806532244626
9,2009-01-15,5960,6000,5720,5720,139506,-0.07920154539600778
10,2009-01-16,5800,5961,5730,5961,110995,0.04213286713286712
11,2009-01-19,6020,6191,5930,6141,139900,0.03019627579265216
12,2009-01-20,6111,6111,5870,5951,81026,-0.030939586386582008
13,2009-01-21,5619,5820,5619,5710,88873,-0.04049739539573183
14,2009-01-22,5900,5900,5729,5760,67338,0.008756567425569184
15,2009-01-23,5549,5599,5318,5439,178768,-0.05572916666666672
16,2009-01-28,5509,5569,5459,5459,261633,0.0036771465342893
17,2009-01-29,5528,5719,5498,5549,293624,0.016486535995603683
18,2009-01-30,5488,5519,5398,5519,154847,-0.005406379527842843
19,2009-02-02,5499,5679,5418,5479,168354,-0.0072476897988765785
20,2009-02-03,5549,5589,5458,5549,199007,0.012776054024457029
21,2009-02-04,5639,5649,5478,5489,314816,-0.010812759055685685
22,2009-02-05,5499,5549,5318,5399,222738,-0.01639642922208051
23,2009-02-06,5479,5489,5318,5359,267047,-0.007408779403593302
24,2009-02-09,5418,5499,5388,5419,222535,0.011196118678858058
25,2009-02-10,5479,5479,5338,5359,203067,-0.011072153533862372
26,2009-02-11,5207,5278,5117,5248,256495,-0.02071281955588733
27,2009-02-12,5237,5438,5157,5258,291628,0.001905487804878092
28,2009-02-13,5248,5278,5067,5168,335448,-0.01711677443895021
29,2009-02-16,5137,5388,5137,5218,299643,0.009674922600619196
30,2009-02-17,5248,5248,4846,4857,449473,-0.06918359524722117
31,2009-02-18,4715,5017,4615,5017,151470,0.03294214535721629
32,2009-02-19,4957,5158,4776,5148,199941,0.026111221845724453
33,2009-02-20,5057,5408,5047,5128,498265,-0.0038850038850039015
34,2009-02-23,5248,5399,5188,5399,389987,0.05284711388455543
35,2009-02-24,5228,5479,5117,5439,410215,0.007408779403593302
36,2009-02-25,5558,5588,5287,5318,389545,-0.0222467365324508
37,2009-02-26,5428,5468,5067,5238,248271,-0.015043249341857856
38,2009-02-27,5318,5318,5118,5118,123530,-0.02290950744558995
39,2009-03-02,5087,5087,4817,4817,127930,-0.05881203595154361
40,2009-03-03,4566,4817,4526,4787,144482,-0.006227942702927147
41,2009-03-04,4816,4937,4776,4917,72759,0.027156883225402103
42,2009-03-05,4997,5007,4797,4797,104081,-0.024405125076266018
43,2009-03-06,4615,4736,4605,4656,145136,-0.029393370856785506
44,2009-03-09,4736,4847,4706,4807,126539,0.03243127147766334
45,2009-03-10,4726,5218,4706,5138,441646,0.06885791553983768
46,2009-03-11,5298,5469,5258,5469,314639,0.06442195406773066
47,2009-03-12,5459,5579,5348,5459,309494,-0.0018284878405558926
48,2009-03-13,5579,5620,5419,5600,232723,0.025828906393112302
49,2009-03-16,5689,5799,5528,5559,172625,-0.007321428571428591
50,2009-03-17,5559,5579,5338,5519,332613,-0.007195538765965127
51,2009-03-18,5569,5689,5418,5479,266777,-0.0072476897988765785
52,2009-03-19,5538,5709,5518,5549,281197,0.012776054024457029
53,2009-03-20,5629,5910,5629,5780,492688,0.04162912236438987
54,2009-03-23,5840,5850,5669,5840,299985,0.01038062283737018
55,2009-03-24,5980,6201,5980,6101,353022,0.04469178082191783
56,2009-03-25,6020,6121,5940,6111,205739,0.0016390755613833186
57,2009-03-26,6172,6222,6011,6162,243000,0.008345606283750584
58,2009-03-27,6120,6141,5789,5840,378178,-0.05225576111652064
59,2009-03-30,5900,6000,5639,5820,157050,-0.003424657534246589
60,2009-03-31,5800,5900,5729,5750,126883,-0.012027491408934663
61,2009-04-01,5780,5971,5780,5911,207108,0.028000000000000025
62,2009-04-02,6021,6202,5971,6192,317654,0.04753848756555579
63,2009-04-03,6302,6583,6141,6513,529202,0.05184108527131781
64,2009-04-06,6713,7104,6663,6904,957566,0.060033778596652924
65,2009-04-07,6904,7666,6904,7386,1115804,0.06981460023174968
66,2009-04-08,7315,7717,7094,7426,690292,0.005415651232060671
67,2009-04-09,7546,8198,7546,7988,776198,0.0756800430918394
68,2009-04-10,8228,8309,7787,8008,331707,0.002503755633450177
69,2009-04-13,7897,8188,7696,7777,501461,-0.02884615384615385
70,2009-04-14,7988,8008,7566,7878,174688,0.01298701298701288
71,2009-04-15,7727,7847,7285,7627,196775,-0.03186087839553186
72,2009-04-16,7666,7787,7225,7426,279550,-0.02635374328045104
73,2009-04-17,7506,7546,6844,7125,499157,-0.040533261513600816
74,2009-04-20,7124,7255,6863,7195,536026,0.009824561403508849
75,2009-04-21,7024,7516,6903,7516,358861,0.04461431549687278
76,2009-04-22,7637,7757,7376,7617,376897,0.013437998935603934
77,2009-04-23,7496,7556,7275,7366,251782,-0.03295260601286598
78,2009-04-24,7285,7305,6954,7125,408421,-0.032717893021992905
79,2009-04-27,7245,7366,6934,7025,254252,-0.014035087719298291
80,2009-04-28,6983,7024,6411,6422,369971,-0.08583629893238431
81,2009-04-29,6522,6904,6402,6844,287015,0.06571161631890376
82,2009-04-30,6844,7115,6563,7065,383094,0.03229105786090014
83,2009-05-04,7085,7095,6934,7065,239598,0.0
84,2009-05-06,7065,7245,6984,7065,185484,0.0
85,2009-05-07,7235,7305,7074,7225,260152,0.0226468506723283
86,2009-05-08,7235,7275,7134,7225,198367,0.0
87,2009-05-11,7295,7305,7094,7205,167762,-0.0027681660899654408
88,2009-05-12,7124,7305,7044,7205,251487,0.0
89,2009-05-13,7255,7526,7255,7356,343099,0.0209576682859125
90,2009-05-14,7184,7184,6924,6924,230889,-0.058727569331158185
91,2009-05-15,7004,7004,6723,6884,136176,-0.005777007510109788
92,2009-05-18,6824,6824,6673,6734,120870,-0.02178965717606041
93,2009-05-19,6843,7265,6803,7265,218299,0.07885357885357891
94,2009-05-20,7295,7466,7145,7366,329775,0.013902271163110713
95,2009-05-21,7265,7305,7074,7225,157570,-0.01914200380124897
96,2009-05-22,7145,7365,7064,7125,201393,-0.01384083044982698
97,2009-05-25,7306,7476,6442,7286,441531,0.02259649122807028
98,2009-05-26,7325,7395,6723,6964,303940,-0.04419434531979138
99,2009-05-27,7065,7095,6744,6744,184221,-0.03159103963239518
100,2009-05-28,6733,7195,6572,7195,157219,0.06687425860023732
101,2009-05-29,7124,7476,7064,7416,472634,0.03071577484364152
102,2009-06-01,7506,7687,7446,7627,513609,0.028451995685005338
103,2009-06-02,7807,7807,7546,7707,345628,0.010489052051920744
104,2009-06-03,7827,7847,7475,7787,146339,0.010380173867912346
105,2009-06-04,7726,7877,7586,7787,241158,0.0
106,2009-06-05,7887,7917,7486,7677,171669,-0.014126107615256234
107,2009-06-08,7606,7666,7325,7526,174221,-0.01966914159176758
108,2009-06-09,7426,7446,7064,7135,180977,-0.05195322880680309
109,2009-06-10,7154,7466,7154,7466,140950,0.046391030133146494
110,2009-06-11,7446,8168,7305,7727,1590584,0.034958478435574536
111,2009-06-12,7727,8159,7526,8139,675030,0.05331952892455028
112,2009-06-15,8228,8569,8068,8349,517862,0.025801695539992675
113,2009-06-16,8249,8500,8148,8470,302032,0.014492753623188468
114,2009-06-17,8309,8520,8189,8420,184961,-0.0059031877213695525
115,2009-06-18,8329,9032,8309,9032,606036,0.07268408551068893
116,2009-06-19,9092,9182,8730,9032,253094,0.0
117,2009-06-22,9092,9112,8530,8711,279149,-0.03554030115146145
