,date,open,high,low,close,volume,change
0,2009-01-02,54810,55196,52586,53167,391552,-0.04346652753539748
1,2009-01-05,53263,53746,51910,52103,259079,-0.020012413715274516
2,2009-01-06,52586,53456,50943,51233,543529,-0.016697694950386754
3,2009-01-07,51620,51910,49783,50557,707495,-0.013194620654656151
4,2009-01-08,50363,51813,50266,51427,431341,0.01720829954309
5,2009-01-09,51910,51910,50363,51233,270679,-0.0037723374880899154
6,2009-01-12,51426,52586,51233,52490,415986,0.0245349676966018
7,2009-01-13,52490,52490,49976,51233,331641,-0.023947418555915426
8,2009-01-14,51523,51523,50460,51233,165912,0.0
9,2009-01-15,50170,50266,47705,48430,291129,-0.05471083090976514
10,2009-01-16,48623,49396,47560,49397,212081,0.01996696262647113
11,2009-01-19,49493,50170,49300,49300,128713,-0.001963682004980094
12,2009-01-20,48719,49299,47850,48623,109328,-0.0137322515212982
13,2009-01-21,47366,48043,46786,47463,130016,-0.02385702239680809
14,2009-01-22,48140,48430,47318,48237,175447,0.016307439479173347
15,2009-01-23,48333,48333,46786,47367,106403,-0.01803594750917348
16,2009-01-28,47270,48430,47221,47850,201935,0.010196972575843954
17,2009-01-29,48623,50363,48430,49397,360766,0.03233019853709518
18,2009-01-30,49396,50170,49009,49783,195377,0.007814239731157802
19,2009-02-02,49783,50750,48623,50750,245770,0.019424301468372814
20,2009-02-03,50750,50943,48720,50750,179771,0.0
21,2009-02-04,50653,50653,49783,49880,184642,-0.017142857142857126
22,2009-02-05,49783,49783,48333,48333,249875,-0.031014434643143574
23,2009-02-06,48623,49300,48043,48913,152116,0.012000082759191509
24,2009-02-09,49590,49880,48816,49880,305063,0.01976979535092926
25,2009-02-10,50073,50266,48623,49300,206532,-0.011627906976744208
26,2009-02-11,48429,48526,47850,48188,213562,-0.022555780933062874
27,2009-02-12,47898,47946,46013,46545,463551,-0.034095625466921235
28,2009-02-13,46689,47076,46109,46883,199949,0.007261789665914621
29,2009-02-16,46641,47028,46303,46400,156031,-0.010302241750741237
30,2009-02-17,45626,45771,42920,43017,384275,-0.07290948275862064
31,2009-02-18,42243,49396,41421,43017,495668,0.0
32,2009-02-19,43209,43790,41373,41373,240042,-0.038217448915545016
33,2009-02-20,41373,42291,40213,40697,207203,-0.016339158388320896
34,2009-02-23,40116,42388,39536,42340,232840,0.04037152615671924
35,2009-02-24,41276,42485,40648,42437,121548,0.002290977798771854
36,2009-02-25,43403,43451,41325,41808,123267,-0.014821971392888322
37,2009-02-26,42243,42823,40068,40165,188324,-0.03929869881362413
38,2009-02-27,40116,40503,39150,39682,252472,-0.012025395244615987
