,date,open,high,low,close,volume,change
0,2009-01-02,52600,55100,52000,55000,173666,0.04562737642585546
1,2009-01-05,55500,55700,53500,53800,123593,-0.021818181818181848
2,2009-01-06,54400,54700,52500,54000,150278,0.003717472118959009
3,2009-01-07,54000,55700,52700,55700,191271,0.031481481481481444
4,2009-01-08,55000,55900,54300,55700,103259,0.0
5,2009-01-09,56100,57700,54500,57700,138897,0.035906642728904765
6,2009-01-12,57500,57800,56800,56900,79676,-0.013864818024263427
7,2009-01-13,56400,56600,55300,55800,102793,-0.019332161687170446
8,2009-01-14,56200,57000,55000,57000,60238,0.021505376344086
9,2009-01-15,56500,56500,54000,55000,108190,-0.03508771929824561
10,2009-01-16,55500,55900,53500,55800,107271,0.01454545454545464
11,2009-01-19,55300,58000,55300,57600,179392,0.032258064516129004
12,2009-01-20,57700,59300,56600,58500,110513,0.015625
13,2009-01-21,56700,60400,56600,59800,209746,0.022222222222222143
14,2009-01-22,60700,61000,59000,60700,153849,0.015050167224080369
15,2009-01-23,60900,64200,60100,61500,302445,0.013179571663920921
16,2009-01-28,63900,64800,62700,63900,141726,0.03902439024390248
17,2009-01-29,63900,66400,63500,65900,323860,0.031298904538341166
18,2009-01-30,65100,65200,63200,63200,245155,-0.04097116843702575
19,2009-02-02,63000,64900,61800,64700,232960,0.023734177215189774
20,2009-02-03,64200,65200,63000,63000,158941,-0.02627511591962905
21,2009-02-04,63100,66000,62600,65800,189711,0.044444444444444516
22,2009-02-05,66000,66000,64100,64800,134228,-0.015197568389057725
23,2009-02-06,64500,65600,63800,65300,147863,0.0077160493827159735
24,2009-02-09,64900,65700,63800,64600,142232,-0.01071975497702915
25,2009-02-10,64600,65700,63900,63900,123907,-0.010835913312693513
26,2009-02-11,63900,64900,62000,63400,168474,-0.007824726134585291
27,2009-02-12,64000,67500,62900,66200,419444,0.04416403785488954
28,2009-02-13,68300,74500,66900,71800,651969,0.0845921450151057
29,2009-02-16,73000,76500,71900,74400,450046,0.0362116991643453
30,2009-02-17,74000,76000,71400,74200,441199,-0.0026881720430107503
31,2009-02-18,73000,77900,72100,76900,410252,0.03638814016172498
32,2009-02-19,76900,77700,71700,72000,313672,-0.06371911573472044
33,2009-02-20,70700,72400,68200,70500,216582,-0.02083333333333337
34,2009-02-23,70000,73500,69400,72000,153759,0.021276595744680767
35,2009-02-24,70100,72400,69700,72100,148738,0.001388888888888884
36,2009-02-25,73700,74000,71800,71800,83270,-0.004160887656033285
37,2009-02-26,73000,73800,69100,71500,71402,-0.004178272980501441
38,2009-02-27,71200,72700,69800,70600,134664,-0.012587412587412585
39,2009-03-02,70700,72000,65500,67800,218382,-0.03966005665722383
40,2009-03-03,65900,67100,63800,67000,144131,-0.01179941002949858
41,2009-03-04,69000,74700,68300,72900,269218,0.08805970149253728
42,2009-03-05,73300,75500,71800,71900,210720,-0.013717421124828544
43,2009-03-06,72400,73600,70500,73600,94195,0.02364394993045904
44,2009-03-09,74500,77300,73200,76800,147612,0.04347826086956519
45,2009-03-10,76900,81500,76900,79900,317252,0.04036458333333326
46,2009-03-11,81000,82000,79100,82000,160393,0.026282853566958808
47,2009-03-12,82000,82900,80000,82900,154264,0.01097560975609757
48,2009-03-13,81600,82900,79600,81500,174430,-0.016887816646562137
49,2009-03-16,81200,81900,78500,79500,100642,-0.024539877300613463
50,2009-03-17,79700,80700,78000,80300,96047,0.010062893081761004
51,2009-03-18,81800,81900,80100,81600,71494,0.016189290161892966
52,2009-03-19,81600,85800,80900,84100,189641,0.030637254901960675
53,2009-03-20,86000,89000,85800,89000,216156,0.05826397146254458
54,2009-03-23,90000,93200,88900,90200,232984,0.01348314606741563
55,2009-03-24,93100,93100,86500,92000,222543,0.019955654101995624
56,2009-03-25,90200,91200,87100,87100,306354,-0.05326086956521736
57,2009-03-26,86900,91200,86200,91000,236392,0.04477611940298498
58,2009-03-27,90600,91500,89500,91300,129684,0.003296703296703285
59,2009-03-30,91500,92000,89100,90400,122999,-0.009857612267250793
60,2009-03-31,89800,94200,89500,92200,216420,0.019911504424778848
61,2009-04-01,93000,94100,91100,94100,178198,0.020607375271149756
62,2009-04-02,95200,99900,95200,99300,200909,0.055260361317747135
63,2009-04-03,100000,101000,95900,97400,249734,-0.019133937562940573
64,2009-04-06,98000,102500,97500,99500,249416,0.021560574948665368
65,2009-04-07,101000,104000,99900,102500,361206,0.03015075376884413
66,2009-04-08,102000,110500,101000,108500,526214,0.05853658536585371
67,2009-04-09,116500,124500,116000,124500,352783,0.14746543778801846
68,2009-04-10,134500,142500,126500,129500,916269,0.04016064257028118
69,2009-04-13,142000,148500,137500,142000,1282549,0.09652509652509657
70,2009-04-14,141500,150000,132500,137500,851608,-0.03169014084507038
71,2009-04-15,137000,142500,129500,142500,865777,0.036363636363636376
72,2009-04-16,146000,148000,135000,138500,433118,-0.028070175438596467
73,2009-04-17,138500,139500,129000,133000,582242,-0.03971119133574008
74,2009-04-20,131000,133500,125500,132000,614485,-0.007518796992481258
75,2009-04-21,128000,139500,128000,134500,682805,0.018939393939394037
76,2009-04-22,137000,141000,133500,136500,348295,0.01486988847583648
77,2009-04-23,140000,143000,136000,142500,435816,0.04395604395604402
78,2009-04-24,147000,156000,143000,150000,705027,0.05263157894736836
79,2009-04-27,150000,151000,144000,147500,301181,-0.01666666666666672
80,2009-04-28,145500,149000,140000,140000,308192,-0.05084745762711862
81,2009-04-29,139000,145500,136500,139000,363211,-0.007142857142857118
82,2009-04-30,140500,147500,140500,143000,271134,0.02877697841726623
83,2009-05-04,144000,146000,138500,139500,185068,-0.024475524475524483
84,2009-05-06,142000,144500,138500,139500,244206,0.0
85,2009-05-07,140000,144500,137000,144500,349013,0.03584229390680993
86,2009-05-08,145500,160000,143500,156500,841203,0.08304498269896188
87,2009-05-11,155000,157500,151000,156000,454829,-0.0031948881789137795
88,2009-05-12,164000,179000,162000,179000,1029329,0.14743589743589736
89,2009-05-13,184000,187000,177000,178000,954743,-0.005586592178770999
90,2009-05-14,178000,187000,173000,176000,761658,-0.011235955056179804
91,2009-05-15,180000,182000,170000,173000,278930,-0.017045454545454586
92,2009-05-18,171000,177500,170000,176000,280631,0.01734104046242768
93,2009-05-19,176500,178500,173000,175500,289792,-0.002840909090909061
94,2009-05-20,176500,194500,175000,187500,643285,0.06837606837606837
95,2009-05-21,184500,189500,181000,183500,378553,-0.021333333333333315
96,2009-05-22,183000,195000,181500,184000,589295,0.002724795640326905
97,2009-05-25,183000,186500,156500,184000,373528,0.0
98,2009-05-26,186000,188000,178000,183500,285003,-0.002717391304347782
99,2009-05-27,185500,187000,172500,173000,321423,-0.057220708446866435
100,2009-05-28,168500,175500,162000,174500,372828,0.00867052023121384
101,2009-05-29,174500,188000,169000,188000,986637,0.0773638968481376
102,2009-06-01,187500,199500,184000,193000,517872,0.02659574468085113
103,2009-06-02,197000,201500,191000,193000,309881,0.0
104,2009-06-03,196500,196500,186500,192500,234236,-0.002590673575129543
105,2009-06-04,192000,194000,181000,181000,259126,-0.05974025974025976
106,2009-06-05,180000,186000,176000,184000,307370,0.016574585635359185
107,2009-06-08,183000,187500,178500,183500,192606,-0.002717391304347782
108,2009-06-09,183500,184500,168000,168000,484566,-0.08446866485013628
109,2009-06-10,170000,177000,167000,173000,416183,0.029761904761904656
110,2009-06-11,173500,175500,168000,171000,390343,-0.011560693641618491
111,2009-06-12,174000,177500,170000,172500,201912,0.008771929824561429
112,2009-06-15,170000,172000,163000,166500,267302,-0.034782608695652195
113,2009-06-16,165000,178000,163000,172000,461773,0.033033033033033066
114,2009-06-17,171500,174000,165000,168000,269108,-0.023255813953488413
115,2009-06-18,170000,172000,165500,168500,180069,0.0029761904761904656
116,2009-06-19,170000,176500,166500,176000,328102,0.04451038575667665
117,2009-06-22,174500,178000,172500,174000,152092,-0.011363636363636355
118,2009-06-23,171000,171500,164500,167000,194980,-0.04022988505747127
119,2009-06-24,166000,167000,159000,166500,239320,-0.0029940119760478727
120,2009-06-25,169000,173000,167500,173000,284761,0.039039039039038936
121,2009-06-26,174500,177000,172000,176500,199858,0.020231213872832443
122,2009-06-29,178000,180000,174000,178500,202282,0.011331444759206777
123,2009-06-30,180500,183000,177000,183000,312999,0.02521008403361336
124,2009-07-01,181000,182000,177000,181000,291117,-0.010928961748633892
125,2009-07-02,180000,182500,177500,179500,147419,-0.008287292817679592
126,2009-07-03,176000,182500,176000,182000,162274,0.013927576601671321
127,2009-07-06,184000,188000,182500,186500,265548,0.02472527472527464
128,2009-07-07,189500,192000,184000,185000,338429,-0.008042895442359255
129,2009-07-08,182000,188000,178000,181000,242372,-0.021621621621621626
130,2009-07-09,178000,179000,155000,160500,1708765,-0.11325966850828728
131,2009-07-10,162500,164500,157500,161000,548723,0.003115264797507677
132,2009-07-13,157500,159000,142000,142500,819037,-0.1149068322981367
133,2009-07-14,147500,149000,130500,136000,944977,-0.04561403508771933
134,2009-07-15,142500,148000,140500,148000,749752,0.08823529411764698
135,2009-07-16,148500,152000,136000,141000,742095,-0.047297297297297265
136,2009-07-17,144000,145000,137500,144000,474265,0.021276595744680767
137,2009-07-20,144500,146000,140500,143500,507196,-0.0034722222222222103
