,date,open,high,low,close,volume,change
0,2009-01-02,80250,88250,79750,88250,6057503,0.14983713355048867
1,2009-01-05,92500,93750,89250,90750,4083301,0.02832861189801705
2,2009-01-06,92250,101000,91000,100500,5311693,0.1074380165289257
3,2009-01-07,102500,115500,101750,108250,11676117,0.07711442786069655
4,2009-01-08,107000,111499,104250,107250,6108105,-0.009237875288683584
5,2009-01-09,110000,111249,103000,103500,4624122,-0.034965034965035
6,2009-01-12,100750,103250,96250,96500,3677652,-0.06763285024154586
7,2009-01-13,96500,105000,95499,105000,5336302,0.08808290155440424
8,2009-01-14,103500,104750,99500,102750,4666274,-0.021428571428571463
9,2009-01-15,97000,98250,89500,89750,5117346,-0.12652068126520674
10,2009-01-16,93000,95500,89750,90250,4685031,0.0055710306406684396
11,2009-01-19,92000,103750,91500,103750,7217197,0.14958448753462594
12,2009-01-20,103750,106000,97500,102000,8855234,-0.016867469879518038
13,2009-01-21,96999,111750,96999,101250,11411935,-0.007352941176470562
14,2009-01-22,106500,106500,93250,96750,5266663,-0.0444444444444444
15,2009-01-23,97750,101750,94750,97750,3561116,0.010335917312661593
16,2009-01-28,100500,106000,100500,104500,3314144,0.06905370843989768
17,2009-01-29,106000,106750,101750,101750,2465448,-0.02631578947368418
18,2009-01-30,99750,106250,99250,103750,3097255,0.0196560196560196
19,2009-02-02,103500,111000,103250,107500,7805477,0.03614457831325302
20,2009-02-03,112000,114500,109000,110500,5525023,0.027906976744185963
21,2009-02-04,113250,113250,110000,112000,3032119,0.013574660633484116
22,2009-02-05,111000,115499,108000,108000,5475322,-0.0357142857142857
23,2009-02-06,112000,121500,110500,120000,7122980,0.11111111111111116
24,2009-02-09,121250,128750,120249,123000,8427308,0.024999999999999908
25,2009-02-10,126500,128500,119000,122500,4241885,-0.004065040650406471
26,2009-02-11,119000,128250,116500,128000,4160920,0.04489795918367357
27,2009-02-12,128000,129249,123000,125250,2638936,-0.021484375
28,2009-02-13,127000,131500,123500,127500,4376080,0.017964071856287456
29,2009-02-16,126500,128250,118000,119500,3599598,-0.06274509803921569
30,2009-02-17,119000,121250,109500,111500,3850748,-0.06694560669456062
31,2009-02-18,111000,116000,107999,111500,3979537,0.0
32,2009-02-19,112749,116000,110000,113250,3516460,0.015695067264573925
33,2009-02-20,110999,112000,98000,98250,6471636,-0.13245033112582782
34,2009-02-23,97250,103750,95500,103500,4437114,0.05343511450381677
35,2009-02-24,97749,100250,95250,97000,2556597,-0.0628019323671497
36,2009-02-25,102750,102750,96250,96250,2549349,-0.0077319587628865705
37,2009-02-26,97500,102500,91500,98750,3746307,0.025974025974025983
38,2009-02-27,98750,101000,96999,98500,2703265,-0.002531645569620267
39,2009-03-02,96250,96750,89750,90250,2637084,-0.08375634517766495
40,2009-03-03,86500,93500,86000,91500,3988008,0.013850415512465464
41,2009-03-04,90750,100000,87999,99000,5595646,0.08196721311475419
42,2009-03-05,100500,102000,92500,92750,4294895,-0.06313131313131315
43,2009-03-06,90000,92000,89000,91500,2934742,-0.013477088948787077
44,2009-03-09,93500,95500,89750,91750,2435064,0.002732240437158362
45,2009-03-10,90999,98250,90500,96750,3761246,0.05449591280653943
46,2009-03-11,100000,101500,98500,99250,2980952,0.025839793281653645
47,2009-03-12,99500,100500,94250,96250,2673079,-0.03022670025188912
