,date,open,high,low,close,volume,change
0,2009-01-02,185500,186000,178000,178000,33705,-0.06315789473684208
1,2009-01-05,179000,180000,165500,165500,215192,-0.0702247191011236
2,2009-01-06,168500,172000,167000,171000,93983,0.0332326283987916
3,2009-01-07,169500,170000,162500,165500,150625,-0.032163742690058506
4,2009-01-08,163000,169500,163000,167000,107970,0.009063444108761365
5,2009-01-09,169500,171000,165500,167000,66452,0.0
6,2009-01-12,166000,167000,159000,162500,89929,-0.026946107784431184
7,2009-01-13,162500,162500,157500,159000,137618,-0.021538461538461503
8,2009-01-14,159000,162000,157000,160500,113553,0.009433962264151052
9,2009-01-15,157000,158000,151500,151500,84603,-0.056074766355140186
10,2009-01-16,152000,156000,150000,154000,73613,0.01650165016501659
11,2009-01-19,157000,168500,156000,166500,149024,0.08116883116883122
12,2009-01-20,164000,165000,160500,161500,55061,-0.03003003003003002
13,2009-01-21,154000,164500,154000,160000,57847,-0.009287925696594423
14,2009-01-22,163500,165500,158000,162000,68712,0.012499999999999956
15,2009-01-23,161000,163500,157000,163000,42708,0.006172839506172867
16,2009-01-28,168000,168500,166000,168000,66626,0.03067484662576692
17,2009-01-29,169500,169500,164000,169000,82155,0.005952380952380931
18,2009-01-30,167000,168500,165000,167000,29997,-0.011834319526627168
19,2009-02-02,168500,168500,162000,165000,58553,-0.0119760479041916
20,2009-02-03,163000,164500,160000,164500,55698,-0.00303030303030305
21,2009-02-04,166500,167000,162500,163000,59156,-0.00911854103343468
22,2009-02-05,162000,163000,159500,161500,40745,-0.009202453987730008
23,2009-02-06,162000,166000,161500,165500,51041,0.024767801857585203
24,2009-02-09,166000,166500,161500,163500,51306,-0.012084592145015116
25,2009-02-10,165500,166000,159500,165500,66228,0.01223241590214075
26,2009-02-11,163500,163500,158500,159000,60334,-0.0392749244712991
27,2009-02-12,157500,163000,153000,163000,119762,0.02515723270440251
28,2009-02-13,160000,162500,158500,159500,56742,-0.0214723926380368
29,2009-02-16,159000,160500,156500,157500,46810,-0.012539184952978009
30,2009-02-17,154500,155000,151000,154500,92876,-0.01904761904761909
31,2009-02-18,155000,158500,150500,157500,54058,0.01941747572815533
32,2009-02-19,158000,160500,154000,158000,76785,0.0031746031746031638
33,2009-02-20,159000,160000,156500,158000,39127,0.0
34,2009-02-23,158000,160500,154000,154500,41433,-0.022151898734177226
35,2009-02-24,152000,156000,150000,156000,69997,0.009708737864077666
36,2009-02-25,156000,156500,151500,151500,40607,-0.02884615384615385
37,2009-02-26,152500,158500,151500,158000,48523,0.04290429042904287
38,2009-02-27,157000,158000,149500,149500,46931,-0.05379746835443033
39,2009-03-02,149500,151000,143500,150000,53623,0.0033444816053511683
40,2009-03-03,148000,156000,145000,156000,59617,0.040000000000000036
41,2009-03-04,153000,157000,150500,154000,32977,-0.012820512820512777
42,2009-03-05,153500,158000,152000,158000,42532,0.025974025974025983
43,2009-03-06,158000,166500,155000,164000,92767,0.03797468354430378
44,2009-03-09,165000,165000,158000,164500,37593,0.0030487804878047697
45,2009-03-10,161000,164500,158500,158500,47045,-0.036474164133738614
46,2009-03-11,160500,161000,155000,155500,80126,-0.018927444794952675
47,2009-03-12,157000,161000,155000,159000,106858,0.022508038585209
48,2009-03-13,160000,161500,157000,160000,48155,0.006289308176100628
49,2009-03-16,158000,168500,158000,165000,399450,0.03125
50,2009-03-17,167000,167500,158500,161000,108043,-0.024242424242424288
51,2009-03-18,162000,162500,156500,157000,82640,-0.024844720496894457
52,2009-03-19,158500,159000,156000,158500,69336,0.009554140127388644
53,2009-03-20,158500,160000,154500,155000,68721,-0.02208201892744477
54,2009-03-23,156000,157000,154500,157000,81977,0.012903225806451646
55,2009-03-24,157500,158000,153000,154000,129944,-0.019108280254777062
56,2009-03-25,155000,155500,152000,155000,133281,0.006493506493506551
57,2009-03-26,155500,156000,153500,155000,78820,0.0
58,2009-03-27,155000,157000,151000,151000,112795,-0.02580645161290318
59,2009-03-30,152000,153500,148000,148000,103863,-0.019867549668874163
60,2009-03-31,149500,151500,149000,150500,57749,0.016891891891891886
61,2009-04-01,150500,152000,149500,151000,147865,0.0033222591362125358
62,2009-04-02,152000,153000,150000,152000,198522,0.006622516556291425
63,2009-04-03,152000,155500,151000,154000,160697,0.013157894736842035
64,2009-04-06,154500,158000,154500,155000,114053,0.006493506493506551
65,2009-04-07,156500,157500,153500,156000,130042,0.006451612903225712
66,2009-04-08,156000,156000,151000,152000,115379,-0.02564102564102566
67,2009-04-09,151500,153500,150000,153000,141960,0.006578947368421018
68,2009-04-10,156000,160500,155000,159000,168799,0.03921568627450989
69,2009-04-13,161000,162000,157500,159000,89806,0.0
70,2009-04-14,159500,166500,158000,163500,229498,0.02830188679245293
71,2009-04-15,163000,171000,162000,167500,190302,0.024464831804281276
72,2009-04-16,167500,170500,164500,166000,81895,-0.008955223880596995
73,2009-04-17,165000,166500,163000,164000,61917,-0.012048192771084376
74,2009-04-20,163000,167500,161500,165000,35103,0.0060975609756097615
75,2009-04-21,164000,166500,163000,163500,41781,-0.009090909090909037
76,2009-04-22,163000,171000,161000,166500,107122,0.0183486238532109
77,2009-04-23,170000,179000,170000,175500,160346,0.054054054054053946
78,2009-04-24,175500,177500,173000,177000,63892,0.008547008547008517
79,2009-04-27,179500,179500,173000,174000,59095,-0.016949152542372836
80,2009-04-28,178500,178500,170500,174000,52544,0.0
81,2009-04-29,172000,175500,171500,172000,34104,-0.011494252873563204
82,2009-04-30,172500,178500,172500,176500,42959,0.02616279069767446
83,2009-05-04,175000,178500,171500,178500,64142,0.011331444759206777
84,2009-05-06,175500,179500,173000,177500,70488,-0.005602240896358524
85,2009-05-07,176000,177000,171500,173000,69328,-0.025352112676056304
86,2009-05-08,174500,176000,172000,175500,43514,0.01445086705202314
87,2009-05-11,173500,179000,172500,178000,57976,0.01424501424501434
88,2009-05-12,178000,180500,175000,177500,35309,-0.0028089887640448947
89,2009-05-13,175500,185000,175500,181000,38166,0.019718309859154903
90,2009-05-14,182500,184500,177000,179000,50834,-0.011049723756906049
91,2009-05-15,178000,179000,175000,178500,48704,-0.0027932960893855
92,2009-05-18,176500,205000,175500,188000,72495,0.0532212885154062
93,2009-05-19,187500,197500,185000,188500,62990,0.002659574468085069
94,2009-05-20,190000,190500,180000,185000,65046,-0.018567639257294436
95,2009-05-21,182000,185000,180000,180000,66195,-0.027027027027026973
96,2009-05-22,182000,184500,179500,182500,75540,0.013888888888888841
97,2009-05-25,180500,181500,170000,178500,59970,-0.021917808219178103
98,2009-05-26,181000,182000,179000,180000,81717,0.008403361344537784
99,2009-05-27,180500,182500,179000,179500,56676,-0.002777777777777768
100,2009-05-28,181000,186000,179500,184500,102392,0.027855153203342642
101,2009-05-29,186000,195500,185000,193500,120382,0.048780487804878085
102,2009-06-01,191000,199000,189500,198000,49588,0.023255813953488413
103,2009-06-02,198000,200000,195500,198500,30798,0.002525252525252597
104,2009-06-03,199000,201000,173000,200500,63215,0.010075566750629816
105,2009-06-04,197500,200000,193000,200000,42937,-0.0024937655860348684
106,2009-06-05,196000,199500,192500,197500,64137,-0.012499999999999956
107,2009-06-08,200000,204000,192500,203000,85229,0.027848101265822708
108,2009-06-09,201500,205000,199000,201000,45493,-0.00985221674876846
109,2009-06-10,200000,203000,199000,200500,23180,-0.00248756218905477
110,2009-06-11,199500,209500,199500,208500,86255,0.03990024937655856
111,2009-06-12,209000,221000,208500,213500,57251,0.023980815347721892
112,2009-06-15,210500,212500,202000,212000,41961,-0.0070257611241217885
113,2009-06-16,211000,211000,204000,204000,21566,-0.03773584905660377
114,2009-06-17,202000,214000,201000,210000,50718,0.02941176470588225
115,2009-06-18,209500,210000,202500,205000,106372,-0.02380952380952384
116,2009-06-19,205000,207500,202500,203500,24403,-0.007317073170731714
117,2009-06-22,201500,209500,201000,205500,94996,0.00982800982800991
118,2009-06-23,205000,205000,197000,199500,66798,-0.029197080291970767
119,2009-06-24,203000,208500,201000,205500,28646,0.030075187969924814
120,2009-06-25,203500,214000,202500,214000,50697,0.04136253041362537
121,2009-06-26,211000,212500,207500,211500,42773,-0.011682242990654236
122,2009-06-29,213000,217000,211500,212000,18796,0.0023640661938533203
123,2009-06-30,214000,216500,210500,216000,49451,0.018867924528301886
124,2009-07-01,213000,218500,212000,215000,30568,-0.00462962962962965
125,2009-07-02,216000,221000,212000,219000,88841,0.018604651162790642
126,2009-07-03,218500,220000,214500,214500,23846,-0.020547945205479427
127,2009-07-06,214500,215500,211500,213000,60087,-0.006993006993006978
128,2009-07-07,213500,216000,211000,216000,108886,0.014084507042253502
129,2009-07-08,215500,215500,210500,211500,29256,-0.02083333333333337
130,2009-07-09,211000,213000,204500,204500,66860,-0.03309692671394804
131,2009-07-10,203000,209500,200000,203000,52195,-0.0073349633251833515
132,2009-07-13,202000,203500,194500,203500,72561,0.002463054187192171
133,2009-07-14,201000,206500,201000,203500,22452,0.0
134,2009-07-15,205500,207000,202500,205000,33508,0.0073710073710073765
135,2009-07-16,203000,205500,202000,203000,64832,-0.009756097560975618
136,2009-07-17,203000,206500,198500,202500,37617,-0.002463054187192171
137,2009-07-20,202000,212000,201000,204500,39874,0.009876543209876631
138,2009-07-21,207000,207000,200000,205000,46911,0.0024449877750611915
139,2009-07-22,203000,205000,200500,201000,45717,-0.01951219512195124
140,2009-07-23,206000,209000,201000,206500,72232,0.027363184079602032
141,2009-07-24,205500,209500,204000,209500,71641,0.01452784503631954
142,2009-07-27,210000,214500,207500,210000,70813,0.0023866348448686736
143,2009-07-28,210000,217000,207500,216000,53703,0.02857142857142847
144,2009-07-29,216000,217000,211500,213000,31169,-0.013888888888888841
145,2009-07-30,212000,219000,209500,215500,38907,0.011737089201877993
146,2009-07-31,214000,221500,213500,220500,33796,0.023201856148491903
147,2009-08-03,220000,224500,217000,221500,26835,0.0045351473922903285
148,2009-08-04,219500,229000,218500,228500,38595,0.03160270880361171
149,2009-08-05,229500,230000,217500,222500,80877,-0.026258205689277947
150,2009-08-06,224500,230000,218000,230000,48267,0.033707865168539415
151,2009-08-07,225000,229000,220500,220500,42904,-0.04130434782608694
152,2009-08-10,220500,221000,217500,218500,77720,-0.009070294784580546
153,2009-08-11,217500,224500,217500,220000,33677,0.0068649885583524925
154,2009-08-12,223500,223500,218500,220000,13860,0.0
155,2009-08-13,219500,222500,216000,216000,47137,-0.018181818181818188
156,2009-08-14,218000,223000,216500,219500,38663,0.01620370370370372
157,2009-08-17,222000,222000,213500,216000,36760,-0.015945330296127547
158,2009-08-18,216000,222000,215500,217500,33596,0.006944444444444421
159,2009-08-19,222500,222500,215500,219000,24428,0.006896551724137946
160,2009-08-20,217000,222500,217000,219500,26294,0.002283105022831133
161,2009-08-21,218000,221000,216000,218500,24684,-0.004555808656036442
162,2009-08-24,217500,219500,213500,215000,53019,-0.016018306636155555
163,2009-08-25,217000,223000,214500,219000,22006,0.018604651162790642
164,2009-08-26,218000,220500,217500,218000,10414,-0.004566210045662157
165,2009-08-27,217000,219500,213500,218000,38630,0.0
