,date,open,high,low,close,volume,change
0,2009-01-02,103110,108087,102825,106809,521456,0.05774525144090802
1,2009-01-05,108373,112640,108088,111502,493271,0.04393824490445564
2,2009-01-06,113066,116622,111644,112640,614969,0.010206094957937895
3,2009-01-07,112071,116480,111075,115200,415342,0.02272727272727271
4,2009-01-08,113493,115626,109084,110791,788946,-0.03827256944444446
5,2009-01-09,110932,112923,109083,110507,371383,-0.002563385112509087
6,2009-01-12,110364,113920,109084,110933,649497,0.003854959414335779
7,2009-01-13,111075,115911,109653,112071,536673,0.010258444286190826
8,2009-01-14,115199,116479,113207,113636,711349,0.013964361877738307
9,2009-01-15,110079,111644,107662,107662,449471,-0.05257136822837838
10,2009-01-16,109510,113919,108087,113067,416731,0.050203414389478285
11,2009-01-19,113777,114773,111786,112213,376376,-0.007553043770507807
12,2009-01-20,110222,110648,108373,109511,274193,-0.02407920650904971
13,2009-01-21,105670,108941,104959,107236,260147,-0.02077416880496019
14,2009-01-22,109511,109653,104817,106240,458812,-0.009287925696594423
15,2009-01-23,105812,109083,104674,106098,316714,-0.001336596385542177
16,2009-01-28,109368,113777,108942,113351,422395,0.0683613263209486
17,2009-01-29,115342,118897,114346,114773,657735,0.012545103263314816
18,2009-01-30,112639,114772,111501,114489,467385,-0.002474449565664449
19,2009-02-02,113066,115626,111360,113493,469153,-0.008699525718627976
20,2009-02-03,113065,113065,109510,111929,636241,-0.013780585586776306
21,2009-02-04,113208,113920,111217,112640,550325,0.0063522411528738046
22,2009-02-05,111360,117902,110933,116053,746823,0.03030007102272725
23,2009-02-06,117333,118471,115911,117191,473717,0.00980586456188126
24,2009-02-09,118186,119182,115911,118613,318085,0.012134037596743807
25,2009-02-10,120746,122168,117760,117760,674170,-0.007191454562316069
26,2009-02-11,115767,122594,115341,120178,573330,0.020533288043478315
27,2009-02-12,118754,120034,116052,119609,530305,-0.0047346436119756205
28,2009-02-13,118186,122026,116764,121173,406853,0.013075939101572677
29,2009-02-16,120320,126435,119608,124871,636455,0.030518349797397093
30,2009-02-17,123447,129136,121599,122027,587002,-0.022775504320458717
31,2009-02-18,120176,123447,117332,119467,444826,-0.020978963671974268
32,2009-02-19,118328,121600,116053,117760,455130,-0.014288464596918016
33,2009-02-20,116906,118328,111928,117333,398679,-0.0036260190217390904
34,2009-02-23,116763,120176,115199,118898,268622,0.01333810607416508
35,2009-02-24,114914,119465,114630,118187,385129,-0.005979915557873139
36,2009-02-25,120887,123163,119465,120889,555085,0.022862074509040653
37,2009-02-26,122310,125581,119465,121458,447061,0.004706797144487851
38,2009-02-27,121456,122310,117901,120178,499260,-0.01053862240445258
39,2009-03-02,118043,118043,111359,112498,435134,-0.06390520727587412
40,2009-03-03,108941,113207,107234,111787,560691,-0.0063201123575530324
41,2009-03-04,112496,118754,108941,115627,572792,0.03435104260781663
42,2009-03-05,116479,117901,114203,115769,399715,0.001228086865524558
43,2009-03-06,112355,117191,111928,117191,401743,0.012283080962952164
44,2009-03-09,117191,118755,114346,115911,379635,-0.010922340452765187
45,2009-03-10,115199,121741,115056,118898,433603,0.025769771635133942
46,2009-03-11,121031,123591,119751,121173,378715,0.01913404767111304
47,2009-03-12,120176,121741,117332,120889,499301,-0.002343756447393375
48,2009-03-13,121173,125866,120462,122311,429740,0.011762856835609624
49,2009-03-16,120888,123733,120177,123733,387193,0.011626100677780473
50,2009-03-17,123733,125440,120462,124302,736910,0.004598611526431817
51,2009-03-18,124302,124871,119182,119182,1099830,-0.041190004987852184
52,2009-03-19,119608,121031,116622,118044,724541,-0.009548421741538138
53,2009-03-20,118043,120461,117901,119467,320749,0.012054827013656013
54,2009-03-23,120746,122168,120320,121031,541549,0.013091481329572163
55,2009-03-24,122168,128284,121173,128000,997053,0.05758028934735737
56,2009-03-25,127857,128853,125440,128000,597796,0.0
57,2009-03-26,127430,127572,123305,125867,1155089,-0.016664062499999962
58,2009-03-27,125866,129422,124017,128000,2193431,0.016946459357893632
59,2009-03-30,0,0,0,128000,0,0.0
60,2009-03-31,0,0,0,128000,0,0.0
61,2009-04-01,0,0,0,128000,0,0.0
62,2009-04-02,0,0,0,128000,0,0.0
63,2009-04-03,0,0,0,128000,0,0.0
64,2009-04-06,0,0,0,128000,0,0.0
65,2009-04-07,0,0,0,128000,0,0.0
66,2009-04-08,0,0,0,128000,0,0.0
67,2009-04-09,0,0,0,128000,0,0.0
68,2009-04-10,0,0,0,128000,0,0.0
69,2009-04-13,0,0,0,128000,0,0.0
