,date,open,high,low,close,volume,change
0,2009-01-02,27977,28313,26633,28314,3597415,-0.0067005788458165405
1,2009-01-05,29464,32104,29176,30905,5207842,0.09150950060040963
2,2009-01-06,31000,31480,30712,31097,3783279,0.0062125869600389025
3,2009-01-07,31384,32200,30712,31625,4071193,0.016979129819596706
4,2009-01-08,31241,31289,29849,30521,2416531,-0.03490909090909089
5,2009-01-09,31193,31625,29177,29177,3037607,-0.044035254414993015
6,2009-01-12,28361,28792,27881,28410,2245289,-0.026287829454707427
7,2009-01-13,28026,29513,27642,29033,1620498,0.02192889827525524
8,2009-01-14,29656,30712,28313,30713,2348402,0.05786518788964279
9,2009-01-15,29369,29561,28697,28793,2620185,-0.06251424478233969
10,2009-01-16,28314,28985,27402,28937,4117530,0.005001215573229523
11,2009-01-19,28888,29464,28073,28410,3144317,-0.018211977744755803
12,2009-01-20,27833,27833,27065,27066,2857808,-0.047307286166842655
13,2009-01-21,25434,26106,25386,25434,3513888,-0.06029705165151855
14,2009-01-22,26730,26922,25626,25914,3879396,0.018872375560273547
15,2009-01-23,25146,25434,24474,24474,4323857,-0.05556841861542028
16,2009-01-28,25529,27161,25241,26394,4547036,0.07845060063741105
17,2009-01-29,27353,28025,26825,27258,4529975,0.032734712434644216
18,2009-01-30,26393,27785,26153,27354,3292088,0.0035219018269865288
19,2009-02-02,25626,26394,25146,25386,7133276,-0.07194560210572498
20,2009-02-03,24953,26537,24713,26442,6957851,0.0415977310328528
21,2009-02-04,27161,27401,26681,27402,3997620,0.03630587701384158
22,2009-02-05,26681,28217,26489,26874,2953469,-0.019268666520691924
23,2009-02-06,27881,28121,27401,28074,2779690,0.044652824291136366
24,2009-02-09,29272,29656,28169,28170,3399057,0.0034195340884803915
25,2009-02-10,28601,29081,27882,28505,2852494,0.011892083777067741
26,2009-02-11,27353,28025,26633,27834,4211874,-0.023539729871952297
27,2009-02-12,27449,27641,26201,26490,4293789,-0.04828626859236906
28,2009-02-13,26489,26921,26105,26778,2336662,0.010872027180067969
29,2009-02-16,26634,26730,25914,26250,3055770,-0.019717678691463125
30,2009-02-17,25700,25850,24500,25050,4945645,-0.045714285714285714
31,2009-02-18,24300,24400,23550,23600,4425953,-0.05788423153692612
32,2009-02-19,24000,24800,23600,24150,4325900,0.02330508474576276
33,2009-02-20,23400,23800,22050,22900,4770049,-0.05175983436853005
34,2009-02-23,22500,23250,21600,22950,6337203,0.0021834061135370675
35,2009-02-24,22050,22100,21350,21550,4118925,-0.06100217864923752
36,2009-02-25,22750,22750,21250,21250,5029539,-0.0139211136890951
37,2009-02-26,21700,22400,20950,21300,3336719,0.002352941176470669
38,2009-02-27,21550,23350,21350,23300,5564027,0.0938967136150235
39,2009-03-02,22350,22600,21800,22000,3617992,-0.05579399141630903
40,2009-03-03,21100,21850,20500,21500,4476155,-0.02272727272727271
41,2009-03-04,21350,22250,21000,21950,4249114,0.020930232558139528
42,2009-03-05,22100,22100,21250,21450,4196405,-0.02277904328018221
43,2009-03-06,20600,20900,20500,20500,3751343,-0.04428904428904434
44,2009-03-09,20850,21300,20400,20800,3514612,0.014634146341463428
45,2009-03-10,20400,23700,20400,22800,9482933,0.09615384615384626
46,2009-03-11,24150,24150,23200,23300,6003043,0.021929824561403462
47,2009-03-12,23150,23250,22450,23000,5900134,-0.012875536480686732
48,2009-03-13,23600,23700,22000,22400,7384031,-0.02608695652173909
49,2009-03-16,22400,23300,22050,23000,6471151,0.02678571428571419
50,2009-03-17,23800,25500,23600,25200,8291896,0.09565217391304336
51,2009-03-18,25850,26000,24850,25900,6471703,0.027777777777777683
52,2009-03-19,26400,26750,25600,25600,5640469,-0.01158301158301156
53,2009-03-20,25600,25850,24400,25100,4003418,-0.01953125
54,2009-03-23,25200,26350,25050,26300,3873054,0.047808764940239
55,2009-03-24,28050,28300,26800,27250,5153475,0.03612167300380231
56,2009-03-25,26850,27250,26400,27000,2689026,-0.00917431192660545
57,2009-03-26,26900,27800,26700,27700,3240910,0.025925925925925908
58,2009-03-27,27350,27850,26200,26700,4267275,-0.03610108303249093
59,2009-03-30,26050,26300,24300,24300,5127558,-0.0898876404494382
60,2009-03-31,24750,25400,24450,24600,6268897,0.012345679012345734
61,2009-04-01,25200,25800,24750,25750,3842180,0.04674796747967469
62,2009-04-02,26700,28000,26450,27750,5960502,0.07766990291262132
63,2009-04-03,28500,29300,28050,28900,7888514,0.04144144144144146
64,2009-04-06,29050,30600,29000,29750,5470568,0.02941176470588225
65,2009-04-07,29250,29600,28350,28900,4247360,-0.02857142857142858
66,2009-04-08,28050,28250,27600,27600,3259470,-0.04498269896193774
67,2009-04-09,27950,30200,27850,29950,5852012,0.08514492753623193
68,2009-04-10,31500,31800,30150,30300,6697775,0.011686143572620988
69,2009-04-13,30550,30800,29400,30300,2831409,0.0
70,2009-04-14,30900,31300,30050,30300,3889213,0.0
71,2009-04-15,29600,29850,28650,29800,3755725,-0.016501650165016483
72,2009-04-16,30500,30800,28850,29300,4298763,-0.016778523489932917
73,2009-04-17,29450,29700,28650,28750,3447808,-0.018771331058020424
74,2009-04-20,28900,29950,28300,29850,2254216,0.03826086956521735
75,2009-04-21,28850,29200,28300,29050,3277682,-0.02680067001675046
76,2009-04-22,29650,29650,28900,29250,2788469,0.00688468158347666
77,2009-04-23,29250,29450,28300,29000,3240242,-0.008547008547008517
78,2009-04-24,29400,30000,28550,29600,4442957,0.020689655172413838
79,2009-04-27,29600,30100,29000,29000,3385246,-0.020270270270270285
80,2009-04-28,29550,29700,27950,28000,4650718,-0.03448275862068961
81,2009-04-29,28400,29400,28100,29400,2484237,0.05000000000000005
82,2009-04-30,30200,32100,30150,31700,9373677,0.07823129251700678
83,2009-05-04,32800,36350,32500,34000,11748551,0.0725552050473186
84,2009-05-06,33500,34200,31700,31700,13492539,-0.0676470588235294
85,2009-05-07,32700,32850,31450,31850,9112344,0.004731861198738141
86,2009-05-08,31600,32300,31300,32300,4814077,0.014128728414442682
87,2009-05-11,32850,32850,31850,32300,4371804,0.0
