,date,open,high,low,close,volume,change
0,2009-01-02,8271,8565,8038,8445,0,0.020173955061609128
1,2009-01-05,8687,8938,8352,8569,0,0.014683244523386653
2,2009-01-06,8649,9110,8567,9072,0,0.05869996499008056
3,2009-01-07,9235,10322,8985,9615,0,0.05985449735449744
4,2009-01-08,9441,9941,9314,9782,0,0.01736869474779001
5,2009-01-09,9946,10155,9612,9615,0,-0.017072173379676925
6,2009-01-12,9446,9612,8943,9031,0,-0.06073842953718145
7,2009-01-13,8942,9362,8734,9323,0,0.032333074964012935
8,2009-01-14,9362,9401,9069,9323,0,0.0
9,2009-01-15,8859,9527,8650,8988,0,-0.03593263970824845
10,2009-01-16,9110,9528,8901,9533,0,0.060636404094348124
11,2009-01-19,9857,9985,9442,9740,0,0.0217140459456624
12,2009-01-20,9569,9652,9110,9407,0,-0.03418891170431215
13,2009-01-21,8900,9234,8858,9155,0,-0.026788561709365392
14,2009-01-22,9611,9611,9109,9155,0,0.0
15,2009-01-23,9024,9107,8564,8613,0,-0.05920262151829603
16,2009-01-28,8901,9068,8692,8988,0,0.04353883664228486
17,2009-01-29,9026,9778,8858,9407,0,0.0466177125055629
18,2009-01-30,9235,9529,9070,9364,0,-0.0045710641012012285
19,2009-02-02,9280,9779,9280,9658,0,0.031396838957710387
20,2009-02-03,9822,9861,9401,9533,0,-0.01294263822737629
21,2009-02-04,9692,10068,9483,9867,0,0.0350361900765761
22,2009-02-05,9861,9861,9363,9615,0,-0.02553967771359078
23,2009-02-06,9736,9821,9195,9407,0,-0.02163286531461261
24,2009-02-09,9486,9528,9026,9323,0,-0.008929520569788463
25,2009-02-10,9402,9612,9235,9364,0,0.004397726053845252
26,2009-02-11,9152,9196,8943,9031,0,-0.03556172575822303
27,2009-02-12,9071,9530,8944,9491,0,0.05093566603919841
28,2009-02-13,9567,10865,9444,10452,0,0.10125381940786003
29,2009-02-16,10824,11618,10740,11413,0,0.09194412552621499
30,2009-02-17,11411,11663,10742,11080,0,-0.029177254008586725
31,2009-02-18,11243,12708,11243,12711,0,0.14720216606498204
32,2009-02-19,13249,14336,11954,12459,0,-0.019825348123672426
33,2009-02-20,12455,13167,11494,12459,0,0.0
34,2009-02-23,12748,12956,11911,12835,0,0.03017898707761457
35,2009-02-24,12078,13291,11867,13086,0,0.019555901830931036
36,2009-02-25,13461,13586,11161,11164,0,-0.14687452239034082
37,2009-02-26,11322,11739,9901,10535,0,-0.05634181297026152
38,2009-02-27,10528,10906,9903,10076,0,-0.04356905552918844
39,2009-03-02,10067,10401,9774,10158,0,0.008138150059547433
40,2009-03-03,9860,10320,9361,10286,0,0.01260090569009642
41,2009-03-04,10278,11699,10152,11540,0,0.1219132801866616
42,2009-03-05,11702,12290,10992,11456,0,-0.0072790294627382846
43,2009-03-06,11281,12621,11239,12125,0,0.058397346368715075
44,2009-03-09,13082,13332,12664,13128,0,0.08272164948453598
45,2009-03-10,12913,13036,11574,11790,0,-0.1019195612431444
46,2009-03-11,12034,12411,11698,12041,0,0.02128922815945722
47,2009-03-12,12118,12537,11865,12167,0,0.010464247155551831
48,2009-03-13,12578,12661,11575,12208,0,0.0033697706912139136
49,2009-03-16,12033,12118,11534,11540,0,-0.054718217562254264
50,2009-03-17,11658,11992,11408,11957,0,0.036135181975736515
51,2009-03-18,12327,12746,11993,12125,0,0.014050347077025904
52,2009-03-19,11952,12118,11366,11498,0,-0.05171134020618562
53,2009-03-20,11533,11698,11365,11664,0,0.014437293442337797
54,2009-03-23,11742,12076,11699,12000,0,0.028806584362139894
55,2009-03-24,12289,13582,11994,12794,0,0.0661666666666667
56,2009-03-25,12874,13042,12290,12920,0,0.009848366421760124
57,2009-03-26,13210,13418,12874,12920,0,0.0
58,2009-03-27,13123,13750,12831,13128,0,0.01609907120743026
59,2009-03-30,13497,14250,13456,13630,0,0.038238878732480115
60,2009-03-31,14044,14377,13248,13463,0,-0.012252384446074792
61,2009-04-01,13539,13792,13039,13756,0,0.021763351407561467
62,2009-04-02,13874,14293,13581,13756,0,0.0
63,2009-04-03,13957,14125,13664,14006,0,0.018173887758069274
64,2009-04-06,14253,15590,14129,14884,0,0.06268741967728109
65,2009-04-07,14965,15510,14130,14424,0,-0.030905670518677764
66,2009-04-08,14254,14630,13961,14132,0,-0.02024403771491956
67,2009-04-09,14462,14589,14129,14341,0,0.01478913105009916
68,2009-04-10,14586,14586,13832,13922,0,-0.02921693047904605
69,2009-04-13,14002,14463,13542,14383,0,0.03311305846861079
70,2009-04-14,14417,14667,13790,14006,0,-0.026211499687130657
71,2009-04-15,13795,15300,13669,14509,0,0.035913180065686216
72,2009-04-16,14962,14962,13792,13798,0,-0.04900406644151911
73,2009-04-17,14002,14044,12916,13128,0,-0.04855776199449191
74,2009-04-20,12996,13665,12829,13504,0,0.02864107251675807
75,2009-04-21,13079,13831,12996,13421,0,-0.006146327014218023
76,2009-04-22,13622,13747,13414,13546,0,0.00931376201475298
77,2009-04-23,13706,13706,13288,13295,0,-0.01852945518972393
78,2009-04-24,13455,14165,13287,13713,0,0.031440391124482936
79,2009-04-27,14084,14756,14003,14216,0,0.03668052213228323
80,2009-04-28,14463,14590,12415,12878,0,-0.0941193021947102
81,2009-04-29,13122,13331,12539,13338,0,0.03571983227209197
82,2009-04-30,13377,13377,12834,12920,0,-0.031339031339031376
83,2009-05-04,12957,13250,12833,13045,0,0.009674922600619196
84,2009-05-06,13374,13708,13206,13463,0,0.03204292832502875
85,2009-05-07,13668,13668,13041,13254,0,-0.01552402881972814
86,2009-05-08,13250,13335,12957,13170,0,-0.006337709370755951
87,2009-05-11,13163,13621,12996,13295,0,0.00949126803340916
88,2009-05-12,13459,13459,13040,13128,0,-0.01256111320045128
89,2009-05-13,13250,13250,12748,12835,0,-0.022318708104814174
90,2009-05-14,13037,14209,12994,13880,0,0.08141799766264124
91,2009-05-15,14126,14166,13372,13504,0,-0.027089337175792542
92,2009-05-18,13624,13918,13499,13673,0,0.012514810426540237
93,2009-05-19,13792,13873,13456,13588,0,-0.006216631317194521
94,2009-05-20,14712,15549,14712,14969,0,0.10163379452458043
95,2009-05-21,14961,15338,14587,15302,0,0.022245975015031002
96,2009-05-22,14962,15882,14879,15554,0,0.01646843549862753
97,2009-05-25,15633,15840,13793,15052,0,-0.03227465603703228
98,2009-05-26,15215,15339,14422,14550,0,-0.03335104969439273
99,2009-05-27,15007,15968,14797,14843,0,0.020137457044673512
100,2009-05-28,15088,15299,14129,14884,0,0.0027622448292123907
101,2009-05-29,15044,15714,14626,15720,0,0.0561676968556839
102,2009-06-01,15717,16303,15635,16014,0,0.01870229007633584
103,2009-06-02,16176,16216,15507,15805,0,-0.013051080304733342
104,2009-06-03,16179,16637,15803,16432,0,0.03967099019297682
105,2009-06-04,16340,16592,15505,15511,0,-0.05604917234664075
106,2009-06-05,15798,16091,14878,15888,0,0.024305331700083862
107,2009-06-08,15880,15880,15296,15344,0,-0.03423967774420944
108,2009-06-09,15214,15548,15005,15429,0,0.0055396246089676185
109,2009-06-10,15297,15463,15046,15429,0,0.0
110,2009-06-11,15296,15881,15212,15763,0,0.021647546827402886
111,2009-06-12,15797,15922,15504,15679,0,-0.005328934847427469
112,2009-06-15,15714,15756,15212,15261,0,-0.02665986351170357
113,2009-06-16,14962,15213,14920,15052,0,-0.0136950396435358
114,2009-06-17,14963,15006,14545,14634,0,-0.027770395960669655
115,2009-06-18,14965,15300,14590,14676,0,0.002870028700286964
116,2009-06-19,14881,15255,14630,14843,0,0.011379122376669493
117,2009-06-22,14839,15132,14757,14927,0,0.005659233308630275
118,2009-06-23,14714,14797,14337,14509,0,-0.028002947678703042
119,2009-06-24,14585,14585,13538,14174,0,-0.02308911709973116
120,2009-06-25,13999,14333,13873,14174,0,0.0
121,2009-06-26,14462,14672,14167,14299,0,0.008818964300832509
122,2009-06-29,14459,14501,13538,13546,0,-0.05266102524652072
123,2009-06-30,13792,14334,13081,14048,0,0.03705891037944786
124,2009-07-01,14213,14296,13876,14257,0,0.014877562642368947
125,2009-07-02,14296,14296,13961,14257,0,0.0
126,2009-07-03,14045,14672,13834,14634,0,0.02644315073297321
127,2009-07-06,14963,15382,14839,15010,0,0.02569359026923612
128,2009-07-07,15046,15632,14919,15637,0,0.041772151898734185
129,2009-07-08,15840,15882,14837,15052,0,-0.03741126814606377
130,2009-07-09,15132,15174,14590,14592,0,-0.030560722827531195
131,2009-07-10,14503,14837,14001,14048,0,-0.03728070175438592
132,2009-07-13,14128,14461,13792,13798,0,-0.017796127562642372
133,2009-07-14,14249,14542,13999,14006,0,0.015074648499782572
134,2009-07-15,14254,14254,13920,14132,0,0.00899614450949593
135,2009-07-16,14292,14333,13331,13504,0,-0.044438154542881365
136,2009-07-17,13540,14044,13290,13965,0,0.03413803317535535
137,2009-07-20,13999,14041,13705,14006,0,0.002935911206587871
138,2009-07-21,14045,15087,14002,14634,0,0.04483792660288444
139,2009-07-22,14709,14709,14082,14090,0,-0.03717370507038409
140,2009-07-23,14082,14165,13747,13839,0,-0.017814052519517398
141,2009-07-24,14130,14337,13919,14257,0,0.03020449454440355
