,date,open,high,low,close,volume,change
0,2009-01-02,24150,24750,23200,24400,243623,0.02306079664570237
1,2009-01-05,25250,26550,25050,25200,482940,0.03278688524590168
2,2009-01-06,25200,26200,25200,26200,314690,0.039682539682539764
3,2009-01-07,27000,29350,26450,29100,576064,0.11068702290076328
4,2009-01-08,28200,29250,27700,28600,432037,-0.01718213058419249
5,2009-01-09,29200,29750,27650,28750,284410,0.005244755244755206
6,2009-01-12,28100,29450,27100,29100,255073,0.012173913043478368
7,2009-01-13,28500,29000,27800,28000,331364,-0.037800687285223344
8,2009-01-14,28050,28600,27250,28200,191708,0.007142857142857118
9,2009-01-15,27000,27000,25900,26500,276382,-0.060283687943262436
10,2009-01-16,26550,26900,25900,26350,135178,-0.005660377358490565
11,2009-01-19,26450,28000,26250,27250,231589,0.034155597722960174
12,2009-01-20,27150,27150,26050,27100,110510,-0.0055045871559632475
13,2009-01-21,26100,26350,25500,25700,158198,-0.05166051660516602
14,2009-01-22,26600,27250,25800,26300,186894,0.023346303501945442
15,2009-01-23,25950,26400,25400,26200,110524,-0.003802281368821325
16,2009-01-28,27000,28500,26850,28000,174437,0.06870229007633588
17,2009-01-29,28550,28750,27750,28400,177033,0.014285714285714237
18,2009-01-30,27700,28300,27400,28300,143735,-0.0035211267605633756
19,2009-02-02,27600,28550,26550,27500,268958,-0.028268551236749095
20,2009-02-03,27600,28100,26850,27500,300298,0.0
21,2009-02-04,28300,30850,27950,30650,501339,0.1145454545454545
22,2009-02-05,30100,31350,29600,29950,302423,-0.02283849918433933
23,2009-02-06,30900,32300,30350,31500,550987,0.05175292153589317
24,2009-02-09,32150,33000,31050,31800,310494,0.00952380952380949
25,2009-02-10,32950,33050,30650,31050,279006,-0.02358490566037741
26,2009-02-11,29850,30200,29300,29650,442277,-0.04508856682769724
27,2009-02-12,29650,29650,27650,27800,528514,-0.06239460370994944
28,2009-02-13,28050,29350,27900,29350,407027,0.055755395683453335
29,2009-02-16,28700,28800,27300,27350,502538,-0.0681431005110733
30,2009-02-17,26800,27100,25550,25900,390248,-0.05301645338208405
31,2009-02-18,25450,26500,25200,25800,309717,-0.0038610038610038533
32,2009-02-19,25800,26450,25350,25550,222492,-0.009689922480620172
33,2009-02-20,24900,25250,23450,23800,261138,-0.06849315068493156
34,2009-02-23,23700,24750,22700,24750,225459,0.0399159663865547
35,2009-02-24,23600,24600,23000,24600,317239,-0.0060606060606061
36,2009-02-25,25500,25500,23100,23300,473711,-0.05284552845528456
37,2009-02-26,23500,24150,21800,22200,333593,-0.0472103004291845
38,2009-02-27,22200,23050,22050,22750,259362,0.024774774774774855
39,2009-03-02,22350,22350,20450,20900,440654,-0.08131868131868136
40,2009-03-03,20350,21450,20300,21100,249217,0.009569377990430672
41,2009-03-04,21100,22600,20700,22100,219453,0.047393364928910005
42,2009-03-05,22400,22650,21650,22100,246288,0.0
43,2009-03-06,21100,21800,21100,21600,190717,-0.022624434389140302
44,2009-03-09,21850,22450,21400,21750,249513,0.006944444444444421
45,2009-03-10,21400,23700,21400,23400,601505,0.07586206896551717
46,2009-03-11,24250,25500,23700,24950,844906,0.06623931623931623
47,2009-03-12,24900,25100,23700,24750,393253,-0.008016032064128266
48,2009-03-13,25300,25400,24000,24000,192062,-0.03030303030303028
49,2009-03-16,24200,25300,24100,24350,268045,0.01458333333333339
50,2009-03-17,24900,27900,24750,26400,679266,0.0841889117043122
51,2009-03-18,27050,27600,26200,27300,341841,0.03409090909090917
52,2009-03-19,28200,28250,27400,27800,288812,0.01831501831501825
53,2009-03-20,27600,28000,26450,27000,251637,-0.02877697841726623
54,2009-03-23,27150,28100,27150,27950,241680,0.035185185185185215
55,2009-03-24,29500,29650,28800,29500,454765,0.05545617173524153
56,2009-03-25,29250,30050,29050,30000,248892,0.016949152542372836
57,2009-03-26,29800,30850,29300,30400,326069,0.013333333333333421
58,2009-03-27,30500,31650,30200,30900,470417,0.016447368421052655
59,2009-03-30,30350,31500,29350,30000,229719,-0.029126213592233
60,2009-03-31,30000,30100,29400,29700,482162,-0.010000000000000007
61,2009-04-01,30400,31850,29250,30100,433979,0.013468013468013408
62,2009-04-02,31000,31350,30550,31000,661717,0.029900332225913706
63,2009-04-03,31500,32500,31250,31500,894183,0.016129032258064502
64,2009-04-06,31900,33150,31850,32500,831712,0.03174603174603185
65,2009-04-07,32750,34200,32000,33550,405821,0.03230769230769237
66,2009-04-08,33150,33350,31800,32250,254774,-0.03874813710879288
67,2009-04-09,32650,35650,32400,35500,1215832,0.10077519379844957
68,2009-04-10,37000,39500,36000,36900,571240,0.039436619718309814
69,2009-04-13,37050,37250,34900,35250,572138,-0.04471544715447151
70,2009-04-14,35750,36000,34000,34350,436105,-0.025531914893617055
71,2009-04-15,33400,33950,32100,33350,440676,-0.02911208151382827
72,2009-04-16,34000,34600,32750,33600,402721,0.007496251874062888
73,2009-04-17,33600,33950,31150,31850,553504,-0.05208333333333337
74,2009-04-20,31600,33250,31000,32650,351853,0.02511773940345363
75,2009-04-21,31900,35900,31500,34500,635202,0.05666156202143946
76,2009-04-22,34550,35000,33600,34900,350339,0.011594202898550732
77,2009-04-23,35100,35200,33350,34000,303747,-0.025787965616045797
78,2009-04-24,34200,34900,32400,33300,252846,-0.020588235294117685
79,2009-04-27,33600,33700,31200,31500,331378,-0.054054054054054064
80,2009-04-28,31450,32200,29700,29950,287520,-0.04920634920634925
81,2009-04-29,30100,31700,30100,31000,232107,0.03505843071786319
82,2009-04-30,31800,33550,31700,32500,402817,0.04838709677419351
83,2009-05-04,33000,35300,33000,35000,766300,0.07692307692307687
84,2009-05-06,34900,35450,34500,35000,362624,0.0
85,2009-05-07,35800,36100,35400,36000,483220,0.02857142857142847
86,2009-05-08,35950,36600,35700,36400,504457,0.011111111111111072
87,2009-05-11,36050,36750,35800,36350,239401,-0.0013736263736263687
88,2009-05-12,35700,36800,35600,36350,187152,0.0
89,2009-05-13,36500,37350,36500,37150,708203,0.022008253094910613
90,2009-05-14,36250,37100,35900,36500,763907,-0.01749663526244949
91,2009-05-15,36750,36800,35800,35950,471141,-0.015068493150684925
92,2009-05-18,35600,35600,33000,34000,924658,-0.05424200278164115
93,2009-05-19,35300,35500,34300,35100,932446,0.032352941176470695
94,2009-05-20,35350,36300,35100,36100,501608,0.028490028490028463
95,2009-05-21,35600,36550,34750,35500,444979,-0.0166204986149584
96,2009-05-22,35700,36350,35500,36350,447552,0.023943661971830957
97,2009-05-25,36050,36100,32900,34850,421923,-0.04126547455295737
98,2009-05-26,34850,35100,32900,33700,457593,-0.032998565279770416
99,2009-05-27,34100,34200,32650,32700,299439,-0.029673590504451064
100,2009-05-28,32050,32800,31050,32800,276356,0.0030581039755350763
101,2009-05-29,32800,32850,31450,32000,331777,-0.024390243902439046
102,2009-06-01,31900,33600,31650,33450,420199,0.04531250000000009
103,2009-06-02,34000,35000,33250,33700,656166,0.007473841554558991
104,2009-06-03,34000,34500,33150,33500,207820,-0.005934718100890191
105,2009-06-04,33200,33500,32200,32350,213362,-0.03432835820895519
106,2009-06-05,32650,33400,31850,33100,257726,0.02318392581143747
