,date,open,high,low,close,volume,change
0,2009-01-02,27350,28100,26200,28050,658980,0.04275092936802971
1,2009-01-05,28200,28250,26700,27650,860988,-0.014260249554367218
2,2009-01-06,27650,27650,26750,26850,852868,-0.028933092224231464
3,2009-01-07,27050,27550,26700,27300,786051,0.016759776536312776
4,2009-01-08,26750,27400,25200,25600,1723417,-0.06227106227106227
5,2009-01-09,25750,26500,24800,26100,1073246,0.01953125
6,2009-01-12,25800,25850,25100,25200,282341,-0.03448275862068961
7,2009-01-13,24950,25600,24400,25500,392092,0.011904761904761862
8,2009-01-14,25450,26400,24850,26050,379489,0.02156862745098032
9,2009-01-15,25000,25200,23800,24200,531281,-0.07101727447216888
10,2009-01-16,24300,25100,24000,25100,401484,0.037190082644628086
11,2009-01-19,25250,25350,24500,24800,598258,-0.01195219123505975
12,2009-01-20,24300,24600,23250,23550,454582,-0.05040322580645162
13,2009-01-21,22600,24800,22450,23500,500497,-0.002123142250530785
14,2009-01-22,24300,25400,23600,24850,776149,0.057446808510638325
15,2009-01-23,24150,25350,24050,24700,459127,-0.006036217303822977
16,2009-01-28,25200,25850,25000,25850,385236,0.046558704453441235
17,2009-01-29,25450,26450,25350,26450,426912,0.02321083172147009
18,2009-01-30,25950,27150,25750,26750,463833,0.011342155009451904
19,2009-02-02,26150,27100,26000,26500,404261,-0.009345794392523366
20,2009-02-03,26600,27800,26100,27500,714455,0.03773584905660377
21,2009-02-04,28000,29100,27700,29050,963755,0.0563636363636364
22,2009-02-05,28700,28900,27800,28250,715812,-0.027538726333907082
23,2009-02-06,28600,28750,27400,28550,669600,0.010619469026548643
24,2009-02-09,28200,29300,26850,26850,663177,-0.05954465849387036
25,2009-02-10,27200,27500,26200,26650,441780,-0.007448789571694592
26,2009-02-11,26300,27250,26000,26950,354461,0.011257035647279643
27,2009-02-12,26950,26950,25750,26700,653397,-0.00927643784786647
28,2009-02-13,26600,28200,26400,27550,1179518,0.03183520599250933
29,2009-02-16,27800,28450,27500,27650,644699,0.0036297640653357717
30,2009-02-17,27350,27850,26650,26700,506375,-0.034358047016274866
31,2009-02-18,26100,27700,26050,26700,767621,0.0
32,2009-02-19,26650,28100,26200,27800,1059134,0.041198501872659284
33,2009-02-20,27900,28300,26650,26950,1142358,-0.030575539568345363
34,2009-02-23,26850,27350,26200,27350,636730,0.01484230055658631
35,2009-02-24,26150,26300,25350,25750,416790,-0.05850091407678248
36,2009-02-25,26400,26400,25500,25650,404324,-0.003883495145631022
37,2009-02-26,26150,26850,25400,25800,438454,0.005847953216374213
38,2009-02-27,25800,26400,25500,25500,373285,-0.011627906976744208
39,2009-03-02,25300,25300,23800,24200,349892,-0.05098039215686279
40,2009-03-03,22950,24200,22650,23750,428800,-0.018595041322314043
41,2009-03-04,23550,24850,23100,24600,352767,0.035789473684210586
42,2009-03-05,24800,25050,24100,24800,362115,0.008130081300812941
43,2009-03-06,24200,24500,23850,24300,268631,-0.020161290322580627
44,2009-03-09,24500,24600,23250,23850,642791,-0.01851851851851849
45,2009-03-10,23500,25100,23400,24850,851922,0.041928721174004265
46,2009-03-11,25850,25850,25200,25700,841696,0.03420523138832987
47,2009-03-12,25350,25650,24550,25250,748822,-0.01750972762645919
48,2009-03-13,25450,25700,24750,24750,669702,-0.01980198019801982
49,2009-03-16,24750,26250,24350,26000,1233415,0.050505050505050615
50,2009-03-17,26800,27650,26150,27250,752466,0.04807692307692313
51,2009-03-18,27700,27700,26250,27050,553769,-0.007339449541284405
52,2009-03-19,27200,27950,27050,27500,709320,0.01663585951940849
53,2009-03-20,27900,29000,27800,28300,906972,0.029090909090909056
54,2009-03-23,28500,29450,28350,29450,703237,0.04063604240282692
55,2009-03-24,30200,30400,28650,29850,1270467,0.0135823429541595
56,2009-03-25,29700,30800,29400,30000,1025795,0.005025125628140614
57,2009-03-26,30400,31100,30200,30850,832833,0.028333333333333318
58,2009-03-27,30750,30800,29900,30800,341546,-0.0016207455429497752
59,2009-03-30,30400,30800,28800,29550,494893,-0.04058441558441561
60,2009-03-31,29000,30000,28900,29600,763622,0.0016920473773265332
61,2009-04-01,29700,30400,29050,30000,511015,0.0135135135135136
62,2009-04-02,30450,31700,30200,31250,588832,0.04166666666666674
63,2009-04-03,31850,32200,31150,31800,648725,0.01760000000000006
64,2009-04-06,31700,33000,31700,32750,541832,0.029874213836478036
65,2009-04-07,32750,33100,31850,32500,386494,-0.007633587786259555
66,2009-04-08,32250,32250,30500,31050,415095,-0.04461538461538461
67,2009-04-09,31300,32050,31050,32050,468818,0.032206119162640816
68,2009-04-10,32600,32900,31100,31450,630165,-0.018720748829953227
69,2009-04-13,31700,31950,31050,31100,463591,-0.011128775834658213
70,2009-04-14,31250,31850,30550,31500,873990,0.012861736334405238
71,2009-04-15,31400,32650,31000,32300,1025149,0.02539682539682531
72,2009-04-16,33050,34650,32850,33850,1370031,0.04798761609907132
73,2009-04-17,34400,34450,32150,33550,738780,-0.00886262924667647
74,2009-04-20,33700,33850,32250,32800,622722,-0.02235469448584204
75,2009-04-21,32000,32400,31250,32000,845568,-0.024390243902439046
76,2009-04-22,32300,32850,31750,32300,848925,0.009374999999999913
77,2009-04-23,32850,33400,31550,31950,1535882,-0.010835913312693513
78,2009-04-24,32400,33000,31800,32100,983724,0.004694835680751242
79,2009-04-27,32100,32300,30700,31150,770914,-0.029595015576323932
80,2009-04-28,31300,31300,29100,29400,948356,-0.0561797752808989
81,2009-04-29,29800,30000,28850,29950,797720,0.018707482993197244
82,2009-04-30,30250,30850,30050,30800,884581,0.028380634390651194
83,2009-05-04,31300,31700,30300,30900,1376503,0.003246753246753276
84,2009-05-06,31400,31400,30050,31100,1479932,0.0064724919093850355
85,2009-05-07,31900,33000,31400,32800,2260657,0.05466237942122176
86,2009-05-08,32950,33800,32650,32700,1613129,-0.0030487804878048808
87,2009-05-11,33700,34800,33550,34150,1947928,0.04434250764525993
88,2009-05-12,34150,34850,34100,34300,1703616,0.004392386530014614
89,2009-05-13,34800,35150,33900,34450,1448609,0.004373177842565522
90,2009-05-14,33950,34450,33400,33700,915448,-0.02177068214804068
91,2009-05-15,34000,34200,32800,33100,842255,-0.017804154302670572
92,2009-05-18,32700,32900,31600,32500,807023,-0.01812688821752262
93,2009-05-19,33450,33950,33100,33400,823484,0.027692307692307683
94,2009-05-20,33700,33850,32800,33300,880713,-0.0029940119760478727
95,2009-05-21,33300,33450,31800,32450,1204307,-0.02552552552552556
96,2009-05-22,31700,32400,31450,31750,1224756,-0.02157164869029271
97,2009-05-25,31300,32100,29500,31100,1380544,-0.020472440944881883
98,2009-05-26,31850,32100,29600,29950,1711619,-0.03697749196141476
99,2009-05-27,30500,31000,29850,30050,966079,0.0033388981636059967
100,2009-05-28,30000,30600,29200,30500,744995,0.014975041597337757
101,2009-05-29,30900,31950,30800,31100,1136331,0.01967213114754096
102,2009-06-01,31450,32150,31100,31950,770095,0.02733118971061099
103,2009-06-02,32800,33200,32350,32500,1227696,0.017214397496087663
104,2009-06-03,32950,33300,32450,32550,581883,0.0015384615384614884
105,2009-06-04,32200,32500,31000,31400,811014,-0.03533026113671278
106,2009-06-05,31750,32150,31100,31550,605755,0.004777070063694211
107,2009-06-08,31550,32450,31550,31900,467062,0.011093502377178988
108,2009-06-09,32550,32800,31750,32000,675727,0.0031347962382444194
109,2009-06-10,32350,33000,32150,32750,882064,0.0234375
110,2009-06-11,33000,33150,32450,32600,775819,-0.004580152671755711
111,2009-06-12,32800,32900,32200,32200,560505,-0.012269938650306787
112,2009-06-15,32100,32100,31000,31400,545704,-0.024844720496894457
113,2009-06-16,30900,31700,30750,31350,382937,-0.0015923566878981445
114,2009-06-17,31350,31350,30550,30650,663032,-0.022328548644338087
115,2009-06-18,30850,31250,30250,30500,511145,-0.004893964110929905
116,2009-06-19,30900,30900,30000,30300,615618,-0.006557377049180357
117,2009-06-22,30200,30850,30150,30800,678888,0.01650165016501659
118,2009-06-23,30000,30000,29150,29300,694405,-0.04870129870129869
119,2009-06-24,29550,29650,28800,29050,452529,-0.008532423208191142
120,2009-06-25,29200,30150,29050,29750,515197,0.024096385542168752
121,2009-06-26,30000,30350,29900,29900,358595,0.005042016806722671
122,2009-06-29,30200,30700,29700,29800,376514,-0.0033444816053511683
123,2009-06-30,30300,30500,29700,29900,377585,0.0033557046979866283
124,2009-07-01,29650,30050,29300,29800,699705,-0.0033444816053511683
125,2009-07-02,30100,30100,29400,29800,525121,0.0
126,2009-07-03,29100,29750,29100,29750,538087,-0.0016778523489933141
127,2009-07-06,29750,30300,29550,29950,374494,0.006722689075630228
128,2009-07-07,29900,29950,29550,29750,359233,-0.006677796327211993
129,2009-07-08,29500,29650,28900,29250,586785,-0.01680672268907568
130,2009-07-09,29350,29600,29000,29350,306838,0.003418803418803407
131,2009-07-10,29350,29600,29050,29600,249544,0.008517887563884052
132,2009-07-13,29500,29550,28500,28500,380886,-0.03716216216216217
133,2009-07-14,28750,28950,28100,28400,361199,-0.0035087719298245727
134,2009-07-15,28550,28900,28200,28500,466790,0.0035211267605634866
135,2009-07-16,29050,30350,29000,30300,1253117,0.06315789473684208
136,2009-07-17,30300,30700,30100,30450,818484,0.004950495049504955
137,2009-07-20,30600,31150,30400,31150,528573,0.02298850574712641
138,2009-07-21,31400,31900,31250,31450,834958,0.009630818619582593
139,2009-07-22,31450,32000,31250,31850,461635,0.012718600953895098
140,2009-07-23,31600,32050,31350,31850,664655,0.0
141,2009-07-24,32150,32250,31700,31700,522771,-0.004709576138147598
142,2009-07-27,31700,32250,31550,31600,694029,-0.003154574132492094
143,2009-07-28,31650,32000,31200,31900,527100,0.009493670886076
144,2009-07-29,31900,32100,31500,31800,461432,-0.0031347962382445305
145,2009-07-30,31800,31800,31200,31500,350396,-0.009433962264150941
146,2009-07-31,31850,33000,31600,32950,1572936,0.04603174603174609
147,2009-08-03,33350,33950,32950,33400,832332,0.01365705614567525
148,2009-08-04,34050,34550,33650,34100,1193914,0.020958083832335328
149,2009-08-05,34150,34500,33500,33700,541671,-0.011730205278592363
150,2009-08-06,33700,35150,33250,35000,1394594,0.03857566765578646
151,2009-08-07,34800,35100,34050,35000,709576,0.0
152,2009-08-10,34900,35300,34700,35100,391175,0.0028571428571428914
153,2009-08-11,34700,35600,34350,35400,591086,0.008547008547008517
154,2009-08-12,35400,36250,34750,35500,811215,0.002824858757062065
155,2009-08-13,35800,35900,34800,34800,548138,-0.019718309859154903
156,2009-08-14,35000,35150,34200,34500,652963,-0.008620689655172377
157,2009-08-17,33900,34000,33000,33000,839788,-0.04347826086956519
158,2009-08-18,32700,33550,32600,32850,545713,-0.004545454545454518
159,2009-08-19,33450,34500,33250,33600,739498,0.022831050228310446
160,2009-08-20,34800,35000,34000,34850,580252,0.03720238095238093
161,2009-08-21,34750,34950,33750,34450,443351,-0.011477761836441893
162,2009-08-24,34550,35050,33850,34600,505291,0.004354136429608024
163,2009-08-25,34500,36050,34450,34900,1156237,0.00867052023121384
164,2009-08-26,35250,35400,34600,34700,560161,-0.005730659025787954
165,2009-08-27,34500,34700,33600,34000,508263,-0.020172910662824232
166,2009-08-28,34200,34400,33200,33550,451843,-0.013235294117647012
167,2009-08-31,33700,33900,33000,33000,251892,-0.016393442622950838
168,2009-09-01,32600,33300,32500,33050,511865,0.0015151515151514696
169,2009-09-02,32600,32800,31750,31850,1072976,-0.036308623298033305
170,2009-09-03,31850,33000,31600,32500,706231,0.020408163265306145
171,2009-09-04,32800,33300,32550,33050,448778,0.01692307692307682
172,2009-09-07,33350,33350,32300,32600,419360,-0.013615733736762505
173,2009-09-08,33200,35800,33050,35250,1945098,0.0812883435582823
174,2009-09-09,35300,35300,33350,33750,1169873,-0.04255319148936165
