,date,open,high,low,close,volume,change
0,2009-01-02,45500,45900,44450,45500,62713,-0.025695931477516032
1,2009-01-05,46200,46250,45450,45500,35067,0.0
2,2009-01-06,45400,46250,45050,45500,34658,0.0
3,2009-01-07,45750,46150,44800,45650,173214,0.003296703296703285
4,2009-01-08,44800,45100,43650,43950,89863,-0.03723986856516981
5,2009-01-09,44600,44750,43100,44750,77680,0.018202502844141044
6,2009-01-12,43950,44500,42850,43250,44295,-0.03351955307262566
7,2009-01-13,42800,43950,42250,42500,29703,-0.01734104046242779
8,2009-01-14,42800,44750,42350,44750,51550,0.05294117647058827
9,2009-01-15,43300,43700,42450,42800,25300,-0.04357541899441342
10,2009-01-16,42800,43250,40650,42400,121328,-0.009345794392523366
11,2009-01-19,42400,43300,41600,42900,49738,0.011792452830188704
12,2009-01-20,42600,43450,41600,42800,41583,-0.002331002331002363
13,2009-01-21,40900,44100,40600,43900,38632,0.025700934579439227
14,2009-01-22,44500,44500,42650,43600,69064,-0.006833712984054663
15,2009-01-23,43050,45000,42000,44100,112019,0.01146788990825698
16,2009-01-28,44800,48500,44700,48500,236044,0.09977324263038544
17,2009-01-29,48000,48500,47000,48000,96056,-0.010309278350515427
18,2009-01-30,46800,49800,46350,48800,106200,0.01666666666666661
19,2009-02-02,48000,49000,47200,48700,37912,-0.002049180327868827
20,2009-02-03,48600,49400,47550,49400,72698,0.014373716632443578
21,2009-02-04,49500,51000,49500,51000,148630,0.03238866396761142
22,2009-02-05,49900,51400,49150,49700,92031,-0.025490196078431396
23,2009-02-06,50200,50500,47750,48400,146971,-0.026156941649899342
24,2009-02-09,49500,49750,48050,48400,93625,0.0
25,2009-02-10,49800,50500,47550,50000,54949,0.03305785123966931
26,2009-02-11,48100,51900,48100,51500,109779,0.030000000000000027
27,2009-02-12,51800,54200,51500,52800,122416,0.02524271844660197
28,2009-02-13,53000,54500,52000,53500,90098,0.01325757575757569
29,2009-02-16,52500,55500,52500,53300,84583,-0.0037383177570093906
30,2009-02-17,52800,53800,51100,51500,49479,-0.0337711069418386
31,2009-02-18,51000,54200,49350,52100,94388,0.011650485436893288
32,2009-02-19,54100,54100,51600,53300,65797,0.02303262955854124
33,2009-02-20,52000,53400,51500,53000,67999,-0.0056285178236398226
34,2009-02-23,51700,55000,51500,54000,44908,0.018867924528301886
35,2009-02-24,54500,54500,51600,53100,43290,-0.01666666666666672
36,2009-02-25,53300,54200,52000,53500,33996,0.007532956685499138
37,2009-02-26,53600,54300,51700,54000,41229,0.009345794392523256
38,2009-02-27,52800,54500,52600,53900,38329,-0.0018518518518518825
