,date,open,high,low,close,volume,change
0,2009-01-02,19200,19250,17950,19050,3431888,-0.023076923076923102
1,2009-01-05,19700,21550,19650,21000,5606472,0.10236220472440948
2,2009-01-06,20800,21400,20400,20750,2771001,-0.011904761904761862
3,2009-01-07,21100,23050,20800,22450,3830025,0.08192771084337358
4,2009-01-08,21900,23100,21500,22600,3123522,0.0066815144766148036
5,2009-01-09,23300,24200,21350,21450,3659748,-0.05088495575221241
6,2009-01-12,21450,22000,20450,20850,1487943,-0.027972027972028024
7,2009-01-13,20700,22100,20000,21700,1883065,0.04076738609112707
8,2009-01-14,21700,22700,21050,22500,2037416,0.03686635944700467
9,2009-01-15,21350,21350,20050,20500,1918197,-0.0888888888888889
10,2009-01-16,20300,20950,19400,20950,2704581,0.02195121951219514
11,2009-01-19,20950,21950,20800,21300,1417578,0.01670644391408116
12,2009-01-20,20850,20850,19900,19900,1824199,-0.06572769953051638
13,2009-01-21,18700,19900,18200,19250,2393777,-0.03266331658291455
14,2009-01-22,20500,20800,19800,20050,2607603,0.041558441558441565
15,2009-01-23,19500,20400,19350,20000,1366533,-0.0024937655860348684
16,2009-01-28,20900,23000,20600,22400,2222510,0.1200000000000001
17,2009-01-29,23100,23950,22700,22750,3073683,0.015625
18,2009-01-30,22200,23950,22100,23150,2094416,0.01758241758241752
19,2009-02-02,22600,23600,22000,22500,1322809,-0.028077753779697682
20,2009-02-03,22500,23550,22300,23100,1971483,0.026666666666666616
21,2009-02-04,23500,23600,22400,22900,2465697,-0.008658008658008698
22,2009-02-05,22700,22850,21350,21550,2121411,-0.05895196506550216
23,2009-02-06,22250,22500,21300,22050,1941297,0.023201856148491903
24,2009-02-09,22900,23200,22100,22350,1656477,0.013605442176870763
25,2009-02-10,22450,22750,22000,22150,1102075,-0.008948545861297563
26,2009-02-11,21100,21800,20950,21550,1272879,-0.02708803611738153
27,2009-02-12,21200,21450,20150,20400,2797955,-0.05336426914153136
28,2009-02-13,20300,20750,20000,20450,1897274,0.002450980392156854
29,2009-02-16,20500,20750,20000,20150,1393273,-0.014669926650366703
30,2009-02-17,19700,19950,17700,18200,2658968,-0.09677419354838712
