,date,open,high,low,close,volume,change
0,2009-01-02,64616,65116,62416,63816,14815,-0.024473760643257902
1,2009-01-05,63516,63516,60815,61816,25752,-0.03134010279553712
2,2009-01-06,61915,62816,61015,62316,18028,0.008088520771321274
3,2009-01-07,63216,63216,60815,61816,38656,-0.008023621541819126
4,2009-01-08,61915,62015,61015,61316,19428,-0.008088520771321384
5,2009-01-09,61115,62015,59615,59915,15714,-0.022848848587644355
6,2009-01-12,60515,61315,59615,59915,11664,0.0
7,2009-01-13,60815,60815,58915,60115,17579,0.003338062254861107
8,2009-01-14,60415,61615,59215,60716,17309,0.009997504782500277
9,2009-01-15,59415,60715,59115,59715,18355,-0.016486593319718024
10,2009-01-16,59515,60915,59515,60916,14792,0.020112199614837237
11,2009-01-19,60415,61115,59615,59615,12486,-0.021357278875829052
12,2009-01-20,59315,59715,58214,58515,11722,-0.018451731946657723
13,2009-01-21,57914,59515,57114,58115,9093,-0.006835854054515922
14,2009-01-22,58315,59915,58114,58515,13170,0.006882904585735261
15,2009-01-23,58815,59915,58515,59915,9955,0.02392548919080584
16,2009-01-28,60515,62716,60115,62616,17732,0.04508053075189844
17,2009-01-29,61715,63116,61615,62916,12169,0.004791107704101183
18,2009-01-30,62916,62916,61715,61716,8524,-0.01907304978065993
19,2009-02-02,61815,61915,60115,60416,11720,-0.021064229697323245
20,2009-02-03,60315,61515,59815,61116,16486,0.011586334745762759
21,2009-02-04,61415,61615,58815,59115,30559,-0.03274101708226973
22,2009-02-05,59115,59215,58114,58615,14820,-0.008458090163241172
23,2009-02-06,58415,60215,58214,59315,22509,0.01194233557962976
24,2009-02-09,59115,59815,57714,58315,23613,-0.01685914186967885
25,2009-02-10,58615,59115,57314,57315,21519,-0.017148246591786043
26,2009-02-11,56514,56814,55714,55814,27455,-0.0261886068219489
27,2009-02-12,55914,58415,55014,58115,43217,0.041226215644820215
28,2009-02-13,57914,59015,57114,58015,20073,-0.0017207261464338153
29,2009-02-16,57514,58014,55514,57015,28147,-0.017236921485822676
30,2009-02-17,55814,56614,54514,55114,37760,-0.03334210295536266
31,2009-02-18,54714,54714,53513,54014,30400,-0.019958631200783783
32,2009-02-19,53613,54914,52513,54714,33977,0.01295960306587185
33,2009-02-20,54514,54814,53213,53814,14794,-0.016449172058339734
34,2009-02-23,53213,57814,52713,55914,22305,0.03902330248634178
35,2009-02-24,54714,56314,54013,55714,16979,-0.0035769217011839545
36,2009-02-25,56214,57114,54514,56815,18725,0.01976163980328094
37,2009-02-26,56814,58315,54514,56214,21405,-0.01057819237877322
38,2009-02-27,56914,56914,54914,54914,11396,-0.023125911694595658
39,2009-03-02,54313,54313,52413,54114,16020,-0.014568233965837509
40,2009-03-03,53813,55014,52713,53414,10758,-0.01293565435931554
41,2009-03-04,53613,55014,52813,54514,13685,0.02059385179915374
42,2009-03-05,54614,57014,54113,56515,27460,0.036706167223098614
43,2009-03-06,56514,58014,56114,57915,14946,0.02477218437582951
44,2009-03-09,58014,58615,56814,58215,11615,0.005180005180005276
45,2009-03-10,58214,59115,57514,59115,15267,0.015459933006956916
46,2009-03-11,58715,59815,57914,59415,18181,0.005074854097944614
47,2009-03-12,59915,60415,58014,60015,25874,0.01009845998485237
48,2009-03-13,59515,60115,58715,60015,11118,0.0
49,2009-03-16,59015,60315,58014,59615,14079,-0.006665000416562483
50,2009-03-17,59915,60115,58415,59015,13037,-0.010064581061813294
51,2009-03-18,59415,59515,57514,57515,20190,-0.025417266796577187
52,2009-03-19,57514,58214,57414,58015,11104,0.008693384334521381
53,2009-03-20,58915,59115,58214,58715,10048,0.012065845040075908
54,2009-03-23,58815,59615,57714,57715,56631,-0.017031422975389617
55,2009-03-24,58415,58415,56714,58015,30580,0.005197955470848115
56,2009-03-25,58014,58415,57614,58015,17611,0.0
57,2009-03-26,58014,59115,57614,59115,30490,0.018960613634404933
58,2009-03-27,58815,60415,58114,60115,31774,0.016916180326482344
59,2009-03-30,60515,60915,58715,58915,9974,-0.019961739998336503
60,2009-03-31,59715,62015,58715,61016,25008,0.03566154629551055
61,2009-04-01,61215,63016,60615,62916,31458,0.03113937327913985
62,2009-04-02,63916,63916,61115,62016,23408,-0.014304787335494897
63,2009-04-03,61315,61915,59615,59915,22849,-0.03387835397316818
64,2009-04-06,59815,61315,59815,60516,14916,0.010030877075857479
65,2009-04-07,60715,60915,59915,60516,8748,0.0
66,2009-04-08,60515,61115,59515,60416,11003,-0.0016524555489457748
67,2009-04-09,59915,60115,59115,59615,20200,-0.013258077330508431
68,2009-04-10,59915,60715,59015,59515,18168,-0.0016774301769688638
69,2009-04-13,59715,60415,59215,59315,11749,-0.003360497353608327
70,2009-04-14,59315,59615,58515,59315,20262,0.0
71,2009-04-15,59015,60815,58615,60816,22619,0.02530557194638794
72,2009-04-16,60815,62015,60115,61616,17519,0.01315443304393571
73,2009-04-17,61015,61515,59315,60015,17775,-0.02598351077642169
74,2009-04-20,59615,60715,58615,60316,9349,0.005015412813463405
75,2009-04-21,59615,61015,59115,59715,11859,-0.009964188606671476
76,2009-04-22,59615,63516,59215,63416,27059,0.06197772753914421
77,2009-04-23,63916,68017,62616,68018,29863,0.07256843698751103
78,2009-04-24,66617,68117,64916,68018,12634,0.0
79,2009-04-27,67017,69918,65516,66517,12485,-0.0220676879649504
80,2009-04-28,67817,68517,64116,65117,15050,-0.02104725107867167
81,2009-04-29,64616,67917,64416,67217,9759,0.032249642950381574
82,2009-04-30,66917,69817,66517,68418,24055,0.017867503756490155
83,2009-05-04,67417,69117,64016,66117,64075,-0.03363150048232921
84,2009-05-06,64916,65016,62015,63116,76208,-0.045389234236278164
85,2009-05-07,63216,64316,62616,63216,28120,0.0015843843082579134
86,2009-05-08,63316,63616,61715,61716,28767,-0.02372817008352313
87,2009-05-11,62316,63016,60815,61916,36656,0.003240650722665217
88,2009-05-12,61315,62916,61015,62816,22784,0.014535822727566485
89,2009-05-13,62316,65316,61815,63616,28229,0.012735608762098892
90,2009-05-14,63016,63416,61015,61716,34268,-0.029866700201207293
91,2009-05-15,61715,62516,61415,62016,22493,0.004860976083997714
92,2009-05-18,62115,63016,61115,61316,31025,-0.011287409700722395
93,2009-05-19,61815,63816,61515,63816,18948,0.04077239219779494
94,2009-05-20,63816,64816,63316,64717,13673,0.014118716309389434
95,2009-05-21,64016,64616,63016,63016,10842,-0.026283665806511425
96,2009-05-22,62316,64116,61115,63916,23006,0.014282087088993256
97,2009-05-25,62716,64016,60015,62416,15898,-0.02346830214656737
98,2009-05-26,62416,62416,60115,60115,24960,-0.03686554729556524
99,2009-05-27,60815,61515,58915,59615,17437,-0.008317391665973561
100,2009-05-28,59615,61715,59515,60816,24439,0.020145936425396197
101,2009-05-29,60515,62816,60215,62216,38985,0.023020257826887658
102,2009-06-01,61615,62616,61015,62416,16057,0.0032146071750032146
103,2009-06-02,62015,62416,60015,61316,23812,-0.017623686234298885
104,2009-06-03,61315,61715,60515,60816,14004,-0.008154478439558965
105,2009-06-04,60815,60815,59615,59915,16984,-0.014815180215732691
106,2009-06-05,60015,61315,59515,60716,18649,0.013368939330718588
107,2009-06-08,60415,62516,60215,62016,26014,0.02141116015547806
108,2009-06-09,62115,64116,61615,62916,43149,0.014512383900928684
109,2009-06-10,63616,64216,62316,64217,18437,0.02067836480386553
110,2009-06-11,65216,65616,64316,65117,32224,0.014014980456888315
111,2009-06-12,65316,65516,64516,65517,12947,0.006142789133406046
112,2009-06-15,64916,64916,63016,64917,24658,-0.009157928476578592
113,2009-06-16,64416,65516,63416,65517,16269,0.009242571283331058
114,2009-06-17,65316,65716,64516,65617,8508,0.0015263214127632097
115,2009-06-18,65016,65616,63516,64917,9730,-0.01066796714266116
116,2009-06-19,65116,65616,64316,65617,9097,0.010782999830552864
117,2009-06-22,64616,65516,64616,65317,6731,-0.004571985918283339
118,2009-06-23,64916,64916,63316,63316,7187,-0.030635209822863833
119,2009-06-24,63816,64616,63516,63816,6232,0.007896898098426863
120,2009-06-25,65116,66817,64716,66017,23404,0.03448978312648876
121,2009-06-26,65416,67017,65016,67017,7180,0.015147613493494028
122,2009-06-29,66817,67417,66217,67417,6265,0.0059686348239997855
123,2009-06-30,67717,68917,66917,68318,25393,0.013364581633712458
124,2009-07-01,68517,69617,68317,68718,20177,0.00585497233525567
125,2009-07-02,68717,69817,67417,68718,21214,0.0
126,2009-07-03,68717,69417,67417,67417,4475,-0.01893244855787424
127,2009-07-06,67017,68517,66317,68518,6492,0.016331192429209333
128,2009-07-07,69317,69617,68117,69318,10976,0.0116757640328089
129,2009-07-08,69417,69817,68317,69818,7547,0.007213133673793282
130,2009-07-09,70218,70218,68417,68418,15222,-0.020052135552436345
131,2009-07-10,68317,69017,66417,68518,12322,0.0014616036715484615
132,2009-07-13,68917,68917,66016,68518,16622,0.0
133,2009-07-14,67617,69017,67217,68218,9714,-0.0043784115123033365
134,2009-07-15,68217,69918,67817,69918,9044,0.024920109062124274
135,2009-07-16,69417,70318,69017,69618,8001,-0.004290740581824437
136,2009-07-17,69117,70318,68017,70118,15627,0.007182050619092717
137,2009-07-20,70118,71718,69617,69618,16597,-0.007130836589748669
138,2009-07-21,69417,69917,68717,69018,15927,-0.008618460742911283
139,2009-07-22,69017,69017,67117,68618,19599,-0.005795589556347625
140,2009-07-23,67917,69717,67717,69718,15985,0.016030779095864034
141,2009-07-24,69217,70118,68717,69218,13627,-0.007171749046157361
142,2009-07-27,70018,70718,69617,70118,33326,0.013002398220116174
143,2009-07-28,69717,70518,68517,70118,20262,0.0
144,2009-07-29,70118,70118,67117,67417,26940,-0.03852077925782249
145,2009-07-30,67717,68417,66317,67317,20366,-0.0014833053977483244
146,2009-07-31,66717,67317,65616,67317,25014,0.0
147,2009-08-03,66617,67017,65816,65917,38611,-0.020797124054845014
148,2009-08-04,66517,69517,66417,68518,29305,0.03945871323027439
149,2009-08-05,69017,70118,68317,69318,25123,0.0116757640328089
150,2009-08-06,69717,71518,69317,71018,38161,0.024524654490897024
151,2009-08-07,72518,74219,72018,73519,53014,0.03521642400518177
152,2009-08-10,72618,73819,71218,73519,23241,0.0
153,2009-08-11,73018,74019,72818,73719,15454,0.0027203852065451613
154,2009-08-12,73819,73919,71718,72019,15064,-0.023060540701854367
155,2009-08-13,72218,72618,70918,70918,20603,-0.015287632430330931
156,2009-08-14,70918,71518,70218,71518,26103,0.008460475478721863
157,2009-08-17,71418,71818,70318,70518,14206,-0.01398249391761519
158,2009-08-18,70818,72818,70318,72119,21123,0.02270342323945651
159,2009-08-19,71718,72718,71218,71818,16946,-0.0041736574273076865
160,2009-08-20,71518,75019,71518,74319,12305,0.03482413879528812
161,2009-08-21,73618,74319,72818,74019,12177,-0.0040366528074919925
162,2009-08-24,74019,74919,73118,73419,10638,-0.008106026830948855
163,2009-08-25,73718,73819,71618,73419,17475,0.0
164,2009-08-26,72418,73819,72018,72519,11038,-0.012258407224287948
165,2009-08-27,72918,73018,71618,72819,4282,0.004136846895296475
166,2009-08-28,72718,73518,72318,72719,12605,-0.001373267965778191
167,2009-08-31,72518,73118,71018,72819,8780,0.001375156424043178
168,2009-09-01,71418,74019,71418,74019,8574,0.016479215589337848
169,2009-09-02,74019,74019,71918,71919,15828,-0.028371093908320818
170,2009-09-03,71518,73919,71418,73919,14782,0.027809062973623174
171,2009-09-04,73518,75019,72518,75019,11273,0.01488115369526111
172,2009-09-07,74519,75119,73118,73119,18171,-0.02532691718098079
173,2009-09-08,73218,73718,72818,73319,8188,0.0027352671672205013
174,2009-09-09,73118,74119,72718,73819,9686,0.00681951472333231
175,2009-09-10,73318,76019,73318,76020,23065,0.029816171988241488
