,date,open,high,low,close,volume,change
0,2009-01-02,77700,81700,75800,81000,715483,0.07569721115537842
1,2009-01-05,82600,85800,80000,82800,1011096,0.022222222222222143
2,2009-01-06,83700,84700,80600,83400,611399,0.007246376811594234
3,2009-01-07,84400,84400,81000,84200,737769,0.009592326139088671
4,2009-01-08,82000,82700,79500,79500,640125,-0.0558194774346793
5,2009-01-09,80800,81600,76500,78000,867640,-0.018867924528301886
6,2009-01-12,76900,78900,75100,77700,494380,-0.003846153846153833
7,2009-01-13,78100,80500,75700,78800,424448,0.014157014157014203
8,2009-01-14,78800,82200,77500,80500,529452,0.0215736040609138
9,2009-01-15,78000,78400,74200,74500,544242,-0.07453416149068326
10,2009-01-16,74700,75900,73200,75300,589750,0.010738255033557076
11,2009-01-19,76100,76400,74300,74700,662509,-0.007968127490039834
12,2009-01-20,73200,73200,71500,72600,518065,-0.028112449799196804
13,2009-01-21,69300,73200,69100,71100,547032,-0.02066115702479343
14,2009-01-22,74000,74400,72100,73000,1086625,0.026722925457102642
15,2009-01-23,72200,74300,71400,72800,838556,-0.002739726027397249
16,2009-01-28,74400,77800,74100,77300,673742,0.061813186813186816
17,2009-01-29,78000,81000,77300,79500,686488,0.028460543337645475
18,2009-01-30,78000,81500,77500,80500,539463,0.012578616352201257
19,2009-02-02,78400,82000,78200,80700,555460,0.0024844720496894897
20,2009-02-03,80100,81500,78700,81000,558865,0.003717472118959009
21,2009-02-04,82200,85500,81000,85000,601103,0.04938271604938271
22,2009-02-05,83600,85000,81600,82300,491185,-0.03176470588235292
23,2009-02-06,83600,84900,82300,84900,369954,0.03159173754556499
24,2009-02-09,84200,85600,83200,84700,340044,-0.002355712603062443
25,2009-02-10,85000,85200,82600,84300,392175,-0.004722550177095664
26,2009-02-11,82000,82800,81200,82000,461674,-0.027283511269276417
27,2009-02-12,80900,85000,80200,82000,586589,0.0
28,2009-02-13,81700,83800,80600,83600,411006,0.01951219512195124
29,2009-02-16,82300,85200,82300,82400,308756,-0.014354066985645897
30,2009-02-17,81600,82300,78300,78600,414644,-0.04611650485436891
31,2009-02-18,77800,78300,75800,76500,530499,-0.026717557251908386
32,2009-02-19,77000,77200,73700,76500,604272,0.0
33,2009-02-20,75700,76600,72100,73700,485693,-0.03660130718954247
34,2009-02-23,73500,77800,71900,76900,463898,0.04341926729986434
35,2009-02-24,73800,75000,72500,73500,432717,-0.04421326397919378
36,2009-02-25,75900,76200,72200,73300,290765,-0.0027210884353741087
37,2009-02-26,73500,76600,71500,71500,428489,-0.024556616643929045
38,2009-02-27,72500,75100,71700,72500,361438,0.013986013986013957
39,2009-03-02,71500,71600,68000,70000,529227,-0.03448275862068961
40,2009-03-03,68500,70700,67700,70700,367574,0.010000000000000007
41,2009-03-04,69800,74800,68000,73600,574947,0.041018387553040984
42,2009-03-05,74500,76400,73400,73700,509423,0.0013586956521738358
43,2009-03-06,72500,74300,71400,73100,274073,-0.008141112618724522
44,2009-03-09,74600,75600,73100,75600,321011,0.03419972640218871
45,2009-03-10,74600,79000,74600,77600,579066,0.02645502645502651
46,2009-03-11,79300,82300,79000,81500,534873,0.05025773195876293
47,2009-03-12,81300,84600,78300,81100,1103549,-0.004907975460122671
48,2009-03-13,81500,82700,79200,80100,476626,-0.012330456226880449
49,2009-03-16,79300,81700,78600,80200,500519,0.0012484394506866447
50,2009-03-17,80700,82500,80300,82200,654995,0.024937655860349132
51,2009-03-18,83100,83100,81000,82200,320991,0.0
52,2009-03-19,82900,84400,82800,83000,568942,0.009732360097323587
53,2009-03-20,84300,87400,84300,85900,823476,0.034939759036144664
54,2009-03-23,87900,90500,87500,88000,632826,0.02444703143189764
55,2009-03-24,90000,92000,89100,90600,620292,0.029545454545454538
56,2009-03-25,91000,92900,90700,92300,424101,0.01876379690949226
57,2009-03-26,93100,93200,89800,92000,415451,-0.00325027085590468
58,2009-03-27,92000,92900,89900,91400,371311,-0.006521739130434745
59,2009-03-30,92000,92600,88000,88000,370372,-0.03719912472647702
60,2009-03-31,88000,90300,87500,88500,355289,0.005681818181818121
61,2009-04-01,88600,92000,87400,90800,487366,0.025988700564971712
62,2009-04-02,92500,95100,92200,93600,445635,0.03083700440528636
63,2009-04-03,94600,97800,93400,95200,686803,0.01709401709401703
64,2009-04-06,95000,98000,95000,96300,372501,0.011554621848739456
65,2009-04-07,96700,96700,94200,95800,370781,-0.005192107995846351
66,2009-04-08,95100,95200,91000,92500,523080,-0.034446764091857984
67,2009-04-09,93700,97000,93100,96000,627197,0.037837837837837895
68,2009-04-10,97600,97900,94000,95800,594526,-0.0020833333333333264
69,2009-04-13,95800,96900,94300,95400,503948,-0.0041753653444676075
70,2009-04-14,95400,99800,94700,97000,721869,0.016771488469601747
71,2009-04-15,96500,99300,94800,95900,585075,-0.01134020618556697
72,2009-04-16,97800,102500,97700,98800,926276,0.030239833159541263
73,2009-04-17,99800,102000,96900,97700,579635,-0.011133603238866365
74,2009-04-20,99200,99200,95200,97100,590454,-0.0061412487205732
75,2009-04-21,94800,97200,94100,96600,492881,-0.005149330587023715
76,2009-04-22,97400,102000,96500,99500,769269,0.03002070393374745
77,2009-04-23,101000,104500,98600,102000,1046851,0.025125628140703515
78,2009-04-24,103000,105000,100500,102000,573281,0.0
79,2009-04-27,103000,103000,99000,100500,366288,-0.014705882352941124
80,2009-04-28,100000,100500,94900,98400,601425,-0.02089552238805969
81,2009-04-29,97100,98400,96300,98400,390793,0.0
82,2009-04-30,99000,101500,98000,100500,618930,0.021341463414634054
83,2009-05-04,102500,103000,98700,103000,527881,0.024875621890547258
84,2009-05-06,103000,106000,100500,102500,635712,-0.004854368932038833
85,2009-05-07,104000,110500,103000,108000,1392358,0.0536585365853659
86,2009-05-08,108000,113000,107000,109000,555853,0.0092592592592593
87,2009-05-11,111000,112500,107500,111000,450318,0.0183486238532109
88,2009-05-12,108500,110500,105500,109500,649159,-0.013513513513513488
89,2009-05-13,109000,110000,105000,107000,713100,-0.02283105022831056
90,2009-05-14,105000,106500,101500,104000,642265,-0.028037383177570097
91,2009-05-15,105000,105500,102000,103000,579536,-0.00961538461538458
92,2009-05-18,102000,102500,98000,99500,783852,-0.03398058252427183
93,2009-05-19,102500,104000,100500,103000,564042,0.035175879396984966
94,2009-05-20,103500,106000,103000,104000,366340,0.009708737864077666
95,2009-05-21,105500,108500,105000,106000,846333,0.01923076923076916
96,2009-05-22,104000,107500,103000,104500,399718,-0.01415094339622647
97,2009-05-25,103000,106000,97600,103500,582251,-0.009569377990430672
98,2009-05-26,105000,105000,99000,100500,605297,-0.028985507246376833
99,2009-05-27,102500,103000,99000,100500,563021,0.0
100,2009-05-28,100500,103000,99200,102500,410437,0.01990049751243772
101,2009-05-29,105000,109500,104000,106000,1388419,0.034146341463414664
102,2009-06-01,109000,112500,108500,110500,971774,0.042452830188679284
103,2009-06-02,114500,118000,114000,114500,1078934,0.03619909502262453
104,2009-06-03,117000,117500,112500,113500,487703,-0.008733624454148492
105,2009-06-04,113500,116500,109500,112500,607736,-0.008810572687224627
106,2009-06-05,115000,116500,112000,113500,512826,0.008888888888888946
107,2009-06-08,112000,119500,112000,117000,738657,0.03083700440528636
108,2009-06-09,119000,119000,112000,115000,445065,-0.017094017094017144
109,2009-06-10,116000,117000,113000,117000,427996,0.017391304347825987
110,2009-06-11,116500,118000,112000,113000,923216,-0.034188034188034185
111,2009-06-12,114000,116000,111500,113000,382718,0.0
112,2009-06-15,113500,114000,109000,113000,544612,0.0
113,2009-06-16,110000,112000,109000,110000,525080,-0.026548672566371726
114,2009-06-17,108500,108500,105500,107000,579518,-0.027272727272727226
115,2009-06-18,106000,106000,102500,104000,734510,-0.028037383177570097
116,2009-06-19,105000,107000,102500,106000,494773,0.01923076923076916
117,2009-06-22,106000,107500,104000,105500,374532,-0.004716981132075526
118,2009-06-23,102000,102000,99300,100500,951741,-0.047393364928910005
119,2009-06-24,101000,102500,99400,101000,424231,0.00497512437810954
120,2009-06-25,101000,104000,100500,103000,487684,0.01980198019801982
121,2009-06-26,104500,104500,99800,101000,804597,-0.01941747572815533
122,2009-06-29,101000,102500,99900,101000,297456,0.0
123,2009-06-30,102500,103000,100500,102500,491379,0.014851485148514863
124,2009-07-01,101000,101500,98000,99400,2345228,-0.030243902439024417
125,2009-07-02,99400,100000,96700,97500,1276323,-0.019114688128772598
126,2009-07-03,95900,97000,95000,96000,1072189,-0.015384615384615332
127,2009-07-06,96600,98800,96200,98100,741618,0.021875000000000092
128,2009-07-07,97600,98200,96500,97000,542788,-0.011213047910295648
129,2009-07-08,95800,96000,93500,94500,904363,-0.025773195876288683
130,2009-07-09,94500,97300,94200,94800,679542,0.0031746031746031638
131,2009-07-10,95600,95900,94200,94800,447475,0.0
132,2009-07-13,94800,95700,92500,93000,467230,-0.01898734177215189
133,2009-07-14,94000,95300,93200,93200,464765,0.002150537634408645
134,2009-07-15,94300,95600,93700,94700,579894,0.016094420600858417
135,2009-07-16,95700,98200,95500,97600,929102,0.03062302006335793
136,2009-07-17,98800,98900,96500,98300,610490,0.007172131147541005
137,2009-07-20,98700,99300,97700,98700,754756,0.004069175991861629
138,2009-07-21,99700,102000,99500,100500,990385,0.01823708206686936
139,2009-07-22,102000,102000,100500,101000,501937,0.00497512437810954
140,2009-07-23,101500,101500,99400,101000,576835,0.0
141,2009-07-24,101500,102500,99100,99700,890751,-0.012871287128712884
142,2009-07-27,100000,100500,98300,98600,1093438,-0.011033099297893643
143,2009-07-28,98900,102000,98200,102000,820730,0.034482758620689724
144,2009-07-29,101500,103500,100500,101000,530866,-0.009803921568627416
145,2009-07-30,100000,100500,98500,100000,548013,-0.00990099009900991
146,2009-07-31,101000,104500,99600,104000,1051767,0.040000000000000036
147,2009-08-03,106000,109000,105000,107000,1072239,0.028846153846153744
148,2009-08-04,110000,111000,106500,106500,1041494,-0.004672897196261627
149,2009-08-05,107500,107500,103000,104000,630919,-0.023474178403755874
150,2009-08-06,103000,105500,102500,103500,373046,-0.004807692307692291
151,2009-08-07,103000,104000,101500,103500,530829,0.0
152,2009-08-10,104500,105500,103500,105000,498035,0.014492753623188468
153,2009-08-11,103000,103500,99400,102500,1193423,-0.02380952380952384
154,2009-08-12,103000,103000,100000,102500,673168,0.0
155,2009-08-13,104000,104500,101500,102500,701723,0.0
